X,Y,Z
-108.90516662597656,-30.638351440429688,-340.7928771972656
-108.002197265625,-30.990966796875,-340.18182373046875
-107.33201599121094,-31.38299560546875,-339.94781494140625
-107.10202026367188,-31.678573608398438,-339.6825256347656
-107.04324340820312,-32.016510009765625,-339.6202087402344
-106.92938232421875,-32.55613708496094,-339.22320556640625
-107.22662353515625,-33.475616455078125,-339.224853515625
-107.30250549316406,-34.36592102050781,-339.346923828125
-107.70491027832031,-34.856231689453125,-339.4274597167969
-108.00015258789062,-35.27693176269531,-339.3961181640625
-108.55087280273438,-35.41807556152344,-339.6117858886719
-108.80564880371094,-35.250091552734375,-339.76165771484375
-108.76838684082031,-35.082672119140625,-339.955078125
-108.83045959472656,-34.95088195800781,-339.99908447265625
-108.45701599121094,-34.73374938964844,-339.7636413574219
-108.03207397460938,-34.103790283203125,-339.511474609375
-107.35223388671875,-33.41206359863281,-338.99749755859375
-106.52969360351562,-32.39888000488281,-338.8049011230469
-105.52603149414062,-31.580001831054688,-338.24462890625
-104.75527954101562,-30.714248657226562,-337.9225158691406
-104.2918701171875,-29.699066162109375,-337.5205078125
-103.84307861328125,-28.7247314453125,-337.4437255859375
-103.93670654296875,-27.2188720703125,-337.5609130859375
-104.43595886230469,-25.777191162109375,-337.8724365234375
-105.38201904296875,-24.175521850585938,-338.44097900390625
-106.22056579589844,-23.1429443359375,-338.88958740234375
-107.02201843261719,-21.738525390625,-339.49951171875
-107.54438781738281,-20.294692993164062,-339.656982421875
-107.64620971679688,-18.546463012695312,-339.67193603515625
-107.78176879882812,-16.307815551757812,-339.1774597167969
-107.85658264160156,-14.009368896484375,-338.673095703125
-108.32508850097656,-11.73138427734375,-338.50592041015625
-109.17433166503906,-9.499298095703125,-338.2543029785156
-110.69990539550781,-7.0619049072265625,-338.28973388671875
-112.76792907714844,-4.3839874267578125,-338.0635070800781
-114.82315063476562,-1.7986297607421875,-337.6816711425781
-116.63877868652344,1.298431396484375,-336.69989013671875
-118.45510864257812,4.428863525390625,-335.3282470703125
-119.90560913085938,7.7391357421875,-333.25262451171875
-121.43885803222656,10.834396362304688,-330.90069580078125
-123.31297302246094,13.79296875,-328.32977294921875
-125.55702209472656,16.445556640625,-325.71697998046875
-128.13912963867188,18.842636108398438,-322.7802429199219
-130.63316345214844,20.690902709960938,-319.7064208984375
-133.6081085205078,22.420211791992188,-316.6778564453125
-136.48623657226562,23.874984741210938,-313.5968322753906
-139.131591796875,24.781341552734375,-310.28900146484375
-141.9402313232422,25.428512573242188,-306.44830322265625
-144.5516815185547,25.513580322265625,-302.72607421875
-147.3224334716797,25.3841552734375,-298.64739990234375
-150.1799774169922,24.8363037109375,-294.59075927734375
-152.9281005859375,23.671188354492188,-290.4151306152344
-155.59506225585938,21.957809448242188,-286.58929443359375
-158.4968719482422,19.6417236328125,-282.920166015625
-161.37942504882812,16.981170654296875,-279.26788330078125
-164.3645477294922,13.680862426757812,-276.047119140625
-167.0745391845703,9.633956909179688,-273.150634765625
-169.67686462402344,5.176361083984375,-270.7215576171875
-172.35223388671875,0.4100189208984375,-269.2186279296875
-174.8697052001953,-4.6110076904296875,-268.41802978515625
-177.29605102539062,-9.549484252929688,-269.0395202636719
-179.7884979248047,-14.363967895507812,-270.5735168457031
-181.96046447753906,-19.37353515625,-273.364990234375
-183.43243408203125,-24.08001708984375,-276.4122619628906
-184.4245147705078,-28.920639038085938,-279.58831787109375
-184.50765991210938,-34.121002197265625,-282.24786376953125
-183.69000244140625,-39.49720764160156,-284.526611328125
-182.31980895996094,-44.808563232421875,-286.5318908691406
-180.1460723876953,-50.285797119140625,-288.36572265625
-177.4066619873047,-55.38111877441406,-289.88134765625
-173.66720581054688,-59.941864013671875,-290.97967529296875
-169.985107421875,-63.65904235839844,-291.60400390625
-165.9932861328125,-66.74430847167969,-290.7538146972656
-162.0262908935547,-69.14466857910156,-289.3790283203125
-158.22900390625,-70.63191223144531,-286.9617919921875
-154.77996826171875,-71.74684143066406,-284.0438232421875
-151.57455444335938,-71.8935546875,-280.1287841796875
-148.6754608154297,-71.32502746582031,-276.27783203125
-146.3663330078125,-70.03277587890625,-272.1285095214844
-144.4751739501953,-67.74313354492188,-267.4301452636719
-142.87657165527344,-64.6031494140625,-263.0299072265625
-141.2498321533203,-60.78727722167969,-258.45147705078125
-139.90029907226562,-56.40216064453125,-254.369873046875
-138.68121337890625,-51.016937255859375,-250.6936492919922
-137.74220275878906,-45.188507080078125,-247.83641052246094
-137.57797241210938,-38.487396240234375,-245.35031127929688
-138.28024291992188,-31.4615478515625,-244.13119506835938
-139.5355224609375,-24.490814208984375,-244.0122833251953
-141.3881072998047,-17.807357788085938,-244.9894561767578
-143.8682403564453,-11.41546630859375,-246.84129333496094
-146.7036590576172,-5.7814178466796875,-249.90121459960938
-149.80577087402344,-0.9383087158203125,-253.01914978027344
-152.98902893066406,2.597930908203125,-256.81475830078125
-156.2720184326172,5.471435546875,-261.01141357421875
-159.40103149414062,7.07403564453125,-264.8529052734375
-162.31300354003906,7.8053131103515625,-268.7412109375
-165.19195556640625,7.776336669921875,-272.40240478515625
-167.88330078125,7.28814697265625,-275.810302734375
-170.56150817871094,6.0037078857421875,-278.81201171875
-172.96310424804688,4.2574462890625,-281.500732421875
-175.20176696777344,1.8436431884765625,-284.1691589355469
-177.482177734375,-1.10467529296875,-286.8348693847656
-179.34913635253906,-4.2741546630859375,-289.4884033203125
-180.78506469726562,-7.6478729248046875,-291.8893127441406
-181.7935791015625,-11.150909423828125,-293.4034423828125
-182.320556640625,-14.347259521484375,-294.53350830078125
-182.68496704101562,-17.89410400390625,-295.0179748535156
-182.9403076171875,-21.430465698242188,-295.2371826171875
-183.07423400878906,-25.049774169921875,-294.86572265625
-182.78257751464844,-28.658737182617188,-294.4014892578125
-182.2288818359375,-32.46495056152344,-294.06402587890625
-181.53045654296875,-36.280853271484375,-293.7036437988281
-180.39389038085938,-40.224884033203125,-293.61328125
-179.19583129882812,-43.91484069824219,-293.5854797363281
-177.62551879882812,-47.789459228515625,-293.63299560546875
-175.7987823486328,-51.375823974609375,-293.24591064453125
-173.26307678222656,-54.859161376953125,-292.74041748046875
-170.27227783203125,-58.070068359375,-291.76580810546875
-166.87738037109375,-61.33180236816406,-290.7728271484375
-162.8048858642578,-64.25946044921875,-289.3172607421875
-158.31881713867188,-67.08857727050781,-287.7812194824219
-152.7899627685547,-69.30323791503906,-285.9751281738281
-146.7958221435547,-70.99667358398438,-284.41650390625
-140.35299682617188,-72.08613586425781,-283.01019287109375
-133.14808654785156,-72.142578125,-282.0379638671875
-126.04768371582031,-71.06588745117188,-280.7092590332031
-119.20262145996094,-68.92703247070312,-279.1947326660156
-112.81317138671875,-65.4398193359375,-277.32342529296875
-107.07719421386719,-61.09767150878906,-275.6305236816406
-101.73959350585938,-55.80989074707031,-274.728515625
-96.73704528808594,-49.48681640625,-274.349365234375
-92.38473510742188,-42.42462158203125,-275.1915283203125
