X,Y,Z
-85.28985595703125,-7.2600250244140625,-255.890625
-85.58978271484375,-7.5436553955078125,-256.8500061035156
-85.33064270019531,-7.5972747802734375,-257.367919921875
-85.59236145019531,-7.022125244140625,-258.072509765625
-85.52444458007812,-7.04742431640625,-259.180419921875
-85.95753479003906,-6.819580078125,-260.73809814453125
-85.64923095703125,-6.6296844482421875,-261.6974182128906
-86.49366760253906,-6.4279937744140625,-262.7687072753906
-86.90643310546875,-7.105133056640625,-263.40338134765625
-87.60255432128906,-7.720855712890625,-263.8179931640625
-88.05001831054688,-7.945556640625,-263.50347900390625
-88.54776000976562,-8.748291015625,-262.8310852050781
-88.74259948730469,-9.027267456054688,-262.18182373046875
-88.77822875976562,-8.834030151367188,-262.4143371582031
-88.49851989746094,-8.776031494140625,-262.509033203125
-88.46928405761719,-7.621734619140625,-264.20733642578125
-87.86540222167969,-7.068359375,-264.9429931640625
-88.11198425292969,-6.3741912841796875,-266.44122314453125
-87.50701904296875,-6.096221923828125,-266.17138671875
-87.42196655273438,-5.7216949462890625,-266.0715637207031
-86.67903137207031,-5.082855224609375,-266.0068664550781
-86.51002502441406,-4.729248046875,-266.822265625
-86.5272216796875,-3.6453094482421875,-268.11029052734375
-86.33258056640625,-2.48431396484375,-268.4251708984375
-86.93096923828125,-1.639007568359375,-270.42828369140625
-86.86410522460938,-0.4984893798828125,-272.0963134765625
-86.79609680175781,0.085418701171875,-272.3258056640625
-87.16194152832031,0.488189697265625,-273.5767822265625
-86.89955139160156,1.54876708984375,-274.08978271484375
-86.76100158691406,2.3282470703125,-273.6147766113281
-85.6895751953125,3.732025146484375,-273.42584228515625
-84.74739074707031,5.4781036376953125,-273.3682861328125
-83.60145568847656,7.069488525390625,-272.91070556640625
-82.93927001953125,8.62420654296875,-272.283447265625
-82.18006896972656,11.332656860351562,-271.50146484375
-81.37574768066406,13.18463134765625,-271.5120849609375
-80.8265380859375,15.22845458984375,-271.21942138671875
-80.2066650390625,17.5596923828125,-271.29681396484375
-79.08686828613281,19.5010986328125,-270.5106201171875
-78.22053527832031,21.946044921875,-270.9273986816406
-77.58259582519531,23.975433349609375,-269.951416015625
-76.56777954101562,26.610885620117188,-270.0816650390625
-76.04196166992188,29.395736694335938,-270.04400634765625
-75.33943176269531,32.94706726074219,-270.173828125
-74.51591491699219,37.08573913574219,-269.86474609375
-74.31584167480469,42.132232666015625,-269.5682067871094
-75.18994140625,47.84788513183594,-268.19561767578125
-76.41694641113281,53.52313232421875,-267.3005676269531
-79.58647155761719,59.09724426269531,-265.6950988769531
-82.84201049804688,64.0550537109375,-263.83856201171875
-87.25396728515625,68.57427978515625,-262.2265930175781
-92.52696228027344,71.15193176269531,-261.2830810546875
-97.66757202148438,74.03337097167969,-260.54510498046875
-102.55155944824219,75.45777893066406,-261.18963623046875
-107.02301025390625,76.271484375,-261.70208740234375
-110.90696716308594,76.40650939941406,-262.4331359863281
-113.96160888671875,76.2025146484375,-264.75323486328125
-117.15228271484375,75.13404846191406,-267.1733093261719
-119.16288757324219,73.93804931640625,-270.0133056640625
-121.05198669433594,72.25631713867188,-273.42132568359375
-122.63151550292969,70.43363952636719,-277.0068664550781
-124.78239440917969,67.71923828125,-280.6708679199219
-126.46214294433594,64.8472900390625,-284.0179443359375
-128.0943145751953,61.24354553222656,-287.10150146484375
-129.46624755859375,57.074127197265625,-290.66656494140625
-129.9324493408203,52.96873474121094,-293.665771484375
-130.284912109375,48.099273681640625,-295.56787109375
-130.4046630859375,43.706329345703125,-297.84222412109375
-130.7487335205078,38.58308410644531,-299.49237060546875
-130.73744201660156,33.47001647949219,-300.482177734375
-129.7819366455078,28.192214965820312,-300.6925048828125
-129.7542266845703,22.9298095703125,-301.04522705078125
-129.69613647460938,17.98626708984375,-300.5015869140625
-129.37538146972656,13.362808227539062,-299.4477844238281
-128.99522399902344,8.738296508789062,-298.367919921875
-128.91221618652344,4.8601226806640625,-296.3946533203125
-128.52391052246094,0.9510650634765625,-294.3127136230469
-128.84466552734375,-2.2210845947265625,-292.03631591796875
-129.08200073242188,-5.0891265869140625,-289.4412536621094
-129.1013641357422,-7.60693359375,-287.62774658203125
-128.85655212402344,-9.453994750976562,-285.536865234375
-129.179443359375,-10.717361450195312,-283.8175354003906
-129.9456787109375,-11.436431884765625,-282.281982421875
-130.9485626220703,-12.498703002929688,-280.4752197265625
-132.64198303222656,-12.933670043945312,-278.8382263183594
-134.04812622070312,-13.116989135742188,-276.7777099609375
-136.26683044433594,-12.889312744140625,-274.76019287109375
-138.84683227539062,-12.568893432617188,-272.7065734863281
-141.00796508789062,-11.785064697265625,-271.32220458984375
-143.5762939453125,-10.377670288085938,-269.23187255859375
-145.7526397705078,-8.76873779296875,-267.6043395996094
