"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.895833162E-5,1.303788757E-1,2.526745605E-1,9.863289185E0
1.014395835E-2,1.196012878E-1,2.472857666E-1,9.854906616E0
2.019895834E-2,1.207987976E-1,2.483335876E-1,9.863438873E0
3.025395834E-2,1.191522217E-1,2.511776733E-1,9.857301636E0
4.030895833E-2,1.215472412E-1,2.448907471E-1,9.859097900E0
5.036395835E-2,1.154100037E-1,2.371069336E-1,9.856702881E0
6.041795833E-2,1.273851013E-1,2.453398132E-1,9.859097900E0
7.047295835E-2,1.245410156E-1,2.438429260E-1,9.854607239E0
8.052795834E-2,1.233435059E-1,2.418969727E-1,9.862690430E0
9.058295834E-2,1.269360352E-1,2.372566223E-1,9.849517822E0
1.006379583E-1,1.225950623E-1,2.439926147E-1,9.867929535E0
1.106929583E-1,1.191522217E-1,2.454895020E-1,9.863438873E0
1.207479583E-1,1.225950623E-1,2.478845215E-1,9.852661285E0
1.308029583E-1,1.239422607E-1,2.490820312E-1,9.847122803E0
1.408579584E-1,1.178050232E-1,2.483335876E-1,9.854158173E0
1.509129583E-1,1.219963074E-1,2.520758057E-1,9.864486694E0
1.609679583E-1,1.281335449E-1,2.439926147E-1,9.853858795E0
1.710229584E-1,1.258882141E-1,2.567161560E-1,9.850565643E0
1.810779583E-1,1.261875916E-1,2.471360779E-1,9.857900391E0
1.911329583E-1,1.359173584E-1,2.504292297E-1,9.856253815E0
2.011879583E-1,1.166075134E-1,2.418969727E-1,9.868079224E0
2.112429584E-1,1.136137390E-1,2.393522644E-1,9.859546967E0
2.212979583E-1,1.122665405E-1,2.414479065E-1,9.863438873E0
2.313529583E-1,1.061293030E-1,2.408491516E-1,9.862241364E0
2.414079584E-1,1.146615601E-1,2.436932373E-1,9.858948212E0
2.514629583E-1,1.188528442E-1,2.350112915E-1,9.860894165E0
2.615179583E-1,1.197509766E-1,2.465373230E-1,9.852661285E0
2.715729583E-1,1.175056458E-1,2.447410583E-1,9.863438873E0
2.816269583E-1,1.267863464E-1,2.496807861E-1,9.867630157E0
2.916819583E-1,1.264869690E-1,2.606080627E-1,9.858648834E0
3.017369584E-1,1.354682922E-1,2.514770508E-1,9.856852570E0
3.117919583E-1,1.252894592E-1,2.514770508E-1,9.850565643E0
3.218469583E-1,1.308279419E-1,2.465373230E-1,9.856553192E0
3.319019583E-1,1.317260742E-1,2.498304749E-1,9.864786072E0
3.419569583E-1,1.196012878E-1,2.396516418E-1,9.859397278E0
3.520119583E-1,1.172062683E-1,2.308200073E-1,9.857750702E0
3.620669583E-1,1.167572021E-1,2.345622253E-1,9.858199768E0
3.721219584E-1,1.112187195E-1,2.401007080E-1,9.858948212E0
3.821769583E-1,1.145118713E-1,2.436932373E-1,9.848769379E0
3.922319583E-1,1.206491089E-1,2.514770508E-1,9.854756927E0
4.022869583E-1,1.149609375E-1,2.438429260E-1,9.858499146E0
4.123419583E-1,1.210981750E-1,2.453398132E-1,9.849368134E0
4.223969583E-1,1.251397705E-1,2.483335876E-1,9.855355682E0
4.324519583E-1,1.251397705E-1,2.420466614E-1,9.864786072E0
4.425069584E-1,1.296304321E-1,2.469863892E-1,9.848619690E0
4.525619583E-1,1.266366577E-1,2.465373230E-1,9.858349457E0
4.626169583E-1,1.248403931E-1,2.511776733E-1,9.858349457E0
4.726719583E-1,1.360670471E-1,2.424957275E-1,9.853559418E0
4.827269583E-1,1.299298096E-1,2.402503967E-1,9.867330780E0
4.927809583E-1,1.212478638E-1,2.531236267E-1,9.857451324E0
5.028359584E-1,1.197509766E-1,2.475851440E-1,9.859846344E0
5.128909583E-1,1.187031555E-1,2.478845215E-1,9.851613464E0
5.229459583E-1,1.100212097E-1,2.511776733E-1,9.858199768E0
5.330009583E-1,1.086740112E-1,2.459385681E-1,9.860445099E0
5.430559583E-1,1.113684082E-1,2.417472839E-1,9.867181091E0
5.531109583E-1,1.216969299E-1,2.414479065E-1,9.850266266E0
5.631659583E-1,1.161584473E-1,2.369572449E-1,9.859097900E0
5.732209584E-1,1.218466187E-1,2.417472839E-1,9.859247589E0
5.832759583E-1,1.236428833E-1,2.427951050E-1,9.857601013E0
5.933309583E-1,1.258882141E-1,2.522254944E-1,9.864786072E0
6.033859584E-1,1.290316772E-1,2.532733154E-1,9.854307861E0
6.134409583E-1,1.273851013E-1,2.547702026E-1,9.862241364E0
6.234959583E-1,1.308279419E-1,2.463876343E-1,9.856104126E0
6.335509583E-1,1.206491089E-1,2.448907471E-1,9.853709106E0
6.436059584E-1,1.185534668E-1,2.448907471E-1,9.848320312E0
6.536609583E-1,1.213975525E-1,2.395019531E-1,9.856253815E0
6.637159583E-1,1.161584473E-1,2.409988403E-1,9.865684204E0
6.737709584E-1,1.193019104E-1,2.444416809E-1,9.861792297E0
6.838259583E-1,1.216969299E-1,2.496807861E-1,9.867330780E0
6.938809583E-1,1.202000427E-1,2.481838989E-1,9.862091675E0
