"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.031458335E-3,-4.685256958E-2,1.947450256E-1,-9.788444824E0
1.508445831E-2,-3.906875610E-2,1.954934692E-1,-9.793234863E0
2.514045831E-2,-4.640350342E-2,1.836680603E-1,-9.793833618E0
3.519545833E-2,-3.861968994E-2,1.812730408E-1,-9.788145447E0
4.525045832E-2,-3.891906738E-2,1.899549866E-1,-9.806706848E0
5.530545831E-2,-4.445755005E-2,1.959425354E-1,-9.792187042E0
6.536045833E-2,-3.772155762E-2,2.014810181E-1,-9.793534241E0
7.541645833E-2,-3.996688843E-2,2.005828857E-1,-9.802216187E0
8.547145833E-2,-3.697311401E-2,1.932481384E-1,-9.790989532E0
9.552645832E-2,-3.158432007E-2,2.025288391E-1,-9.804910583E0
1.055814583E-1,-3.353027344E-2,1.968406677E-1,-9.795629883E0
1.156364583E-1,-4.041595459E-2,2.037263489E-1,-9.792636108E0
1.256914583E-1,-3.622467041E-2,2.044747925E-1,-9.790839844E0
1.357464583E-1,-4.460723877E-2,2.032772827E-1,-9.791737976E0
1.458024583E-1,-3.442840576E-2,2.046244812E-1,-9.784552917E0
1.558574583E-1,-3.966751099E-2,1.978884888E-1,-9.799821167E0
1.659124583E-1,-3.577560425E-2,1.959425354E-1,-9.795031128E0
1.759674583E-1,-3.023712158E-2,1.848655701E-1,-9.791737976E0
1.860224583E-1,-3.442840576E-2,1.892065430E-1,-9.798473969E0
1.960774583E-1,-3.547622681E-2,1.763333130E-1,-9.780361633E0
2.061334583E-1,-4.430786133E-2,1.850152588E-1,-9.793983307E0
2.161884583E-1,-4.670288086E-2,1.944456482E-1,-9.788893890E0
2.262434583E-1,-4.400848389E-2,2.010319519E-1,-9.776918793E0
2.362984583E-1,-4.296066284E-2,2.056723022E-1,-9.801168365E0
2.463534583E-1,-4.939727783E-2,1.947450256E-1,-9.783505096E0
2.564093333E-1,-4.415817261E-2,1.978884888E-1,-9.795929260E0
2.664643333E-1,-5.029541016E-2,1.865121460E-1,-9.786498871E0
2.765203333E-1,-4.281097412E-2,1.820214844E-1,-9.785600739E0
