"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.724208342E-3,-4.597060204E0,3.684528351E1,3.986277771E1
1.577920833E-2,-4.519507408E0,3.681211090E1,4.010369873E1
2.583420835E-2,-4.528651237E0,3.678357697E1,4.002844238E1
3.588920835E-2,-4.436991692E0,3.680315399E1,3.974444580E1
4.594520835E-2,-4.596444130E0,3.663452911E1,3.997666931E1
5.600020834E-2,-4.652981758E0,3.652899933E1,4.026119995E1
6.605520836E-2,-4.763321877E0,3.661988068E1,4.047358704E1
7.611020835E-2,-5.042824745E0,3.672449493E1,4.022390747E1
8.616520834E-2,-4.583823204E0,3.658280182E1,4.018077087E1
9.622020833E-2,-4.479372978E0,3.661272430E1,4.008847046E1
1.062754584E-1,-4.670378685E0,3.667180634E1,4.053572083E1
1.163304583E-1,-4.752051353E0,3.677277374E1,4.019651794E1
1.263854583E-1,-4.652371407E0,3.680072784E1,4.010563660E1
1.364404583E-1,-4.533967018E0,3.680478668E1,4.020350647E1
1.464964583E-1,-4.579245567E0,3.684972382E1,4.024911499E1
1.565514583E-1,-4.680584908E0,3.685660553E1,4.015791321E1
1.666064583E-1,-4.804734230E0,3.678188324E1,4.011659241E1
1.766614583E-1,-4.612414360E0,3.660907745E1,4.003648376E1
1.867164584E-1,-4.970215797E0,3.675032806E1,4.026846313E1
1.967714583E-1,-4.579705238E0,3.665961456E1,4.020294189E1
2.068264583E-1,-4.659167290E0,3.675887299E1,4.029318237E1
2.168814584E-1,-4.736592293E0,3.685926056E1,4.033316040E1
2.269364583E-1,-4.666069984E0,3.688520050E1,4.039503479E1
2.369924583E-1,-4.729702950E0,3.685781097E1,3.997776794E1
2.470474583E-1,-4.483635902E0,3.690337372E1,4.014852905E1
2.571024583E-1,-4.481730461E0,3.717888641E1,4.033932495E1
2.671574584E-1,-4.521609306E0,3.701859283E1,4.028115845E1
2.772124583E-1,-4.651288033E0,3.697469330E1,4.016946411E1
2.872674583E-1,-4.957625389E0,3.695592499E1,4.058218384E1
2.973224584E-1,-4.723509789E0,3.692826080E1,4.040177917E1
3.073774583E-1,-4.801121712E0,3.664507294E1,4.052964783E1
3.174324583E-1,-4.721976280E0,3.671096039E1,4.061007690E1
3.274874583E-1,-4.819014549E0,3.689923859E1,4.051252747E1
3.375434583E-1,-5.095789909E0,3.693294525E1,4.055563354E1
3.475984583E-1,-5.070904732E0,3.691585541E1,4.037893677E1
3.576534583E-1,-4.796849251E0,3.669806671E1,4.015066528E1
3.677084583E-1,-4.751315117E0,3.665999603E1,4.042572021E1
3.777634584E-1,-4.764401436E0,3.672859955E1,4.044154358E1
3.878184583E-1,-4.609658241E0,3.644828033E1,4.025656128E1
3.978734583E-1,-4.582055092E0,3.637801361E1,4.010568237E1
4.079284584E-1,-4.591546059E0,3.666089630E1,4.008822632E1
4.179834583E-1,-4.539273262E0,3.658165741E1,4.016952515E1
4.280394583E-1,-4.611069679E0,3.688605499E1,4.018489075E1
4.380944583E-1,-4.646992683E0,3.664244843E1,4.018841553E1
4.481494583E-1,-4.711272240E0,3.684807587E1,4.034696960E1
4.582044584E-1,-4.501957893E0,3.686858368E1,3.990277100E1
4.682594583E-1,-4.627268791E0,3.679358673E1,4.020875549E1
4.783144583E-1,-4.750010490E0,3.699423981E1,4.018528748E1
4.883694584E-1,-4.777642250E0,3.691744232E1,4.043429565E1
4.984244583E-1,-4.579401970E0,3.664978790E1,4.031196594E1
5.084794583E-1,-4.662705421E0,3.680541229E1,4.051249695E1
5.185354583E-1,-4.730067253E0,3.704795074E1,4.049089050E1
5.285904583E-1,-4.620211601E0,3.694164276E1,4.042413330E1
5.386454583E-1,-4.611279488E0,3.684899139E1,4.037466431E1
5.487004583E-1,-4.354296684E0,3.672792816E1,4.012634277E1
5.587554583E-1,-4.653655052E0,3.691419220E1,4.006330872E1
5.688104584E-1,-4.588934898E0,3.675666046E1,4.054736328E1
5.788654583E-1,-4.350316048E0,3.656406403E1,4.055043030E1
5.889204583E-1,-4.511727333E0,3.683429718E1,4.057775879E1
5.989754584E-1,-4.598982811E0,3.679308319E1,4.069757080E1
6.090304583E-1,-4.695643425E0,3.686690521E1,4.101620483E1
6.190864583E-1,-4.594006538E0,3.678462982E1,4.112583923E1
6.291414583E-1,-4.474543571E0,3.677014923E1,4.068498230E1
6.391964583E-1,-4.708323479E0,3.712044525E1,4.071232605E1
6.492514584E-1,-4.474373817E0,3.680405426E1,4.003425598E1
6.593064583E-1,-4.512639046E0,3.684963226E1,4.011929321E1
6.693614583E-1,-4.682694435E0,3.686533356E1,4.052267456E1
6.794164584E-1,-4.662684441E0,3.697853851E1,4.056802368E1
6.894714583E-1,-4.629546165E0,3.696852875E1,4.070489502E1
6.995264583E-1,-4.573264122E0,3.684769440E1,4.045428467E1
7.095824583E-1,-4.850371361E0,3.662215424E1,4.050856018E1
7.196374583E-1,-4.924895287E0,3.661530304E1,4.092059326E1
7.296924583E-1,-4.658642769E0,3.670867157E1,4.101403809E1
7.397474583E-1,-4.597197533E0,3.687047577E1,4.047627258E1
7.498024583E-1,-4.768197060E0,3.675806427E1,4.032865906E1
7.598574584E-1,-4.960474968E0,3.678046417E1,4.035528564E1
7.699124583E-1,-4.731209755E0,3.660024261E1,4.084289551E1
7.799674583E-1,-4.598868370E0,3.661351776E1,4.081620789E1
7.900224584E-1,-4.828829765E0,3.667989349E1,4.093449402E1
8.000784584E-1,-4.697005272E0,3.663727570E1,4.072755432E1
8.101334583E-1,-4.402186394E0,3.666886139E1,4.075645447E1
