"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.704954167E-2,1.921988907E-3,-6.349440082E-5,-5.679787137E-4
2.710554167E-2,-2.443318081E-4,-1.018460491E-3,-1.205539797E-3
3.716054166E-2,2.640137915E-3,1.379183377E-3,4.448210821E-4
4.721654169E-2,3.731878707E-3,2.169581130E-3,4.020347260E-4
5.727154168E-2,3.119884292E-3,-3.542100545E-3,-4.216153175E-3
6.732754168E-2,5.029060994E-4,4.891217104E-4,-3.974746447E-3
7.738254167E-2,1.272027032E-3,-3.098955145E-3,-5.765988491E-3
8.743854167E-2,1.849516411E-4,-1.654841239E-3,-5.767222494E-3
9.749354166E-2,-9.351739427E-4,6.674351753E-4,-2.660378814E-3
1.075496667E-1,-1.456697471E-3,1.531691960E-4,2.591761295E-3
1.176046667E-1,-2.388271037E-3,3.824673477E-4,4.338794854E-3
1.276606667E-1,1.206716872E-3,1.847498235E-3,5.119100679E-3
1.377166667E-1,-2.077493351E-3,9.593716095E-5,3.795509692E-3
1.477716667E-1,5.835646880E-5,-2.649484668E-4,1.542130951E-3
1.578276667E-1,1.137502259E-4,-3.120864276E-4,-3.213475691E-3
1.678826667E-1,5.434708437E-4,5.611693487E-4,-5.661590956E-3
1.779386667E-1,1.549879438E-3,3.300069366E-4,-5.091141909E-3
1.879936667E-1,-9.020980215E-4,1.576150244E-4,-3.893674584E-3
1.980496667E-1,-1.133793034E-3,1.479874481E-3,1.704289578E-3
2.081046667E-1,2.191334206E-4,1.421674388E-4,4.491214640E-3
2.181606667E-1,2.417702926E-4,-9.649086278E-4,7.350384258E-3
2.282156667E-1,-2.492188360E-4,5.630303640E-4,5.487718619E-3
2.382716667E-1,2.019206586E-4,-6.694805925E-4,2.029071562E-3
2.483266667E-1,1.101910020E-3,-8.246370708E-4,-3.251351649E-3
2.583826667E-1,2.100173442E-4,6.819131668E-4,-3.811947070E-3
2.684376667E-1,-3.627788683E-4,1.614527311E-3,-4.193055443E-3
2.784936667E-1,1.996807696E-4,2.597773564E-4,9.543308988E-5
2.885496667E-1,-3.285909770E-4,1.274308888E-3,8.986750618E-5
2.986046667E-1,5.270827096E-4,7.901462959E-4,2.412942704E-3
3.086606667E-1,-5.418011569E-4,-5.943251890E-4,4.643432796E-3
3.187156667E-1,-5.311105633E-5,-5.932599306E-4,2.454887144E-4
3.287716667E-1,-3.839891579E-4,-1.178847859E-3,1.148773357E-3
3.388266667E-1,-1.105705858E-3,-7.167893928E-4,4.723304883E-4
3.488826667E-1,9.026296902E-4,-1.185738802E-4,-3.379252739E-3
3.589376667E-1,-3.157664905E-4,-2.365216613E-3,-4.912434611E-3
3.689936667E-1,-3.460749867E-4,-1.579661155E-3,-2.661085688E-3
3.790486667E-1,1.776997000E-3,4.653802898E-4,2.094254829E-3
3.891046667E-1,2.209559607E-4,-2.368320478E-3,-7.923082449E-4
3.991596667E-1,-5.763944937E-4,-1.124624396E-3,6.348425057E-3
4.092156667E-1,1.522593899E-3,5.886748550E-4,5.260807928E-3
4.192706667E-1,4.914180026E-4,4.352768301E-4,4.915129859E-3
4.293266667E-1,1.368449884E-3,1.552828937E-3,5.686078221E-4
4.393826667E-1,5.692352424E-4,-1.320189214E-3,-5.158253945E-3
4.494376667E-1,-2.634288045E-3,1.461492386E-3,-5.164379254E-3
4.594936667E-1,-6.012310623E-4,-1.795474673E-4,-7.967888378E-3
4.695486667E-1,2.940180013E-3,-3.699149238E-4,-1.887882594E-3
4.796046667E-1,3.468817566E-3,1.423191512E-3,1.703124028E-3
4.896596667E-1,-1.851753681E-3,6.609864067E-5,4.243595060E-3
4.997156667E-1,1.538450364E-3,6.072529359E-4,4.365567584E-3
5.097706667E-1,1.614760957E-3,1.260806341E-3,3.369877581E-3
5.198266667E-1,-9.402757278E-4,6.093971315E-4,2.705950756E-3
5.298816667E-1,-1.849480788E-3,-9.018755518E-3,-2.682626247E-3
5.399376667E-1,-8.252289845E-4,-4.030610621E-2,-2.083681058E-3
5.499926667E-1,1.337056747E-4,-3.675253317E-2,1.837980561E-2
5.600486667E-1,-2.399493009E-3,-1.603580266E-2,5.392049253E-2
5.701036667E-1,1.919669681E-3,-9.917711839E-3,8.434983343E-2
5.801596667E-1,3.998037137E-4,-2.335692290E-3,1.172332168E-1
5.902156667E-1,1.132855192E-3,1.114341663E-3,1.086020842E-1
6.002706667E-1,-9.337577503E-4,2.386000939E-3,3.189771995E-2
6.103266667E-1,-1.651578117E-3,4.575970583E-3,-9.572806209E-2
6.203816667E-1,1.074699918E-3,-5.448167678E-3,-1.984198242E-1
6.304376667E-1,9.993868880E-4,-1.460069325E-2,-4.269574955E-2
6.404926667E-1,-9.649606072E-4,-5.451402627E-3,-4.716639593E-2
6.505486667E-1,9.839353152E-4,1.134104002E-2,-1.719397902E-1
6.606036667E-1,-1.282007433E-4,8.044579066E-3,-2.489693165E-1
6.706596667E-1,4.707971530E-4,2.235435182E-3,-3.240301609E-1
6.807146667E-1,1.876946189E-3,3.062613076E-3,-4.044560492E-1
6.907706667E-1,1.687011681E-3,6.136108655E-3,-4.290635288E-1
7.008256667E-1,8.172233356E-4,7.866631262E-3,-3.962262273E-1
7.108816667E-1,-3.221829422E-3,2.364547551E-2,-4.426046908E-1
