"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.283874986E-3,1.706451416E-2,1.838177490E-1,-9.782008209E0
1.233887498E-2,-3.367996216E-2,2.089654541E-1,-9.783654785E0
2.239387500E-2,-4.760101318E-2,2.221380615E-1,-9.798174591E0
3.244987500E-2,-8.951385498E-2,2.224374390E-1,-9.795180817E0
4.250487499E-2,-1.016386414E-1,2.233355713E-1,-9.790390778E0
5.255987498E-2,-1.023870850E-1,2.089654541E-1,-9.788444824E0
6.261587498E-2,-8.891510010E-2,1.863624573E-1,-9.785151672E0
7.267087500E-2,-6.676116943E-2,1.637594604E-1,-9.784103851E0
8.272587499E-2,-4.071533203E-2,1.460961914E-1,-9.803264008E0
9.278187499E-2,-2.769241333E-2,1.402583313E-1,-9.802515564E0
1.028368750E-1,-1.152603149E-2,1.401086426E-1,-9.768985291E0
1.128928750E-1,1.047821045E-2,1.496887207E-1,-9.792037354E0
1.229478750E-1,1.781295776E-2,1.603166199E-1,-9.781110077E0
1.330028750E-1,1.751358032E-2,1.775308228E-1,-9.772727509E0
1.430588750E-1,2.649490356E-2,1.972897339E-1,-9.788594513E0
1.531138750E-1,2.844085693E-2,2.094145203E-1,-9.794731750E0
1.631688750E-1,4.490661621E-3,2.145039368E-1,-9.797126770E0
1.732248750E-1,-3.412902832E-2,2.145039368E-1,-9.790390778E0
1.832798750E-1,-7.095245361E-2,2.041754150E-1,-9.773625641E0
1.933348750E-1,-1.043330383E-1,1.824705505E-1,-9.807604980E0
2.033908750E-1,-1.166075134E-1,1.740879822E-1,-9.788295135E0
2.134458750E-1,-8.936416626E-2,1.764830017E-1,-9.797426147E0
2.235018750E-1,-3.128494263E-2,1.598675537E-1,-9.794582062E0
2.335568750E-1,5.733078003E-2,1.760339355E-1,-9.791737976E0
2.436118750E-1,1.487905884E-1,2.128573608E-1,-9.852212219E0
2.536678750E-1,1.580712891E-1,2.832110596E-1,-9.704469452E0
2.637228750E-1,-2.531236267E-1,3.487747192E-1,-9.763746185E0
2.737778750E-1,-3.109034729E-1,3.625460815E-1,-9.834099884E0
2.838338750E-1,-2.755769348E-1,2.665956116E-1,-9.803713074E0
2.938888750E-1,-2.389031982E-1,1.600172424E-1,-9.760453033E0
3.039438750E-1,-2.381547546E-1,1.636097717E-1,-9.796528015E0
3.139998750E-1,-6.152206421E-2,1.158590698E-1,-9.772428131E0
3.240548750E-1,6.616241455E-2,3.757186890E-2,-9.787397003E0
3.341098750E-1,1.465452576E-1,4.385879517E-2,-9.754615173E0
3.441658750E-1,1.525328064E-1,1.028361511E-1,-9.798773346E0
3.542208750E-1,6.631210327E-2,1.538800049E-1,-9.805359650E0
3.642768750E-1,-2.529739380E-2,2.086660767E-1,-9.746082916E0
3.743318750E-1,-6.855743408E-2,2.670446777E-1,-9.806108093E0
3.843868750E-1,-8.217910767E-2,2.859054565E-1,-9.799671478E0
3.944428750E-1,-3.218307495E-2,2.555186462E-1,-9.746981049E0
4.044978750E-1,5.194198608E-2,2.267784119E-1,-9.824220428E0
4.145528750E-1,1.013392639E-1,1.907034302E-1,-9.769883423E0
4.246088750E-1,6.930587769E-2,1.471440125E-1,-9.751322021E0
4.346638750E-1,-2.589614868E-2,1.351689148E-1,-9.795480194E0
4.447188750E-1,-1.453477478E-1,1.493893433E-1,-9.773475952E0
4.547748750E-1,-2.631527710E-1,1.622625732E-1,-9.796378326E0
4.648298750E-1,-3.115022278E-1,1.892065430E-1,-9.788145447E0
4.748848750E-1,-2.552192688E-1,2.155517578E-1,-9.773326263E0
4.849408750E-1,-1.222956848E-1,2.198927307E-1,-9.812993774E0
4.949958750E-1,3.787124634E-2,1.981878662E-1,-9.771979065E0
5.050518750E-1,1.944456482E-1,1.880090332E-1,-9.783505096E0
5.151068750E-1,2.567161560E-1,1.766326904E-1,-9.786049805E0
5.251618750E-1,2.227368164E-1,1.610650635E-1,-9.758806458E0
5.352178750E-1,9.834548950E-2,1.588197327E-1,-9.788594513E0
5.452728750E-1,-6.676116943E-2,1.739382935E-1,-9.809700623E0
5.553278750E-1,-2.068698120E-1,1.920506287E-1,-9.771380310E0
5.653838750E-1,-2.594105530E-1,2.043251038E-1,-9.780960388E0
5.754388750E-1,-2.219883728E-1,2.080673218E-1,-9.792636108E0
5.854938750E-1,-1.359173584E-1,1.933978271E-1,-9.776020660E0
5.955498750E-1,-1.347198486E-2,1.633103943E-1,-9.771230621E0
6.056048750E-1,6.646179199E-2,1.429527283E-1,-9.812694397E0
6.156608750E-1,1.049317932E-1,1.264869690E-1,-9.740544434E0
6.257158750E-1,7.813751221E-2,1.166075134E-1,-9.748028870E0
6.357708750E-1,-2.245330811E-2,1.270857239E-1,-9.858349457E0
6.458268750E-1,-1.561253357E-1,1.773811340E-1,-9.766889648E0
6.558818750E-1,-2.323168945E-1,2.495310974E-1,-9.803862762E0
6.659368750E-1,-2.228865051E-1,3.140469360E-1,-9.834548950E0
6.759928750E-1,-1.255888367E-1,3.561094666E-1,-9.737700348E0
6.860478750E-1,2.185455322E-2,3.571572876E-1,-9.820627899E0
6.961028750E-1,1.239422607E-1,3.161425781E-1,-9.792037354E0
7.061588750E-1,1.396595764E-1,2.649490356E-1,-9.744436340E0
7.162138750E-1,6.496490479E-2,1.860630798E-1,-9.814939728E0
7.262688750E-1,-6.526428223E-2,1.035845947E-1,-9.745484161E0
7.363248750E-1,-1.978884888E-1,3.263214111E-2,-9.778715057E0
7.463798750E-1,-2.508782959E-1,4.640350342E-3,-9.815837860E0
7.564358750E-1,-2.255809021E-1,3.143463135E-3,-9.767787781E0
7.664908750E-1,-1.014889526E-1,7.379653931E-2,-9.788893890E0
7.765458750E-1,4.879852295E-2,1.577719116E-1,-9.793833618E0
7.866018750E-1,1.776805115E-1,2.478845215E-1,-9.755812683E0
7.966568750E-1,2.260299683E-1,3.209326172E-1,-9.807754669E0
8.067118750E-1,1.782792664E-1,3.511697388E-1,-9.766590271E0
8.167678750E-1,3.787124634E-2,3.345542908E-1,-9.770631866E0
8.268228750E-1,-1.092727661E-1,2.760260010E-1,-9.795929260E0
8.368778750E-1,-2.201921082E-1,1.808239746E-1,-9.788744202E0
8.469338750E-1,-2.972817993E-1,9.804611206E-2,-9.796078949E0
8.569888750E-1,-6.500981140E-1,9.714797974E-2,-9.809251556E0
8.670438750E-1,-7.713459778E-1,1.646575928E-1,-9.777966614E0
8.770998750E-1,-7.319778442E-2,3.237767029E-1,-9.803862762E0
8.871548750E-1,2.278262329E-1,3.954776001E-1,-9.760003967E0
8.972108750E-1,-5.164260864E-2,3.323089600E-1,-9.781259766E0
9.072658750E-1,3.492237854E-1,3.800596619E-1,-9.786798248E0
9.173208750E-1,5.519023132E-1,2.237846375E-1,-9.766290894E0
9.273768750E-1,3.106040955E-1,-2.320175171E-2,-9.796228638E0
9.374318750E-1,-1.281335449E-1,-3.113525391E-2,-9.800270233E0
9.474868750E-1,-2.082170105E-1,1.332229614E-1,-9.774823151E0
9.575428750E-1,-1.383123779E-1,5.987548828E-3,-9.789342957E0
9.675978750E-1,-9.505233765E-2,-7.888595581E-2,-9.780810699E0
9.776528750E-1,-1.002914429E-1,-2.095642090E-3,-9.789941711E0
9.877088750E-1,-1.167572021E-1,1.338217163E-1,-9.785301361E0
9.977638750E-1,-1.127156067E-1,4.131408691E-1,-9.780810699E0
1.007819875E0,-1.058299255E-1,4.191284180E-1,-9.796827393E0
1.017874875E0,-2.694396973E-3,2.266287231E-1,-9.786798248E0
1.027929875E0,-1.038839722E-1,1.225950623E-1,-9.781259766E0
1.037985875E0,-1.761836243E-1,-5.508544922E-2,-9.801767120E0
1.048040875E0,-1.577719116E-1,-1.088237000E-1,-9.775421906E0
1.058095875E0,1.766326904E-1,2.158511353E-1,-9.780960388E0
1.068151875E0,3.980223083E-1,6.132746887E-1,-9.793833618E0
1.078206875E0,3.285667419E-1,3.222798157E-1,-9.771829376E0
1.088261875E0,1.895059204E-1,6.661148071E-2,-9.794582062E0
