"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.612500010E-5,-3.936813354E-2,1.910028076E-1,-9.799671478E0
1.012112500E-2,-3.562591553E-2,1.902543640E-1,-9.772727509E0
2.017612500E-2,-3.278182983E-2,1.865121460E-1,-9.819131012E0
3.023112500E-2,-6.900650024E-2,1.916015625E-1,-9.809700623E0
4.028612500E-2,-8.562194824E-2,1.793270874E-1,-9.774823151E0
5.034112500E-2,-1.101708984E-1,1.698966980E-1,-9.789193268E0
6.039612500E-2,-8.397537231E-2,1.466949463E-1,-9.796078949E0
7.045212500E-2,-4.849914551E-2,1.082249451E-1,-9.761650543E0
8.050712500E-2,-3.622467041E-2,9.340576172E-2,-9.794132996E0
9.056212500E-2,-2.050735474E-2,1.215472412E-1,-9.799521790E0
1.006171250E-1,-9.430389404E-3,1.694476318E-1,-9.782008209E0
1.106721250E-1,-2.110610962E-2,2.176473999E-1,-9.794132996E0
1.207271250E-1,-4.071533203E-2,2.601589966E-1,-9.778565369E0
1.307821250E-1,-6.107299805E-2,2.770738220E-1,-9.777218170E0
1.408371250E-1,-6.511459351E-2,2.773731995E-1,-9.804012451E0
1.508921250E-1,-5.748046875E-2,2.507286072E-1,-9.777068481E0
1.609481250E-1,-4.011657715E-2,2.095642090E-1,-9.791887665E0
1.710031250E-1,1.422042847E-2,1.520837402E-1,-9.785001984E0
1.810581250E-1,-3.861968994E-2,1.092727661E-1,-9.823322296E0
1.911131250E-1,-4.462220764E-1,1.826202393E-1,-9.804760895E0
2.011681250E-1,-4.746629333E-1,2.200424194E-1,-9.755363617E0
2.112231250E-1,-3.893403625E-1,2.092648315E-1,-9.806706848E0
2.212781250E-1,-2.516267395E-1,1.920506287E-1,-9.790390778E0
2.313331250E-1,-6.092330933E-2,1.853146362E-1,-9.752669220E0
2.413891250E-1,9.999206543E-2,1.582209778E-1,-9.827214203E0
2.514441250E-1,1.824705505E-1,1.540296936E-1,-9.743687897E0
2.614991250E-1,1.860630798E-1,1.752854919E-1,-9.758956146E0
2.715541250E-1,1.167572021E-1,1.929487610E-1,-9.820478210E0
2.816091250E-1,1.811233521E-2,1.992356873E-1,-9.758207703E0
2.916641250E-1,-6.047424316E-2,2.227368164E-1,-9.773925018E0
3.017191250E-1,-8.307723999E-2,2.290237427E-1,-9.814490662E0
