"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.315483333E-2,-3.422988892E0,3.890190125E1,4.110935974E1
2.320983333E-2,-3.353027344E0,3.890843964E1,4.095677185E1
3.326483333E-2,-3.445074081E0,3.892982483E1,4.102671814E1
4.331983333E-2,-3.521034241E0,3.883160400E1,4.140396118E1
5.337483333E-2,-3.309421539E0,3.888168335E1,4.146115112E1
6.342983333E-2,-3.408426285E0,3.888113403E1,4.126338196E1
7.348583333E-2,-3.425088882E0,3.870988464E1,4.118669128E1
8.354083333E-2,-3.200201035E0,3.876409149E1,4.139881897E1
9.359583333E-2,-3.111307144E0,3.895248413E1,4.128718567E1
1.036508333E-1,-2.991758347E0,3.877574158E1,4.117617798E1
1.137058333E-1,-3.155893326E0,3.880572510E1,4.127420044E1
1.237608333E-1,-3.372077942E0,3.906981659E1,4.105052185E1
1.338158333E-1,-3.241647720E0,3.894992828E1,4.098966980E1
1.438708333E-1,-3.104972839E0,3.898476410E1,4.087419128E1
1.539268333E-1,-3.277385712E0,3.892860413E1,4.108041382E1
1.639818333E-1,-3.277900696E0,3.894828796E1,4.111463928E1
1.740368333E-1,-3.155242920E0,3.897813416E1,4.123274231E1
1.840918333E-1,-3.305959702E0,3.884679413E1,4.088082886E1
1.941468333E-1,-3.291709900E0,3.898413086E1,4.084701538E1
2.042018333E-1,-3.243183136E0,3.891429138E1,4.106230164E1
2.142568333E-1,-3.297138214E0,3.872745514E1,4.112257385E1
2.243118333E-1,-3.224794388E0,3.884208679E1,4.089099121E1
2.343678333E-1,-3.264713287E0,3.874992371E1,4.082838440E1
2.444228333E-1,-3.200677872E0,3.875122070E1,4.125421143E1
2.544778333E-1,-3.153743744E0,3.886961365E1,4.101687622E1
2.645328333E-1,-3.176145554E0,3.888203430E1,4.126785278E1
2.745878333E-1,-3.292041779E0,3.883300781E1,4.149232483E1
2.846428333E-1,-3.029607773E0,3.886178589E1,4.122262573E1
2.946978333E-1,-2.980449677E0,3.870103455E1,4.130583191E1
3.047538333E-1,-3.049943924E0,3.884537506E1,4.141267395E1
3.148088333E-1,-3.055641174E0,3.882183838E1,4.156410217E1
3.248635417E-1,-3.113544464E0,3.887287140E1,4.140258789E1
3.349185417E-1,-3.044586182E0,3.870559692E1,4.096556091E1
3.449735417E-1,-3.241739273E0,3.869971466E1,4.141462708E1
3.550285417E-1,-3.172372818E0,3.886810303E1,4.147959900E1
3.650835417E-1,-3.126028061E0,3.852111816E1,4.124975586E1
3.751385417E-1,-3.108427048E0,3.870058441E1,4.147192383E1
3.851945417E-1,-3.062864304E0,3.881003571E1,4.114167786E1
3.952495417E-1,-3.127946854E0,3.897458649E1,4.105371094E1
4.053045417E-1,-3.290931702E0,3.884833527E1,4.150028992E1
4.153595417E-1,-3.151540756E0,3.902740479E1,4.129023743E1
4.254145417E-1,-3.026679993E0,3.894304657E1,4.156825256E1
4.354695417E-1,-3.133268356E0,3.890338135E1,4.140487671E1
4.455245417E-1,-3.223325729E0,3.887893677E1,4.115126038E1
4.555795417E-1,-3.028978348E0,3.878705597E1,4.074047852E1
4.656355417E-1,-2.941659927E0,3.868844604E1,4.092956543E1
4.756905417E-1,-3.287427902E0,3.898413849E1,4.078298950E1
4.857455417E-1,-3.135391235E0,3.893025970E1,4.096267700E1
4.958005417E-1,-3.196105957E0,3.893024445E1,4.118000793E1
5.058555417E-1,-3.269636154E0,3.907228851E1,4.111178589E1
5.159105417E-1,-3.202569962E0,3.897613525E1,4.120783997E1
5.259655417E-1,-3.189746857E0,3.893196106E1,4.143164062E1
5.360205417E-1,-3.512792587E0,3.900568390E1,4.138691711E1
5.460765417E-1,-3.394262314E0,3.893915558E1,4.169171143E1
5.561315417E-1,-3.183950424E0,3.877899933E1,4.132978821E1
5.661865417E-1,-3.245555878E0,3.857567596E1,4.135217285E1
5.762415417E-1,-3.372041702E0,3.868269348E1,4.088592529E1
5.862965417E-1,-3.230766296E0,3.865697479E1,4.096925354E1
5.963515417E-1,-3.151870728E0,3.850283813E1,4.110694885E1
6.064065417E-1,-3.072872162E0,3.872994232E1,4.101921082E1
6.164615417E-1,-2.978899002E0,3.885923767E1,4.095552063E1
6.265175417E-1,-2.945844650E0,3.871006775E1,4.093977356E1
6.365725417E-1,-3.222478867E0,3.873168945E1,4.113922119E1
6.466275417E-1,-3.071561813E0,3.878414154E1,4.109742737E1
6.566825417E-1,-3.439661026E0,3.898859406E1,4.094299316E1
6.667375417E-1,-3.155096054E0,3.889325714E1,4.086903381E1
6.767925417E-1,-2.908653259E0,3.894090271E1,4.080296326E1
6.868475417E-1,-3.091960907E0,3.890458679E1,4.098992920E1
6.969025417E-1,-3.220029831E0,3.883168793E1,4.124414062E1
7.069585417E-1,-3.155309677E0,3.904990387E1,4.111630249E1
7.170135417E-1,-3.098411560E0,3.902371979E1,4.102200317E1
7.270685417E-1,-3.466045380E0,3.901441193E1,4.113363647E1
7.371235417E-1,-3.228855133E0,3.885866547E1,4.124618530E1
7.471785417E-1,-3.114812851E0,3.897065735E1,4.116207886E1
7.572335417E-1,-3.159957886E0,3.879293060E1,4.126248169E1
7.672885417E-1,-3.132776260E0,3.877305603E1,4.123744202E1
7.773435417E-1,-3.210098267E0,3.854336548E1,4.115885925E1
7.873995417E-1,-3.142200470E0,3.867265320E1,4.111582947E1
7.974545417E-1,-3.223478317E0,3.876245117E1,4.102978516E1
8.075095417E-1,-3.143148422E0,3.898795319E1,4.084976196E1
8.175645417E-1,-2.996028900E0,3.893118286E1,4.099787903E1
8.276195417E-1,-3.211994171E0,3.882255554E1,4.128308105E1
8.376745417E-1,-3.108606339E0,3.882318115E1,4.105532837E1
8.477295417E-1,-3.296770096E0,3.869905853E1,4.138639832E1
8.577855417E-1,-3.523897171E0,3.884905243E1,4.117271423E1
8.678405417E-1,-3.351816177E0,3.879073334E1,4.104339600E1
8.778955417E-1,-3.331844330E0,3.875162506E1,4.109645081E1
8.879505417E-1,-3.176359177E0,3.871283722E1,4.116667175E1
8.980055417E-1,-3.189601898E0,3.857272339E1,4.133569336E1
9.080605417E-1,-3.355680466E0,3.878882599E1,4.168734741E1
9.181155417E-1,-3.135538101E0,3.868998718E1,4.134858704E1
9.281705417E-1,-3.271587372E0,3.871038818E1,4.093057251E1
9.382265417E-1,-3.214401245E0,3.873014832E1,4.114276123E1
9.482815417E-1,-3.284492493E0,3.875662994E1,4.111685181E1
9.583365417E-1,-3.142601013E0,3.869818878E1,4.107487488E1
9.683915417E-1,-2.910314560E0,3.865695190E1,4.137562561E1
9.784465417E-1,-2.882780075E0,3.902541351E1,4.146778870E1
9.885015417E-1,-2.929010391E0,3.895510864E1,4.132348633E1
9.985565417E-1,-3.086488724E0,3.908124542E1,4.129913330E1
1.008611542E0,-2.927659988E0,3.902403259E1,4.142031860E1
1.018667542E0,-3.336866379E0,3.908505249E1,4.125445557E1
1.028722542E0,-3.330995560E0,3.902729797E1,4.131799316E1
1.038777542E0,-3.273401260E0,3.922734070E1,4.124928284E1
1.048832542E0,-3.548858643E0,3.930369568E1,4.099934387E1
1.058887542E0,-3.366081238E0,3.959624481E1,4.110618591E1
1.068942542E0,-3.504741669E0,3.982760620E1,4.045301819E1
1.078997542E0,-3.618139267E0,4.012274170E1,4.053854370E1
1.089052542E0,-4.220174789E0,4.034466553E1,4.028550720E1
1.099108542E0,-4.605680466E0,4.044207764E1,3.980616760E1
1.109163542E0,-5.353569031E0,4.092675018E1,3.928170776E1
