"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.118816667E-2,-1.114870072E-3,-9.877741104E-4,2.597405110E-3
2.124416667E-2,1.735727768E-3,-8.519137045E-4,9.982809424E-4
3.129916667E-2,1.239826088E-4,-1.040998148E-3,-1.582322177E-3
4.135516667E-2,-1.844328130E-3,1.207266541E-4,-1.760656014E-4
5.141116667E-2,-5.245450884E-3,4.046196118E-4,-6.511732936E-4
6.146616667E-2,-1.305666519E-3,3.369731130E-4,-1.853321679E-3
7.152216667E-2,1.534594921E-3,-8.507967577E-4,6.180917844E-4
8.157816667E-2,-9.259338840E-4,-2.329160925E-4,-1.238441560E-3
9.163416667E-2,1.718210988E-4,8.227609796E-4,7.717125118E-4
1.016891667E-1,1.373424660E-3,-5.339878844E-4,9.462684393E-4
1.117451667E-1,2.844821196E-3,2.540414571E-4,5.103088915E-4
1.218011667E-1,-9.638401098E-4,-1.614302018E-4,4.291055724E-3
1.318561667E-1,-4.626332084E-4,2.535286825E-3,3.256416880E-3
1.419121667E-1,-2.392375609E-5,1.787927351E-3,5.030344706E-3
1.519681667E-1,5.489222240E-4,-9.471391095E-4,5.732354242E-3
1.620234167E-1,8.613379032E-5,-2.108052140E-3,1.087490469E-3
1.720794167E-1,6.600449560E-4,3.156909079E-4,1.543423161E-3
1.821354167E-1,7.845616201E-4,-1.291840221E-3,7.832446136E-4
1.921914167E-1,-3.254439216E-4,1.390229329E-3,-1.440681517E-4
2.022464167E-1,2.907713642E-4,-1.157291816E-3,-1.487077679E-3
2.123024167E-1,2.460714895E-3,-9.402441792E-4,8.016428910E-4
2.223584167E-1,7.878038741E-5,-1.046390971E-3,2.053332515E-3
2.324134167E-1,1.708635013E-3,-1.397395623E-3,1.273825765E-3
2.424694167E-1,1.991628524E-4,1.690840581E-3,3.492301330E-4
2.525254167E-1,-3.265451232E-4,-1.327852486E-3,-2.486496232E-4
2.625804167E-1,1.343977638E-3,1.686675940E-3,-3.132726997E-4
2.726364167E-1,9.077518480E-4,6.661526859E-4,-3.590788692E-4
2.826924167E-1,9.488493088E-4,9.042142192E-4,-1.269269735E-3
2.927484167E-1,-2.225638833E-3,-8.188510546E-4,-1.878601033E-3
3.028034167E-1,9.025199106E-4,4.269274359E-5,-5.869888701E-4
3.128594167E-1,-4.346532805E-4,6.133486750E-5,2.298812382E-3
3.229154167E-1,-7.078626659E-4,2.660023456E-4,-1.376175787E-3
3.329704167E-1,-2.234336280E-4,-8.141757571E-4,7.807184011E-4
3.430264167E-1,-1.776556892E-4,-3.605388047E-4,1.335581765E-3
3.530824167E-1,1.013043569E-3,-1.374404179E-3,4.812399857E-4
3.631374167E-1,5.079349503E-4,-1.182984561E-3,-2.236482687E-4
3.731934167E-1,2.546683536E-4,-8.258546004E-4,-6.947615184E-4
3.832494167E-1,-7.947434206E-4,1.071639344E-4,-6.899917498E-4
3.933054167E-1,-1.387728844E-6,1.284547499E-3,6.221476942E-4
4.033604167E-1,1.567566418E-3,-1.891103602E-4,-1.749125775E-3
4.134164167E-1,2.010985190E-4,1.085212221E-3,8.173626848E-4
4.234724167E-1,1.326923084E-4,6.805338198E-4,2.148594242E-3
4.335274167E-1,-1.494232798E-3,-1.339740120E-3,3.164589871E-3
4.435834167E-1,1.848797314E-3,9.068782674E-6,3.739556763E-3
4.536394167E-1,-5.781413638E-4,4.635304504E-5,3.710794728E-3
4.636944167E-1,1.575913513E-3,6.622971268E-4,2.072063275E-3
4.737504167E-1,6.999997422E-4,-2.397142351E-3,-7.602088153E-4
4.838064167E-1,1.961666567E-4,1.964633819E-3,-2.427636180E-3
4.938624167E-1,1.152065524E-4,1.753178774E-3,-3.379982663E-3
5.039174167E-1,-3.234922769E-4,-1.086283941E-3,-2.641396131E-3
5.139734167E-1,7.209994947E-4,-1.490285504E-3,-8.088750765E-4
5.240294167E-1,-6.526149809E-4,-2.609831747E-3,-1.539421733E-3
5.340844167E-1,-1.758625847E-3,-3.828339686E-5,1.468884759E-3
5.441404167E-1,-1.612828346E-3,1.830469468E-3,5.484567955E-4
5.541964167E-1,1.070306520E-3,-9.208421689E-4,1.710867509E-4
5.642514167E-1,-2.083166502E-3,1.868599909E-3,1.872393303E-3
5.743074167E-1,2.747541294E-3,-8.448949084E-4,1.453328878E-4
5.843634167E-1,2.716033952E-3,-9.925282211E-5,-1.927305479E-3
5.944194167E-1,-1.150609460E-3,-1.422044937E-3,-4.303427413E-4
6.044744167E-1,7.018292090E-4,8.676995058E-4,-2.501982730E-3
6.145304167E-1,-4.214921792E-4,-1.226344029E-3,-2.464698628E-3
6.245864167E-1,-1.538006589E-3,7.213058416E-4,-1.820702571E-3
6.346414167E-1,2.772040316E-4,-5.604735343E-4,-2.635521814E-4
6.446974167E-1,2.176458074E-4,3.630607680E-4,2.946183085E-4
6.547534167E-1,-2.369881608E-3,-5.770351272E-4,2.085859887E-3
6.648084167E-1,4.708122869E-4,1.646859455E-4,1.947645098E-3
6.748644167E-1,-2.395814285E-3,-3.341241390E-4,3.060726449E-4
6.849204167E-1,4.836719600E-4,2.270580444E-5,5.034776405E-5
6.949754167E-1,-1.315559610E-3,-2.621280495E-3,1.576605253E-3
7.050314167E-1,7.661461132E-4,2.486182842E-3,-1.002132427E-3
7.150874167E-1,1.403973205E-3,6.456722040E-4,-8.367500268E-4
7.251434167E-1,1.861425408E-4,-5.047936924E-3,-1.062054653E-3
7.351984167E-1,-1.783531508E-3,8.208713261E-4,1.113481820E-3
7.452544167E-1,-3.073637839E-3,-6.433430826E-4,-6.265081465E-4
