"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.135833333E-3,1.862445831E1,-1.549388123E1,5.000277710E1
1.919183333E-2,1.885515594E1,-1.548695374E1,5.012988281E1
2.924683333E-2,1.877115059E1,-1.552609253E1,4.999578857E1
3.930283333E-2,1.867881584E1,-1.570191956E1,5.009230042E1
4.935783333E-2,1.890738106E1,-1.558364105E1,5.017424011E1
5.941383333E-2,1.900353241E1,-1.554782104E1,4.994044495E1
6.946883333E-2,1.887073898E1,-1.544213104E1,4.984019470E1
7.952383333E-2,1.867816734E1,-1.546984100E1,4.978820801E1
8.957983333E-2,1.895284843E1,-1.572051239E1,4.974256897E1
9.963483333E-2,1.896807289E1,-1.570525360E1,4.989125061E1
1.096908333E-1,1.872389221E1,-1.565884399E1,4.990345764E1
1.197458333E-1,1.856893349E1,-1.580713654E1,4.974488831E1
1.298018333E-1,1.884182167E1,-1.585227203E1,4.972491455E1
1.398568333E-1,1.889925957E1,-1.572586823E1,4.974702454E1
1.499128333E-1,1.910943222E1,-1.571661377E1,4.949327087E1
1.599678333E-1,1.889351082E1,-1.555035400E1,4.956422424E1
1.700228333E-1,1.890898323E1,-1.555557251E1,4.986968994E1
1.800788333E-1,1.883187675E1,-1.547468567E1,5.013272095E1
1.901338333E-1,1.880063057E1,-1.546218872E1,4.983241272E1
2.001898333E-1,1.857803535E1,-1.549127197E1,4.982820129E1
2.102448333E-1,1.894907379E1,-1.575151062E1,4.986047363E1
2.203008333E-1,1.898086166E1,-1.573303223E1,4.991377258E1
2.303558333E-1,1.875425339E1,-1.580311584E1,4.977726746E1
2.404118333E-1,1.879797935E1,-1.567851257E1,4.993319702E1
2.504668333E-1,1.871581650E1,-1.542719269E1,4.981289673E1
2.605218333E-1,1.880785751E1,-1.534706116E1,5.012228394E1
2.705778333E-1,1.892243958E1,-1.536247253E1,4.990866089E1
2.806328333E-1,1.895681953E1,-1.532591248E1,4.980616760E1
2.906888333E-1,1.884206390E1,-1.543168640E1,4.983378601E1
3.007438333E-1,1.885245514E1,-1.529054260E1,5.004318237E1
3.107998333E-1,1.860924721E1,-1.528591156E1,4.969622803E1
3.208548333E-1,1.863147163E1,-1.549102020E1,4.950196838E1
3.309098333E-1,1.874347305E1,-1.534943390E1,4.965364075E1
3.409658333E-1,1.874650955E1,-1.537272644E1,4.971064758E1
3.510208333E-1,1.871634102E1,-1.547332764E1,4.963520813E1
3.610768333E-1,1.873896217E1,-1.546152496E1,4.988868713E1
3.711318333E-1,1.889874840E1,-1.543246460E1,4.978150940E1
3.811878333E-1,1.877044296E1,-1.548030853E1,4.959934998E1
3.912428333E-1,1.873258400E1,-1.513935089E1,4.976707458E1
4.012988333E-1,1.857737923E1,-1.529254913E1,4.949478149E1
4.113538333E-1,1.855239677E1,-1.540613556E1,4.990464783E1
4.214088333E-1,1.884093475E1,-1.549328613E1,4.991793823E1
4.314648333E-1,1.870413589E1,-1.540063477E1,4.969964600E1
4.415198333E-1,1.885103607E1,-1.544864655E1,4.977256775E1
4.515758333E-1,1.885140800E1,-1.530413818E1,4.969435120E1
4.616308333E-1,1.872963524E1,-1.530625916E1,4.980938721E1
4.716868333E-1,1.869998932E1,-1.534277344E1,4.986122131E1
4.817418333E-1,1.888026619E1,-1.551913452E1,4.993542480E1
4.917968333E-1,1.890427399E1,-1.538653564E1,4.987757874E1
5.018528333E-1,1.870179367E1,-1.530011749E1,5.028372192E1
5.119078333E-1,1.882605934E1,-1.533367920E1,5.035211182E1
5.219638333E-1,1.892728233E1,-1.560980988E1,5.009643555E1
5.320188333E-1,1.921246338E1,-1.555065918E1,5.024249268E1
5.420748333E-1,1.877551270E1,-1.547200775E1,5.031089783E1
5.521298333E-1,1.875796509E1,-1.545397186E1,5.018864441E1
5.621858333E-1,1.879886246E1,-1.541349792E1,5.034703064E1
5.722408333E-1,1.893151665E1,-1.553862000E1,5.013363647E1
5.822958333E-1,1.864661598E1,-1.579348755E1,5.024565125E1
5.923518333E-1,1.840057945E1,-1.539253235E1,5.000112915E1
6.024068333E-1,1.812621880E1,-1.534772491E1,4.999427795E1
6.124628333E-1,1.807440758E1,-1.541572571E1,5.017819214E1
6.225180833E-1,1.807131958E1,-1.526936340E1,5.021775818E1
6.325740833E-1,1.834067726E1,-1.522798157E1,4.994857788E1
6.426290833E-1,1.818837547E1,-1.510839844E1,4.952960205E1
6.526850833E-1,1.817959976E1,-1.527166748E1,4.984179688E1
6.627400833E-1,1.810864830E1,-1.532609558E1,4.973646545E1
6.727950833E-1,1.831212425E1,-1.545619202E1,4.966888428E1
6.828510833E-1,1.820465851E1,-1.541826630E1,4.968385315E1
6.929060833E-1,1.804931259E1,-1.538472748E1,4.959678650E1
7.029620833E-1,1.782047844E1,-1.551573944E1,4.972563171E1
7.130170833E-1,1.765642929E1,-1.551417542E1,4.973225403E1
7.230730833E-1,1.751094818E1,-1.516088104E1,4.973548889E1
7.331280833E-1,1.746279716E1,-1.504709625E1,4.951722717E1
7.431830833E-1,1.740997124E1,-1.503292084E1,4.923590088E1
7.532390833E-1,1.678693771E1,-1.483721161E1,4.879776001E1
7.632940833E-1,1.633853912E1,-1.452835846E1,4.834416199E1
7.733500833E-1,1.536863136E1,-1.418965912E1,4.788128662E1
7.834050833E-1,1.482983780E1,-1.385845947E1,4.746160889E1
7.934610833E-1,1.361183357E1,-1.362396240E1,4.758570862E1
8.035160833E-1,1.220363045E1,-1.342530060E1,4.701605225E1
8.135720833E-1,1.109639359E1,-1.295550537E1,4.667660522E1
8.236270833E-1,1.029122162E1,-1.278772736E1,4.591520691E1
8.336820833E-1,9.711593628E0,-1.230584717E1,4.544642639E1
8.437380833E-1,9.283081055E0,-1.219876862E1,4.458554077E1
8.537930833E-1,8.572694778E0,-1.200033569E1,4.379582214E1
8.638490833E-1,7.618007660E0,-1.158972931E1,4.333662415E1
8.739040833E-1,6.473419189E0,-1.184587097E1,4.276348877E1
8.839600833E-1,5.091197968E0,-1.182744598E1,4.249909973E1
8.940150833E-1,3.724056244E0,-1.189687347E1,4.184295654E1
9.040700833E-1,2.237438202E0,-1.230455017E1,4.116261292E1
9.141260833E-1,5.626182556E-1,-1.238274384E1,4.034046936E1
9.241810833E-1,-1.300220490E0,-1.289118195E1,3.951219177E1
9.342370833E-1,-2.893424988E0,-1.337161255E1,3.855009460E1
9.442920833E-1,-4.562709808E0,-1.378018951E1,3.765937805E1
9.543480833E-1,-6.122077942E0,-1.373039246E1,3.661549377E1
9.644030833E-1,-7.539279938E0,-1.404374695E1,3.503695679E1
9.744580833E-1,-8.996360779E0,-1.440111542E1,3.346806335E1
9.845140833E-1,-1.081459427E1,-1.466873932E1,3.163075256E1
9.945690833E-1,-1.228409576E1,-1.499528503E1,2.950944519E1
1.004625083E0,-1.423457718E1,-1.541435242E1,2.728353882E1
1.014680083E0,-1.579447556E1,-1.596221161E1,2.522871399E1
1.024736083E0,-1.738864517E1,-1.636733246E1,2.287232971E1
1.034791083E0,-1.856118774E1,-1.708000183E1,1.983560181E1
1.044847083E0,-1.968200302E1,-1.772749329E1,1.645755005E1
1.054902083E0,-2.030830383E1,-1.804179382E1,1.326065063E1
1.064957083E0,-2.118391418E1,-1.874252319E1,1.005072021E1
1.075013083E0,-2.147969818E1,-1.924378204E1,6.492095947E0
1.085068083E0,-2.172575378E1,-1.972476959E1,3.317947388E0
1.095124083E0,-2.147350311E1,-2.011174774E1,3.231506348E-1
1.105179083E0,-2.084698105E1,-2.019219208E1,-2.774246216E0
1.115235083E0,-2.022600174E1,-2.015146637E1,-5.240707397E0
1.125290083E0,-1.970747375E1,-1.991232300E1,-6.905380249E0
1.135345083E0,-1.918359756E1,-1.944492340E1,-8.421005249E0
1.145401083E0,-1.816523743E1,-1.890023041E1,-9.684875488E0
1.155456083E0,-1.765924454E1,-1.901415253E1,-1.043455505E1
1.165512083E0,-1.702438354E1,-1.912961578E1,-1.186294556E1
1.175567083E0,-1.630250168E1,-1.920987701E1,-1.381478882E1
1.185623083E0,-1.554178619E1,-1.956105042E1,-1.560852051E1
1.195678083E0,-1.520104218E1,-2.011652374E1,-1.693084717E1
1.205733083E0,-1.466635513E1,-2.115664673E1,-1.844256592E1
1.215789083E0,-1.437347031E1,-2.198718262E1,-1.954516602E1
1.225844083E0,-1.408499146E1,-2.277910614E1,-2.062954712E1
1.235900083E0,-1.394091797E1,-2.319494629E1,-2.132839966E1
1.245955083E0,-1.357244492E1,-2.350820160E1,-2.231475830E1
1.256011083E0,-1.313939285E1,-2.383528137E1,-2.335021973E1
1.266066083E0,-1.188715744E1,-2.419908905E1,-2.483303833E1
1.276121083E0,-9.948745728E0,-2.431832886E1,-2.703060913E1
1.286177083E0,-7.322605133E0,-2.457903290E1,-2.930426025E1
1.296232083E0,-3.791164398E0,-2.504096985E1,-3.250192261E1
1.306288083E0,-3.940391541E-1,-2.574694824E1,-3.447344971E1
1.316343083E0,1.290782928E0,-2.656835175E1,-3.635876465E1
1.326399083E0,1.664203644E0,-2.733094788E1,-3.640014648E1
1.336454083E0,1.150108337E0,-2.793095398E1,-3.639236450E1
1.346509083E0,1.736183167E-1,-2.870755768E1,-3.600823975E1
1.356565083E0,-8.629074097E-1,-2.958958435E1,-3.583694458E1
1.366620083E0,-1.565505981E0,-3.038397217E1,-3.593551636E1
1.376676083E0,-2.140522003E0,-3.120996094E1,-3.630572510E1
1.386731083E0,-1.652217865E0,-3.207377625E1,-3.687481689E1
1.396787083E0,-7.171173096E-1,-3.282376099E1,-3.763525391E1
1.406842083E0,7.991943359E-1,-3.322023010E1,-3.844625854E1
1.416897083E0,2.962444305E0,-3.378376770E1,-3.971154785E1
1.426953083E0,5.100795746E0,-3.393267059E1,-4.061456299E1
1.437008083E0,6.873168945E0,-3.365032196E1,-4.088476562E1
1.447064083E0,8.502714157E0,-3.322715759E1,-4.141741943E1
1.457119083E0,1.017763901E1,-3.270890045E1,-4.152767944E1
1.467175083E0,1.142724419E1,-3.217092133E1,-4.211782837E1
1.477230083E0,1.279434776E1,-3.149967957E1,-4.185775757E1
1.487285083E0,1.445240021E1,-3.081178284E1,-4.213552856E1
1.497341083E0,1.571914673E1,-3.022009277E1,-4.215209961E1
1.507396083E0,1.777621651E1,-2.938295746E1,-4.213204956E1
1.517452083E0,1.979145432E1,-2.877485657E1,-4.218359375E1
1.527507083E0,2.240422821E1,-2.881702423E1,-4.187799072E1
1.537563083E0,2.535462379E1,-2.854174042E1,-4.172708130E1
1.547618083E0,7.305907249E0,1.970420074E1,-4.964363098E1
1.557673083E0,1.053110981E1,1.888446808E1,-4.983650208E1
1.567729083E0,1.404217148E1,1.766640472E1,-4.982435608E1
1.577784083E0,1.719422913E1,1.603607941E1,-4.964457703E1
1.587840083E0,2.044903564E1,1.431591797E1,-4.897264099E1
1.597895083E0,2.356990242E1,1.247801971E1,-4.846415710E1
1.607951083E0,2.629721451E1,1.045817566E1,-4.796757507E1
1.618006083E0,2.841765976E1,8.435928345E0,-4.764292908E1
1.628060792E0,3.086232758E1,6.202804565E0,-4.693263245E1
1.638116792E0,3.275653839E1,4.111938477E0,-4.601716614E1
1.648171792E0,3.439534760E1,1.971481323E0,-4.481910706E1
1.658227792E0,3.603451538E1,-2.408218384E-1,-4.362565613E1
1.668282792E0,3.765585327E1,-2.392272949E0,-4.276353455E1
1.678338792E0,3.976642609E1,-4.322807312E0,-4.113777161E1
1.688393792E0,4.117127991E1,-6.580375671E0,-3.938203430E1
1.698448792E0,4.271129608E1,-8.549110413E0,-3.761711121E1
1.708504792E0,4.435377121E1,-1.041976929E1,-3.543635559E1
1.718559792E0,4.593091202E1,-1.227248383E1,-3.318611145E1
1.728615792E0,4.728244781E1,-1.419886017E1,-3.054753113E1
1.738670792E0,4.734436417E1,-1.627336884E1,-2.935743713E1
1.748726792E0,4.653543854E1,-1.891677475E1,-2.872453308E1
1.758781792E0,4.564781952E1,-2.229925537E1,-2.797651672E1
1.768836792E0,4.409077454E1,-2.597676086E1,-2.663322449E1
1.778892792E0,4.272715759E1,-2.890905380E1,-2.634849548E1
1.788947792E0,4.135343933E1,-3.096360397E1,-2.607743835E1
1.799003792E0,3.980165100E1,-3.295130539E1,-2.574748230E1
1.809058792E0,3.808047867E1,-3.421647644E1,-2.621162415E1
1.819114792E0,3.677375031E1,-3.507765579E1,-2.688417053E1
1.829169792E0,3.561410522E1,-3.574702835E1,-2.714024353E1
1.839224792E0,3.435473633E1,-3.581322479E1,-2.819590759E1
1.849280792E0,3.376052856E1,-3.586340714E1,-2.845130920E1
1.859335792E0,3.316033936E1,-3.551372528E1,-2.941426086E1
1.869391792E0,3.238819122E1,-3.545903778E1,-3.034794617E1
1.879446792E0,3.186472702E1,-3.541959763E1,-3.055229187E1
1.889502792E0,3.145194817E1,-3.528269577E1,-3.131758118E1
1.899557792E0,3.089334106E1,-3.526729202E1,-3.181266785E1
1.909612792E0,3.019543457E1,-3.526576614E1,-3.200727844E1
1.919668792E0,2.960021400E1,-3.521025085E1,-3.249830627E1
1.929723792E0,2.906256866E1,-3.546336365E1,-3.272624207E1
