"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.802000000E-3,-1.204994202E-1,2.179467773E-1,-9.778864746E0
1.285600000E-2,-8.666976929E-2,2.130070496E-1,-9.800120544E0
2.291100000E-2,-3.637435913E-2,1.913021851E-1,-9.785001984E0
3.296600000E-2,-4.475692749E-2,1.811233521E-1,-9.773026886E0
4.302100000E-2,-4.176315308E-2,1.838177490E-1,-9.803114319E0
5.307600000E-2,-5.942642212E-2,1.770817566E-1,-9.777068481E0
6.313100000E-2,-7.259902954E-2,1.465452576E-1,-9.779613190E0
7.318500000E-2,-6.616241455E-2,1.471440125E-1,-9.787397003E0
8.324000000E-2,-5.822891235E-2,1.639091492E-1,-9.763297119E0
9.329500000E-2,-5.673202515E-2,1.893562317E-1,-9.785600739E0
1.033500000E-1,-8.502319336E-2,2.070195007E-1,-9.792785797E0
1.134050000E-1,-9.026229858E-2,2.315684509E-1,-9.786498871E0
1.234590000E-1,-7.768844604E-2,2.318678284E-1,-9.796528015E0
1.335140000E-1,-7.274871826E-2,2.103126526E-1,-9.790839844E0
1.435690000E-1,-7.439529419E-2,1.956431580E-1,-9.770332489E0
1.536240000E-1,-2.170486450E-2,1.688488770E-1,-9.794582062E0
1.636790000E-1,1.088237000E-1,1.031355286E-1,-9.807604980E0
1.737340000E-1,-3.143463135E-3,9.415420532E-2,-9.804910583E0
1.837880000E-1,-5.730084229E-1,2.978805542E-1,-9.709259491E0
1.938430000E-1,-5.167254639E-1,3.279679871E-1,-9.823921051E0
2.038980000E-1,-3.598516846E-1,2.888992310E-1,-9.822723541E0
2.139530000E-1,-1.480421448E-1,2.372566223E-1,-9.714348907E0
2.240080000E-1,6.810836792E-2,1.827699280E-1,-9.818681946E0
2.340630000E-1,1.878593445E-1,1.363664246E-1,-9.787397003E0
2.441170000E-1,2.053729248E-1,1.005908203E-1,-9.742490387E0
2.541720000E-1,1.408570862E-1,9.550140381E-2,-9.767488403E0
2.642270000E-1,1.601669312E-2,1.089733887E-1,-9.835147705E0
2.742820000E-1,-8.666976929E-2,1.459465027E-1,-9.744136963E0
2.843370000E-1,-1.516346741E-1,1.838177490E-1,-9.802665253E0
2.943910000E-1,-1.414558411E-1,2.409988403E-1,-9.790540466E0
3.044460000E-1,-1.136137390E-1,2.704875183E-1,-9.755662994E0
3.145010000E-1,-7.798782349E-2,2.781216431E-1,-9.821975098E0
3.245560000E-1,-6.960525513E-2,2.495310974E-1,-9.764045563E0
3.346110000E-1,-1.148112488E-1,2.314187622E-1,-9.758507080E0
3.446660000E-1,-1.854643250E-1,2.240840149E-1,-9.767787781E0
3.547200000E-1,-2.555186462E-1,1.769320679E-1,-9.789642334E0
3.647750000E-1,-2.728825378E-1,1.206491089E-1,-9.815239105E0
3.748300000E-1,-2.115101624E-1,9.789642334E-2,-9.751621399E0
3.848850000E-1,-7.274871826E-2,1.142124939E-1,-9.807155914E0
3.949400000E-1,6.286926270E-2,1.193019104E-1,-9.787846069E0
4.049950000E-1,1.454974365E-1,1.550775146E-1,-9.771829376E0
4.150490000E-1,1.490899658E-1,2.306703186E-1,-9.786049805E0
4.251040000E-1,1.013392639E-1,2.918930054E-1,-9.792187042E0
4.351590000E-1,-2.604583740E-2,3.046165466E-1,-9.749675446E0
4.452140000E-1,-1.658551025E-1,2.748284912E-1,-9.804311829E0
4.552690000E-1,-2.745291138E-1,2.133064270E-1,-9.780062256E0
4.653230000E-1,-3.086581421E-1,1.588197327E-1,-9.797426147E0
4.753780000E-1,-2.835104370E-1,1.056802368E-1,-9.797875214E0
4.854330000E-1,-2.010319519E-1,7.259902954E-2,-9.780511322E0
4.954880000E-1,-9.116043091E-2,7.828720093E-2,-9.785001984E0
5.055430000E-1,3.891906738E-3,1.731898499E-1,-9.786648560E0
5.155980000E-1,5.733078003E-2,2.034269714E-1,-9.742640076E0
5.256520000E-1,1.008901978E-1,3.144960022E-1,-9.828112335E0
5.357070000E-1,4.864883423E-2,2.040257263E-1,-9.768236847E0
5.457620000E-1,-2.529739380E-2,2.553689575E-1,-9.796228638E0
5.558170000E-1,-8.562194824E-2,2.183958435E-1,-9.810598755E0
5.658717917E-1,-1.152603149E-1,2.505789185E-1,-9.805359650E0
5.759257917E-1,-1.493893433E-1,1.561253357E-1,-9.767338715E0
5.859807917E-1,-1.202000427E-1,1.134640503E-1,-9.715097351E0
5.960357917E-1,-1.306782532E-1,6.780899048E-2,-9.747579803E0
6.060907917E-1,-8.637039185E-2,8.427474976E-2,-9.835896149E0
6.161457917E-1,-9.400451660E-2,1.899549866E-1,-9.798024902E0
6.262007917E-1,-1.389111328E-1,2.236349487E-1,-9.772278442E0
6.362547917E-1,-1.302291870E-1,1.996847534E-1,-9.797575836E0
6.463097917E-1,-1.399589539E-1,2.438429260E-1,-9.795031128E0
6.563647917E-1,-1.184037781E-1,2.309696960E-1,-9.771529999E0
6.664197917E-1,-5.957611084E-2,2.245330811E-1,-9.782157898E0
6.764747917E-1,-1.990859985E-2,1.959425354E-1,-9.785600739E0
6.865297917E-1,8.532257080E-3,1.651066589E-1,-9.786947937E0
6.965837917E-1,3.891906738E-3,1.529818726E-1,-9.768985291E0
7.066387917E-1,-2.275268555E-2,1.628613281E-1,-9.787846069E0
7.166937917E-1,-7.214996338E-2,1.803749084E-1,-9.780661011E0
7.267487917E-1,-1.345701599E-1,1.848655701E-1,-9.781409454E0
7.368037917E-1,-1.737886047E-1,1.910028076E-1,-9.789792023E0
7.468577917E-1,-1.805245972E-1,1.996847534E-1,-9.791438599E0
7.569127917E-1,-1.592687988E-1,2.025288391E-1,-9.769584045E0
7.669677917E-1,-1.242416382E-1,1.947450256E-1,-9.780960388E0
7.770227917E-1,-9.071136475E-2,1.935475159E-1,-9.782756653E0
7.870777917E-1,-6.017486572E-2,2.080673218E-1,-9.787097626E0
7.971327917E-1,-3.367996216E-2,1.948947144E-1,-9.784552917E0
8.071867917E-1,-3.652404785E-2,1.841171265E-1,-9.770182800E0
8.172417917E-1,-3.637435913E-2,1.734892273E-1,-9.782606964E0
8.272967917E-1,-5.284011841E-2,1.514849854E-1,-9.775571594E0
8.373517917E-1,-6.945556641E-2,1.523831177E-1,-9.788444824E0
8.474067917E-1,-9.145980835E-2,1.658551025E-1,-9.796677704E0
8.574617917E-1,-1.190025330E-1,1.844165039E-1,-9.770931244E0
8.675157917E-1,-1.169068909E-1,2.119592285E-1,-9.784852295E0
8.775707917E-1,-1.216969299E-1,2.317181396E-1,-9.784852295E0
8.876257917E-1,-1.246907043E-1,2.330653381E-1,-9.774224396E0
8.976807917E-1,-9.684860229E-2,2.230361938E-1,-9.784253540E0
9.077357917E-1,-8.143066406E-2,2.035766602E-1,-9.778265991E0
9.177897917E-1,-5.972579956E-2,1.826202393E-1,-9.780062256E0
9.278447917E-1,-6.316864014E-2,1.634600830E-1,-9.786199493E0
9.378997917E-1,-5.014572144E-2,1.598675537E-1,-9.775122528E0
9.479547917E-1,-4.176315308E-2,1.658551025E-1,-9.788145447E0
9.580097917E-1,-5.628295898E-2,1.652563477E-1,-9.777667236E0
9.680647917E-1,-6.945556641E-2,1.740879822E-1,-9.775421906E0
9.781187917E-1,-8.652008057E-2,2.023791504E-1,-9.790540466E0
9.881737917E-1,-1.079255676E-1,2.173480225E-1,-9.781409454E0
9.982287917E-1,-1.216969299E-1,2.252815247E-1,-9.784552917E0
1.008283792E0,-1.260379028E-1,2.221380615E-1,-9.788594513E0
1.018338792E0,-1.134640503E-1,2.080673218E-1,-9.782157898E0
1.028392792E0,-1.007405090E-1,1.933978271E-1,-9.773176575E0
1.038447792E0,-9.804611206E-2,1.746867371E-1,-9.787546692E0
1.048502792E0,-8.143066406E-2,1.689985657E-1,-9.781409454E0
1.058557792E0,-6.182144165E-2,1.698966980E-1,-9.768236847E0
1.068612792E0,-4.849914551E-2,1.749861145E-1,-9.785001984E0
1.078667792E0,-4.311035156E-2,1.767823792E-1,-9.772877197E0
1.088721792E0,-5.403762817E-2,1.950444031E-1,-9.771080933E0
1.098776792E0,-6.960525513E-2,1.951940918E-1,-9.799821167E0
1.108831792E0,-8.666976929E-2,2.016307068E-1,-9.757159882E0
1.118886792E0,-9.969268799E-2,2.079176331E-1,-9.771080933E0
1.128941792E0,-1.182540894E-1,2.248324585E-1,-9.798623657E0
1.138996792E0,-1.380130005E-1,2.357597351E-1,-9.763297119E0
1.149050792E0,-1.654060364E-1,2.613565063E-1,-9.801767120E0
1.159105792E0,-1.829196167E-1,2.734812927E-1,-9.780810699E0
1.169160792E0,-1.549278259E-1,2.788700867E-1,-9.772278442E0
1.179215792E0,-1.571731567E-1,2.694396973E-1,-9.798174591E0
1.189270792E0,-1.501377869E-1,2.880010986E-1,-9.762698364E0
1.199324792E0,-1.320254517E-1,2.231858826E-1,-9.794731750E0
1.209379792E0,-4.400848389E-2,1.453477478E-1,-9.778565369E0
1.219434792E0,-1.466949463E-2,1.215472412E-1,-9.774673462E0
1.229489792E0,-8.502319336E-2,1.432521057E-1,-9.806856537E0
1.239544792E0,-9.550140381E-2,1.571731567E-1,-9.763297119E0
1.249599792E0,-1.035845947E-1,1.724414062E-1,-9.785600739E0
1.259653792E0,-9.220825195E-2,1.992356873E-1,-9.798923035E0
1.269708792E0,2.653981018E-1,6.765930176E-2,-9.764045563E0
1.279763792E0,-1.850152588E-1,3.923341370E-1,-9.765542450E0
1.289818792E0,-1.731898499E-1,4.917274475E-1,-9.799821167E0
1.299873792E0,-1.916015625E-2,1.763333130E-1,-9.801318054E0
1.309928792E0,9.433383179E-1,-1.047821045E-1,-9.789642334E0
1.319982792E0,5.053491211E-1,-1.588197327E-1,-9.844278717E0
1.330037792E0,1.096918945E0,-2.914439392E-1,-9.846374359E0
1.340092792E0,5.954617310E-1,-9.430389404E-2,-9.833052063E0
1.350147792E0,-2.927911377E-1,1.829196167E-1,-9.837393036E0
1.360202792E0,-8.641529846E-1,2.820135498E-1,-9.670041046E0
1.370256792E0,-1.341959381E0,2.764750671E-1,-9.814041595E0
1.380311792E0,-1.979932709E0,2.076182556E-1,-1.044198578E1
1.390366792E0,-1.214424591E0,8.681945801E-3,-9.890981598E0
1.400421792E0,-4.665797424E-1,-2.047741699E-1,-9.646988983E0
1.410476792E0,-6.268963623E-1,-1.272354126E-1,-1.009964767E1
1.420531792E0,-6.444099426E-1,-2.694396973E-3,-1.048135391E1
1.430585792E0,-9.906399536E-1,7.077282715E-1,-1.169128784E1
1.440640792E0,-1.070573730E0,1.146016846E0,-1.257954071E1
1.450695792E0,-1.127006378E0,8.982820129E-1,-1.314835785E1
1.460750792E0,-4.858895874E-1,3.429368591E-1,-1.321347244E1
1.470805792E0,4.439767456E-1,-3.040177917E-1,-1.256292526E1
1.480859792E0,1.539398804E0,-4.096980286E-1,-1.153755753E1
1.490914792E0,3.018023987E0,-3.245251465E-1,-1.095990875E1
1.500969792E0,4.400249634E0,8.098159790E-2,-1.093311447E1
1.511024792E0,6.204896851E0,2.689906311E-1,-1.124311981E1
1.521079792E0,6.882388000E0,-2.818638611E-1,-1.131092880E1
1.531134792E0,6.966363373E0,-3.808081055E-1,-1.151510422E1
1.541188792E0,6.914271698E0,-3.721261597E-1,-1.159937897E1
1.551243792E0,7.305857391E0,-4.520599365E-2,-1.150971542E1
1.561298375E0,8.023016052E0,1.703457642E-1,-1.120240448E1
1.571353375E0,8.701704712E0,1.845661926E-1,-1.085228256E1
1.581408375E0,9.088051300E0,4.879852295E-1,-9.914931793E0
1.591462375E0,9.627978516E0,8.253836060E-1,-8.380472717E0
1.601517375E0,9.931996307E0,7.225474548E-1,-6.765331421E0
1.611572375E0,1.007659561E1,8.506809998E-1,-5.275030518E0
1.621627375E0,9.872420197E0,1.321152649E0,-4.130809937E0
1.631682375E0,9.516460419E0,2.311193848E0,-3.207679596E0
1.641737375E0,8.654852142E0,2.170187073E0,-2.441423035E0
1.651791375E0,7.473508759E0,1.077459412E0,-1.646725616E0
1.661846375E0,5.372028809E0,9.777667236E-1,-9.098080444E-1
1.671901375E0,3.504362640E0,1.646276550E0,-1.526824951E-2
1.681956375E0,2.199975128E0,2.187251587E0,8.060737610E-1
1.692011375E0,1.467398529E0,2.389181671E0,1.396595764E0
1.702066375E0,1.464554443E0,1.978136444E0,2.065105591E0
1.712120375E0,9.803114319E-1,1.295256500E0,2.696342926E0
1.722175375E0,5.539979553E-1,3.107537842E-1,2.828967133E0
1.732230375E0,9.406439209E-1,9.714797974E-2,2.549947357E0
1.742285375E0,1.631157990E0,5.795947266E-1,2.539169769E0
1.752340375E0,2.977608032E0,1.145118713E0,2.799029388E0
1.762394375E0,3.383264465E0,1.947599945E0,3.764371948E0
1.772449375E0,9.449848938E-1,4.656516724E0,9.306147766E0
1.782504375E0,1.614392853E0,5.576503601E0,1.131452133E1
1.792559375E0,3.352727966E0,3.608096924E0,1.013856674E1
1.802614375E0,3.972888336E0,2.890938263E0,1.119956039E1
1.812669375E0,4.422253876E0,1.861828308E0,1.161255157E1
1.822723375E0,3.003055115E0,1.675615540E0,1.095781311E1
1.832778375E0,2.481689301E0,1.677112427E0,9.566905518E0
1.842833375E0,3.227887573E0,1.485061798E0,8.843609619E0
1.852888375E0,2.460283813E0,3.146307220E0,8.112679596E0
1.862943375E0,2.786156158E0,4.514312439E0,7.631580048E0
1.872997375E0,2.610571289E0,4.761598206E0,8.585396576E0
1.883052375E0,1.903741150E0,3.376977539E0,6.100114746E0
1.893107375E0,1.698218536E0,3.125799866E0,5.188211060E0
1.903162375E0,2.282453613E0,2.673590240E0,6.733597412E0
1.913217375E0,1.895657959E0,2.056124268E0,7.099885712E0
1.923272375E0,1.341660004E0,2.399510193E0,7.597600708E0
1.933326375E0,1.441951447E0,3.088078308E0,8.574169922E0
1.943381375E0,1.700164490E0,3.913461914E0,9.854906616E0
1.953436375E0,2.361489258E0,4.511917419E0,1.085797073E1
1.963491375E0,2.740950165E0,4.474644928E0,1.116318604E1
1.973546375E0,2.583327942E0,4.048331451E0,1.124341919E1
1.983600375E0,1.909878387E0,3.496878204E0,1.123563538E1
1.993655375E0,1.061293030E0,3.241359558E0,1.149998566E1
2.003710375E0,2.829116821E-1,3.433559875E0,1.227222977E1
2.013765375E0,-5.608836365E-1,4.218527527E0,1.312231201E1
2.023820375E0,-1.357976074E0,5.160219269E0,1.469389389E1
2.033875375E0,-2.322869568E0,5.696254578E0,1.659808411E1
2.043929375E0,-3.156785431E0,5.613925781E0,1.767719009E1
2.053984375E0,-3.754043427E0,4.609963531E0,1.780697021E1
2.064039375E0,-4.611011353E0,3.797752533E0,1.732931351E1
2.074094375E0,-5.223836975E0,3.772455139E0,1.724908035E1
2.084149375E0,-5.642216949E0,4.394711151E0,1.732916382E1
2.094203375E0,-6.139033813E0,5.232818298E0,1.684731583E1
2.104258375E0,-6.483766937E0,5.668412476E0,1.573812241E1
2.114313375E0,-6.749763794E0,5.502707062E0,1.364397720E1
2.124368375E0,-7.075336761E0,4.693639526E0,1.051323761E1
2.134423375E0,-7.124284973E0,3.510799255E0,6.936126251E0
2.144478375E0,-6.570736084E0,2.069745941E0,3.829935608E0
2.154532375E0,-6.314319305E0,7.976911926E-1,1.622625732E0
2.164587375E0,-7.483238525E0,7.943980408E-1,-2.456391907E-1
2.174642375E0,-8.503965912E0,1.319057007E0,-1.624871063E0
2.184697375E0,-7.666008453E0,6.680607605E-1,-2.174977112E0
2.194752375E0,-5.755381622E0,-1.186732178E0,-1.637744293E0
2.204807375E0,-5.109325104E0,-1.717678070E0,-1.418001251E0
2.214861375E0,-5.317991180E0,-2.894830170E0,-6.195316772E0
2.224916375E0,-5.749394073E0,-3.251987457E0,-8.038284302E0
2.234971375E0,-5.468727722E0,-4.243824921E0,-5.038971405E0
2.245026375E0,-5.278922424E0,-4.105662231E0,-4.333039398E0
2.255081375E0,-4.429888000E0,-2.602039032E0,-3.899690552E0
2.265135375E0,-3.169209595E0,-2.782713318E-1,-3.450474701E0
2.275190375E0,-2.482288055E0,5.129084015E0,-5.318739624E0
2.285245375E0,-3.448528748E0,7.903564453E0,-7.034172363E0
2.295300375E0,-1.852547607E0,8.635991364E0,-9.766141205E0
2.305355375E0,-3.481759644E-1,8.838969269E0,-7.536677399E0
2.315410375E0,4.439767456E-1,7.132517853E0,-2.907254333E0
2.325464375E0,6.942562866E-1,5.825136566E0,1.327738953E-1
2.335519375E0,3.071612549E-1,6.557862854E0,2.330952759E0
2.345574375E0,-4.541555786E-1,7.827522583E0,4.082759857E0
2.355629375E0,-1.413510590E0,8.433462524E0,4.947960663E0
