"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.128550002E-2,2.258411609E-3,5.148036289E-4,-3.412226215E-4
2.134050001E-2,-3.880440723E-3,-7.956445217E-3,-3.955508582E-4
3.139449999E-2,-7.239922415E-3,-2.086472139E-2,1.411462668E-3
4.144950002E-2,-9.785371833E-3,-2.038508654E-2,9.651170112E-4
5.150350000E-2,-6.653663237E-3,-1.674013957E-2,-5.064080469E-4
6.155849999E-2,-1.767827896E-3,-5.832097493E-3,-1.329058781E-3
7.161350001E-2,4.789741652E-4,2.645372413E-3,-2.479280345E-3
8.166750000E-2,7.131816819E-3,1.173553988E-2,-4.027375951E-3
9.172250002E-2,7.587281056E-3,1.808495447E-2,-4.103075247E-3
1.017775000E-1,4.204267636E-3,1.460367162E-2,-4.702553153E-3
1.118315000E-1,2.385351341E-3,9.108372033E-3,-3.042581957E-3
1.218865000E-1,-4.525130789E-4,1.124747097E-3,2.054708079E-3
1.319415000E-1,-4.464860074E-3,-2.949902555E-3,2.926196903E-3
1.419955000E-1,-3.734460042E-4,-3.413363011E-4,-1.806467772E-4
1.520505000E-1,1.552620553E-3,5.826331209E-3,-4.733528942E-3
1.621045000E-1,4.974760814E-4,2.877413062E-3,-4.704766441E-3
1.721595000E-1,-1.247184258E-2,-2.363744751E-2,1.108432654E-3
1.822145000E-1,-2.070820145E-2,-5.175243691E-2,9.231073782E-3
1.922685000E-1,-2.519498765E-2,-6.138168275E-2,1.547424961E-2
2.023235000E-1,-2.495267661E-3,-4.273120780E-3,1.048109028E-2
2.123785000E-1,2.395559475E-2,6.006554887E-2,3.676086199E-3
2.224325000E-1,3.280208260E-2,7.588472217E-2,-4.814337939E-3
2.324875000E-1,3.521280736E-2,7.912474126E-2,-8.762682788E-3
2.425425000E-1,2.151670121E-2,5.085848272E-2,-1.256407797E-2
2.525965000E-1,1.770908246E-3,8.213137276E-3,-6.601639092E-3
2.626515000E-1,-1.610928960E-2,-3.538893536E-2,7.281792350E-4
2.727055000E-1,-3.112429008E-2,-7.258377224E-2,8.011737838E-3
2.827605000E-1,-3.128541261E-2,-8.012691140E-2,9.402173571E-3
2.928155000E-1,-2.331724949E-2,-5.825009570E-2,8.509166539E-3
3.028695000E-1,-1.437355671E-2,-2.791775577E-2,3.979662899E-3
3.129245000E-1,8.409277536E-3,1.941447146E-2,-3.822278464E-3
3.229795000E-1,1.296354923E-2,3.792264313E-2,-7.864158601E-3
3.330335000E-1,1.256173570E-2,3.328530490E-2,-9.961013682E-3
3.430885000E-1,5.138174631E-3,1.117947232E-2,-6.912226789E-3
3.531435000E-1,-3.206296591E-3,-1.070560329E-2,1.965910196E-4
3.631975000E-1,-1.035422087E-2,-2.222643979E-2,4.887216259E-3
3.732525000E-1,-8.606689051E-3,-1.564535126E-2,5.666892976E-3
3.833065000E-1,2.818804001E-3,4.969113506E-3,6.305785850E-3
3.933615000E-1,1.442781277E-2,3.487334773E-2,6.612702273E-4
4.034165000E-1,2.702802606E-2,5.914673209E-2,-5.739370827E-3
4.134705000E-1,2.764170617E-2,6.217185780E-2,-1.066923980E-2
4.235255000E-1,1.410618983E-2,3.996961564E-2,-8.157346398E-3
