"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.519999992E-3,1.829714775E0,3.365126038E1,-4.443928528E1
1.957500001E-2,1.802706718E0,3.349382019E1,-4.420036316E1
2.963000000E-2,1.872241020E0,3.359909058E1,-4.404267883E1
3.968500000E-2,2.016397476E0,3.372094727E1,-4.367494202E1
4.974000002E-2,1.998937607E0,3.407091522E1,-4.396644592E1
5.979400000E-2,2.117276192E0,3.380729675E1,-4.381086731E1
6.984899999E-2,2.082578659E0,3.407743835E1,-4.363017273E1
7.990375001E-2,2.144945145E0,3.395243835E1,-4.394770813E1
8.995875000E-2,2.075498581E0,3.382398987E1,-4.405177307E1
1.000137500E-1,2.158812523E0,3.380297852E1,-4.368061829E1
1.100687500E-1,2.022157669E0,3.378672791E1,-4.358607483E1
1.201237500E-1,2.064217567E0,3.408833313E1,-4.394044495E1
1.301787500E-1,2.249817848E0,3.403506470E1,-4.401725769E1
1.402337500E-1,2.186255455E0,3.406722260E1,-4.414857483E1
1.502887500E-1,2.152369499E0,3.407965088E1,-4.419886780E1
1.603437500E-1,2.091049194E0,3.407542419E1,-4.395805359E1
1.703987500E-1,2.162332535E0,3.386325836E1,-4.388758850E1
1.804537500E-1,2.064575195E0,3.391754913E1,-4.409150696E1
1.905087500E-1,2.066967964E0,3.374553680E1,-4.395576477E1
2.005627500E-1,1.979906082E0,3.381660461E1,-4.421839905E1
2.106177500E-1,2.097472191E0,3.378094482E1,-4.432823181E1
2.206727500E-1,2.178918839E0,3.363671112E1,-4.425376892E1
2.307277500E-1,2.070398331E0,3.388038635E1,-4.414134216E1
2.407827500E-1,2.002888680E0,3.369387817E1,-4.417448425E1
2.508377500E-1,2.231413841E0,3.368334198E1,-4.416664124E1
2.608927500E-1,2.188472748E0,3.348859406E1,-4.416706848E1
2.709477500E-1,2.204360008E0,3.336695099E1,-4.413090515E1
2.810027500E-1,2.062323570E0,3.353083801E1,-4.396070862E1
2.910577500E-1,2.175377846E0,3.369671631E1,-4.413789368E1
3.011127500E-1,2.117202759E0,3.367859650E1,-4.411225891E1
3.111677500E-1,2.134528160E0,3.370619965E1,-4.380357361E1
3.212227500E-1,2.138684273E0,3.353582764E1,-4.395655823E1
