"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.167241667E-2,2.054312499E-3,1.572530949E-3,2.931900322E-3
2.172741666E-2,-6.609631237E-5,-6.991453702E-4,1.816567965E-3
3.178241666E-2,8.245878853E-4,8.997207624E-4,1.037801150E-3
4.183741666E-2,-2.758961637E-3,-2.424436854E-3,-7.917904295E-4
5.189241667E-2,-2.026721369E-3,-2.839790657E-3,-4.822383635E-4
6.194641667E-2,6.375049707E-4,8.345724782E-4,-1.903562807E-4
7.200141667E-2,1.127080643E-3,2.176265698E-3,-1.334215980E-3
8.205641666E-2,2.895153128E-3,3.625025274E-3,-1.967977732E-5
9.211141666E-2,1.746787806E-3,1.463057124E-3,-1.668832731E-3
1.021664167E-1,-1.171504031E-3,-4.216152593E-5,6.097680889E-4
1.122214167E-1,1.631389372E-3,-1.200557803E-3,-1.855335198E-3
1.222764167E-1,-1.428050105E-3,-4.127947905E-4,4.482991062E-4
1.323314167E-1,1.178259030E-3,-2.038175240E-3,9.620981291E-4
1.423864167E-1,9.742609109E-4,4.024777096E-3,2.267579548E-3
1.524414167E-1,-2.460124088E-4,7.275627460E-3,5.336264148E-4
1.624964167E-1,1.151122560E-4,6.043382455E-3,-1.402491704E-3
1.725514167E-1,2.024304849E-4,-7.536803605E-5,-2.448006533E-3
1.826064167E-1,-5.504723638E-3,-6.364955101E-3,-2.659461461E-3
1.926614167E-1,-6.290025078E-3,-7.558545098E-3,-2.812962048E-4
2.027164167E-1,-1.243601204E-3,-3.788841190E-3,-3.601890057E-5
2.127714167E-1,6.431884831E-4,5.205015768E-4,1.556149218E-3
2.228264167E-1,2.963334322E-3,1.734916877E-4,3.085336182E-3
2.328814167E-1,-2.120423829E-3,2.230229729E-4,4.993085284E-3
2.429354167E-1,5.624445621E-4,1.572446665E-3,3.729948308E-3
2.529904167E-1,-1.228603302E-3,-1.745542977E-4,1.966387965E-3
2.630454167E-1,1.370656828E-4,-2.403343678E-4,-1.881613396E-3
2.731004167E-1,3.453175304E-4,1.934279804E-3,-1.697368454E-3
2.831554167E-1,1.910989871E-3,6.017438136E-3,-2.382866107E-3
2.932104167E-1,1.512767980E-3,7.252232172E-3,-2.903059591E-3
3.032654167E-1,2.636355581E-3,6.213865709E-3,-3.331295680E-3
3.133204167E-1,1.735358033E-3,1.918216003E-3,-1.612249762E-3
3.233754167E-1,1.487417729E-3,-1.762006315E-3,2.823777031E-3
3.334304167E-1,-2.502357354E-3,-2.632763004E-3,4.170112312E-3
3.434854167E-1,-3.125004470E-3,-3.720930545E-3,4.781307653E-3
