"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.711666673E-3,-1.549439505E-3,-1.377457986E-3,3.845985048E-4
1.776666667E-2,1.212642761E-3,1.636467059E-3,-1.171965618E-3
2.782266667E-2,2.858627704E-4,-7.025874220E-4,9.457799606E-4
3.787766667E-2,-1.847738167E-3,5.404610420E-6,-1.665791962E-3
4.793266667E-2,5.355246249E-4,-5.599844735E-4,2.115097828E-3
5.798866667E-2,6.946853828E-4,-8.034160128E-4,-9.950450622E-4
6.804366667E-2,2.674479270E-3,5.177782150E-4,1.830834895E-3
7.809866667E-2,-3.182316432E-3,-1.012027147E-3,6.493926048E-4
8.815466667E-2,-5.465860013E-4,-1.902854536E-3,4.634547047E-3
9.820966667E-2,2.589507494E-4,1.030996675E-3,1.324184239E-3
1.082646667E-1,1.670958707E-3,5.343171651E-4,1.518328674E-3
1.183206667E-1,1.060401119E-4,1.355296990E-4,-1.123351976E-3
1.283756667E-1,1.362785813E-3,-1.095116953E-3,-1.030940562E-3
1.384306667E-1,1.998473424E-3,-4.128238652E-4,-1.819771715E-3
1.484856667E-1,-1.065226970E-3,-8.498485549E-4,2.598945517E-3
1.585416667E-1,1.019124174E-3,-6.399420090E-4,1.245215535E-3
1.685966667E-1,-2.266417723E-3,2.578095300E-4,1.588762738E-3
1.786516667E-1,5.439671222E-4,-1.410291763E-3,3.824850544E-3
1.887076667E-1,2.196991118E-3,3.175670863E-4,6.576161832E-3
1.987626667E-1,1.747165516E-4,1.049729646E-3,3.978886642E-3
2.088176667E-1,2.312968485E-3,4.358709848E-4,1.700338908E-4
2.188736667E-1,2.227800898E-3,2.477432135E-4,-6.500212476E-3
2.289286667E-1,2.192449465E-4,2.430470195E-3,-7.131647784E-3
2.389836667E-1,2.988204651E-4,1.264725142E-4,-7.251250558E-3
2.490396667E-1,1.482595457E-3,-1.873295172E-3,-1.989376731E-3
2.590946667E-1,2.558789914E-3,-7.455612067E-4,1.869561151E-3
2.691496667E-1,-5.118346307E-4,5.599203287E-4,3.175042570E-3
2.792046667E-1,1.052764826E-3,-1.058120979E-4,1.006163657E-3
2.892606667E-1,1.198595564E-4,3.844758612E-4,-6.085034925E-3
2.993156667E-1,-1.638372196E-4,-1.888997387E-3,-3.888508072E-3
3.093706667E-1,-1.269581728E-3,2.633050084E-3,-2.556394786E-3
3.194266667E-1,-8.124552551E-5,2.539579058E-3,-2.474334091E-3
3.294816667E-1,-9.105538484E-4,1.432502875E-3,1.065805554E-3
3.395366667E-1,1.894020475E-3,1.599021198E-4,1.839729026E-3
3.495926667E-1,2.952360781E-3,6.115742726E-4,5.295978859E-3
3.596476667E-1,-1.664305339E-3,1.303799916E-3,2.859937493E-3
3.697026667E-1,1.643606927E-3,1.339752460E-3,1.849001739E-3
3.797586667E-1,3.453528276E-3,-1.197966631E-3,-2.576865721E-3
3.898136667E-1,2.158166608E-3,2.408219734E-3,-2.219736110E-3
3.998686667E-1,-1.592956251E-3,9.795638034E-4,-2.757729962E-3
4.099236667E-1,-1.113853534E-3,-1.080711954E-4,-3.310868517E-3
4.199796667E-1,2.502920805E-3,-2.448343439E-3,-1.463472843E-3
4.300346667E-1,1.042115910E-4,-2.083756728E-3,-4.267040640E-4
4.400896667E-1,-2.285694005E-3,6.331021432E-4,4.541976377E-3
4.501456667E-1,-2.387131099E-5,-1.223387429E-3,2.626365051E-3
4.602006667E-1,-2.292237710E-3,1.756116253E-4,4.031280056E-3
4.702556667E-1,1.054023975E-3,-6.992367562E-4,-3.111317754E-3
4.803116667E-1,1.453913865E-3,1.785635832E-3,1.655127853E-3
4.903666667E-1,1.854502334E-4,-3.361046838E-4,5.579055287E-4
5.004216667E-1,-2.252918668E-3,-1.127436757E-3,-9.124036878E-4
5.104766667E-1,8.896114305E-4,1.341579948E-3,-1.113247126E-4
5.205325417E-1,-1.370046753E-3,9.108854574E-4,3.489004448E-4
5.305875417E-1,3.706204472E-3,-1.202905260E-4,-2.504942939E-3
5.406425417E-1,6.953720003E-5,1.856666058E-3,-3.571915440E-4
5.506985417E-1,-1.795208082E-3,-1.044048928E-3,-8.613280952E-4
5.607535417E-1,1.901382580E-3,4.068649723E-4,1.837932505E-4
5.708085417E-1,-2.807760029E-5,-9.215197060E-4,-2.608264796E-3
5.808645417E-1,-1.432069577E-3,-1.052132808E-3,-2.356320620E-4
5.909195417E-1,1.535764895E-4,-4.047184484E-4,2.376928460E-3
6.009745417E-1,-6.667072885E-4,-9.672633023E-4,1.815245952E-3
6.110305417E-1,7.045574603E-5,-1.487378730E-3,1.677826513E-3
6.210855417E-1,-1.978302898E-4,-8.544697193E-4,1.048708335E-3
6.311405417E-1,7.686308818E-4,2.145581180E-3,-1.339880750E-3
6.411955417E-1,-1.456911908E-3,1.171701821E-3,9.861732833E-4
6.512515417E-1,-1.950661885E-3,1.210317598E-3,-2.375002485E-3
6.613065417E-1,4.690962378E-4,2.114713716E-4,7.704659365E-4
6.713615417E-1,5.143699818E-4,-9.696405614E-4,-1.965665724E-3
6.814175417E-1,-1.208651112E-3,1.491375966E-3,3.044041339E-3
6.914725417E-1,6.174783921E-4,1.036241767E-3,1.765723806E-3
7.015275417E-1,3.654308675E-4,4.611369222E-4,-9.041782469E-4
7.115835417E-1,1.290080370E-3,1.343670592E-4,1.136601903E-3
7.216385417E-1,-6.824928569E-4,-6.745120045E-4,1.319586765E-3
7.316935417E-1,-1.007132232E-3,-1.991711557E-3,8.953451179E-4
7.417495417E-1,-1.610092586E-3,5.979291163E-4,-9.052306414E-4
7.518045417E-1,-1.104624709E-3,-2.600527368E-3,-1.619223971E-3
7.618595417E-1,1.541562728E-3,-2.150100656E-3,-3.069524188E-3
7.719145417E-1,-5.061418051E-4,9.793801000E-4,1.414706465E-3
7.819705417E-1,1.144145033E-3,-1.776702353E-3,2.659680787E-3
7.920255417E-1,-2.104378771E-3,-3.298069932E-4,1.487890724E-3
8.020805417E-1,5.627846695E-4,-6.820376730E-4,6.705746055E-4
8.121365417E-1,-9.871750372E-4,-2.934006741E-3,2.169401851E-3
8.221915417E-1,-6.591739948E-4,-1.697241969E-4,-5.705324002E-4
8.322465417E-1,-9.790195618E-4,-3.231222800E-4,-2.122090198E-3
8.423025417E-1,-9.174619918E-4,-1.645143027E-3,-1.161525957E-3
8.523575417E-1,-1.476725796E-3,-7.801483152E-4,-1.578044146E-3
8.624125417E-1,-3.634683089E-4,3.448195988E-3,-1.176308841E-3
8.724685417E-1,1.621918287E-3,-2.072803210E-3,2.074079122E-3
8.825235417E-1,1.618437585E-3,-3.458703635E-3,1.404971350E-3
8.925785417E-1,1.804326312E-3,-2.364943502E-3,2.471567597E-3
9.026335417E-1,1.065321034E-3,-3.147460055E-3,1.390213147E-4
9.126895417E-1,-4.108136054E-3,-4.318185151E-3,-9.600650519E-4
9.227445417E-1,3.052595712E-4,-1.667955425E-3,-1.267164014E-3
9.327995417E-1,-2.058029640E-3,7.861474878E-4,-1.648794860E-3
9.428555417E-1,-6.889167707E-4,-2.202163159E-4,-2.719458658E-3
9.529105417E-1,-1.241788967E-3,1.106570591E-3,8.632917888E-4
9.629655417E-1,-1.366492244E-3,-2.511228900E-3,5.081627052E-3
9.730215417E-1,-2.116704825E-3,-2.499387774E-4,1.196341123E-3
9.830765417E-1,2.836865606E-4,-3.740975808E-4,1.424561720E-3
9.931315417E-1,-6.873019738E-4,2.661263570E-4,1.736152451E-3
1.003186542E0,2.939950209E-3,1.095996238E-3,-1.704925671E-3
1.013242542E0,9.894508403E-4,1.647803234E-3,-1.999737229E-3
1.023297542E0,-3.719934903E-4,-1.703513321E-3,-3.884923644E-3
1.033352542E0,-1.381679613E-4,6.637704792E-4,-2.160260454E-3
1.043408542E0,-1.241308404E-3,-5.906160222E-4,9.337551892E-4
1.053463542E0,-2.995532472E-3,5.537442630E-4,2.392635215E-3
1.063518542E0,-7.239622646E-4,-2.372456249E-3,3.573329188E-3
1.073574542E0,-8.454024210E-4,-7.945334073E-4,5.228750408E-3
