"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.375500001E-3,3.343627614E-4,-2.443182748E-4,-2.501583658E-4
1.643050000E-2,-1.598027069E-3,7.541008526E-4,5.413331091E-4
2.648550000E-2,-7.888038526E-4,-1.239465433E-3,3.072135150E-4
3.654020833E-2,8.125090972E-5,-1.066892641E-3,-9.591197595E-4
4.659520833E-2,-6.713337498E-4,6.676316261E-4,-9.555262513E-4
5.665020833E-2,8.445375133E-4,1.081014925E-4,-1.636229921E-3
6.670520834E-2,9.341945406E-4,-1.339654322E-3,-3.931802697E-3
7.676020834E-2,-1.192339580E-3,1.297141425E-3,-1.068904530E-3
8.681520833E-2,3.221617371E-4,4.986345302E-4,-1.578117721E-3
9.687020833E-2,-1.121005276E-3,2.613717224E-3,-1.183703542E-3
1.069252083E-1,4.814413260E-4,1.184064313E-4,-9.776116349E-4
1.169802083E-1,-1.381972455E-3,2.027360257E-3,1.051983330E-3
1.270352083E-1,-1.979251392E-3,-2.052603522E-3,1.769741531E-3
1.370902083E-1,-2.737630566E-4,9.390420746E-5,7.129986770E-4
1.471452083E-1,2.483033109E-3,1.887269027E-4,-1.738304272E-3
1.572002083E-1,9.977880400E-4,7.621054538E-4,-5.888841115E-4
1.672552083E-1,1.466769259E-3,3.862665617E-4,9.568291716E-4
1.773102083E-1,1.754024270E-4,-1.254773233E-3,1.524082851E-3
1.873652083E-1,2.828781027E-3,1.697944943E-3,1.710207667E-3
1.974202083E-1,2.754212590E-3,2.862012712E-3,1.160797197E-3
2.074752083E-1,-8.633750840E-4,-1.445776434E-3,-8.687451482E-4
2.175302083E-1,9.030292858E-5,-1.839707256E-4,-8.644843474E-4
2.275852083E-1,1.797521021E-3,2.184005920E-3,1.150742639E-3
2.376402083E-1,-7.551189628E-4,2.890009899E-3,1.808200032E-4
2.476952083E-1,1.248693559E-3,-7.037638570E-4,5.115405656E-4
2.577502083E-1,9.365710430E-4,2.818720532E-4,2.019422594E-3
2.678052083E-1,1.993899234E-3,-2.061196137E-3,3.107073717E-4
2.778602083E-1,1.168319257E-3,-1.900591305E-4,-1.242181752E-3
2.879152083E-1,-8.232446271E-4,7.853360730E-4,-3.609285923E-3
2.979692083E-1,1.182648237E-3,1.516906312E-3,-4.067349713E-3
3.080242083E-1,-1.083680254E-4,-1.281818259E-3,-4.688163288E-3
3.180792083E-1,3.622125369E-4,-1.806194661E-3,-3.985621035E-3
3.281342083E-1,6.179312477E-4,-2.030814067E-3,8.807070553E-4
3.381892083E-1,4.336404963E-4,-2.491540974E-3,1.308410894E-3
3.482442083E-1,-9.702269454E-4,8.286754601E-4,3.096088301E-3
3.582992083E-1,-1.423496869E-3,1.728024916E-3,3.817006480E-3
3.683542083E-1,-5.062856944E-4,7.980598602E-4,1.544654369E-4
3.784092083E-1,-9.275977500E-4,2.089426620E-3,-2.988064429E-3
3.884642083E-1,5.966264289E-4,2.082773019E-3,-3.040717682E-3
3.985192083E-1,-9.339858661E-5,-3.454973339E-4,-3.123275703E-3
4.085742083E-1,-6.131004775E-4,-6.834812229E-4,-4.804630298E-3
4.186292083E-1,2.561552974E-4,1.803644933E-3,-1.148110256E-3
4.286842083E-1,-2.387171844E-5,1.966265496E-3,1.493798569E-3
4.387392083E-1,7.164870622E-4,-2.556096879E-4,2.747348510E-3
4.487942083E-1,-1.071721781E-3,-1.642277231E-3,4.269425757E-3
4.588492083E-1,1.639376162E-3,-1.234280877E-3,1.382026821E-3
4.689042083E-1,-4.537277564E-4,-1.562665915E-3,5.035996437E-4
4.789592083E-1,-1.557200158E-4,-1.417257357E-3,-5.154818296E-3
4.890142083E-1,8.566159522E-4,4.165577702E-4,-4.548239522E-3
4.990692083E-1,-9.809652111E-4,1.472234842E-3,-1.483740285E-3
5.091242083E-1,-3.420389548E-4,4.584453418E-4,-2.760902513E-3
5.191792083E-1,-1.059760805E-3,-5.921716802E-4,6.780372933E-4
5.292342083E-1,1.610541367E-3,-8.544835728E-4,2.625449095E-3
5.392892083E-1,1.168722985E-3,-1.437715837E-3,1.233415212E-3
5.493442083E-1,-1.792033727E-4,-3.766110167E-4,1.311966218E-3
5.593992083E-1,5.686122458E-4,-2.272076672E-4,-1.195932273E-3
5.694532083E-1,1.006099279E-3,2.534145489E-3,-4.409402609E-3
5.795082083E-1,9.192802245E-4,-1.732238452E-4,-2.345985733E-3
5.895632083E-1,1.616417081E-3,7.734647370E-4,-4.494241904E-3
5.996182083E-1,1.060082694E-3,-2.039154060E-4,-5.381163210E-4
6.096732083E-1,2.115988464E-4,-4.944938119E-4,2.042698208E-3
6.197282083E-1,2.299517160E-3,-9.235652396E-5,3.180666361E-3
6.297832083E-1,1.193170028E-4,-1.983458642E-4,3.530908842E-3
6.398382083E-1,-7.874893490E-4,-3.647672245E-3,2.724769991E-3
6.498932083E-1,2.899209270E-3,-4.193171044E-4,1.467543654E-3
6.599482083E-1,-5.317115574E-5,4.432807327E-4,-1.207335852E-3
6.700032083E-1,-8.637623396E-4,5.727433600E-4,-2.290661912E-3
6.800582083E-1,6.461565499E-5,3.101680893E-3,-5.130923353E-3
6.901132083E-1,1.435169252E-3,-6.668269052E-4,-2.576773521E-3
7.001682083E-1,-2.770501305E-5,6.783357821E-4,-1.156509854E-3
7.102232083E-1,-1.881784177E-3,2.176699461E-3,4.232921638E-4
7.202782083E-1,-1.410138328E-3,1.862528152E-4,2.841175999E-3
7.303332083E-1,8.443170227E-4,9.725228883E-4,4.217818845E-3
7.403882083E-1,7.138221990E-4,2.409298439E-3,1.798603218E-3
7.504432083E-1,6.193757872E-5,4.678717232E-4,9.255148470E-4
7.604982083E-1,2.927498892E-3,-5.220252206E-4,-3.961385228E-3
7.705532083E-1,-5.788763519E-5,8.846796118E-5,-2.720335033E-3
7.806082083E-1,-1.627821126E-3,-3.545148764E-3,-3.467351897E-3
7.906632083E-1,9.627139661E-4,1.117582899E-3,-2.956241835E-3
8.007182083E-1,1.382694463E-3,-9.546226356E-4,1.273923554E-3
8.107732083E-1,-1.492205425E-3,3.658229252E-5,1.283241436E-3
