"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.412291662E-3,-4.191284180E-2,1.933978271E-1,-9.789642334E0
1.146729167E-2,-3.981719971E-2,1.981878662E-1,-9.770182800E0
2.152229167E-2,-3.083587646E-2,2.073188782E-1,-9.793683929E0
3.157729167E-2,-3.023712158E-2,2.168989563E-1,-9.812993774E0
4.163229166E-2,-2.200424194E-2,2.112107849E-1,-9.754315796E0
5.168729166E-2,-2.619552612E-2,1.968406677E-1,-9.782606964E0
6.174229166E-2,-3.397933960E-2,1.821711731E-1,-9.803862762E0
7.179729166E-2,-5.089416504E-2,1.785786438E-1,-9.765243073E0
8.185229167E-2,-6.242019653E-2,1.689985657E-1,-9.774374084E0
9.190729167E-2,-5.254074097E-2,1.782792664E-1,-9.793384552E0
1.019622917E-1,-3.532653809E-2,1.920506287E-1,-9.780511322E0
1.120172917E-1,-4.086502075E-2,2.100132751E-1,-9.798773346E0
1.220722917E-1,-5.298980713E-2,2.303709412E-1,-9.776769104E0
1.321272917E-1,-5.373825073E-2,2.459385681E-1,-9.783804474E0
1.421822917E-1,-3.113525391E-2,2.246827698E-1,-9.784253540E0
1.522372917E-1,-8.831634521E-3,2.035766602E-1,-9.784852295E0
1.622922917E-1,1.332229614E-2,1.658551025E-1,-9.777517548E0
1.723472917E-1,2.200424194E-2,1.345701599E-1,-9.800270233E0
1.824022917E-1,1.871109009E-2,1.311273193E-1,-9.788444824E0
1.924572917E-1,-1.451980591E-2,1.513352966E-1,-9.783804474E0
2.025122917E-1,-8.202941895E-2,2.149530029E-1,-9.794432373E0
2.125672917E-1,-1.121168518E-1,2.643502808E-1,-9.797575836E0
2.226222917E-1,-1.257385254E-1,2.906954956E-1,-9.784702606E0
2.326772917E-1,-1.091230774E-1,2.887495422E-1,-9.792486420E0
2.427322917E-1,-7.364685059E-2,2.706372070E-1,-9.800569611E0
2.527872917E-1,-7.035369873E-2,2.528242493E-1,-9.804012451E0
2.628422917E-1,-8.981323242E-2,2.570155334E-1,-9.749675446E0
2.728972917E-1,-6.661148071E-2,2.119592285E-1,-9.779762878E0
2.829522917E-1,-5.074447632E-2,1.666035461E-1,-9.810299377E0
2.930072917E-1,-5.733078003E-2,1.332229614E-1,-9.780511322E0
3.030622917E-1,-6.825805664E-2,1.070274353E-1,-9.774224396E0
3.131172917E-1,-8.247848511E-2,1.032852173E-1,-9.789342957E0
3.231722917E-1,-6.825805664E-2,1.181044006E-1,-9.762698364E0
3.332272917E-1,-5.688171387E-2,1.526824951E-1,-9.785301361E0
3.432822917E-1,-1.377136230E-2,1.965412903E-1,-9.775721283E0
3.533372917E-1,3.772155762E-2,2.360591125E-1,-9.784702606E0
3.633922917E-1,7.454498291E-2,2.621049500E-1,-9.781858521E0
3.734472917E-1,7.529342651E-2,2.739303589E-1,-9.764344940E0
3.835022917E-1,5.104385376E-2,2.694396973E-1,-9.776170349E0
3.935572917E-1,6.735992432E-3,2.504292297E-1,-9.791288910E0
4.036122917E-1,-3.757186890E-2,2.161505127E-1,-9.778715057E0
4.136672917E-1,-8.412506104E-2,1.646575928E-1,-9.783355408E0
4.237222917E-1,-9.415420532E-2,1.327738953E-1,-9.785001984E0
4.337772917E-1,-9.610015869E-2,1.160087585E-1,-9.787097626E0
4.438322917E-1,-9.011260986E-2,1.248403931E-1,-9.787846069E0
4.538872917E-1,-7.604187012E-2,1.408570862E-1,-9.774074707E0
4.639422917E-1,-6.107299805E-2,1.860630798E-1,-9.786498871E0
4.739972917E-1,-8.098159790E-2,2.414479065E-1,-9.780661011E0
4.840522917E-1,-7.993377686E-2,2.731819153E-1,-9.783505096E0
4.941072917E-1,-7.723937988E-2,2.974314880E-1,-9.794282684E0
5.041622917E-1,-6.391708374E-2,2.829116821E-1,-9.780211945E0
5.142172917E-1,-2.829116821E-2,2.544708252E-1,-9.783355408E0
5.242722917E-1,-1.047821045E-3,2.109114075E-1,-9.787995758E0
5.343272917E-1,2.829116821E-2,1.628613281E-1,-9.781559143E0
5.443822917E-1,4.580474854E-2,1.305285645E-1,-9.782756653E0
5.544372917E-1,3.667373657E-2,1.204994202E-1,-9.777068481E0
5.644922917E-1,-6.286926270E-3,1.282832336E-1,-9.772428131E0
5.745472917E-1,-6.316864014E-2,1.529818726E-1,-9.792037354E0
5.846022917E-1,-1.160087585E-1,1.992356873E-1,-9.784403229E0
5.946572917E-1,-1.381626892E-1,2.345622253E-1,-9.788444824E0
6.047122917E-1,-1.441502380E-1,2.655477905E-1,-9.788145447E0
6.147662917E-1,-1.276844788E-1,2.670446777E-1,-9.794282684E0
6.248212917E-1,-8.681945801E-2,2.510279846E-1,-9.795031128E0
6.348762917E-1,-4.131408691E-2,2.447410583E-1,-9.800419922E0
6.449312917E-1,-3.891906738E-3,2.176473999E-1,-9.790989532E0
6.549862917E-1,2.424957275E-2,1.838177490E-1,-9.781858521E0
6.650412917E-1,4.969665527E-2,1.471440125E-1,-9.769134979E0
6.750962917E-1,5.044509888E-2,1.279838562E-1,-9.774074707E0
6.851512917E-1,3.382965088E-2,1.230441284E-1,-9.805209961E0
6.952062917E-1,2.679428101E-2,1.118174744E-1,-9.820029144E0
7.052612917E-1,2.110610962E-2,9.580078125E-2,-9.702972565E0
7.153162917E-1,-3.367996216E-2,1.613644409E-1,-9.791438599E0
7.253712917E-1,-3.502716064E-2,2.281256104E-1,-9.854158173E0
7.354262917E-1,-5.209167480E-2,2.633024597E-1,-9.712852020E0
7.454812917E-1,-6.616241455E-2,2.950364685E-1,-9.797875214E0
7.555362917E-1,-9.340576172E-2,3.203338623E-1,-9.810598755E0
7.655912917E-1,-1.303788757E-1,3.052153015E-1,-9.748328247E0
7.756462917E-1,-1.508862305E-1,2.544708252E-1,-9.809401245E0
7.857012917E-1,-1.646575928E-1,2.044747925E-1,-9.797276459E0
7.957562917E-1,-1.405577087E-1,1.369651794E-1,-9.742789764E0
8.058112917E-1,-9.145980835E-2,8.592132568E-2,-9.831255798E0
8.158662917E-1,-2.065704346E-2,7.963439941E-2,-9.747579803E0
8.259212917E-1,3.742218018E-2,8.532257080E-2,-9.790390778E0
8.359762917E-1,7.050338745E-2,1.369651794E-1,-9.776320038E0
8.460305417E-1,7.858657837E-2,1.989363098E-1,-9.767937469E0
8.560855417E-1,6.077362061E-2,2.694396973E-1,-9.785600739E0
8.661405417E-1,1.332229614E-2,3.284170532E-1,-9.778715057E0
8.761955417E-1,-5.239105225E-2,3.441343689E-1,-9.766889648E0
8.862505417E-1,-9.714797974E-2,3.128494263E-1,-9.799521790E0
8.963055417E-1,-1.219963074E-1,2.624043274E-1,-9.773775330E0
9.063605417E-1,-1.239422607E-1,1.857637024E-1,-9.809251556E0
9.164155417E-1,-1.031355286E-1,1.065783691E-1,-9.763746185E0
9.264705417E-1,-9.116043091E-2,5.897735596E-2,-9.781259766E0
9.365255417E-1,-6.601272583E-2,5.254074097E-2,-9.799521790E0
9.465805417E-1,-5.912704468E-2,9.190887451E-2,-9.778715057E0
9.566355417E-1,-4.580474854E-2,1.487905884E-1,-9.785001984E0
9.666905417E-1,-3.652404785E-2,2.285746765E-1,-9.789342957E0
9.767455417E-1,-1.107696533E-2,2.947370911E-1,-9.769733734E0
9.868005417E-1,-2.694396973E-3,3.191363525E-1,-9.798473969E0
9.968555417E-1,1.242416382E-2,3.263214111E-1,-9.785001984E0
1.006910542E0,3.861968994E-2,2.915936279E-1,-9.772278442E0
1.016965542E0,4.655319214E-2,2.248324585E-1,-9.786199493E0
1.027020542E0,2.499801636E-2,1.728904724E-1,-9.771829376E0
1.037075542E0,-2.993774414E-2,1.209484863E-1,-9.792187042E0
1.047130542E0,-9.325607300E-2,1.026864624E-1,-9.786798248E0
1.057185542E0,-1.480421448E-1,1.161584473E-1,-9.778265991E0
1.067240542E0,-1.901046753E-1,1.501377869E-1,-9.817035370E0
1.077295542E0,-1.713935852E-1,1.902543640E-1,-9.801767120E0
1.087350542E0,-1.222956848E-1,2.146536255E-1,-9.780211945E0
1.097405542E0,-4.116439819E-2,2.321672058E-1,-9.768985291E0
1.107460542E0,1.317260742E-2,2.607577515E-1,-9.770631866E0
1.117515542E0,4.715194702E-2,2.603086853E-1,-9.776619415E0
1.127570542E0,6.047424316E-2,2.439926147E-1,-9.756561127E0
1.137625542E0,4.819976807E-2,2.183958435E-1,-9.770781555E0
1.147680542E0,2.380050659E-2,2.007325745E-1,-9.790540466E0
1.157735542E0,5.388793945E-3,1.721420288E-1,-9.767488403E0
1.167790542E0,-3.293151855E-3,1.532812500E-1,-9.723030853E0
1.177845542E0,-4.460723877E-2,1.460961914E-1,-9.867480469E0
1.187900542E0,-4.640350342E-2,1.411564636E-1,-9.769434357E0
1.197955542E0,-6.511459351E-2,1.315763855E-1,-9.785151672E0
1.208010542E0,1.101708984E-1,1.631607056E-1,-9.818981323E0
1.218065542E0,8.548722839E-1,2.083666992E-1,-9.799821167E0
1.228120542E0,1.071471863E0,7.484436035E-2,-9.735604706E0
1.238175542E0,1.188827820E0,-3.823049927E-1,-9.816885681E0
1.248230542E0,6.201603699E-1,-6.427633667E-1,-9.749525757E0
1.258285542E0,-3.682342529E-1,-4.965174866E-1,-9.803713074E0
