"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.619166667E-2,-4.784080505E0,3.750259018E1,4.153846741E1
2.624566667E-2,-4.922073364E0,3.737192917E1,4.170800018E1
3.630066667E-2,-4.930992126E0,3.745790863E1,4.169151306E1
4.635566667E-2,-4.879104614E0,3.733034897E1,4.128157043E1
5.641066667E-2,-4.832778931E0,3.738511658E1,4.119382477E1
6.646566667E-2,-4.672416687E0,3.734088135E1,4.119161224E1
7.652066667E-2,-4.870529175E0,3.729354858E1,4.106297302E1
8.657566667E-2,-4.920204163E0,3.734597397E1,4.136624908E1
9.663066667E-2,-5.128974915E0,3.719094467E1,4.167930603E1
1.066856667E-1,-5.346374512E0,3.739714813E1,4.143494415E1
1.167396667E-1,-5.494644165E0,3.709827042E1,4.144308472E1
1.267946667E-1,-5.313629150E0,3.715525818E1,4.161648560E1
1.368496667E-1,-5.226211548E0,3.720280457E1,4.151144409E1
1.469046667E-1,-4.956222534E0,3.719960403E1,4.126323700E1
1.569596667E-1,-5.027267456E0,3.746622086E1,4.149272919E1
1.670146667E-1,-5.047630310E0,3.733882523E1,4.161991882E1
1.770696667E-1,-4.994926453E0,3.720399857E1,4.154263306E1
1.871246667E-1,-5.070762634E0,3.710113144E1,4.125993347E1
1.971796667E-1,-4.965812683E0,3.708583832E1,4.148047638E1
2.072346667E-1,-5.119377136E0,3.717312622E1,4.130290985E1
2.172886667E-1,-5.071235657E0,3.711370850E1,4.150845337E1
2.273436667E-1,-5.084304810E0,3.728108215E1,4.153280640E1
2.373986667E-1,-5.084716797E0,3.733004761E1,4.143207550E1
2.474536667E-1,-5.042648315E0,3.721743774E1,4.150972748E1
2.575086667E-1,-4.980239868E0,3.725401306E1,4.127370453E1
2.675636667E-1,-5.055839539E0,3.726967621E1,4.145104218E1
2.776186667E-1,-5.179908752E0,3.715989685E1,4.121476746E1
2.876736667E-1,-5.203376770E0,3.718829727E1,4.152385712E1
2.977286667E-1,-5.123123169E0,3.714708328E1,4.149731445E1
3.077826667E-1,-5.191963196E0,3.730527496E1,4.163331604E1
3.178376667E-1,-5.114166260E0,3.715510559E1,4.160881805E1
3.278926667E-1,-5.266952515E0,3.744826508E1,4.169654083E1
3.379476667E-1,-5.224746704E0,3.744523239E1,4.168556213E1
3.480026667E-1,-5.003715515E0,3.739247513E1,4.155619812E1
3.580576667E-1,-4.855270386E0,3.719620132E1,4.164939880E1
3.681126667E-1,-4.984359741E0,3.725623322E1,4.163105011E1
3.781676667E-1,-4.864433289E0,3.719993210E1,4.191601562E1
3.882226667E-1,-5.035171509E0,3.717420578E1,4.206796265E1
3.982776667E-1,-5.129760742E0,3.694069290E1,4.192167664E1
4.083316667E-1,-5.082916260E0,3.724658585E1,4.184958649E1
4.183866667E-1,-4.864723206E0,3.712823105E1,4.136033630E1
4.284416667E-1,-4.733848572E0,3.720112991E1,4.122702026E1
4.384966667E-1,-4.844718933E0,3.730892944E1,4.116091156E1
4.485516667E-1,-4.892654419E0,3.714105225E1,4.147123718E1
4.586066667E-1,-4.734848022E0,3.711213303E1,4.149613953E1
4.686616667E-1,-4.642654419E0,3.713879013E1,4.149980927E1
4.787166667E-1,-4.881164551E0,3.722687149E1,4.163115692E1
4.887716667E-1,-5.048805237E0,3.727233124E1,4.132720947E1
4.988256667E-1,-4.872512817E0,3.704778290E1,4.092447662E1
5.088806667E-1,-4.900505066E0,3.679339981E1,4.137809753E1
5.189356667E-1,-5.003334045E0,3.710534286E1,4.120652008E1
5.289906667E-1,-4.802925110E0,3.706117630E1,4.083016205E1
5.390456667E-1,-5.022117615E0,3.697603607E1,4.132093048E1
5.491006667E-1,-4.912216187E0,3.702930069E1,4.154698181E1
5.591556667E-1,-4.880989075E0,3.717900848E1,4.160124207E1
5.692106667E-1,-4.744171143E0,3.718105316E1,4.120816040E1
5.792656667E-1,-4.792510986E0,3.704043579E1,4.117030334E1
5.893206667E-1,-5.037414551E0,3.690241241E1,4.143812561E1
5.993746667E-1,-5.093574524E0,3.695438766E1,4.168185425E1
6.094296667E-1,-5.067672729E0,3.687899017E1,4.208313751E1
6.194846667E-1,-4.992530823E0,3.683767700E1,4.203630066E1
6.295396667E-1,-5.078842163E0,3.693226242E1,4.178678131E1
6.395946667E-1,-4.989486694E0,3.710884094E1,4.199681091E1
6.496496667E-1,-4.928703308E0,3.720502090E1,4.202782440E1
6.597042083E-1,-5.035713196E0,3.694019318E1,4.181504822E1
6.697592083E-1,-4.992683411E0,3.705935669E1,4.165335846E1
6.798142083E-1,-4.883346558E0,3.708203888E1,4.169210815E1
6.898682083E-1,-5.011734009E0,3.703395844E1,4.191410828E1
6.999232083E-1,-4.933059692E0,3.706769180E1,4.175578308E1
7.099782083E-1,-4.877861023E0,3.706567764E1,4.150303650E1
7.200332083E-1,-5.029930115E0,3.730978775E1,4.145964813E1
7.300882083E-1,-4.720405579E0,3.723616409E1,4.146799469E1
7.401432083E-1,-4.905242920E0,3.723569107E1,4.168770599E1
7.501982083E-1,-4.819725037E0,3.699822998E1,4.214445496E1
7.602532083E-1,-4.830688477E0,3.678162384E1,4.184384155E1
7.703082083E-1,-4.836357117E0,3.709596252E1,4.167974091E1
7.803622083E-1,-4.710823059E0,3.707796097E1,4.150705719E1
7.904172083E-1,-4.745582581E0,3.698884964E1,4.161159515E1
8.004722083E-1,-4.855758667E0,3.709957504E1,4.151631165E1
8.105272083E-1,-4.864990234E0,3.692826080E1,4.154058838E1
8.205822083E-1,-5.114395142E0,3.702062225E1,4.140515137E1
8.306372083E-1,-5.074089050E0,3.716990280E1,4.147377777E1
8.406922083E-1,-5.105255127E0,3.697953796E1,4.188642120E1
8.507472083E-1,-4.937797546E0,3.701458740E1,4.157008362E1
8.608022083E-1,-4.828048706E0,3.700089645E1,4.156040955E1
8.708572083E-1,-5.007865906E0,3.715017319E1,4.163016510E1
8.809112083E-1,-4.694763184E0,3.724839783E1,4.144046021E1
8.909662083E-1,-4.874656677E0,3.694741821E1,4.149341583E1
9.010212083E-1,-4.745605469E0,3.712002945E1,4.185545349E1
9.110762083E-1,-4.719970703E0,3.710269165E1,4.179859924E1
9.211312083E-1,-4.962562561E0,3.699861526E1,4.183654022E1
9.311862083E-1,-4.855621338E0,3.703536606E1,4.167619324E1
9.412412083E-1,-4.950386047E0,3.701381683E1,4.227201843E1
9.512962083E-1,-4.994094849E0,3.692249680E1,4.203458405E1
9.613512083E-1,-5.094558716E0,3.722723770E1,4.191034698E1
9.714052083E-1,-5.233139038E0,3.722427368E1,4.160924530E1
9.814602083E-1,-5.067298889E0,3.718031311E1,4.164973450E1
9.915152083E-1,-5.082595825E0,3.705123138E1,4.159089661E1
1.001570208E0,-4.977012634E0,3.715605927E1,4.162115479E1
1.011625208E0,-4.925270081E0,3.708621216E1,4.164546204E1
1.021680208E0,-5.260063171E0,3.709543228E1,4.146150208E1
1.031735208E0,-4.866844177E0,3.719456863E1,4.152333832E1
1.041790208E0,-4.487655640E0,3.728971863E1,4.163865662E1
1.051845208E0,-4.241058350E0,3.713224411E1,4.175354767E1
1.061899208E0,-4.252548218E0,3.715176392E1,4.145512390E1
1.071954208E0,-3.984649658E0,3.729994583E1,4.165683746E1
1.082009208E0,-3.876632690E0,3.723607254E1,4.187933350E1
1.092064208E0,-3.143386841E0,3.733991241E1,4.210784912E1
1.102119208E0,-2.764839172E0,3.750175476E1,4.203606415E1
1.112174208E0,-2.504501343E0,3.764899826E1,4.211054993E1
1.122229208E0,-2.205070496E0,3.755417252E1,4.161774445E1
1.132284208E0,-1.663146973E0,3.756850052E1,4.188356781E1
1.142339208E0,-1.698707581E0,3.753211212E1,4.187239838E1
1.152394208E0,-1.340347290E0,3.754241943E1,4.151934052E1
1.162448208E0,-1.176055908E0,3.757596207E1,4.137982941E1
1.172503208E0,-8.647918701E-1,3.770118713E1,4.146916199E1
1.182558208E0,-6.825256348E-1,3.775070953E1,4.165880585E1
1.192613208E0,-3.995742798E-1,3.775833130E1,4.151898956E1
1.202668208E0,2.376022339E-1,3.764790344E1,4.188248444E1
1.212723208E0,4.734420776E-1,3.768339920E1,4.173775482E1
1.222778208E0,9.567718506E-1,3.772402573E1,4.196397400E1
1.232833208E0,1.488540649E0,3.766953278E1,4.197217560E1
1.242888208E0,1.712829590E0,3.762876511E1,4.179610443E1
