"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.718499989E-3,3.144960022E-1,4.242178345E-1,9.872420197E0
1.177449999E-2,3.029699707E-1,3.658392334E-1,9.843380585E0
2.183049999E-2,2.448907471E-1,2.371069336E-1,9.872270508E0
3.188549999E-2,1.230441284E-1,1.317260742E-1,9.843530273E0
4.194149999E-2,2.380050659E-2,5.733078003E-2,9.833351440E0
5.199749999E-2,-1.347198486E-3,4.370910645E-2,9.856553192E0
6.205250000E-2,2.484832764E-2,9.056167603E-2,9.841734009E0
7.210850000E-2,9.774673462E-2,1.743873596E-1,9.861642609E0
8.216370833E-2,1.537303162E-1,2.863545227E-1,9.890083466E0
9.221970833E-2,1.561253357E-1,3.632945251E-1,9.864636383E0
1.022757083E-1,1.199006653E-1,3.980223083E-1,9.872719574E0
1.123307083E-1,3.607498169E-2,3.790118408E-1,9.863887939E0
1.223867083E-1,-2.574645996E-2,3.263214111E-1,9.837093658E0
1.324427083E-1,-4.430786133E-2,2.405497742E-1,9.824819183E0
1.424977083E-1,1.392105103E-2,1.854643250E-1,9.822274475E0
1.525537083E-1,1.428030396E-1,1.365161133E-1,9.848320312E0
1.626097083E-1,2.766247559E-1,1.163081360E-1,9.888885956E0
1.726647083E-1,3.689826965E-1,1.472937012E-1,9.892777863E0
1.827207083E-1,3.966751099E-1,1.941462708E-1,9.870923309E0
1.927767083E-1,3.239263916E-1,2.338137817E-1,9.877958679E0
2.028317083E-1,1.895059204E-1,2.618055725E-1,9.834099884E0
2.128877083E-1,3.772155762E-2,2.775228882E-1,9.837243347E0
2.229437083E-1,-7.753875732E-2,2.862048340E-1,9.848619690E0
2.329987083E-1,-1.239422607E-1,2.802172852E-1,9.830507355E0
2.430547083E-1,-9.026229858E-2,2.797682190E-1,9.852212219E0
2.531107083E-1,1.541793823E-2,2.679428101E-1,9.853409729E0
2.631657083E-1,1.231938171E-1,2.565664673E-1,9.848769379E0
2.732217083E-1,2.146536255E-1,2.389031982E-1,9.876910858E0
2.832767083E-1,2.436932373E-1,2.140548706E-1,9.884095917E0
2.933327083E-1,2.242337036E-1,1.892065430E-1,9.877808990E0
3.033887083E-1,1.697470093E-1,1.672023010E-1,9.859546967E0
3.134437083E-1,1.184037781E-1,1.630110168E-1,9.840386810E0
3.234997083E-1,1.101708984E-1,1.824705505E-1,9.828860779E0
3.335557083E-1,1.395098877E-1,2.222877502E-1,9.854008484E0
3.436107083E-1,1.984872437E-1,2.737806702E-1,9.871971130E0
3.536667083E-1,2.287243652E-1,3.200344849E-1,9.875713348E0
3.637227083E-1,2.409988403E-1,3.441343689E-1,9.870773621E0
3.737777083E-1,1.947450256E-1,3.367996216E-1,9.863139496E0
3.838337083E-1,9.999206543E-2,2.954855347E-1,9.847122803E0
3.938897083E-1,1.631607056E-2,2.339634705E-1,9.839488678E0
4.039447083E-1,-4.670288086E-2,1.718426514E-1,9.853858795E0
4.140007083E-1,-5.703140259E-2,1.272354126E-1,9.859097900E0
4.240557083E-1,-1.511856079E-2,1.145118713E-1,9.854457550E0
4.341117083E-1,8.292755127E-2,1.405577087E-1,9.854607239E0
4.441677083E-1,1.913021851E-1,1.929487610E-1,9.854607239E0
4.542227083E-1,2.585124207E-1,2.504292297E-1,9.837542725E0
4.642787083E-1,2.947370911E-1,3.050656128E-1,9.895921326E0
4.743347083E-1,2.716850281E-1,3.359014893E-1,9.925859070E0
4.843897083E-1,1.969903564E-1,3.308120728E-1,9.806856537E0
4.944457083E-1,1.264869690E-1,3.076103210E-1,9.879455566E0
5.045017083E-1,6.197113037E-2,2.683918762E-1,9.866432648E0
5.145567083E-1,3.667373657E-2,2.170486450E-1,9.786947937E0
5.246127083E-1,6.301895142E-2,1.833686829E-1,9.889484711E0
5.346687083E-1,1.043330383E-1,1.706451416E-1,9.867929535E0
5.447237083E-1,1.429527283E-1,1.682501221E-1,9.844129028E0
5.547797083E-1,1.531315613E-1,1.854643250E-1,9.892328796E0
5.648357083E-1,1.395098877E-1,2.128573608E-1,9.852361908E0
5.748907083E-1,1.089733887E-1,2.404000854E-1,9.833351440E0
5.849467083E-1,7.783813477E-2,2.655477905E-1,9.868228912E0
5.950017083E-1,6.885681152E-2,2.806663513E-1,9.826166382E0
6.050577083E-1,7.828720093E-2,2.897973633E-1,9.849817200E0
6.151137083E-1,1.207987976E-1,2.866539001E-1,9.865833893E0
6.251687083E-1,1.740879822E-1,2.830613708E-1,9.832453308E0
6.352247083E-1,2.201921082E-1,2.537223816E-1,9.869127045E0
6.452807083E-1,2.333647156E-1,2.255809021E-1,9.872120819E0
6.553357083E-1,2.026785278E-1,2.119592285E-1,9.846224670E0
6.653917083E-1,1.475930786E-1,1.794767761E-1,9.885293427E0
6.754477083E-1,7.738906860E-2,1.661544800E-1,9.855655060E0
6.855027083E-1,4.086502075E-2,1.773811340E-1,9.831106110E0
6.955587083E-1,2.649490356E-2,1.974394226E-1,9.859546967E0
7.056147083E-1,3.891906738E-2,2.468367004E-1,9.839338989E0
7.156697083E-1,8.951385498E-2,2.788700867E-1,9.847721558E0
7.257257083E-1,1.267863464E-1,3.209326172E-1,9.769733734E0
7.357807083E-1,9.984237671E-2,3.381468201E-1,9.560468903E0
7.458367083E-1,1.293310547E-1,2.959346008E-1,9.845925293E0
7.558927083E-1,2.303709412E-1,2.656974792E-1,1.014799713E1
7.659477083E-1,2.760260010E-1,2.383044434E-1,1.006521927E1
7.760037083E-1,2.098635864E-1,1.110690308E-1,9.854457550E0
7.860597083E-1,1.558259583E-1,8.202941895E-2,9.752669220E0
7.961147083E-1,1.694476318E-1,1.454974365E-1,9.801916809E0
8.061707083E-1,2.056723022E-1,1.499880981E-1,9.852810974E0
8.162267083E-1,2.409988403E-1,1.844165039E-1,9.858648834E0
8.262817083E-1,2.357597351E-1,2.267784119E-1,9.823322296E0
8.363377083E-1,2.254312134E-1,2.639012146E-1,9.871072998E0
8.463937083E-1,2.079176331E-1,2.689906311E-1,9.920919342E0
8.564487083E-1,1.697470093E-1,2.486329651E-1,9.984237671E0
8.665047083E-1,1.478924561E-1,2.368075562E-1,9.993368683E0
8.765597083E-1,1.410067749E-1,2.058219910E-1,1.005099884E1
8.866157083E-1,1.357676697E-1,1.808239746E-1,1.008572662E1
8.966717083E-1,1.008901978E-1,1.953437805E-1,9.899364166E0
9.067267083E-1,5.688171387E-2,2.189945984E-1,9.512718201E0
9.167827083E-1,3.203338623E-2,2.567161560E-1,9.205257568E0
9.268387083E-1,1.252894592E-1,2.417472839E-1,9.605974274E0
9.368937083E-1,1.731898499E-1,2.186952209E-1,9.889185333E0
9.469497083E-1,2.264790344E-1,2.101629639E-1,1.020083725E1
9.570057083E-1,2.131567383E-1,2.165995789E-1,1.026969406E1
9.670607083E-1,1.254391479E-1,2.571652222E-1,9.999805298E0
9.771167083E-1,4.505630493E-2,3.001258850E-1,9.681567078E0
9.871717083E-1,4.400848389E-2,3.044668579E-1,9.674831085E0
9.972277083E-1,9.265731812E-2,2.824626160E-1,9.851314087E0
1.007283708E0,1.395098877E-1,2.517764282E-1,9.992620239E0
1.017338708E0,1.281335449E-1,2.103126526E-1,9.933044128E0
1.027394708E0,8.187973022E-2,3.053649902E-2,9.669142914E0
1.037450708E0,9.355545044E-2,-1.507365417E-1,9.689350891E0
1.047505708E0,1.526824951E-1,-8.217910767E-2,9.920919342E0
1.057561708E0,3.055146790E-1,-2.993774414E-2,9.880054321E0
1.067617708E0,2.258802795E-1,2.514770508E-1,9.882599030E0
1.077672625E0,9.729766846E-3,5.620811462E-1,9.891430664E0
1.087728625E0,-4.999603271E-2,6.430627441E-1,9.819430389E0
1.097784625E0,-3.592529297E-2,5.379812622E-1,9.818232880E0
1.107839625E0,8.711883545E-2,4.064048767E-1,9.887389069E0
1.117895625E0,9.595046997E-2,3.597019958E-1,9.860145721E0
1.127950625E0,7.469467163E-2,2.968327332E-1,9.855056305E0
1.138006625E0,4.625381470E-2,2.594105530E-1,9.857601013E0
1.148062625E0,3.068618774E-2,2.122586060E-1,9.858648834E0
1.158117625E0,4.849914551E-2,2.064207458E-1,9.848170624E0
1.168173625E0,8.637039185E-2,2.180964661E-1,9.856702881E0
1.178229625E0,1.175056458E-1,2.188449097E-1,9.855505371E0
1.188284625E0,1.248403931E-1,2.511776733E-1,9.848619690E0
1.198340625E0,1.425036621E-1,2.788700867E-1,9.884395294E0
1.208396625E0,1.448986816E-1,3.098556519E-1,9.846973114E0
1.218451625E0,1.314266968E-1,3.071612549E-1,9.836943970E0
1.228507625E0,6.855743408E-2,2.918930054E-1,9.868079224E0
1.238562625E0,1.496887207E-2,2.609074402E-1,9.861941986E0
1.248618625E0,2.035766602E-2,2.291734314E-1,9.853559418E0
1.258674625E0,6.107299805E-2,2.212399292E-1,9.849817200E0
1.268729625E0,7.214996338E-2,2.092648315E-1,9.839189301E0
1.278785625E0,1.101708984E-1,2.173480225E-1,9.870474243E0
1.288841625E0,1.149609375E-1,2.140548706E-1,9.873917084E0
1.298896625E0,1.020877075E-1,2.291734314E-1,9.850116577E0
1.308952625E0,1.041833496E-1,2.345622253E-1,9.864187317E0
1.319008625E0,8.472381592E-2,2.505789185E-1,9.864786072E0
1.329063625E0,7.214996338E-2,2.754272461E-1,9.858499146E0
1.339119625E0,7.289840698E-2,2.911445618E-1,9.848769379E0
1.349175625E0,8.831634521E-2,2.993774414E-1,9.846973114E0
1.359230625E0,9.804611206E-2,2.869532776E-1,9.865534515E0
1.369286625E0,1.178050232E-1,2.607577515E-1,9.865833893E0
1.379341625E0,1.246907043E-1,2.371069336E-1,9.867181091E0
1.389397625E0,1.062789917E-1,2.125579834E-1,9.852661285E0
1.399453625E0,9.849517822E-2,2.052232361E-1,9.847871246E0
1.409508625E0,8.666976929E-2,1.775308228E-1,9.907447357E0
1.419564625E0,3.532653809E-2,1.507365417E-1,9.876761169E0
1.429620625E0,-2.454895020E-2,8.472381592E-2,9.893675995E0
1.439675625E0,-1.131646729E-1,-1.945953369E-3,9.923314362E0
1.449731625E0,-2.261796570E-1,-1.101708984E-1,9.887239380E0
1.459787625E0,-1.170565796E-1,-1.466949463E-2,9.834249573E0
1.469842625E0,1.281335449E-1,6.316864014E-2,9.815538483E0
1.479898625E0,1.333726501E-1,8.771759033E-2,9.926457825E0
1.489953625E0,5.957611084E-2,3.817062378E-2,9.956545258E0
1.500009625E0,-3.263214111E-2,1.685494995E-1,9.944719849E0
1.510065625E0,9.011260986E-2,-2.501298523E-1,1.016176849E1
1.520120625E0,2.080673218E-1,-5.447172546E-1,1.004965164E1
1.530176625E0,8.921447754E-2,-3.891906738E-1,9.900411987E0
1.540232625E0,-1.407073975E-1,-4.138893127E-1,9.972861328E0
1.550287625E0,-3.577560425E-1,-5.028044128E-1,9.928553467E0
1.560343625E0,-6.975494385E-1,-6.836283875E-1,1.000399658E1
1.570399625E0,-2.890489197E-1,-4.388873291E-1,1.044018951E1
1.580454625E0,1.075962524E0,1.080453186E0,1.239766891E1
1.590510625E0,1.946252747E0,1.824555817E0,1.344833405E1
1.600565625E0,1.431323547E0,1.991608429E0,1.354997269E1
1.610621625E0,1.191372528E0,1.428329773E0,1.338546478E1
1.620677625E0,6.978488159E-1,2.501298523E-1,1.272069717E1
1.630732625E0,-6.140231323E-1,-6.162684631E-1,1.236832993E1
1.640788625E0,-2.256557465E0,-9.467811584E-1,1.328801743E1
1.650844625E0,-2.229314117E0,-4.960684204E-1,1.018317398E1
1.660899625E0,-3.023712158E0,3.824546814E-1,8.786578217E0
1.670955625E0,-3.562741241E0,3.586541748E-1,7.903265076E0
1.681011625E0,-3.904630280E0,-2.514770508E-2,7.474107513E0
1.691066625E0,-3.890559540E0,-3.104544067E-1,7.835306396E0
1.701122625E0,-4.146527252E0,-3.019221497E-1,8.319998474E0
1.711177625E0,-4.913083191E0,-7.990383911E-1,9.108408966E0
1.721233625E0,-5.572012939E0,-1.688638458E0,9.096882935E0
1.731289625E0,-6.526727600E0,-1.746867371E0,8.310418396E0
1.741344625E0,-7.708669739E0,-1.474134521E0,7.115603027E0
1.751400625E0,-9.223669281E0,-1.126557312E0,6.026318207E0
1.761456625E0,-1.019245468E1,-1.159189453E0,5.112318878E0
1.771511625E0,-1.045665527E1,-1.329984283E0,4.298311615E0
1.781567625E0,-1.051233948E1,-1.390458527E0,3.425326996E0
