"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.632416676E-3,-8.886324940E-4,2.828265715E-4,-2.209161408E-3
1.468741667E-2,-9.171282873E-4,6.990786642E-4,-1.432583202E-3
2.474241667E-2,1.403105794E-3,-1.684611430E-3,-7.554884069E-4
3.479741667E-2,-7.114441833E-4,1.421167050E-3,2.169994172E-3
4.485341666E-2,1.155772130E-3,4.711159563E-4,3.994735423E-3
5.490841667E-2,1.911751460E-4,-1.081506955E-3,2.108950634E-3
6.496341668E-2,-5.806878908E-4,1.606210833E-3,4.670498893E-4
7.501941668E-2,-1.349808765E-3,1.715666731E-3,-2.156430390E-3
8.507441667E-2,1.189814182E-3,-2.005346760E-4,-7.040407509E-3
9.512941667E-2,2.125649014E-3,-1.081229711E-4,-7.549869828E-3
1.051844167E-1,2.736606868E-3,-2.259008354E-3,-7.385253906E-3
1.152404167E-1,-9.750408353E-4,-2.600397856E-4,-6.939440500E-3
1.252954167E-1,-4.019002663E-4,-2.335291589E-3,-1.869630069E-4
1.353504167E-1,-2.625107300E-3,-1.477710030E-4,2.444239799E-3
1.454064167E-1,1.571218134E-3,-1.231749542E-3,8.865228854E-3
1.554614167E-1,7.666770834E-4,-1.029615523E-3,6.046539173E-3
1.655164167E-1,-2.326912014E-3,4.214060027E-6,3.402795643E-3
1.755714167E-1,-8.464608691E-4,1.884938334E-3,-2.771743108E-3
1.856274167E-1,7.572041359E-4,3.275291994E-3,-2.947142348E-3
1.956824167E-1,-8.883631090E-4,7.417237794E-5,-6.125625223E-3
2.057374167E-1,-1.887504128E-3,-2.058325917E-4,-2.226435579E-3
2.157934167E-1,1.227861620E-3,1.632547472E-3,-2.557200380E-3
2.258484167E-1,-6.631501019E-4,1.025231089E-3,5.986839533E-4
2.359034167E-1,5.057704402E-5,1.048666891E-3,3.926835954E-3
2.459584167E-1,-5.225860514E-4,2.064155706E-4,1.823171973E-3
2.560144167E-1,8.105923771E-4,-1.147801755E-3,5.483420566E-3
2.660694167E-1,2.403639024E-3,4.994116025E-4,5.953246728E-4
2.761244167E-1,-1.689106924E-3,-1.107007149E-3,-4.072664306E-3
2.861794167E-1,-6.607976975E-4,-8.880881360E-4,-3.135434352E-3
2.962354167E-1,1.826254011E-4,-4.465360544E-4,-1.966572832E-3
3.062904167E-1,4.355607089E-4,-2.533226740E-3,7.451432757E-4
3.163454167E-1,2.539724112E-3,-3.441083827E-4,3.147048410E-3
3.264014167E-1,5.682494957E-4,-1.090864651E-3,3.796065226E-3
3.364564167E-1,-4.980802187E-4,-6.455840776E-4,3.998464905E-3
3.465119167E-1,2.866658033E-4,1.525061438E-3,1.890143380E-3
3.565669167E-1,6.869389326E-4,2.568754135E-3,-1.311242115E-3
3.666229167E-1,5.957634421E-4,1.475356054E-3,-3.120117821E-3
3.766779167E-1,-1.072973246E-3,8.335342864E-4,-5.526550114E-3
3.867329167E-1,-4.301022273E-5,-1.046639169E-3,-4.080630839E-3
3.967889167E-1,-3.154381411E-3,7.089166320E-4,-9.894995019E-4
4.068439167E-1,-1.426960109E-3,-7.006938104E-4,2.376783174E-3
4.168989167E-1,8.447162108E-4,7.680395502E-4,6.433309522E-3
4.269539167E-1,1.733747195E-5,-2.074685879E-3,4.578058608E-3
4.370099167E-1,3.297262592E-4,-2.110638423E-3,3.925849684E-3
4.470649167E-1,-1.423224690E-3,-4.008506425E-3,-1.066243276E-4
4.571199167E-1,-2.095939126E-3,-4.345928784E-3,-3.582848702E-3
4.671759167E-1,4.756582202E-4,-1.508323010E-3,-4.523986485E-3
4.772309167E-1,-1.524109393E-3,1.101308502E-3,-3.290144028E-3
4.872859167E-1,-6.575761945E-4,-1.902052027E-4,-2.529825084E-3
4.973409167E-1,1.601583324E-3,6.675989716E-4,4.997896031E-5
5.073969167E-1,-1.513186260E-3,-1.329364488E-3,5.263396539E-3
5.174519167E-1,-1.381093520E-3,-1.251333859E-3,5.702818744E-3
5.275069167E-1,7.431530394E-4,-8.749329136E-4,5.568001419E-3
5.375629167E-1,-1.076584915E-3,5.586467450E-4,2.693119459E-3
5.476179167E-1,8.077417733E-4,1.745518064E-3,4.345723428E-4
5.576729167E-1,1.805673674E-4,5.710641854E-4,-3.374280874E-3
5.677279167E-1,1.273910631E-3,6.327370065E-4,-5.479471758E-3
5.777839167E-1,-1.508805435E-4,-1.713774167E-3,-4.810485989E-3
5.878389167E-1,2.005802817E-4,-3.670984297E-4,-1.247040927E-6
5.978939167E-1,-4.208548926E-3,-2.036367776E-3,1.404635608E-3
6.079499167E-1,-1.742037712E-3,8.537895046E-4,2.934788354E-3
6.180049167E-1,-1.434442587E-3,-2.801399212E-3,5.075703375E-3
6.280599167E-1,8.818853530E-5,-7.630441687E-4,3.931560554E-3
6.381149167E-1,1.086948614E-4,3.395045060E-4,-1.259207260E-3
6.481709167E-1,5.950937630E-4,1.804806176E-3,-4.358813632E-3
6.582259167E-1,8.989603957E-4,3.121044429E-4,-3.897287883E-3
6.682809167E-1,-2.040258609E-3,1.519951737E-3,-3.024098929E-3
6.783359167E-1,-4.540800874E-4,2.345265355E-3,-3.622777527E-3
6.883919167E-1,-3.348149825E-3,1.849982073E-3,1.091401093E-3
6.984469167E-1,-1.157167135E-3,2.440958924E-4,2.079433762E-3
7.085019167E-1,1.377945649E-3,-3.255622694E-3,3.937918693E-3
7.185579167E-1,1.166726288E-4,-3.831370559E-4,2.314721234E-3
7.286129167E-1,-5.079422262E-4,-2.510888735E-3,-2.741859760E-3
7.386679167E-1,-1.163346111E-3,-1.128175762E-3,-2.793524880E-3
7.487229167E-1,2.983152168E-3,-6.887619384E-4,-5.181870423E-3
7.587789167E-1,4.656660312E-4,-2.152967965E-3,-5.907315761E-3
7.688339167E-1,2.735587186E-4,-7.295274409E-4,-1.842313912E-3
7.788889167E-1,-2.240465255E-3,9.301545797E-4,5.718418397E-4
7.889449167E-1,-1.116128755E-3,-6.568265962E-5,4.176514223E-3
7.989999167E-1,1.364339492E-3,1.363902236E-3,4.655882716E-3
8.090549167E-1,-2.151491819E-3,-7.387069054E-4,1.470383257E-3
8.191099167E-1,-7.562618121E-4,3.814186493E-4,-2.076746896E-4
8.291659167E-1,3.902566619E-3,-5.975199747E-5,-1.621721312E-4
8.392209167E-1,-6.626241375E-4,-2.949091140E-4,-3.070343751E-3
8.492759167E-1,1.628344413E-3,2.859233413E-3,-3.813861171E-3
8.593319167E-1,1.702912850E-3,1.332975924E-3,-2.170690801E-3
8.693869167E-1,2.791557228E-3,1.735506114E-3,-2.594946418E-3
8.794419167E-1,6.232116139E-4,3.003286256E-4,-5.975756794E-4
8.894969167E-1,-6.768760504E-4,1.311943983E-3,3.778012469E-3
8.995529167E-1,-6.318686064E-4,-1.426318195E-3,5.179367959E-3
9.096079167E-1,-2.268152079E-3,1.745734189E-4,5.253538489E-3
9.196629167E-1,7.244420704E-4,-2.893492347E-4,1.405803487E-3
9.297179167E-1,-4.680715210E-4,-9.626557585E-4,2.522533759E-4
9.397739167E-1,-4.827188968E-4,-6.143143401E-4,-3.900946584E-3
9.498289167E-1,-1.813846640E-3,-1.336985384E-3,-2.918563085E-3
9.598839167E-1,-1.080944669E-3,-4.908069968E-5,-1.842379570E-3
9.699399167E-1,-1.579503529E-3,1.054273220E-3,1.169275492E-4
9.799949167E-1,-1.344612800E-3,-2.059494611E-3,2.010967582E-3
9.900499167E-1,3.173076315E-3,7.375302957E-4,2.272816375E-3
1.000104917E0,-1.420610119E-3,7.982503157E-4,1.759892330E-3
1.010160917E0,-1.437578234E-3,1.348145452E-4,-1.081423834E-4
1.020215917E0,5.831930321E-5,2.554557286E-4,-7.614158094E-4
1.030270917E0,1.616679248E-3,-1.092992723E-3,-1.866015606E-3
1.040326917E0,-7.895540330E-5,7.826716173E-4,-1.502494328E-3
1.050381917E0,-8.706245571E-4,-6.976907607E-4,2.192805056E-3
1.060436917E0,-2.913002856E-3,-4.239177797E-4,1.765256748E-4
1.070491917E0,-1.937101479E-3,1.618885901E-3,6.559318863E-4
1.080547917E0,1.008088468E-3,6.542889168E-4,4.051728174E-3
1.090602917E0,2.165743936E-4,6.888408680E-4,-3.085387871E-4
1.100657917E0,1.169721654E-4,1.581266057E-3,-7.418030873E-5
1.110713917E0,-1.787595684E-4,5.121797440E-4,-3.793737385E-3
1.120768917E0,1.655892003E-3,1.920459326E-3,-4.900280852E-3
1.130823917E0,-8.227827493E-6,1.485117478E-3,-1.536545344E-3
1.140878917E0,1.214429503E-3,6.651301519E-4,-2.626577392E-3
1.150934917E0,5.953394575E-4,-7.837368175E-4,3.353873733E-3
1.160989917E0,-1.442511450E-3,-4.793374974E-4,5.019947421E-3
1.171044917E0,1.309409505E-3,1.952347811E-3,4.551669583E-3
1.181100917E0,-8.730510599E-4,1.261790050E-3,3.815305419E-3
1.191155917E0,-2.456994262E-4,-5.145625910E-4,3.954940476E-4
1.201210917E0,-4.331860109E-4,1.966171898E-3,-1.957674976E-3
1.211265917E0,7.768184878E-4,-7.502335357E-4,-2.266841009E-3
1.221321917E0,-3.374481457E-4,-9.784664726E-4,-3.082833486E-3
1.231376917E0,-2.371818991E-4,-3.330535954E-3,-3.137339139E-3
1.241431917E0,-6.150844856E-4,7.422362687E-4,9.687226266E-4
1.251486917E0,-1.269758912E-3,-1.373942941E-3,1.640572213E-3
1.261542917E0,4.210820771E-4,2.838379005E-3,5.268862471E-3
1.271597917E0,-9.012624505E-4,1.730015036E-3,2.469194587E-3
1.281652917E0,1.480935141E-3,4.682093568E-4,2.009266522E-3
1.291708917E0,9.706848650E-4,-2.358667552E-3,-1.603952609E-3
1.301763917E0,-2.136228723E-4,4.038295010E-4,-2.576006111E-3
1.311818917E0,-7.664648583E-4,3.084795899E-4,-4.179246724E-3
1.321873917E0,2.518810565E-3,-3.783496213E-4,-4.928992130E-4
1.331929917E0,-4.473652225E-4,5.737359170E-4,-5.594547838E-4
1.341984792E0,1.170505071E-3,5.510990741E-4,2.987342887E-3
1.352039792E0,-2.026648493E-3,1.116408966E-3,2.327804454E-3
1.362095792E0,-1.105727395E-3,-1.491252333E-4,3.128084354E-3
1.372150792E0,3.966942022E-4,-2.542334842E-4,9.452775121E-4
1.382205792E0,8.694052813E-4,-3.088282538E-4,1.402275637E-3
1.392260792E0,-3.271258436E-3,-8.865377749E-4,-1.827456057E-3
1.402316792E0,-3.428464406E-4,-5.762794754E-4,-1.044753008E-3
1.412371792E0,1.389955869E-3,-2.747818944E-4,-2.295569517E-3
1.422426792E0,2.162368037E-5,1.689299359E-3,1.085046679E-3
1.432481792E0,-1.807316672E-3,2.620827407E-3,5.424912088E-4
1.442537792E0,1.776765450E-3,-4.719014105E-4,-3.565917723E-4
1.452592792E0,-1.878691372E-3,9.725861019E-4,1.059411094E-3
1.462647792E0,2.453739056E-3,8.639291045E-4,9.179967456E-4
1.472703792E0,7.498262567E-4,7.771599921E-4,-1.637988724E-3
1.482758792E0,-6.350313197E-5,-8.287262172E-4,-4.769333638E-3
1.492813792E0,1.382735791E-4,9.391778149E-4,-2.002099529E-3
1.502868792E0,1.473848941E-3,-1.977516338E-3,-1.781057101E-3
1.512924792E0,4.127962166E-5,-4.728530475E-4,1.415245235E-3
1.522979792E0,8.194553084E-4,-5.526942550E-5,2.079970203E-3
