"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.557454165E-2,4.062606812E0,3.349167633E1,-4.219833374E1
6.562841666E-2,4.138126373E0,3.334035110E1,-4.248297119E1
7.568341665E-2,4.069551468E0,3.349061584E1,-4.236224365E1
8.573841664E-2,4.052185059E0,3.352688599E1,-4.242541504E1
9.579241666E-2,4.230642319E0,3.343415070E1,-4.206842041E1
1.058474166E-1,4.060493469E0,3.359074402E1,-4.203649902E1
1.159024167E-1,4.327747345E0,3.356446457E1,-4.196859741E1
1.259564167E-1,4.015005112E0,3.378934479E1,-4.208782959E1
1.360114166E-1,4.004196167E0,3.344334030E1,-4.219186401E1
1.460664167E-1,4.007669449E0,3.339433670E1,-4.197488403E1
1.561204167E-1,4.011234283E0,3.355407715E1,-4.239093018E1
1.661754167E-1,3.910249710E0,3.366789246E1,-4.190823364E1
1.762304167E-1,3.898069382E0,3.369091034E1,-4.175906372E1
1.862844166E-1,3.831846237E0,3.346398926E1,-4.182281494E1
1.963394167E-1,3.934854507E0,3.341337967E1,-4.161398315E1
2.063944167E-1,3.834619522E0,3.337695694E1,-4.185638428E1
2.164484166E-1,3.708251953E0,3.353285217E1,-4.163317871E1
2.265034167E-1,4.060796738E0,3.343760681E1,-4.185696411E1
2.365584167E-1,4.117700577E0,3.364185333E1,-4.199456787E1
2.466124167E-1,4.081422806E0,3.373307037E1,-4.196762085E1
2.566674167E-1,4.106378555E0,3.371009064E1,-4.220697021E1
2.667214166E-1,4.150890350E0,3.360198212E1,-4.200747681E1
2.767764167E-1,3.986118317E0,3.336994171E1,-4.229794312E1
2.868314167E-1,4.065629959E0,3.351985168E1,-4.198690796E1
2.968854167E-1,3.842933655E0,3.347413254E1,-4.210116577E1
3.069404167E-1,4.452228546E0,3.364702988E1,-4.208282471E1
3.169954167E-1,4.136941910E0,3.357240677E1,-4.222845459E1
3.270494167E-1,4.098131180E0,3.355611420E1,-4.195776367E1
3.371044167E-1,4.155321121E0,3.360116577E1,-4.192465210E1
3.471594166E-1,4.149896622E0,3.348311615E1,-4.182247925E1
3.572134167E-1,3.919040680E0,3.339749146E1,-4.177984619E1
3.672684167E-1,3.982048035E0,3.345361710E1,-4.197540283E1
3.773234166E-1,4.008571625E0,3.362617111E1,-4.215979004E1
3.873774167E-1,4.126119614E0,3.388140869E1,-4.195037842E1
3.974324166E-1,4.290763855E0,3.352676392E1,-4.206570435E1
4.074874167E-1,4.054418564E0,3.341463089E1,-4.215292358E1
4.175414167E-1,4.000404358E0,3.334301376E1,-4.184405518E1
4.275964166E-1,3.747411728E0,3.330537415E1,-4.179116821E1
4.376514167E-1,3.847858429E0,3.339651871E1,-4.210003662E1
4.477054166E-1,4.064027786E0,3.354433441E1,-4.235092163E1
4.577604167E-1,3.721921921E0,3.333788300E1,-4.211810303E1
4.678154167E-1,3.646049500E0,3.354780960E1,-4.191583252E1
4.778694166E-1,3.942514420E0,3.343109894E1,-4.210540771E1
4.879244167E-1,3.820491791E0,3.376231384E1,-4.233459473E1
4.979794167E-1,4.161567688E0,3.369200897E1,-4.228872681E1
5.080334167E-1,4.049665451E0,3.332240677E1,-4.214730835E1
5.180884167E-1,3.845136642E0,3.337673950E1,-4.235220337E1
5.281434167E-1,4.125331879E0,3.345205688E1,-4.199929810E1
5.381974167E-1,4.117040634E0,3.331322479E1,-4.218780518E1
5.482524167E-1,3.885335922E0,3.344186020E1,-4.193240356E1
5.583074166E-1,3.855173111E0,3.360120010E1,-4.177459717E1
5.683614167E-1,4.019672394E0,3.366321564E1,-4.209411621E1
5.784164167E-1,3.823041916E0,3.369320297E1,-4.206964111E1
5.884714166E-1,3.802829742E0,3.366453552E1,-4.188473511E1
5.985254167E-1,3.784927368E0,3.354463959E1,-4.187484741E1
6.085804167E-1,3.847150803E0,3.350966644E1,-4.240774536E1
6.186354166E-1,3.751050949E0,3.366078949E1,-4.203186035E1
6.286894167E-1,3.900571823E0,3.355605316E1,-4.239672852E1
6.387444166E-1,4.031404495E0,3.360733795E1,-4.228381348E1
6.487994167E-1,3.786167145E0,3.353313446E1,-4.237713623E1
6.588534167E-1,3.951696396E0,3.340950012E1,-4.219577026E1
6.689084166E-1,4.018554688E0,3.335562515E1,-4.224606323E1
6.789634167E-1,3.830747604E0,3.355641937E1,-4.222473145E1
6.890174166E-1,3.820119858E0,3.357723999E1,-4.224111938E1
6.990724167E-1,3.940773010E0,3.362924194E1,-4.225228882E1
7.091274167E-1,3.981182098E0,3.366670227E1,-4.249218750E1
7.191814166E-1,4.112289429E0,3.351128769E1,-4.212417603E1
7.292364167E-1,4.113864899E0,3.345499420E1,-4.253857422E1
7.392914167E-1,4.042648315E0,3.340904999E1,-4.212802124E1
7.493454167E-1,4.020132065E0,3.339523315E1,-4.228817749E1
7.594004167E-1,4.044494629E0,3.329582977E1,-4.232888794E1
7.694544166E-1,3.994207382E0,3.356553268E1,-4.213916016E1
7.795094167E-1,4.242107391E0,3.336821365E1,-4.258551025E1
7.895644167E-1,4.243576050E0,3.337823868E1,-4.232464600E1
7.996184167E-1,4.252998352E0,3.347815704E1,-4.242810059E1
8.096734167E-1,4.268615723E0,3.333279037E1,-4.244970703E1
8.197284167E-1,4.424936295E0,3.327306747E1,-4.239544678E1
8.297824167E-1,4.460617065E0,3.357468414E1,-4.225979614E1
8.398374167E-1,4.435403824E0,3.350445175E1,-4.219055176E1
8.498924166E-1,4.124622345E0,3.337849045E1,-4.230252075E1
8.599464167E-1,4.013607025E0,3.333159637E1,-4.214938354E1
8.700014167E-1,3.876049042E0,3.345423889E1,-4.234381104E1
8.800564166E-1,3.981229782E0,3.333495331E1,-4.218350220E1
8.901104167E-1,3.957611084E0,3.339076996E1,-4.192337036E1
9.001654166E-1,4.228527069E0,3.352362061E1,-4.202557373E1
9.102204167E-1,4.146455765E0,3.358664703E1,-4.218109131E1
9.202744167E-1,4.128904343E0,3.348703003E1,-4.189312744E1
9.303294166E-1,4.377290726E0,3.346643829E1,-4.200347900E1
9.403844167E-1,4.195825577E0,3.376393127E1,-4.213760376E1
9.504384167E-1,4.292013168E0,3.385889435E1,-4.225155640E1
9.604934167E-1,4.157865524E0,3.383618164E1,-4.211203003E1
9.705484167E-1,4.406984329E0,3.373645020E1,-4.250088501E1
9.806024166E-1,4.280054092E0,3.374203491E1,-4.243716431E1
9.906574167E-1,4.381536484E0,3.357485199E1,-4.276196289E1
1.000712417E0,4.485630035E0,3.379437256E1,-4.266857910E1
1.010766417E0,4.510486603E0,3.357825470E1,-4.212753296E1
1.020821417E0,4.530462265E0,3.354366302E1,-4.232150269E1
1.030876417E0,4.347028732E0,3.386627579E1,-4.229583740E1
1.040930417E0,4.517900467E0,3.379460526E1,-4.211904907E1
1.050985417E0,4.504465103E0,3.350053406E1,-4.192178345E1
1.061040417E0,4.508850098E0,3.361447906E1,-4.195184326E1
1.071094000E0,4.560855865E0,3.343894958E1,-4.190713501E1
1.081149000E0,4.281875610E0,3.360346222E1,-4.204498291E1
1.091204000E0,4.430664062E0,3.349760056E1,-4.221902466E1
1.101258000E0,4.278137207E0,3.359618378E1,-4.210708618E1
1.111313000E0,4.288957596E0,3.370655823E1,-4.195770264E1
1.121368000E0,4.184013367E0,3.355484390E1,-4.205953979E1
1.131422000E0,4.278018951E0,3.365655136E1,-4.193499756E1
1.141477000E0,4.218069077E0,3.387818909E1,-4.198641968E1
1.151532000E0,4.395158768E0,3.375056458E1,-4.202029419E1
1.161586000E0,4.236484528E0,3.368608093E1,-4.251211548E1
1.171641000E0,4.346429825E0,3.363173676E1,-4.239932251E1
1.181696000E0,4.161180496E0,3.341917038E1,-4.230252075E1
1.191750000E0,4.325925827E0,3.374529266E1,-4.235626221E1
1.201805000E0,4.159820557E0,3.354618835E1,-4.206066895E1
1.211859000E0,4.176153183E0,3.333150864E1,-4.222506714E1
1.221914000E0,4.216978073E0,3.339155579E1,-4.216186523E1
1.231969000E0,4.187061310E0,3.341761017E1,-4.219268799E1
1.242023000E0,4.509836197E0,3.356789398E1,-4.199166870E1
1.252078000E0,4.565917969E0,3.341213226E1,-4.192285156E1
1.262133000E0,4.887090683E0,3.342588806E1,-4.212945557E1
1.272187000E0,5.368713379E0,3.375033951E1,-4.210037231E1
1.282242000E0,5.938301086E0,3.357164764E1,-4.157687378E1
1.292297000E0,6.401977539E0,3.336315536E1,-4.148580933E1
1.302351000E0,6.727931976E0,3.364508057E1,-4.181338501E1
1.312406000E0,7.087039948E0,3.351998138E1,-4.193130493E1
1.322461000E0,7.417652130E0,3.333651733E1,-4.191876221E1
1.332515000E0,7.337911606E0,3.355862045E1,-4.159664917E1
1.342570000E0,7.453718185E0,3.363312149E1,-4.177978516E1
1.352625000E0,7.533081055E0,3.365659332E1,-4.177703857E1
1.362679000E0,7.348287582E0,3.350898743E1,-4.174295044E1
1.372734000E0,7.389385223E0,3.375772858E1,-4.183432007E1
1.382789000E0,7.211885452E0,3.369262695E1,-4.213760376E1
1.392843000E0,7.200468063E0,3.374464798E1,-4.193209839E1
1.402898000E0,7.072166443E0,3.362869263E1,-4.152679443E1
1.412953000E0,7.081201553E0,3.392631531E1,-4.164517212E1
1.423007000E0,7.180130005E0,3.364680481E1,-4.156283569E1
1.433062000E0,6.972948074E0,3.374627686E1,-4.171038818E1
1.443117000E0,7.081071854E0,3.374334717E1,-4.147753906E1
1.453171000E0,6.859216690E0,3.401499939E1,-4.168298340E1
1.463226000E0,7.043474197E0,3.383932495E1,-4.190789795E1
1.473281000E0,6.879484177E0,3.388702393E1,-4.182742310E1
1.483335000E0,6.886137009E0,3.379696274E1,-4.162527466E1
1.493390000E0,7.015266418E0,3.350650787E1,-4.150671387E1
1.503445000E0,7.167051315E0,3.373238373E1,-4.172875977E1
1.513499000E0,7.515722275E0,3.377398682E1,-4.142373657E1
1.523554000E0,7.721214294E0,3.368758392E1,-4.160650635E1
1.533609000E0,7.960447311E0,3.369310760E1,-4.146875000E1
