"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.338975001E-2,-4.641933441E0,3.560717010E1,4.271073914E1
2.344375002E-2,-4.450801849E0,3.561108398E1,4.275120544E1
3.349875001E-2,-4.367906570E0,3.550563049E1,4.275155640E1
4.355274999E-2,-4.307733536E0,3.523427582E1,4.269036865E1
5.360775001E-2,-4.589870453E0,3.525355530E1,4.265559387E1
6.366175000E-2,-4.157279968E0,3.501716614E1,4.273738098E1
7.371675002E-2,-4.185358047E0,3.533204651E1,4.265213013E1
8.377175001E-2,-4.055381775E0,3.526206970E1,4.244367981E1
9.382574999E-2,-4.043268204E0,3.533253860E1,4.240890503E1
1.038807500E-1,-4.070003510E0,3.528908539E1,4.235284424E1
1.139347500E-1,-4.306312561E0,3.521683502E1,4.257379150E1
1.239897500E-1,-4.227579117E0,3.519759369E1,4.239857483E1
1.340447500E-1,-4.058404922E0,3.530164337E1,4.248287964E1
1.440987500E-1,-4.246784210E0,3.521379089E1,4.242253113E1
1.541537500E-1,-4.441497803E0,3.507837677E1,4.270475769E1
1.642077500E-1,-4.240663528E0,3.509741592E1,4.273690796E1
1.742627500E-1,-4.369501114E0,3.528422546E1,4.260906982E1
1.843167500E-1,-4.269840240E0,3.536016464E1,4.241731262E1
1.943717500E-1,-4.175006866E0,3.524458313E1,4.249516296E1
2.044267500E-1,-4.054225922E0,3.523615265E1,4.265924072E1
2.144807500E-1,-3.989635468E0,3.530760956E1,4.247192383E1
2.245357500E-1,-4.237646103E0,3.520175934E1,4.248295593E1
2.345897500E-1,-4.157363892E0,3.512823105E1,4.256842041E1
2.446447500E-1,-4.218643188E0,3.538747406E1,4.266313171E1
2.546987500E-1,-4.186830521E0,3.517050934E1,4.240821838E1
2.647537500E-1,-4.011188507E0,3.521048737E1,4.292620850E1
2.748087500E-1,-4.056375504E0,3.495361328E1,4.297021484E1
2.848627500E-1,-4.108947754E0,3.511494827E1,4.280024719E1
2.949177500E-1,-4.004533768E0,3.513427353E1,4.274124146E1
3.049725417E-1,-4.101703644E0,3.515387726E1,4.249246216E1
3.150275417E-1,-4.101873398E0,3.500307465E1,4.249389648E1
3.250825417E-1,-4.200088501E0,3.520619202E1,4.236598206E1
3.351365417E-1,-4.191452026E0,3.526554871E1,4.226803589E1
3.451915417E-1,-4.380296707E0,3.507543182E1,4.214064026E1
3.552455417E-1,-4.608076096E0,3.525605774E1,4.245408630E1
3.653005417E-1,-4.347761154E0,3.515193939E1,4.251989746E1
3.753545417E-1,-4.115882874E0,3.524712753E1,4.269650269E1
3.854095417E-1,-4.435386658E0,3.518447113E1,4.260299683E1
3.954645417E-1,-4.305795670E0,3.531427383E1,4.263945007E1
4.055185417E-1,-4.412096024E0,3.526721954E1,4.234973145E1
4.155735417E-1,-4.553289413E0,3.534429932E1,4.228999329E1
4.256275417E-1,-4.495689392E0,3.513279724E1,4.239135742E1
4.356825417E-1,-4.491861343E0,3.500580597E1,4.232250977E1
4.457365417E-1,-4.472072601E0,3.524552155E1,4.220532227E1
4.557915417E-1,-4.475915909E0,3.522947693E1,4.217813110E1
4.658465417E-1,-4.493383408E0,3.523489761E1,4.207962036E1
4.759005417E-1,-4.621278763E0,3.515981293E1,4.223686218E1
4.859555417E-1,-4.475851059E0,3.548626709E1,4.190299988E1
4.960095417E-1,-4.301221848E0,3.505771255E1,4.233934021E1
5.060645417E-1,-4.278209686E0,3.517623138E1,4.214175415E1
5.161195417E-1,-4.375459671E0,3.482407379E1,4.235890198E1
5.261735417E-1,-4.350458145E0,3.510487747E1,4.264424133E1
5.362285417E-1,-4.445625305E0,3.517437363E1,4.264916992E1
5.462825417E-1,-4.409769058E0,3.529127121E1,4.236251831E1
5.563375417E-1,-4.474338531E0,3.505206680E1,4.229066467E1
5.663915417E-1,-4.169612885E0,3.520319366E1,4.248837280E1
5.764465417E-1,-4.252105713E0,3.499945831E1,4.255335999E1
5.865015417E-1,-4.210590363E0,3.515448761E1,4.217668152E1
5.965555417E-1,-4.162204742E0,3.516422653E1,4.232600403E1
6.066105417E-1,-4.085012436E0,3.511048508E1,4.206628418E1
6.166645417E-1,-4.345516205E0,3.498262405E1,4.211027527E1
6.267195417E-1,-4.242053986E0,3.505606079E1,4.221144104E1
6.367735417E-1,-4.173408508E0,3.491957474E1,4.231408691E1
6.468285417E-1,-4.316946030E0,3.502675247E1,4.228968811E1
6.568835417E-1,-4.470691681E0,3.501525116E1,4.214155579E1
6.669375417E-1,-4.421182632E0,3.511122513E1,4.206314087E1
