"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.385375003E-3,-1.197509766E-3,2.188449097E-1,-9.788145447E0
1.244037499E-2,3.143463135E-3,2.010319519E-1,-9.788744202E0
2.249537499E-2,-1.047821045E-2,1.875599670E-1,-9.780062256E0
3.254937500E-2,-3.847000122E-2,1.872605896E-1,-9.793085175E0
4.260437499E-2,-6.691085815E-2,1.972897339E-1,-9.796827393E0
5.265837500E-2,-7.918533325E-2,2.014810181E-1,-9.780361633E0
6.271337499E-2,-8.202941895E-2,1.974394226E-1,-9.794132996E0
7.276837499E-2,-7.694000244E-2,1.999841309E-1,-9.787846069E0
8.282237500E-2,-5.568420410E-2,1.947450256E-1,-9.781559143E0
9.287737499E-2,-2.619552612E-2,1.944456482E-1,-9.795330505E0
1.029323750E-1,-1.706451416E-2,1.911524963E-1,-9.802964630E0
1.129863750E-1,8.981323242E-4,1.914518738E-1,-9.786498871E0
1.230413750E-1,-7.783813477E-3,1.890568542E-1,-9.785750427E0
1.330963750E-1,-1.945953369E-2,1.793270874E-1,-9.808802490E0
1.431503750E-1,-1.481918335E-2,1.752854919E-1,-9.787247314E0
1.532053750E-1,-1.197509766E-3,1.664538574E-1,-9.790390778E0
1.632593750E-1,1.736389160E-2,1.535806274E-1,-9.786648560E0
1.733143750E-1,-1.496887207E-3,1.636097717E-1,-9.789193268E0
1.833693750E-1,-1.215472412E-1,1.966909790E-1,-9.782157898E0
1.934233750E-1,-1.622625732E-1,2.356100464E-1,-9.807904358E0
2.034783750E-1,-1.868115234E-1,2.624043274E-1,-9.810898132E0
2.135333750E-1,-2.157014465E-1,2.814147949E-1,-9.784403229E0
2.235873750E-1,-1.999841309E-1,2.836601257E-1,-9.807305603E0
2.336423750E-1,-1.440005493E-1,2.594105530E-1,-9.793384552E0
2.436973750E-1,-6.661148071E-2,2.279759216E-1,-9.789342957E0
2.537513750E-1,8.083190918E-3,1.977388000E-1,-9.775272217E0
2.638063750E-1,5.403762817E-2,1.751358032E-1,-9.801168365E0
2.738603750E-1,5.748046875E-2,1.543290710E-1,-9.773625641E0
2.839153750E-1,3.981719971E-2,1.673519897E-1,-9.775421906E0
2.939703750E-1,1.302291870E-2,1.904040527E-1,-9.796677704E0
3.040243750E-1,-1.287322998E-2,1.971400452E-1,-9.775721283E0
3.140793750E-1,-2.769241333E-2,2.131567383E-1,-9.808503113E0
3.241340000E-1,-2.469863892E-2,2.174977112E-1,-9.807006226E0
3.341880000E-1,-5.523513794E-2,2.179467773E-1,-9.756261749E0
3.442430000E-1,-7.259902954E-2,2.270777893E-1,-9.795480194E0
3.542980000E-1,-8.202941895E-2,2.095642090E-1,-9.817634125E0
3.643520000E-1,-9.654922485E-2,2.020797729E-1,-9.771230621E0
3.744070000E-1,-1.046324158E-1,1.953437805E-1,-9.789342957E0
3.844610000E-1,-8.068222046E-2,1.920506287E-1,-9.816735992E0
3.945160000E-1,-7.020401001E-2,1.848655701E-1,-9.790091400E0
4.045710000E-1,-3.547622681E-2,1.760339355E-1,-9.785001984E0
4.146250000E-1,1.347198486E-2,1.610650635E-1,-9.805359650E0
4.246800000E-1,3.233276367E-2,1.552272034E-1,-9.785750427E0
4.347350000E-1,4.730163574E-2,1.556762695E-1,-9.795779572E0
4.447890000E-1,6.721023560E-2,1.727407837E-1,-9.808802490E0
4.548440000E-1,3.218307495E-2,1.966909790E-1,-9.778565369E0
4.648980000E-1,-2.065704346E-2,2.314187622E-1,-9.788145447E0
4.749530000E-1,-7.664062500E-2,2.653981018E-1,-9.806557159E0
4.850080000E-1,-8.921447754E-2,2.854563904E-1,-9.787097626E0
4.950620000E-1,-1.158590698E-1,2.826123047E-1,-9.785001984E0
5.051170000E-1,-1.447489929E-1,2.652484131E-1,-9.793983307E0
5.151720000E-1,-1.627116394E-1,2.236349487E-1,-9.793983307E0
5.252260000E-1,-1.420545959E-1,1.663041687E-1,-9.773475952E0
5.352810000E-1,-9.610015869E-2,1.234931946E-1,-9.791737976E0
5.453360000E-1,-5.089416504E-2,8.996292114E-2,-9.801318054E0
5.553900000E-1,-5.837860107E-3,8.532257080E-2,-9.776170349E0
5.654450000E-1,2.978805542E-2,1.230441284E-1,-9.803264008E0
5.754990000E-1,2.859054565E-2,1.658551025E-1,-9.794132996E0
5.855540000E-1,2.844085693E-3,2.267784119E-1,-9.793683929E0
5.956090000E-1,-1.122665405E-2,2.712359619E-1,-9.791288910E0
6.056630000E-1,-4.400848389E-2,2.972817993E-1,-9.795031128E0
6.157180000E-1,-7.289840698E-2,2.995271301E-1,-9.797725525E0
6.257730000E-1,-8.547225952E-2,2.652484131E-1,-9.795031128E0
6.358270000E-1,-8.921447754E-2,2.142045593E-1,-9.797725525E0
6.458820000E-1,-1.014889526E-1,1.664538574E-1,-9.794731750E0
6.559370000E-1,-9.175918579E-2,1.320254517E-1,-9.784253540E0
6.659910000E-1,-7.229965210E-2,1.131646729E-1,-9.797426147E0
6.760460000E-1,-7.200027466E-2,1.194515991E-1,-9.791737976E0
6.861000000E-1,-4.894821167E-2,1.496887207E-1,-9.782457275E0
6.961550000E-1,-2.978805542E-2,1.939965820E-1,-9.798623657E0
7.062100000E-1,-1.362167358E-2,2.406994629E-1,-9.794132996E0
7.162640000E-1,5.837860107E-3,2.695893860E-1,-9.787097626E0
7.263190000E-1,1.451980591E-2,2.691403198E-1,-9.797875214E0
7.363740000E-1,2.215393066E-2,2.552192688E-1,-9.784103851E0
7.464280000E-1,-2.395019531E-3,2.314187622E-1,-9.786798248E0
7.564830000E-1,-2.380050659E-2,1.942959595E-1,-9.794881439E0
7.665380000E-1,-7.005432129E-2,1.637594604E-1,-9.792037354E0
7.765920000E-1,-1.074765015E-1,1.502874756E-1,-9.794881439E0
7.866470000E-1,-1.374142456E-1,1.498384094E-1,-9.799821167E0
7.967010000E-1,-1.457968140E-1,1.531315613E-1,-9.792037354E0
8.067560000E-1,-1.371148682E-1,1.694476318E-1,-9.792935486E0
8.168110000E-1,-1.058299255E-1,1.939965820E-1,-9.796827393E0
8.268650000E-1,-4.864883423E-2,2.206411743E-1,-9.792785797E0
8.369200000E-1,-7.185058594E-3,2.254312134E-1,-9.779762878E0
8.469750000E-1,1.960922241E-2,2.450404358E-1,-9.787397003E0
8.570290000E-1,3.008743286E-2,2.420466614E-1,-9.780661011E0
8.670840000E-1,-4.790039062E-3,2.303709412E-1,-9.777517548E0
8.771380000E-1,-2.424957275E-2,2.167492676E-1,-9.795180817E0
8.871930000E-1,-6.107299805E-2,1.880090332E-1,-9.786349182E0
8.972480000E-1,-8.547225952E-2,1.513352966E-1,-9.780062256E0
9.073020000E-1,-8.487350464E-2,1.266366577E-1,-9.796677704E0
9.173570000E-1,-6.047424316E-2,1.025367737E-1,-9.777966614E0
9.274120000E-1,-6.286926270E-3,1.140628052E-1,-9.770931244E0
9.374660000E-1,2.784210205E-2,1.437011719E-1,-9.811796265E0
9.475210000E-1,4.505630493E-2,2.002835083E-1,-9.813143463E0
9.575760000E-1,2.619552612E-2,2.606080627E-1,-9.785451050E0
9.676300000E-1,-9.131011963E-3,3.239263916E-1,-9.790839844E0
9.776850000E-1,-6.915618896E-2,3.570075989E-1,-9.800868988E0
9.877390000E-1,-1.172062683E-1,3.290158081E-1,-9.794432373E0
9.977940000E-1,-1.288819885E-1,2.845582581E-1,-9.793085175E0
1.007849000E0,-1.288819885E-1,2.095642090E-1,-9.787846069E0
1.017903000E0,-9.535171509E-2,1.288819885E-1,-9.789193268E0
1.027958000E0,-7.409591675E-2,7.319778442E-2,-9.781259766E0
1.038013000E0,-5.433700562E-2,6.137237549E-2,-9.792785797E0
1.048067000E0,-6.391708374E-2,8.427474976E-2,-9.787846069E0
1.058122000E0,-8.487350464E-2,1.420545959E-1,-9.794282684E0
1.068177000E0,-9.475296021E-2,2.085163879E-1,-9.808203735E0
1.078231000E0,-8.068222046E-2,2.613565063E-1,-9.795330505E0
1.088286000E0,-4.834945679E-2,2.823129272E-1,-9.790241089E0
1.098340000E0,-1.616638184E-2,2.872526550E-1,-9.787846069E0
1.108395000E0,2.963836670E-2,2.534230042E-1,-9.786648560E0
1.118450000E0,6.376739502E-2,2.065704346E-1,-9.780211945E0
1.128504000E0,5.478607178E-2,1.830693054E-1,-9.779463501E0
1.138559000E0,1.272354126E-2,1.535806274E-1,-9.779463501E0
1.148614000E0,-6.301895142E-2,1.543290710E-1,-9.785001984E0
1.158668000E0,-1.173559570E-1,1.779798889E-1,-9.787696381E0
1.168723000E0,-1.538800049E-1,2.004331970E-1,-9.785600739E0
1.178778000E0,-1.628613281E-1,2.112107849E-1,-9.791588287E0
1.188832000E0,-1.296304321E-1,2.154020691E-1,-9.788744202E0
1.198887000E0,-8.202941895E-2,2.128573608E-1,-9.779463501E0
1.208941000E0,-1.227447510E-2,2.056723022E-1,-9.801617432E0
1.218996000E0,2.439926147E-2,2.095642090E-1,-9.789941711E0
1.229051000E0,4.775070190E-2,2.094145203E-1,-9.779014435E0
1.239105000E0,3.158432007E-2,2.165995789E-1,-9.786648560E0
1.249160000E0,-1.811233521E-2,2.297721863E-1,-9.780511322E0
1.259215000E0,-5.718109131E-2,2.360591125E-1,-9.796078949E0
1.269269000E0,-9.520202637E-2,2.251318359E-1,-9.786049805E0
1.279324000E0,-1.037342834E-1,1.953437805E-1,-9.801318054E0
1.289379000E0,-9.415420532E-2,1.642085266E-1,-9.785001984E0
1.299433000E0,-7.768844604E-2,1.413061523E-1,-9.781409454E0
1.309488000E0,-4.924758911E-2,1.309776306E-1,-9.799072723E0
1.319542292E0,-3.891906738E-2,1.517843628E-1,-9.791588287E0
1.329597292E0,-4.056564331E-2,1.763333130E-1,-9.787097626E0
1.339652292E0,-6.451583862E-2,2.285746765E-1,-9.796528015E0
1.349706292E0,-7.409591675E-2,2.665956116E-1,-9.789342957E0
1.359761292E0,-6.855743408E-2,2.787203979E-1,-9.792785797E0
1.369816292E0,-4.281097412E-2,2.752775574E-1,-9.792336731E0
1.379870292E0,-1.152603149E-2,2.418969727E-1,-9.788744202E0
1.389925292E0,3.053649902E-2,1.812730408E-1,-9.789193268E0
1.399979292E0,5.703140259E-2,1.419049072E-1,-9.786498871E0
1.410034292E0,4.161346436E-2,1.143621826E-1,-9.787247314E0
1.420089292E0,1.916015625E-2,1.067280579E-1,-9.777667236E0
1.430143292E0,-2.634521484E-2,1.389111328E-1,-9.796228638E0
1.440198292E0,-8.562194824E-2,1.805245972E-1,-9.798473969E0
1.450253292E0,-1.323248291E-1,2.311193848E-1,-9.794282684E0
1.460307292E0,-1.573228455E-1,2.709365845E-1,-9.777517548E0
1.470362292E0,-1.502874756E-1,2.878514099E-1,-9.809401245E0
1.480417292E0,-1.152603149E-1,2.727328491E-1,-9.799970856E0
1.490471292E0,-7.574249268E-2,2.387535095E-1,-9.794132996E0
1.500526292E0,-3.188369751E-2,1.960922241E-1,-9.796677704E0
1.510580292E0,-1.856140137E-2,1.752854919E-1,-9.784552917E0
1.520635292E0,-8.232879639E-3,1.522334290E-1,-9.794432373E0
1.530690292E0,-3.233276367E-2,1.505868530E-1,-9.786349182E0
1.540744292E0,-5.269042969E-2,1.534309387E-1,-9.800120544E0
1.550799292E0,-6.691085815E-2,1.778302002E-1,-9.797426147E0
1.560854292E0,-6.301895142E-2,2.119592285E-1,-9.787546692E0
1.570908292E0,-4.610412598E-2,2.465373230E-1,-9.812395020E0
1.580963292E0,-5.688171387E-3,2.818638611E-1,-9.774673462E0
1.591017292E0,1.047821045E-3,2.755769348E-1,-9.794132996E0
1.601072292E0,-2.395019531E-3,2.769241333E-1,-9.782906342E0
1.611127292E0,-2.484832764E-2,2.457888794E-1,-9.776020660E0
1.621181292E0,-5.508544922E-2,2.174977112E-1,-9.785600739E0
1.631236292E0,-8.517288208E-2,1.848655701E-1,-9.788444824E0
1.641291292E0,-1.155596924E-1,1.404080200E-1,-9.782606964E0
1.651345292E0,-1.212478638E-1,1.148112488E-1,-9.800569611E0
1.661400292E0,-8.442443848E-2,9.654922485E-2,-9.800719299E0
1.671455292E0,-3.338058472E-2,1.005908203E-1,-9.777966614E0
1.681509292E0,5.239105225E-3,1.287322998E-1,-9.812245331E0
1.691564292E0,4.700225830E-2,1.740879822E-1,-9.795929260E0
1.701618292E0,5.014572144E-2,2.212399292E-1,-9.762099609E0
1.711673292E0,2.993774414E-2,2.668949890E-1,-9.776170349E0
