X,Y,Z
-135.2742919921875,22.215240478515625,-194.19586181640625
-135.29469299316406,22.312454223632812,-194.16400146484375
-135.59519958496094,22.213958740234375,-194.50039672851562
-135.49447631835938,22.409927368164062,-194.38670349121094
-135.6412353515625,22.555007934570312,-194.60317993164062
-135.5872802734375,22.564071655273438,-194.2864532470703
-135.30477905273438,22.279464721679688,-194.58868408203125
-135.54713439941406,22.115081787109375,-194.6428985595703
-135.66159057617188,22.1953125,-194.12196350097656
-135.5924835205078,22.207778930664062,-194.50083923339844
-135.53656005859375,22.26788330078125,-194.59609985351562
-135.30856323242188,22.1632080078125,-194.01986694335938
-135.0696563720703,22.203094482421875,-194.11050415039062
-135.251953125,22.043319702148438,-194.4001007080078
-135.60462951660156,22.335174560546875,-194.07254028320312
-135.51171875,22.546157836914062,-194.2198028564453
-135.68032836914062,22.349014282226562,-194.07476806640625
-135.7928009033203,22.498275756835938,-194.02828979492188
-135.58792114257812,22.48199462890625,-194.09762573242188
-135.93106079101562,22.342910766601562,-194.11965942382812
-135.40586853027344,22.096267700195312,-194.4438018798828
-135.2175750732422,22.125350952148438,-193.9555206298828
-135.87322998046875,22.345458984375,-194.14390563964844
-135.64370727539062,22.675277709960938,-194.1653594970703
-135.75897216796875,22.58551025390625,-194.01820373535156
-135.55197143554688,22.687728881835938,-194.14288330078125
-136.0755615234375,22.61187744140625,-194.17198181152344
-135.43466186523438,22.230377197265625,-194.2252960205078
-135.799560546875,22.3848876953125,-194.02462768554688
-135.69403076171875,21.997848510742188,-194.7506866455078
-135.1917724609375,21.7735595703125,-194.84495544433594
-135.74658203125,22.333526611328125,-194.25099182128906
-135.85171508789062,22.159744262695312,-194.3528289794922
-135.5879364013672,22.23138427734375,-194.659423828125
-135.7097625732422,22.009597778320312,-194.59825134277344
-135.82318115234375,22.325332641601562,-194.71051025390625
-135.3860321044922,22.491119384765625,-194.6093292236328
-135.47267150878906,22.026992797851562,-194.67713928222656
-135.58834838867188,22.271331787109375,-194.757080078125
-135.6396026611328,22.299880981445312,-194.7491912841797
-135.30479431152344,22.314529418945312,-195.2953643798828
-135.48802185058594,22.260467529296875,-194.7664337158203
-135.44383239746094,22.312713623046875,-194.58477783203125
-135.1608428955078,22.407455444335938,-194.70455932617188
-135.63116455078125,22.2713623046875,-194.48497009277344
-135.70651245117188,22.08306884765625,-194.47203063964844
-135.4365997314453,21.962860107421875,-195.25466918945312
-135.71282958984375,22.305206298828125,-194.1347198486328
-135.85935974121094,21.907363891601562,-194.52197265625
-135.627197265625,22.109054565429688,-194.31153869628906
-135.48472595214844,22.181991577148438,-194.8382110595703
-135.67750549316406,22.188079833984375,-194.33168029785156
-135.6180419921875,21.743331909179688,-194.29421997070312
-135.5478515625,22.157333374023438,-194.21548461914062
-135.6696014404297,22.083038330078125,-194.6629180908203
-135.43836975097656,22.432418823242188,-195.08016967773438
-135.6106414794922,22.371627807617188,-194.50326538085938
-135.16122436523438,22.3292236328125,-194.52078247070312
-135.35751342773438,22.0335693359375,-194.41506958007812
-135.44029235839844,22.082489013671875,-194.66775512695312
-135.19383239746094,21.941360473632812,-193.90206909179688
-135.48788452148438,22.353927612304688,-194.8636016845703
-135.73199462890625,22.407196044921875,-194.81800842285156
-135.37826538085938,22.285797119140625,-194.91781616210938
-135.51536560058594,22.256088256835938,-195.0035400390625
-135.6237335205078,22.27508544921875,-195.04237365722656
-136.11721801757812,22.562164306640625,-194.81732177734375
-135.90907287597656,22.574661254882812,-194.48794555664062
-136.2185516357422,22.482330322265625,-194.90208435058594
-136.1457977294922,22.305755615234375,-194.8587646484375
-136.36721801757812,22.152481079101562,-195.1156005859375
-136.40316772460938,22.317977905273438,-194.2362060546875
-136.33389282226562,22.331527709960938,-194.26109313964844
-136.633056640625,23.075958251953125,-194.0546417236328
-136.4325408935547,22.760513305664062,-194.67098999023438
-136.61807250976562,22.852264404296875,-194.45468139648438
-136.9481658935547,22.402130126953125,-193.94921875
-137.10874938964844,22.434326171875,-194.17259216308594
-137.0742950439453,22.908096313476562,-194.1536865234375
-137.2122039794922,22.957809448242188,-194.5915069580078
-137.29443359375,22.731231689453125,-194.69065856933594
-137.0372772216797,22.575576782226562,-194.19139099121094
-137.58070373535156,22.814224243164062,-194.0368194580078
-137.49168395996094,22.636856079101562,-194.55198669433594
-137.18292236328125,22.878982543945312,-194.40939331054688
-137.29945373535156,22.823150634765625,-194.25103759765625
-136.7548828125,22.639846801757812,-194.3057403564453
-136.8516845703125,22.62408447265625,-194.66195678710938
-136.65943908691406,22.70343017578125,-194.09107971191406
-136.8959503173828,22.583694458007812,-193.97418212890625
-136.39852905273438,22.853866577148438,-194.4775848388672
-136.37399291992188,22.981979370117188,-194.3048553466797
-136.35714721679688,22.78631591796875,-194.19033813476562
-136.0572509765625,22.795761108398438,-194.258544921875
-136.1117401123047,22.750732421875,-194.1536865234375
-136.19293212890625,22.859954833984375,-194.49014282226562
-135.73382568359375,23.065536499023438,-194.20773315429688
-135.62474060058594,23.0328369140625,-194.01434326171875
-135.0796356201172,23.041961669921875,-194.16427612304688
-134.31527709960938,23.03387451171875,-193.9586944580078
-133.8706817626953,23.41485595703125,-193.4185028076172
-132.98880004882812,23.410919189453125,-193.48056030273438
-132.2662353515625,23.638885498046875,-192.7477569580078
-130.97900390625,23.90533447265625,-192.63592529296875
-129.29798889160156,24.116287231445312,-191.77230834960938
-127.72891235351562,23.808639526367188,-190.96104431152344
-125.93354797363281,23.496322631835938,-190.5236053466797
-124.23167419433594,23.310928344726562,-190.608642578125
-122.4461669921875,22.85400390625,-189.79367065429688
-120.75660705566406,22.387741088867188,-189.69349670410156
-119.14990234375,22.841644287109375,-188.40504455566406
-117.3673095703125,22.3314208984375,-187.34039306640625
-115.82028198242188,22.388046264648438,-185.69122314453125
-113.79383850097656,22.143463134765625,-184.30162048339844
-112.31111145019531,22.230010986328125,-182.43470764160156
-110.376708984375,22.793365478515625,-180.56137084960938
-108.91969299316406,22.548599243164062,-178.84246826171875
-107.33055114746094,23.381515502929688,-175.82398986816406
-106.05844116210938,23.8675537109375,-173.63262939453125
-105.34147644042969,24.169601440429688,-171.64788818359375
-103.96331787109375,24.414947509765625,-168.61952209472656
-102.76473999023438,24.585647583007812,-166.03880310058594
-101.89950561523438,24.310760498046875,-163.13201904296875
-100.60488891601562,24.283599853515625,-161.00167846679688
-99.86422729492188,24.479461669921875,-158.26007080078125
-99.68504333496094,24.50408935546875,-156.38121032714844
