"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.026029166E-2,-2.626300812E0,3.905885315E1,-4.042599487E1
6.031629167E-2,-2.685897827E0,3.908625031E1,-4.031198120E1
7.037129167E-2,-2.774950027E0,3.908358002E1,-4.055249023E1
8.042729166E-2,-2.659641266E0,3.906035233E1,-4.024829102E1
9.048229166E-2,-2.919393539E0,3.876237488E1,-4.041613770E1
1.005382917E-1,-2.437294006E0,3.870535660E1,-4.024917603E1
1.105932917E-1,-2.562383652E0,3.896162415E1,-4.040765381E1
1.206482917E-1,-2.356634140E0,3.899051666E1,-4.026168823E1
1.307042917E-1,-2.430627823E0,3.890551758E1,-4.033267212E1
1.407592917E-1,-2.641702652E0,3.899769974E1,-4.039929199E1
1.508152917E-1,-2.658691406E0,3.919771957E1,-4.015161133E1
1.608702917E-1,-2.418909073E0,3.905065918E1,-4.019436646E1
1.709262917E-1,-2.620519638E0,3.904870224E1,-4.051138306E1
1.809812917E-1,-2.403068542E0,3.900569153E1,-4.051803589E1
1.910362917E-1,-2.572500229E0,3.911633301E1,-4.023852539E1
2.010922917E-1,-2.761035919E0,3.888706207E1,-4.038171387E1
2.111472917E-1,-2.646249771E0,3.900063324E1,-4.030480957E1
2.212032917E-1,-2.570158005E0,3.905317688E1,-4.036886597E1
2.312582917E-1,-2.801391602E0,3.885563660E1,-4.021386719E1
2.413142917E-1,-2.576183319E0,3.887731171E1,-4.048614502E1
2.513692917E-1,-2.552574158E0,3.879533386E1,-4.062878418E1
2.614252917E-1,-2.735551834E0,3.884514236E1,-4.064141846E1
2.714802917E-1,-2.847427368E0,3.905923080E1,-4.076641846E1
2.815352917E-1,-2.473728180E0,3.899882126E1,-4.024597168E1
2.915912917E-1,-2.408435822E0,3.892878342E1,-4.028479004E1
3.016462917E-1,-2.385976791E0,3.890891647E1,-4.042904663E1
3.117022917E-1,-2.637563705E0,3.898827744E1,-4.017398071E1
3.217572917E-1,-2.691362381E0,3.907738495E1,-4.063479614E1
3.318132917E-1,-2.482295990E0,3.904510880E1,-4.035101318E1
3.418682917E-1,-2.596500397E0,3.890119934E1,-4.039630127E1
3.519232917E-1,-2.477304459E0,3.896867752E1,-4.050421143E1
3.619792917E-1,-2.599184036E0,3.884611893E1,-4.048593140E1
3.720347500E-1,-2.410039902E0,3.905864716E1,-4.016903687E1
3.820907500E-1,-2.344179153E0,3.912638474E1,-4.013848877E1
3.921457500E-1,-2.455858231E0,3.907077789E1,-4.036578369E1
4.022017500E-1,-2.545629501E0,3.909426117E1,-4.022790527E1
4.122567500E-1,-2.546377182E0,3.906771469E1,-4.016412354E1
4.223117500E-1,-2.728034973E0,3.895346832E1,-4.017498779E1
4.323677500E-1,-2.724643707E0,3.904034042E1,-3.987091064E1
4.424227500E-1,-2.643566132E0,3.897437668E1,-4.033303833E1
4.524787500E-1,-2.681358337E0,3.920323944E1,-4.004357910E1
4.625337500E-1,-2.762304306E0,3.907827759E1,-3.974185181E1
4.725897500E-1,-2.647920609E0,3.886610031E1,-3.996438599E1
4.826447500E-1,-2.596721649E0,3.879388046E1,-4.017602539E1
4.926997500E-1,-2.541662216E0,3.893159485E1,-4.022711182E1
5.027557500E-1,-2.428195953E0,3.906703949E1,-4.015621948E1
5.128107500E-1,-2.551717758E0,3.905710983E1,-4.010729980E1
5.228667500E-1,-2.492012024E0,3.911521530E1,-4.005273438E1
5.329217500E-1,-2.623434067E0,3.904364014E1,-4.015670776E1
5.429777500E-1,-2.678325653E0,3.887653351E1,-4.003576660E1
5.530327500E-1,-2.716161728E0,3.911473465E1,-4.019165039E1
5.630887500E-1,-2.554098129E0,3.900906372E1,-4.000851440E1
5.731437500E-1,-2.469766617E0,3.888396454E1,-3.996682739E1
5.831987500E-1,-2.558942795E0,3.903103638E1,-3.979205322E1
5.932547500E-1,-2.629306793E0,3.910474014E1,-3.993099976E1
6.033097500E-1,-2.818891525E0,3.902508163E1,-3.993786621E1
6.133657500E-1,-2.593269348E0,3.885850525E1,-4.015570068E1
6.234207500E-1,-2.697881699E0,3.871033859E1,-4.012100220E1
6.334767500E-1,-2.484207153E0,3.886671066E1,-4.048165894E1
6.435317500E-1,-2.497348785E0,3.903655243E1,-4.014739990E1
6.535867500E-1,-2.776411057E0,3.904307175E1,-4.029974365E1
6.636427500E-1,-2.647394180E0,3.890002823E1,-4.004214478E1
6.736977500E-1,-2.619451523E0,3.891449738E1,-4.015328979E1
6.837537500E-1,-2.648460388E0,3.885518265E1,-4.031848145E1
6.938087500E-1,-2.713424683E0,3.914849091E1,-3.976089478E1
7.038647500E-1,-2.795379639E0,3.888010025E1,-3.981240845E1
7.139197500E-1,-2.550237656E0,3.883489227E1,-3.988690186E1
7.239747500E-1,-2.399679184E0,3.896102905E1,-3.983328247E1
7.340307500E-1,-2.509063721E0,3.894230652E1,-4.017321777E1
7.440857500E-1,-2.451644897E0,3.886380768E1,-4.014758301E1
7.541417500E-1,-2.471937180E0,3.881908798E1,-3.998303223E1
7.641967500E-1,-2.645479202E0,3.879270554E1,-4.005755615E1
7.742527500E-1,-2.493919373E0,3.887194443E1,-4.025158691E1
7.843077500E-1,-2.796514511E0,3.903200531E1,-4.011810303E1
7.943637500E-1,-2.511711121E0,3.921231842E1,-4.041415405E1
8.044187500E-1,-2.392305374E0,3.911258316E1,-4.012075806E1
8.144737500E-1,-2.361770630E0,3.902359009E1,-4.046875000E1
8.245297500E-1,-2.410104752E0,3.893134689E1,-4.015695190E1
8.345847500E-1,-2.642793655E0,3.883779526E1,-4.014892578E1
8.446407500E-1,-2.566978455E0,3.887795639E1,-4.052023315E1
8.546957500E-1,-2.505701065E0,3.898839188E1,-4.035513306E1
8.647517500E-1,-2.722288132E0,3.908643341E1,-4.068954468E1
8.748067500E-1,-2.689224243E0,3.889159775E1,-4.040997314E1
8.848617500E-1,-2.794813156E0,3.892403030E1,-4.034933472E1
