"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.385416667E-3,-8.786727905E-2,2.444416809E-1,-9.769883423E0
1.344041667E-2,-6.107299805E-2,2.465373230E-1,-9.795180817E0
2.349541667E-2,-2.948867798E-2,2.487826538E-1,-9.788145447E0
3.355141667E-2,-8.382568359E-3,2.390528870E-1,-9.790540466E0
4.360641667E-2,-1.122665405E-2,2.092648315E-1,-9.774972839E0
5.366141667E-2,-2.095642090E-2,1.851649475E-1,-9.786199493E0
6.371741667E-2,-3.712280273E-2,1.682501221E-1,-9.772428131E0
7.377241667E-2,-6.780899048E-2,1.423539734E-1,-9.787397003E0
8.382741667E-2,-8.202941895E-2,1.351689148E-1,-9.795330505E0
9.388341667E-2,-8.996292114E-2,1.523831177E-1,-9.792037354E0
1.039384167E-1,-8.367599487E-2,1.722917175E-1,-9.782756653E0
1.139934167E-1,-6.795867920E-2,2.019300842E-1,-9.783505096E0
1.240494167E-1,-5.089416504E-2,2.287243652E-1,-9.780810699E0
1.341044167E-1,-4.460723877E-2,2.395019531E-1,-9.779014435E0
1.441599167E-1,-5.463638306E-2,2.430944824E-1,-9.767189026E0
1.542159167E-1,-6.586303711E-2,2.254312134E-1,-9.787247314E0
1.642709167E-1,-9.190887451E-2,1.963916016E-1,-9.778864746E0
1.743259167E-1,-1.013392639E-1,1.631607056E-1,-9.782606964E0
1.843819167E-1,-9.639953613E-2,1.492396545E-1,-9.783505096E0
1.944369167E-1,-6.915618896E-2,1.432521057E-1,-9.791288910E0
2.044919167E-1,-5.748046875E-2,1.519340515E-1,-9.776170349E0
2.145479167E-1,-3.936813354E-2,1.630110168E-1,-9.785001984E0
2.246029167E-1,-2.320175171E-2,1.941462708E-1,-9.785451050E0
2.346579167E-1,-2.245330811E-2,2.252815247E-1,-9.777218170E0
2.447129167E-1,-4.400848389E-2,2.368075562E-1,-9.776469727E0
2.547689167E-1,-5.463638306E-2,2.404000854E-1,-9.780661011E0
2.648239167E-1,-7.828720093E-2,2.185455322E-1,-9.786199493E0
2.748789167E-1,-8.652008057E-2,1.848655701E-1,-9.787097626E0
2.849349167E-1,-8.681945801E-2,1.631607056E-1,-9.782457275E0
2.949899167E-1,-7.948471069E-2,1.429527283E-1,-9.791737976E0
3.050449167E-1,-6.541397095E-2,1.278341675E-1,-9.784552917E0
3.151009167E-1,-4.146377563E-2,1.425036621E-1,-9.789342957E0
3.251559167E-1,-3.697311401E-2,1.742376709E-1,-9.774523773E0
3.352109167E-1,-5.119354248E-2,2.148033142E-1,-9.774673462E0
3.452669167E-1,-7.214996338E-2,2.408491516E-1,-9.779613190E0
3.553219167E-1,-8.711883545E-2,2.731819153E-1,-9.784702606E0
3.653769167E-1,-9.175918579E-2,2.833607483E-1,-9.787546692E0
