"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.049287500E-2,-7.631790161E0,3.512622833E1,4.029504395E1
6.054787500E-2,-7.562881470E0,3.514746857E1,3.988111877E1
7.060287500E-2,-7.510292053E0,3.509587860E1,3.994628906E1
8.065887500E-2,-7.555339813E0,3.513520050E1,4.001600647E1
9.071387500E-2,-7.259250641E0,3.523255157E1,3.974853516E1
1.007688750E-1,-7.450279236E0,3.492189789E1,3.998080444E1
1.108248750E-1,-7.314426422E0,3.492468262E1,4.023461914E1
1.208798750E-1,-6.995197296E0,3.506219482E1,4.036535645E1
1.309348750E-1,-7.397277832E0,3.506148529E1,3.998045349E1
1.409908750E-1,-7.482719421E0,3.515032959E1,3.995289612E1
1.510458750E-1,-7.409545898E0,3.517256165E1,4.012109375E1
1.611008750E-1,-7.151954651E0,3.545278168E1,4.016047668E1
1.711558750E-1,-7.163761139E0,3.536624146E1,4.012486267E1
1.812118750E-1,-7.249221802E0,3.524624634E1,4.026918030E1
1.912668750E-1,-7.137195587E0,3.528124237E1,3.994018555E1
2.013218750E-1,-7.330726624E0,3.523371124E1,4.044281006E1
2.113778750E-1,-7.223800659E0,3.503903961E1,4.025469971E1
2.214328750E-1,-7.190704346E0,3.508862305E1,4.001899719E1
2.314878750E-1,-7.287586212E0,3.511716461E1,4.001223755E1
2.415438750E-1,-7.455245972E0,3.512398529E1,4.030374146E1
2.515988750E-1,-7.516292572E0,3.519364929E1,4.043742371E1
2.616538750E-1,-7.403949738E0,3.517996979E1,4.020739746E1
2.717098750E-1,-7.514942169E0,3.506272125E1,4.044790649E1
2.817648750E-1,-7.567676544E0,3.493366241E1,4.052954102E1
2.918198750E-1,-7.515979767E0,3.480628204E1,4.031799316E1
3.018758750E-1,-7.501342773E0,3.491744232E1,4.047802734E1
3.119308750E-1,-7.662082672E0,3.497860718E1,4.028459167E1
3.219858750E-1,-7.424713135E0,3.510031891E1,4.044032288E1
3.320418750E-1,-7.565029144E0,3.502496338E1,4.036654663E1
3.420968750E-1,-7.652111053E0,3.490749359E1,4.057957458E1
3.521518750E-1,-7.623790741E0,3.517982483E1,4.013961792E1
3.622078750E-1,-7.349040985E0,3.486974335E1,4.028546143E1
3.722628750E-1,-7.481609344E0,3.473862457E1,4.022457886E1
3.823178750E-1,-7.311161041E0,3.489284515E1,4.058599854E1
3.923738750E-1,-7.122772217E0,3.472521973E1,4.085165405E1
4.024288750E-1,-7.159626007E0,3.468878937E1,4.042767334E1
4.124838750E-1,-7.179950714E0,3.476766205E1,4.058993530E1
4.225398750E-1,-7.196544647E0,3.486090851E1,4.026017761E1
4.325948750E-1,-7.179683685E0,3.497631073E1,4.029641724E1
4.426498750E-1,-7.176784515E0,3.491746521E1,4.016632080E1
4.527048750E-1,-7.286026001E0,3.476564026E1,4.033906555E1
4.627608750E-1,-7.284553528E0,3.481517029E1,4.031690979E1
4.728158750E-1,-7.347469330E0,3.498600006E1,4.049482727E1
4.828708750E-1,-7.432476044E0,3.489112854E1,4.018583679E1
4.929268750E-1,-7.399688721E0,3.490163422E1,4.014039612E1
5.029818750E-1,-7.279788971E0,3.508271790E1,4.019944763E1
5.130368750E-1,-7.300212860E0,3.509288025E1,4.032518005E1
5.230928750E-1,-7.211776733E0,3.511458588E1,4.041928101E1
5.331478750E-1,-7.444400787E0,3.516924286E1,4.021028137E1
5.432028750E-1,-7.582214355E0,3.501355743E1,4.076412964E1
5.532588750E-1,-7.312473297E0,3.518320465E1,4.023506165E1
5.633138750E-1,-7.306720734E0,3.506006622E1,4.052516174E1
5.733688750E-1,-7.230484009E0,3.511937714E1,4.056369019E1
5.834248750E-1,-7.655960083E0,3.478206635E1,4.054002380E1
5.934798750E-1,-7.612190247E0,3.496154022E1,4.054757690E1
6.035348750E-1,-7.408397675E0,3.486750031E1,4.049253845E1
6.135908750E-1,-7.567165375E0,3.498959351E1,3.989906311E1
6.236458750E-1,-7.509784698E0,3.490965271E1,4.008428955E1
6.337008750E-1,-7.061824799E0,3.499771881E1,4.034262085E1
6.437568750E-1,-7.147903442E0,3.510682678E1,4.010861206E1
6.538118750E-1,-7.103054047E0,3.532663727E1,3.978800964E1
6.638668750E-1,-7.153762817E0,3.534690857E1,4.000848389E1
6.739228750E-1,-7.431041718E0,3.526550293E1,4.029595947E1
6.839778750E-1,-7.546833038E0,3.519323730E1,4.021931458E1
6.940328750E-1,-7.351097107E0,3.514115143E1,4.020866394E1
7.040888750E-1,-7.412670135E0,3.524382019E1,4.020251465E1
7.141443750E-1,-7.403156281E0,3.515323639E1,4.000773621E1
7.241993750E-1,-7.270309448E0,3.498247528E1,4.002230835E1
7.342553750E-1,-7.620288849E0,3.490873718E1,3.988713074E1
7.443103750E-1,-7.285900116E0,3.506179047E1,3.984713745E1
7.543653750E-1,-7.538074493E0,3.512763977E1,3.997772217E1
7.644213750E-1,-7.688835144E0,3.516934204E1,4.037191772E1
7.744763750E-1,-7.674705505E0,3.531054688E1,3.996632385E1
7.845313750E-1,-7.605079651E0,3.519682312E1,4.029357910E1
7.945873750E-1,-7.810634613E0,3.503083801E1,4.042263794E1
8.046423750E-1,-7.545207977E0,3.509255219E1,4.019905090E1
8.146973750E-1,-7.568332672E0,3.511555481E1,4.044296265E1
8.247523750E-1,-7.553302765E0,3.507968140E1,4.023840332E1
8.348083750E-1,-7.323520660E0,3.512329865E1,4.032017517E1
8.448633750E-1,-7.304615021E0,3.515232849E1,4.057485962E1
8.549183750E-1,-7.122024536E0,3.510067749E1,4.064773560E1
8.649743750E-1,-7.464679718E0,3.521036530E1,4.044592285E1
8.750293750E-1,-7.278987885E0,3.511904144E1,4.048843384E1
8.850843750E-1,-7.504920959E0,3.542944336E1,4.047772217E1
8.951403750E-1,-7.551353455E0,3.536326599E1,4.039564514E1
9.051953750E-1,-7.300491333E0,3.532962799E1,4.085629272E1
9.152503750E-1,-7.496971130E0,3.515137482E1,4.036602783E1
9.253063750E-1,-7.406497955E0,3.516425323E1,4.019337463E1
9.353613750E-1,-7.284793854E0,3.520915222E1,4.070564270E1
9.454163750E-1,-7.433231354E0,3.549527740E1,4.072471619E1
9.554723750E-1,-7.334289551E0,3.553320312E1,4.056640625E1
9.655273750E-1,-7.443584442E0,3.534549713E1,4.079090881E1
9.755823750E-1,-7.469123840E0,3.530046844E1,4.045588684E1
9.856383750E-1,-7.620964050E0,3.534870911E1,4.034347534E1
9.956933750E-1,-7.491771698E0,3.538237762E1,4.018551636E1
1.005748375E0,-7.422374725E0,3.536664581E1,4.033639526E1
1.015804375E0,-7.466033936E0,3.501580811E1,4.034487915E1
1.025859375E0,-7.599987030E0,3.504444885E1,4.039498901E1
1.035914375E0,-7.576175690E0,3.510926056E1,4.049693298E1
1.045970375E0,-7.337223053E0,3.526334381E1,4.066690063E1
1.056025375E0,-7.588062286E0,3.516191101E1,4.017984009E1
1.066080375E0,-7.515613556E0,3.530455017E1,4.006887817E1
1.076136375E0,-7.600418091E0,3.538428497E1,4.060968018E1
1.086191375E0,-7.454124451E0,3.525103760E1,4.031420898E1
1.096246375E0,-7.524509430E0,3.528725433E1,4.029859924E1
1.106302375E0,-7.883567810E0,3.530212402E1,4.028393555E1
1.116357375E0,-7.589260101E0,3.521354675E1,4.039225769E1
1.126412375E0,-7.711120605E0,3.521695709E1,4.033393860E1
1.136468375E0,-7.669063568E0,3.518527985E1,4.038488770E1
1.146523375E0,-7.644596100E0,3.539511871E1,4.016989136E1
1.156578375E0,-7.567474365E0,3.537801361E1,4.033232117E1
1.166634375E0,-7.655982971E0,3.511652374E1,4.008749390E1
1.176689375E0,-7.600307465E0,3.549409485E1,3.980403137E1
1.186744375E0,-7.483531952E0,3.544971466E1,3.996310425E1
1.196800375E0,-7.535888672E0,3.528856659E1,4.014526367E1
1.206855375E0,-7.186176300E0,3.542669678E1,3.965571594E1
1.216910375E0,-7.138996124E0,3.530164337E1,3.991300964E1
1.226965375E0,-7.114555359E0,3.542436218E1,3.985621643E1
1.237021375E0,-7.002239227E0,3.540912628E1,3.991883850E1
1.247076375E0,-7.090850830E0,3.546958923E1,4.010905457E1
1.257131375E0,-7.022670746E0,3.561383057E1,4.019355774E1
1.267187375E0,-7.520511627E0,3.550850677E1,4.027696228E1
1.277242375E0,-7.751560211E0,3.548633575E1,4.020921326E1
1.287297375E0,-7.879451752E0,3.555017090E1,4.012588501E1
1.297353375E0,-8.329524994E0,3.576430511E1,3.966796875E1
1.307408375E0,-8.383041382E0,3.573081970E1,3.958039856E1
1.317463375E0,-8.781105042E0,3.592919922E1,3.946426392E1
1.327519375E0,-8.685119629E0,3.596710968E1,3.924032593E1
1.337574375E0,-8.663673401E0,3.612903595E1,3.948106384E1
1.347629375E0,-8.724025726E0,3.640652466E1,3.948493958E1
1.357685375E0,-9.261489868E0,3.637152100E1,3.949266052E1
1.367740375E0,-1.030153656E1,3.643110657E1,3.908164978E1
1.377795375E0,-1.212388229E1,3.628730774E1,3.853529358E1
1.387851375E0,-1.377957153E1,3.587939453E1,3.807482910E1
1.397906375E0,-1.619577408E1,3.513048553E1,3.790191650E1
1.407961375E0,-1.884658051E1,3.429550934E1,3.771813965E1
1.418017375E0,-2.141991425E1,3.327032471E1,3.744297791E1
1.428072375E0,-2.439307785E1,3.230432892E1,3.698168945E1
1.438127375E0,-2.680581284E1,3.112770653E1,3.651208496E1
1.448183375E0,-2.869602966E1,2.980360985E1,3.608633423E1
1.458238375E0,-3.043085480E1,2.818944359E1,3.655957031E1
1.468293375E0,-3.176521301E1,2.654294395E1,3.661529541E1
1.478349375E0,-3.341640091E1,2.485640526E1,3.685034180E1
1.488404375E0,-3.483901596E1,2.302648354E1,3.641561890E1
1.498459375E0,-3.603918839E1,2.113629341E1,3.627127075E1
1.508515375E0,-3.728475571E1,1.891991615E1,3.679954529E1
1.518570375E0,-3.840436172E1,1.728132820E1,3.696978760E1
1.528625375E0,-3.973679733E1,1.578600502E1,3.658334351E1
1.538681375E0,-4.047046280E1,1.420815277E1,3.614437866E1
1.548736375E0,-4.132687759E1,1.357145691E1,3.568733215E1
1.558791375E0,-4.204050827E1,1.297034264E1,3.518023682E1
1.568847375E0,-4.212176895E1,1.235780525E1,3.466865540E1
1.578902375E0,-4.252730179E1,1.219870949E1,3.423347473E1
1.588957375E0,-4.273210526E1,1.185153770E1,3.427412415E1
1.599012375E0,-4.255569077E1,1.141409302E1,3.429052734E1
1.609068375E0,-4.230750656E1,1.132278824E1,3.416996765E1
1.619123375E0,-4.207017899E1,1.107425690E1,3.477279663E1
1.629178375E0,-4.179484177E1,1.116998100E1,3.540693665E1
1.639234375E0,-4.131876755E1,1.116650772E1,3.598027039E1
1.649289375E0,-4.097113419E1,1.109957504E1,3.637840271E1
1.659344375E0,-4.003709793E1,1.097037125E1,3.710903931E1
1.669400375E0,-3.934544754E1,1.091472626E1,3.769630432E1
1.679455375E0,-3.902814865E1,1.082979012E1,3.808024597E1
1.689510375E0,-3.859563828E1,1.052530479E1,3.823535156E1
1.699566375E0,-3.807164383E1,1.042958450E1,3.901538086E1
1.709621375E0,-3.807164383E1,1.042958450E1,3.901538086E1
1.719675750E0,-3.780636215E1,1.012934494E1,3.923860168E1
1.729731750E0,-3.746575546E1,9.711194992E0,3.975924683E1
1.739786750E0,-3.726322556E1,9.067279816E0,4.006042480E1
1.749841750E0,-3.696609879E1,8.359306335E0,4.045649719E1
1.759897750E0,-3.702942276E1,7.457384109E0,4.048719788E1
1.769952750E0,-3.731281662E1,6.906448364E0,4.104183960E1
1.780007750E0,-3.760403061E1,5.917303085E0,4.086071777E1
1.790063750E0,-3.779285812E1,5.358320236E0,4.068498230E1
1.800118750E0,-3.824090195E1,4.557226181E0,4.017549133E1
1.810173750E0,-3.876253891E1,3.985164642E0,3.971844482E1
1.820229750E0,-3.898100662E1,3.281715393E0,3.924913025E1
1.830284750E0,-3.953146744E1,2.717391968E0,3.912956238E1
1.840339750E0,-3.985348892E1,1.834939957E0,3.880065918E1
1.850395750E0,-3.995343399E1,1.284654617E0,3.881822205E1
1.860450750E0,-4.042442703E1,6.184234619E-1,3.849040222E1
1.870505750E0,-4.059854507E1,-3.930454254E-1,3.819764709E1
1.880560750E0,-4.094002151E1,-7.897853851E-1,3.751545715E1
1.890616750E0,-4.174234390E1,-1.319287300E0,3.693678284E1
1.900671750E0,-4.231548691E1,-1.870933533E0,3.619461060E1
1.910726750E0,-4.288243484E1,-2.021300316E0,3.531579590E1
1.920782750E0,-4.334385300E1,-2.176956177E0,3.501112366E1
1.930837750E0,-4.381093979E1,-2.193160057E0,3.457737732E1
1.940892750E0,-4.397649765E1,-2.064912796E0,3.441604614E1
1.950948750E0,-4.399416733E1,-1.833070755E0,3.435130310E1
1.961003750E0,-4.379343796E1,-1.412055016E0,3.441998291E1
1.971058750E0,-4.351430893E1,-8.201122284E-1,3.460760498E1
1.981114750E0,-4.359739304E1,-3.379154205E-1,3.486344910E1
1.991169750E0,-4.328201675E1,5.388813019E-1,3.489016724E1
2.001224750E0,-4.315643692E1,1.330121994E0,3.540567017E1
2.011280750E0,-4.297232437E1,2.166458130E0,3.556889343E1
2.021335750E0,-4.293700790E1,2.766714096E0,3.533749390E1
2.031390750E0,-4.287607193E1,3.298631668E0,3.549363708E1
2.041446750E0,-4.282851028E1,4.030292511E0,3.517704773E1
2.051501750E0,-4.256903458E1,4.522510529E0,3.530505371E1
2.061556750E0,-4.248315048E1,4.987012863E0,3.578590393E1
2.071612750E0,-4.234244919E1,5.732549667E0,3.576351929E1
2.081667750E0,-4.203134537E1,6.215826035E0,3.568360901E1
2.091722750E0,-4.176111221E1,6.508464813E0,3.612176514E1
2.101777750E0,-4.137373734E1,7.135379791E0,3.606478882E1
2.111833750E0,-4.145196915E1,7.630281448E0,3.653791809E1
2.121888750E0,-4.115518570E1,7.937942505E0,3.656018066E1
2.131943750E0,-4.116758347E1,8.051530838E0,3.677374268E1
2.141999750E0,-4.096575546E1,8.020927429E0,3.696867371E1
2.152054750E0,-4.089808273E1,7.843740463E0,3.688476562E1
2.162109750E0,-4.061852646E1,7.710098267E0,3.719171143E1
2.172165750E0,-4.045299911E1,7.701120377E0,3.704521179E1
2.182220750E0,-4.060396957E1,7.532161713E0,3.729905701E1
2.192275750E0,-4.064852524E1,7.512052536E0,3.706391907E1
2.202331750E0,-4.051271439E1,7.344772339E0,3.696511841E1
2.212386750E0,-4.067484665E1,7.030977249E0,3.703118896E1
2.222441750E0,-4.068381119E1,6.974164963E0,3.724673462E1
2.232497750E0,-4.057915115E1,6.960462570E0,3.699929810E1
2.242552750E0,-4.074332809E1,7.083057404E0,3.695091248E1
2.252607750E0,-4.077491379E1,6.819244385E0,3.678999329E1
2.262663750E0,-4.093381119E1,7.027866364E0,3.681954956E1
2.272718750E0,-4.097961807E1,7.180574417E0,3.698728943E1
2.282773750E0,-4.085345078E1,7.369644165E0,3.682812500E1
2.292829750E0,-4.075999069E1,7.334272385E0,3.682009888E1
2.302884750E0,-4.072832870E1,7.603916168E0,3.695318604E1
2.312939750E0,-4.084903336E1,7.494224548E0,3.676887512E1
2.322995750E0,-4.070370865E1,7.495513916E0,3.687043762E1
2.333050750E0,-4.072603226E1,7.451147079E0,3.667984009E1
2.343105750E0,-4.084388351E1,7.207014084E0,3.679927063E1
2.353160750E0,-4.075208664E1,7.234191895E0,3.724964905E1
2.363216750E0,-4.073117447E1,7.020792007E0,3.694032288E1
2.373271750E0,-4.052896500E1,7.104713440E0,3.675621033E1
2.383326750E0,-4.066504288E1,6.900564194E0,3.688606262E1
2.393382750E0,-4.055755234E1,7.001888275E0,3.701751709E1
2.403437750E0,-4.061870193E1,6.880664825E0,3.707797241E1
2.413492750E0,-4.076033401E1,6.861848831E0,3.656719971E1
2.423548750E0,-4.076720047E1,6.792406082E0,3.664450073E1
2.433603750E0,-4.059128189E1,6.711666107E0,3.683137512E1
2.443658750E0,-4.055732346E1,6.735626221E0,3.669389343E1
2.453714750E0,-4.011399460E1,6.679273605E0,3.719194031E1
2.463769750E0,-3.987127304E1,6.468057632E0,3.735159302E1
2.473824750E0,-3.965989304E1,6.521905899E0,3.786344910E1
2.483880750E0,-3.914514542E1,6.610227585E0,3.874392700E1
2.493935750E0,-3.910672379E1,6.629262924E0,3.948149109E1
2.503990750E0,-3.912265396E1,6.834606171E0,4.053800964E1
2.514046750E0,-3.921043777E1,7.310825348E0,4.178639221E1
2.524101750E0,-3.978704453E1,7.856454849E0,4.316853333E1
2.534156750E0,-4.074444962E1,8.169830322E0,4.478186035E1
2.544211750E0,-4.153390884E1,7.914052963E0,4.607885742E1
