"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.123333334E-3,-1.659460366E-3,-1.299272059E-3,-3.114927327E-3
1.517833333E-2,-2.083435655E-3,-1.128338045E-4,-1.927423757E-3
2.523433333E-2,-2.169543179E-3,8.666326758E-4,-1.502759755E-3
3.528933333E-2,-1.531449729E-3,-1.765369438E-3,9.819697589E-4
4.534533333E-2,1.834248425E-3,2.513612853E-4,1.214808319E-3
5.540033333E-2,-2.430271357E-3,7.664166042E-4,3.471504897E-4
6.545533333E-2,-5.843160325E-4,2.349070273E-4,2.515912056E-3
7.551133333E-2,-1.142248278E-3,7.622129051E-4,3.235498443E-3
8.556633333E-2,-1.147492556E-3,-2.537327586E-3,1.930280589E-3
9.562133333E-2,-1.121127279E-3,1.158873667E-3,-5.951947533E-4
1.056773333E-1,-4.388299305E-3,-5.534224911E-4,-1.299090683E-3
1.157323333E-1,2.845112234E-3,-7.877807366E-4,-7.073362358E-4
1.257883333E-1,1.430560224E-4,-1.955479383E-3,-1.435631420E-3
1.358433333E-1,-1.236994052E-3,5.809151917E-4,-4.385439679E-4
1.458983333E-1,7.285213796E-4,-8.799566422E-5,1.891810913E-3
1.559543333E-1,1.350902021E-3,-3.167142626E-3,2.922454383E-3
1.660093333E-1,3.734936472E-4,-1.793345786E-3,2.299591899E-3
1.760643333E-1,6.283581606E-4,-1.067658886E-4,1.476675272E-3
1.861203333E-1,4.272721708E-5,-1.316912938E-3,-1.777562313E-3
1.961753333E-1,2.351155272E-3,-8.759787306E-5,-9.786137380E-4
2.062303333E-1,-1.240283716E-3,2.414072631E-3,-1.452416647E-3
2.162863333E-1,2.031495969E-4,-1.305830781E-3,-2.360821236E-3
2.263413333E-1,-5.308366963E-5,-2.097586403E-4,-3.872537054E-4
2.363973333E-1,5.890044849E-4,-1.495799050E-3,-1.878091134E-3
2.464523333E-1,1.092083286E-3,-8.481366676E-4,2.053579316E-3
2.565073333E-1,-3.191257420E-4,1.489586080E-3,2.766507678E-3
2.665633333E-1,1.106629032E-3,-1.838040771E-3,1.348780934E-3
2.766183333E-1,-6.809129263E-5,3.590672277E-4,-6.091748364E-4
2.866733333E-1,4.320405715E-4,-1.010027248E-3,-1.732357778E-4
2.967293333E-1,-2.091837116E-3,-4.465023521E-4,6.539421156E-4
3.067843333E-1,-3.067321668E-4,-3.477582359E-4,-2.207569778E-4
3.168403333E-1,1.029375708E-3,-1.581867225E-3,-1.155260485E-3
3.268953333E-1,1.728811534E-3,5.674214335E-4,2.419887576E-3
3.369503333E-1,1.170346630E-3,-6.429853383E-4,2.301909495E-3
3.470063333E-1,8.466263535E-4,8.194092661E-4,2.990165725E-3
3.570613333E-1,6.506177015E-4,-3.901985474E-4,2.926499583E-4
3.671163333E-1,-7.675603847E-4,-1.430872944E-4,4.800232127E-4
3.771723333E-1,-2.159328433E-3,-5.164624890E-4,-4.632687196E-4
3.872273333E-1,2.822287846E-3,8.474802598E-4,-1.035069581E-3
3.972833333E-1,-1.298155170E-3,-6.004804163E-4,-1.660113689E-3
4.073383333E-1,1.760375802E-3,-9.366809390E-4,-6.504030898E-4
4.173933333E-1,-2.399028745E-7,-6.376079982E-4,-1.333770342E-3
4.274493333E-1,-7.884184597E-4,1.285512408E-4,-1.752693206E-3
4.375043333E-1,1.200696453E-3,-5.231242976E-4,5.706483498E-4
4.475593333E-1,1.868491061E-3,-8.448959561E-4,1.951227896E-3
4.576153333E-1,6.335832877E-4,-2.973499941E-4,-1.785453875E-3
4.676703333E-1,6.086155772E-4,4.152764450E-4,-1.983609982E-4
4.777258333E-1,5.300522898E-4,-1.189278206E-3,-2.323297318E-3
4.877818333E-1,1.385771320E-3,-1.736647915E-3,-3.128356533E-3
4.978368333E-1,5.426144344E-4,2.058356535E-3,-2.628481016E-3
5.078928333E-1,9.644663660E-4,1.556432107E-5,4.422240891E-4
5.179478333E-1,8.337051258E-4,-8.086840389E-4,2.187126782E-3
5.280028333E-1,4.960205406E-4,-5.319636548E-4,1.057965681E-3
5.380588333E-1,-5.215733545E-4,7.390545215E-5,1.237729564E-3
5.481138333E-1,4.366788198E-4,4.291727382E-4,-1.320926938E-3
5.581688333E-1,-1.650174265E-3,-1.289897715E-3,3.712456673E-4
5.682248333E-1,1.764079090E-3,7.790382951E-4,6.752377376E-4
5.782798333E-1,-2.759022755E-4,1.774302218E-4,-1.903234515E-3
5.883348333E-1,9.295636555E-4,4.741229350E-4,-3.107781522E-4
5.983908333E-1,-7.096119807E-4,2.751125721E-3,-1.416522544E-3
6.084458333E-1,6.432491355E-4,-2.631213050E-3,-3.553042188E-4
6.185018333E-1,1.573225018E-3,-1.932665939E-3,-4.565808922E-6
6.285568333E-1,-8.827224956E-4,8.565120515E-5,2.314327285E-4
6.386118333E-1,-8.220024756E-4,5.357254413E-4,2.892231569E-4
6.486678333E-1,1.017597504E-3,1.457390841E-3,1.972596627E-3
6.587228333E-1,-1.273786183E-3,-1.954917330E-3,-5.225185305E-4
6.687778333E-1,8.367431292E-5,1.778659644E-3,-1.075100154E-4
