"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.663541666E-3,-2.935881615E0,3.454170990E1,4.235858154E1
1.871554167E-2,-2.935881615E0,3.454170990E1,4.235858154E1
2.877054167E-2,-3.043799400E0,3.455744934E1,4.251968384E1
3.882654167E-2,-3.066624641E0,3.446049881E1,4.254800415E1
4.888154167E-2,-2.929112434E0,3.469309998E1,4.273823547E1
5.893754167E-2,-2.799731255E0,3.458216476E1,4.287617493E1
6.899254167E-2,-2.777895927E0,3.480137634E1,4.263758850E1
7.904854167E-2,-2.826195717E0,3.475608063E1,4.244007874E1
8.910454167E-2,-2.930743217E0,3.455440903E1,4.235046387E1
9.915954167E-2,-2.960694313E0,3.427626801E1,4.289198303E1
1.092155417E-1,-2.905207634E0,3.464246750E1,4.309219360E1
1.192705417E-1,-3.050108910E0,3.436738205E1,4.257162476E1
1.293265417E-1,-3.297236443E0,3.443973160E1,4.271903992E1
1.393815417E-1,-3.206450462E0,3.426786041E1,4.266073608E1
1.494375417E-1,-3.166684151E0,3.424700928E1,4.245014954E1
1.594925417E-1,-3.325272560E0,3.425806427E1,4.275946045E1
1.695485417E-1,-3.188832283E0,3.441548157E1,4.286595154E1
1.796045417E-1,-3.224404335E0,3.448976898E1,4.302241516E1
1.896595417E-1,-3.282513618E0,3.434526443E1,4.295080566E1
1.997155417E-1,-3.529784203E0,3.435565948E1,4.318766785E1
2.097705417E-1,-3.381600380E0,3.430831528E1,4.304762268E1
2.198265417E-1,-3.242611885E0,3.429674149E1,4.290861511E1
2.298815417E-1,-3.185294151E0,3.429819489E1,4.297874451E1
2.399375417E-1,-3.137333870E0,3.438890839E1,4.229870605E1
2.499935417E-1,-3.169215202E0,3.450769424E1,4.280133057E1
2.600485417E-1,-3.161904335E0,3.450461960E1,4.298078918E1
2.701045417E-1,-2.930348396E0,3.464234543E1,4.256074524E1
2.801595417E-1,-3.113764763E0,3.466230774E1,4.233843994E1
2.902155417E-1,-2.953978539E0,3.462580872E1,4.225534058E1
3.002705417E-1,-2.883046150E0,3.431951141E1,4.270997620E1
3.103265417E-1,-2.898825645E0,3.425707245E1,4.249291992E1
3.203825417E-1,-2.983265877E0,3.438237762E1,4.235142517E1
3.304375417E-1,-2.820744514E0,3.436399460E1,4.253224182E1
3.404935417E-1,-2.810347557E0,3.450274658E1,4.250880432E1
3.505485417E-1,-2.726927757E0,3.463047791E1,4.281146240E1
3.606045417E-1,-2.822356224E0,3.473472214E1,4.273788452E1
3.706595417E-1,-2.957571983E0,3.449637985E1,4.300054932E1
3.807155417E-1,-2.784482002E0,3.480500412E1,4.263232422E1
3.907715417E-1,-2.783261299E0,3.454677200E1,4.249882507E1
4.008265417E-1,-2.730320930E0,3.460574341E1,4.246827698E1
4.108825417E-1,-2.890618324E0,3.444640732E1,4.234970093E1
4.209375417E-1,-3.071150780E0,3.424085617E1,4.259642029E1
4.309935417E-1,-2.917464256E0,3.461173630E1,4.258641052E1
4.410485417E-1,-2.764498711E0,3.449113464E1,4.281425476E1
4.511045417E-1,-2.715035439E0,3.445632935E1,4.300059509E1
4.611605417E-1,-2.850975990E0,3.452089310E1,4.262742615E1
4.712155417E-1,-3.031138420E0,3.428749084E1,4.272189331E1
4.812715417E-1,-2.997738838E0,3.456601715E1,4.272399902E1
4.913265417E-1,-2.908349037E0,3.461170197E1,4.274906921E1
5.013825417E-1,-2.895428658E0,3.457266617E1,4.257986450E1
5.114375417E-1,-2.867058754E0,3.456819153E1,4.263270569E1
5.214935417E-1,-2.847435951E0,3.465655136E1,4.278901672E1
5.315495417E-1,-2.883517265E0,3.484909439E1,4.272045898E1
5.416045417E-1,-3.150105476E0,3.483405685E1,4.227246094E1
5.516605417E-1,-3.076025963E0,3.466326141E1,4.264054871E1
5.617155417E-1,-2.971335411E0,3.441754150E1,4.286291504E1
5.717715417E-1,-2.951375008E0,3.456166077E1,4.271864319E1
5.818265417E-1,-2.901200294E0,3.451216125E1,4.287695312E1
5.918819167E-1,-2.957623482E0,3.455098343E1,4.297546387E1
6.019369167E-1,-3.021647453E0,3.497476578E1,4.285379028E1
6.119929167E-1,-3.090136528E0,3.465507126E1,4.288740540E1
6.220489167E-1,-3.183575630E0,3.458114624E1,4.311483765E1
6.321039167E-1,-3.038285255E0,3.456835938E1,4.301640320E1
6.421599167E-1,-3.132750511E0,3.451257324E1,4.300129700E1
6.522149167E-1,-2.778058052E0,3.451601791E1,4.289729309E1
6.622709167E-1,-2.641686440E0,3.449780655E1,4.281582642E1
6.723269167E-1,-2.726452827E0,3.445338058E1,4.289424133E1
6.823819167E-1,-2.896349907E0,3.445650101E1,4.289115906E1
6.924379167E-1,-2.987265587E0,3.451848602E1,4.276702881E1
7.024929167E-1,-2.894976616E0,3.471720123E1,4.224893188E1
7.125489167E-1,-2.764714241E0,3.467419052E1,4.250321960E1
7.226039167E-1,-2.720892906E0,3.459636688E1,4.227268982E1
7.326599167E-1,-2.508408546E0,3.440280533E1,4.237574768E1
7.427159167E-1,-2.321339607E0,3.442520905E1,4.223504639E1
7.527709167E-1,-2.652264595E0,3.424378586E1,4.235403442E1
7.628269167E-1,-2.799532890E0,3.437869263E1,4.268130493E1
7.728819167E-1,-3.322121620E0,3.442446899E1,4.252960205E1
7.829379167E-1,-3.806567192E0,3.430456161E1,4.269471741E1
7.929929167E-1,-4.090424538E0,3.440193176E1,4.254290771E1
8.030489167E-1,-4.424223900E0,3.452816010E1,4.240007019E1
8.131039167E-1,-4.425621986E0,3.444166183E1,4.232527161E1
8.231599167E-1,-4.542405128E0,3.432549286E1,4.259771729E1
8.332159167E-1,-4.584441185E0,3.430688095E1,4.291339111E1
8.432709167E-1,-5.026801109E0,3.447422028E1,4.304129028E1
8.533269167E-1,-4.940548897E0,3.452684784E1,4.291229248E1
8.633819167E-1,-4.905499458E0,3.445052338E1,4.300386047E1
8.734379167E-1,-4.442128181E0,3.446558762E1,4.266221619E1
8.834929167E-1,-4.632378578E0,3.426063538E1,4.273127747E1
8.935489167E-1,-4.507405281E0,3.417982864E1,4.276890564E1
