"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.726791667E-3,1.472937012E-1,2.375559998E-1,9.847122803E0
1.278979167E-2,1.532812500E-1,2.311193848E-1,9.843380585E0
2.284279167E-2,1.420545959E-1,2.333647156E-1,9.854607239E0
3.289879167E-2,1.356179810E-1,2.302212524E-1,9.851463776E0
4.295379167E-2,1.395098877E-1,2.335144043E-1,9.846524048E0
5.300879167E-2,1.369651794E-1,2.276765442E-1,9.852661285E0
6.306379167E-2,1.419049072E-1,2.269281006E-1,9.852960663E0
7.311879167E-2,1.383123779E-1,2.324665833E-1,9.844428406E0
8.317279167E-2,1.339714050E-1,2.439926147E-1,9.846823425E0
9.322779167E-2,1.401086426E-1,2.420466614E-1,9.851613464E0
1.032827917E-1,1.311273193E-1,2.344125366E-1,9.848919067E0
1.133377917E-1,1.323248291E-1,2.381547546E-1,9.854756927E0
1.233927917E-1,1.414558411E-1,2.327659607E-1,9.843829651E0
1.334477917E-1,1.354682922E-1,2.323168945E-1,9.847422180E0
1.435030417E-1,1.374142456E-1,2.396516418E-1,9.854307861E0
1.535580417E-1,1.466949463E-1,2.273771667E-1,9.848919067E0
1.636130417E-1,1.333726501E-1,2.266287231E-1,9.848619690E0
1.736680417E-1,1.402583313E-1,2.329156494E-1,9.863438873E0
1.837230417E-1,1.383123779E-1,2.293231201E-1,9.831255798E0
1.937780417E-1,1.371148682E-1,2.264790344E-1,9.834848328E0
2.038330417E-1,1.493893433E-1,2.297721863E-1,9.854457550E0
2.138880417E-1,1.381626892E-1,2.258802795E-1,9.843829651E0
2.239430417E-1,1.359173584E-1,2.234852600E-1,9.849517822E0
2.339980417E-1,1.389111328E-1,2.299218750E-1,9.854307861E0
2.440530417E-1,1.321751404E-1,2.378553772E-1,9.856702881E0
2.541080417E-1,1.366658020E-1,2.390528870E-1,9.854307861E0
2.641630417E-1,1.395098877E-1,2.405497742E-1,9.851014709E0
2.742180417E-1,1.318757629E-1,2.399510193E-1,9.847721558E0
2.842730417E-1,1.396595764E-1,2.402503967E-1,9.859097900E0
2.943280417E-1,1.399589539E-1,2.207908630E-1,9.842632141E0
3.043830417E-1,1.374142456E-1,2.239343262E-1,9.853260040E0
3.144380417E-1,1.314266968E-1,2.246827698E-1,9.858199768E0
3.244930417E-1,1.264869690E-1,2.128573608E-1,9.855056305E0
3.345470417E-1,1.471440125E-1,2.318678284E-1,9.856852570E0
3.446020417E-1,1.405577087E-1,2.362088013E-1,9.853559418E0
3.546570417E-1,1.493893433E-1,2.454895020E-1,9.847571869E0
3.647120417E-1,1.484912109E-1,2.586621094E-1,9.857151947E0
3.747670417E-1,1.407073975E-1,2.499801636E-1,9.857151947E0
3.848220417E-1,1.390608215E-1,2.477348328E-1,9.848769379E0
3.948770417E-1,1.402583313E-1,2.406994629E-1,9.846524048E0
4.049320417E-1,1.291813660E-1,2.197430420E-1,9.858349457E0
4.149870417E-1,1.387614441E-1,2.145039368E-1,9.856104126E0
4.250420417E-1,1.463955688E-1,2.174977112E-1,9.837991791E0
4.350970417E-1,1.481918335E-1,2.183958435E-1,9.849218445E0
4.451520417E-1,1.480421448E-1,2.273771667E-1,9.856104126E0
4.552070417E-1,1.537303162E-1,2.426454163E-1,9.854307861E0
4.652620417E-1,1.481918335E-1,2.547702026E-1,9.849068756E0
4.753170417E-1,1.481918335E-1,2.679428101E-1,9.845476227E0
4.853720417E-1,1.444496155E-1,2.607577515E-1,9.859846344E0
4.954270417E-1,1.507365417E-1,2.598596191E-1,9.855804749E0
5.054820417E-1,1.535806274E-1,2.577639771E-1,9.867480469E0
5.155370417E-1,1.519340515E-1,2.389031982E-1,9.855954437E0
5.255920417E-1,1.374142456E-1,2.008822632E-1,9.866432648E0
5.356470417E-1,1.134640503E-1,1.667532349E-1,9.855505371E0
5.457020417E-1,8.262817383E-2,1.275347900E-1,9.857151947E0
5.557570417E-1,6.960525513E-2,1.160087585E-1,9.857151947E0
