"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.169566667E-2,3.547792148E-4,8.714036085E-4,8.253706619E-4
6.175066667E-2,-2.140869154E-3,-4.854769213E-4,4.173745401E-4
7.180666667E-2,-3.246613545E-3,-6.806866731E-4,-1.972546335E-3
8.186166667E-2,-1.879346557E-3,-1.152066048E-3,-1.428462099E-3
9.191666667E-2,3.113545536E-4,-2.582247602E-3,-1.026057173E-3
1.019716667E-1,-3.277918324E-3,-2.928400878E-3,-1.787371002E-4
1.120266667E-1,5.386578850E-4,-3.664400429E-4,2.381891944E-3
1.220826667E-1,2.043488494E-4,-9.512588731E-4,4.348973744E-4
1.321376667E-1,-1.575747447E-4,3.310531611E-4,2.573947888E-3
1.421926667E-1,3.697084496E-3,-1.270571840E-3,6.311722100E-4
1.522476667E-1,-1.044407371E-3,2.272497630E-3,-3.118528984E-4
1.623026667E-1,-1.962458948E-3,-9.983128402E-4,-4.956265911E-4
1.723586667E-1,2.511603525E-4,-2.189811086E-3,-2.162610181E-4
1.824136667E-1,-9.410341736E-4,-2.363939304E-3,1.405197661E-3
1.924686667E-1,-9.676658083E-4,-3.289387794E-3,-1.354369801E-3
2.025236667E-1,-1.596885035E-3,-1.856555609E-4,1.712248195E-3
2.125796667E-1,-3.151638433E-3,-2.818456385E-3,3.092950210E-4
2.226346667E-1,-1.656170003E-3,1.565947081E-3,2.059916500E-3
2.326896667E-1,-1.185855712E-3,1.315684640E-4,-2.359948121E-4
2.427446667E-1,4.130717134E-4,3.133736318E-3,1.190369949E-5
2.527996667E-1,3.835106036E-4,4.516665940E-4,-8.592163213E-4
2.628545833E-1,-1.092794933E-3,1.496806392E-3,8.551352657E-4
2.729105833E-1,-3.282014222E-4,-3.785915906E-4,-1.192835625E-3
2.829655833E-1,4.780766903E-4,5.394545151E-4,2.102725673E-3
2.930205833E-1,1.452793600E-3,-8.326060488E-4,-6.588594988E-5
3.030755833E-1,1.901958487E-3,2.578116721E-3,6.313673221E-4
3.131315833E-1,-2.763899742E-3,1.594877802E-3,8.489475586E-4
3.231865833E-1,-9.622444632E-4,-2.936685341E-4,2.874520142E-3
3.332415833E-1,-3.369342012E-4,-1.859607175E-3,5.146935582E-4
3.432965833E-1,-1.705645816E-3,-1.936725341E-3,-1.133464277E-3
3.533515833E-1,8.006549324E-4,-4.655013792E-3,-1.969164237E-3
3.634075833E-1,-6.067124195E-4,1.300404110E-4,-3.843036946E-3
3.734625833E-1,1.829148532E-4,3.444729373E-7,-6.847940385E-4
3.835175833E-1,1.888324507E-3,2.348048380E-3,1.872221474E-3
3.935725833E-1,1.053423621E-3,2.883343725E-3,3.665860277E-3
4.036275833E-1,1.625724952E-3,1.989743905E-3,1.992529724E-3
4.136835833E-1,4.549076781E-3,3.060334595E-3,2.933158074E-3
4.237385833E-1,1.429067692E-3,3.635742003E-3,1.050536055E-3
4.337935833E-1,-3.043838951E-4,-2.176340669E-3,-2.171089407E-3
4.438485833E-1,-3.109537065E-3,-6.043107715E-3,-4.237278365E-3
4.539035833E-1,-3.721531713E-3,-4.493148066E-3,-2.246565651E-3
4.639595833E-1,-2.627819777E-3,-4.157178570E-3,-1.344658434E-3
4.740145833E-1,9.701108793E-4,1.651316416E-4,-2.819250803E-3
4.840695833E-1,1.126485295E-3,-4.550027370E-5,1.537755597E-3
4.941245833E-1,1.785883913E-3,1.241339138E-3,2.637907397E-3
5.041795833E-1,-3.110905527E-5,2.414962742E-3,2.416247036E-3
5.142355833E-1,3.706788993E-5,3.255988937E-3,7.262052968E-4
5.242905833E-1,8.305738447E-6,-6.436777185E-4,5.730735138E-4
5.343455833E-1,4.938000347E-4,-6.894840626E-4,-1.078885514E-3
5.444005833E-1,-6.539982860E-4,-2.500796458E-3,-1.518598758E-3
5.544555833E-1,1.944447868E-3,-3.151939483E-3,-5.016394425E-3
5.645115833E-1,-9.059575386E-4,-1.810142305E-3,-1.909525134E-3
5.745665833E-1,3.859419667E-4,-2.953362418E-4,5.222070031E-4
5.846215833E-1,1.341460738E-3,-3.980866750E-4,3.414799925E-3
5.946765833E-1,1.465564128E-3,2.217669971E-3,3.086965065E-3
6.047325833E-1,3.001741599E-3,6.608646945E-4,1.425928902E-3
6.147875833E-1,-9.855432436E-4,2.259294037E-3,2.761504147E-3
6.248425833E-1,7.936485345E-4,-1.510755392E-3,6.757392548E-4
6.348975833E-1,-1.777633559E-3,-2.416230273E-3,-9.842091240E-4
6.449525833E-1,-3.313548630E-3,-1.224226202E-3,-4.864251241E-3
6.550085833E-1,-8.605108596E-4,-1.252189279E-3,-8.532642387E-4
6.650635833E-1,-5.226004869E-4,-2.656284021E-3,-4.950207658E-4
6.751185833E-1,-1.595055335E-3,-1.757733291E-3,9.790384211E-4
6.851735833E-1,1.005542115E-3,-1.476544654E-3,2.694660332E-3
6.952285833E-1,5.333636655E-4,6.052483222E-4,1.147097442E-3
7.052845833E-1,-1.122853253E-3,3.294932190E-3,-5.845576525E-4
7.153395833E-1,-2.074933378E-3,2.660833532E-3,7.709912024E-4
7.253945833E-1,-2.317424165E-3,4.312756937E-4,-2.945097163E-3
7.354495833E-1,-4.116660566E-4,1.632361324E-3,-2.016719431E-3
7.455045833E-1,-2.025823342E-3,-1.276090392E-3,-2.971338108E-5
7.555605833E-1,-2.472435590E-3,-1.880627940E-3,8.211666718E-4
7.656155833E-1,-1.093542087E-4,1.068836427E-3,1.280132215E-3
7.756705833E-1,1.718905754E-3,6.917328574E-4,1.076134387E-3
7.857255833E-1,3.148942778E-4,1.273792121E-3,3.563761711E-3
7.957805833E-1,-2.282486763E-3,-1.619998598E-3,1.565591432E-3
8.058365833E-1,2.295545535E-3,-6.324850838E-4,2.863616217E-3
8.158915833E-1,-7.071685977E-4,-1.417851308E-3,-1.767887268E-3
8.259465833E-1,2.726468665E-4,-2.733533038E-4,2.120555844E-3
8.360015833E-1,-3.046717262E-3,-3.196971491E-3,-1.669122372E-3
8.460575833E-1,-1.127199735E-3,-1.064151991E-3,-2.075532917E-3
8.561125833E-1,2.579102875E-4,-1.858414325E-4,-6.483448669E-4
8.661675833E-1,1.251994981E-4,1.400612993E-3,1.671165228E-5
8.762225833E-1,3.314867616E-3,1.839235541E-3,-7.066032849E-4
8.862775833E-1,3.378264839E-3,3.272499191E-3,9.196582250E-4
8.963335833E-1,1.233887626E-3,1.626665588E-3,1.612878870E-3
9.063885833E-1,1.059005444E-4,1.333867200E-3,9.339386597E-4
9.164435833E-1,-2.400440862E-4,-8.163690218E-4,-1.299920958E-3
9.264985833E-1,-2.892514924E-3,-1.463237102E-3,2.983072773E-4
9.365535833E-1,1.738488063E-4,-1.371358056E-3,-1.485211775E-3
9.466095833E-1,-4.198518582E-4,-2.140881494E-3,-4.926975816E-5
9.566645833E-1,-2.539994428E-3,2.479740360E-4,7.395585999E-4
9.667195833E-1,-1.084801159E-3,-2.497952897E-3,1.619019546E-3
9.767745833E-1,-7.010396803E-4,-1.477163401E-3,9.622424841E-5
9.868295833E-1,5.352123990E-4,-1.061132993E-3,8.150087669E-4
9.968855833E-1,6.800883566E-4,1.758089289E-3,1.047236845E-3
1.006940583E0,1.973979641E-3,-5.680091563E-4,1.898217015E-4
1.016995583E0,-4.151422181E-4,-2.108792396E-4,-3.187598893E-3
1.027050583E0,3.900797106E-3,-3.236896882E-4,-6.277016364E-4
1.037106583E0,-6.593337748E-4,2.856415813E-4,-1.908415928E-3
1.047161583E0,-5.376660265E-4,6.615320453E-4,-1.005405094E-3
1.057216583E0,-1.209847862E-3,-3.536649747E-4,-3.081871662E-3
1.067271583E0,7.130663726E-4,-7.360132877E-4,-1.127619762E-3
1.077326583E0,-5.519351107E-4,2.131145913E-3,-3.865314648E-5
1.087382583E0,-7.045217790E-4,2.437672578E-3,2.359864302E-4
1.097437583E0,1.183126820E-3,2.501521376E-4,1.264233142E-3
1.107492583E0,7.680497947E-5,3.764205612E-4,1.005304046E-3
1.117547583E0,-1.893667853E-3,-6.116121658E-4,-5.944566801E-4
1.127602583E0,-1.376084401E-5,-2.583175432E-3,-1.027014107E-3
1.137658583E0,-3.783475840E-4,-1.969583100E-3,-1.225419808E-3
1.147713583E0,-6.543252384E-4,-6.379502593E-4,8.047716692E-4
1.157768583E0,-6.980010075E-4,4.712562950E-4,2.255395520E-3
1.167823583E0,-1.180506661E-5,-3.969384125E-4,-3.430410288E-4
1.177878583E0,2.363201929E-3,7.602050318E-4,2.038890496E-3
1.187934583E0,3.653918102E-4,-6.954935961E-4,-1.235804055E-3
1.197989583E0,-5.142503069E-4,-7.354409900E-4,2.092272043E-4
1.208044583E0,5.371945444E-4,1.648306614E-3,-1.199548133E-3
1.218099583E0,-3.086036071E-3,1.478816121E-4,-3.170021111E-3
1.228154583E0,1.046536025E-3,4.033815349E-4,-4.117500037E-3
1.238210583E0,-2.252854174E-3,-2.620904241E-3,1.446908340E-3
1.248265583E0,9.984800126E-4,2.313012810E-4,-3.897119313E-6
1.258320583E0,1.299683587E-3,4.598004743E-4,2.646306530E-5
1.268375833E0,1.923172036E-3,3.182103392E-4,1.491107978E-4
1.278431833E0,2.834239509E-3,-2.107929206E-3,6.378008984E-4
1.288486833E0,1.182068721E-3,1.895474852E-4,-3.505069762E-4
1.298541833E0,3.543582861E-4,8.473482449E-4,1.986150630E-3
1.308596833E0,-2.683067578E-4,-1.651247148E-3,2.069166861E-3
1.318651833E0,-4.017311148E-4,1.562402176E-4,-2.409737557E-3
1.328707833E0,1.633522334E-4,-8.754830924E-4,-5.285325460E-4
1.338762833E0,1.569606393E-4,-6.555060390E-4,-1.983683556E-3
1.348817833E0,-2.147066174E-3,7.106266567E-4,-1.868610270E-4
1.358872833E0,-1.260233345E-3,1.435006503E-3,5.092890933E-4
1.368927833E0,1.211338909E-3,4.619128886E-4,-2.967766486E-4
1.378983833E0,-2.147972351E-3,1.171911601E-3,1.798066311E-3
1.389038833E0,1.788831083E-3,-1.887451363E-4,5.282489583E-4
1.399093833E0,2.687115222E-3,1.167194278E-4,-5.908110179E-4
1.409148833E0,-2.093160991E-3,-3.088471945E-3,-2.683232073E-3
1.419203833E0,5.143398885E-4,-7.994851330E-4,3.485102206E-4
1.429259833E0,-9.162470233E-4,-4.093109164E-3,3.982530907E-4
1.439314833E0,-2.117066411E-3,-3.955762950E-4,-4.821880721E-4
1.449369833E0,8.739046752E-4,1.979626250E-4,-1.021694392E-3
1.459424833E0,1.505872817E-3,-1.437218278E-3,1.298566349E-4
1.469480833E0,1.595385023E-3,-4.197682429E-4,-8.023520932E-4
1.479535833E0,8.955062949E-4,3.215712961E-3,9.862268344E-4
1.489590833E0,-5.180862499E-4,1.347420475E-4,-6.147962995E-4
1.499645833E0,-8.587045595E-4,-3.084079362E-4,-2.197512891E-3
1.509700833E0,2.433902264E-4,-3.055515699E-4,4.677302204E-4
1.519756833E0,-6.373170763E-4,4.156324430E-4,7.597915828E-5
1.529811833E0,-9.082927136E-4,-2.125283005E-3,1.796355937E-3
1.539866833E0,4.106706008E-3,4.880428314E-3,-1.276665367E-3
1.549921833E0,4.545260686E-3,4.775901325E-3,3.835172392E-4
1.559976833E0,2.141757635E-3,5.081099458E-3,1.026670448E-3
1.570032833E0,1.227945671E-3,5.831257906E-3,4.763854668E-4
1.580087833E0,4.295108374E-3,6.484264974E-3,-1.060478389E-4
1.590142833E0,1.901081530E-3,1.781313564E-3,4.885676317E-4
1.600197833E0,-2.928294707E-3,-2.897860482E-3,-1.864069141E-3
1.610252833E0,-6.413821597E-3,-7.584996056E-3,8.205161430E-4
1.620308833E0,-1.211868832E-3,-9.827535832E-4,-1.693805680E-4
1.630363833E0,2.174803987E-3,9.622738697E-3,-1.097920351E-3
1.640418833E0,2.804109128E-3,7.670641877E-3,2.694953233E-3
1.650473833E0,1.039124676E-3,1.293955022E-3,8.685910143E-4
1.660528833E0,-8.879386587E-4,-3.372435691E-3,8.123461157E-6
1.670584833E0,-4.023726564E-3,-4.658720922E-3,-3.355280496E-4
1.680639833E0,-1.045513665E-3,-2.185709542E-3,-6.979843602E-4
1.690694833E0,2.749819541E-4,8.861563401E-4,-1.804294065E-3
1.700749833E0,1.518944511E-3,1.520254998E-3,-1.756623387E-3
1.710805833E0,-2.125199535E-4,-1.075009233E-3,-7.629850879E-4
1.720860833E0,-2.891127253E-3,-4.050559364E-3,8.772560395E-4
1.730915833E0,-2.615060424E-3,-4.575936124E-3,1.451538410E-3
1.740970833E0,5.554327508E-4,-3.468366631E-4,-8.819238283E-4
1.751025833E0,1.122184680E-3,3.501858562E-3,1.492066309E-3
1.761081833E0,2.442846308E-3,1.427788637E-3,2.310592681E-4
1.771136833E0,-8.434251649E-4,3.810589988E-5,-1.330472063E-3
1.781191833E0,-2.956311801E-5,-8.263562340E-4,6.748884916E-4
1.791246833E0,-1.591882436E-3,-3.212604439E-3,1.340439543E-3
1.801301833E0,1.191987249E-4,2.534997184E-4,5.635954440E-4
1.811357833E0,5.148804048E-4,1.510961330E-3,-1.826581080E-3
1.821412833E0,8.531252388E-5,7.740646834E-4,1.037648879E-3
