"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.196833329E-3,-2.761064529E0,3.405396652E1,4.024700928E1
1.925183334E-2,-2.690332413E0,3.420220566E1,4.040110779E1
2.930583333E-2,-2.623655319E0,3.420168304E1,4.050550842E1
3.936083333E-2,-2.775085449E0,3.409790802E1,4.076707458E1
4.941583333E-2,-2.666963577E0,3.418584824E1,4.056864929E1
5.946983333E-2,-2.604894638E0,3.416323090E1,4.034542847E1
6.952483334E-2,-2.541208267E0,3.414889908E1,4.054107666E1
7.957883333E-2,-2.441125870E0,3.411019516E1,4.093438721E1
8.963383333E-2,-2.573007584E0,3.417734909E1,4.051316833E1
9.968883333E-2,-2.601165771E0,3.418112564E1,3.981764221E1
1.097428333E-1,-2.452796936E0,3.413547134E1,4.048701477E1
1.197978333E-1,-2.656747818E0,3.409006500E1,4.073924255E1
1.298518333E-1,-2.667537689E0,3.386347198E1,4.070735168E1
1.399068333E-1,-2.709676743E0,3.403457260E1,4.062944031E1
1.499618333E-1,-2.711572647E0,3.409296036E1,4.057199097E1
1.600158333E-1,-2.537456512E0,3.410381699E1,4.028260803E1
1.700708333E-1,-2.435756683E0,3.392107391E1,4.012846375E1
1.801258333E-1,-2.629966736E0,3.413711548E1,4.019403076E1
1.901798333E-1,-2.330450058E0,3.396431351E1,4.048742676E1
2.002348333E-1,-2.292884827E0,3.383652496E1,4.028814697E1
2.102888333E-1,-2.546600342E0,3.382952118E1,4.019227600E1
2.203438333E-1,-2.452701569E0,3.389096832E1,4.029956055E1
2.303988333E-1,-2.343736649E0,3.402078247E1,3.996717834E1
2.404528333E-1,-2.366725922E0,3.385981369E1,4.000654602E1
2.505078333E-1,-2.383180618E0,3.400454712E1,3.992156982E1
2.605618333E-1,-2.141719818E0,3.393935394E1,3.996357727E1
2.706168333E-1,-2.410715103E0,3.400905609E1,4.021257019E1
2.806718333E-1,-2.270362854E0,3.403989792E1,4.028453064E1
2.907258333E-1,-2.135469437E0,3.419882202E1,4.027427673E1
3.007808333E-1,-2.174133301E0,3.411886978E1,4.011604309E1
3.108348333E-1,-2.307374954E0,3.419391251E1,4.019221497E1
3.208898333E-1,-2.140775681E0,3.411688232E1,3.990281677E1
3.309448333E-1,-2.427333832E0,3.408259201E1,3.987379456E1
3.409988333E-1,-2.258621216E0,3.428668976E1,3.978192139E1
3.510538333E-1,-2.055421829E0,3.411457062E1,3.998474121E1
3.611078333E-1,-2.008560181E0,3.405924988E1,4.010400391E1
3.711628333E-1,-2.263668060E0,3.399884796E1,4.021257019E1
3.812178333E-1,-2.074356079E0,3.400509644E1,4.013749695E1
3.912718333E-1,-2.108993530E0,3.433414459E1,3.985289001E1
4.013268333E-1,-2.165365219E0,3.422348022E1,3.993022156E1
4.113808333E-1,-2.180088043E0,3.421184158E1,4.014958191E1
4.214358333E-1,-2.204418182E0,3.409924698E1,4.011550903E1
4.314908333E-1,-2.082250595E0,3.438646317E1,4.010563660E1
4.415448333E-1,-2.164129257E0,3.421815491E1,3.981420898E1
4.515998333E-1,-2.443609238E0,3.396900558E1,3.988572693E1
4.616538333E-1,-2.285640717E0,3.408902740E1,3.946087646E1
4.717088333E-1,-2.360496521E0,3.397666168E1,3.941986084E1
4.817638333E-1,-2.292703629E0,3.399133682E1,3.956626892E1
4.918178333E-1,-2.169347763E0,3.431239319E1,3.965695190E1
5.018728333E-1,-2.124481201E0,3.410459518E1,3.958102417E1
5.119278333E-1,-2.190568924E0,3.414213562E1,3.947599792E1
5.219818333E-1,-2.150321960E0,3.415738297E1,3.966860962E1
5.320368333E-1,-2.205530167E0,3.410505676E1,3.948554993E1
5.420908333E-1,-2.132551193E0,3.404434967E1,3.947444153E1
5.521458333E-1,-2.148021698E0,3.403064346E1,3.970834351E1
5.622008333E-1,-2.060480118E0,3.418656158E1,3.962089539E1
5.722548333E-1,-2.058357239E0,3.405774307E1,3.992503357E1
5.823098333E-1,-1.981527328E0,3.409794235E1,3.991015625E1
5.923638333E-1,-2.074037552E0,3.426741409E1,3.967964172E1
6.024188333E-1,-1.870367050E0,3.431992722E1,3.994110107E1
6.124738333E-1,-2.044168472E0,3.417581558E1,3.981340027E1
6.225278333E-1,-1.904777527E0,3.385252380E1,4.002299500E1
6.325828333E-1,-2.040699005E0,3.391524506E1,3.974388123E1
6.426368333E-1,-2.207559586E0,3.420780563E1,3.997978210E1
6.526918333E-1,-2.142724991E0,3.417356110E1,3.971656799E1
6.627468333E-1,-2.141639709E0,3.418361664E1,3.977749634E1
6.728008333E-1,-2.382114410E0,3.396947861E1,3.975347900E1
6.828558333E-1,-2.212675095E0,3.397047043E1,3.972814941E1
6.929098333E-1,-2.145511627E0,3.404234314E1,3.947912598E1
7.029648333E-1,-2.144702911E0,3.413285446E1,4.005020142E1
7.130197083E-1,-2.135379791E0,3.416488266E1,3.970310974E1
7.230737083E-1,-2.095611572E0,3.414368439E1,3.985118103E1
7.331287083E-1,-2.215633392E0,3.434486771E1,3.963728333E1
7.431827083E-1,-2.225101471E0,3.431669998E1,3.968553162E1
7.532377083E-1,-2.306718826E0,3.441743851E1,3.955018616E1
7.632927083E-1,-2.367008209E0,3.438121414E1,3.924307251E1
7.733467083E-1,-2.000032425E0,3.421221924E1,3.984841919E1
7.834017083E-1,-1.850788116E0,3.431164932E1,3.998962402E1
7.934557083E-1,-1.760927200E0,3.418122101E1,3.935356140E1
8.035107083E-1,-2.081356049E0,3.424423218E1,3.967835999E1
8.135657083E-1,-2.071174622E0,3.453029251E1,3.957969666E1
8.236197083E-1,-2.185646057E0,3.471058655E1,3.966491699E1
8.336747083E-1,-2.157850266E0,3.461813736E1,3.936708069E1
8.437297083E-1,-2.089725494E0,3.471796799E1,3.929051208E1
8.537837083E-1,-1.906007767E0,3.450826263E1,3.965913391E1
8.638387083E-1,-2.061277390E0,3.457508087E1,3.974371338E1
8.738927083E-1,-2.080644608E0,3.443869781E1,3.969973755E1
8.839477083E-1,-2.190589905E0,3.457187653E1,3.978477478E1
8.940027083E-1,-2.173217773E0,3.465776443E1,4.003224182E1
9.040567083E-1,-2.091829300E0,3.463519669E1,4.016697693E1
9.141117083E-1,-2.418064117E0,3.470100403E1,4.007951355E1
9.241657083E-1,-2.329446793E0,3.474890137E1,3.990196228E1
9.342207083E-1,-2.206384659E0,3.455070877E1,3.982400513E1
9.442757083E-1,-1.983398438E0,3.448151779E1,3.988830566E1
9.543297083E-1,-2.130634308E0,3.442201614E1,3.974528503E1
9.643847083E-1,-2.120197296E0,3.454143143E1,3.985836792E1
9.744387083E-1,-1.790969849E0,3.443937302E1,3.954583740E1
9.844937083E-1,-1.761333466E0,3.467334747E1,3.943544006E1
9.945487083E-1,-2.086067200E0,3.493738556E1,3.985559082E1
1.004602708E0,-2.180606842E0,3.454389954E1,3.973605347E1
1.014657708E0,-2.017705917E0,3.430563354E1,3.975540161E1
1.024711708E0,-2.164873123E0,3.465199661E1,3.996301270E1
1.034766708E0,-2.257505417E0,3.456085205E1,4.036778259E1
