"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.321249963E-4,-4.640350342E-2,2.134561157E-1,-9.787696381E0
1.098712499E-2,-3.682342529E-2,2.064207458E-1,-9.775870972E0
2.104112500E-2,-3.876937866E-2,2.031275940E-1,-9.778715057E0
3.109612499E-2,-5.418731689E-2,1.998344421E-1,-9.777068481E0
4.115112501E-2,-6.286926270E-2,1.926493835E-1,-9.776020660E0
5.120612500E-2,-6.646179199E-2,1.950444031E-1,-9.785001984E0
6.126112500E-2,-6.840774536E-2,1.989363098E-1,-9.788744202E0
7.131512501E-2,-5.942642212E-2,1.953437805E-1,-9.771679688E0
8.137012500E-2,-2.963836670E-2,1.862127686E-1,-9.776619415E0
9.142512499E-2,-1.032852173E-2,1.845661926E-1,-9.769284668E0
1.014801250E-1,1.586700439E-2,1.878593445E-1,-9.773475952E0
1.115351250E-1,1.990859985E-2,1.818717957E-1,-9.776020660E0
1.215891250E-1,2.469863892E-2,1.920506287E-1,-9.781858521E0
1.316441250E-1,1.182540894E-2,2.004331970E-1,-9.774523773E0
1.416991250E-1,-2.095642090E-2,2.139051819E-1,-9.777367859E0
1.517541250E-1,-5.418731689E-2,2.185455322E-1,-9.779912567E0
1.618081250E-1,-7.843688965E-2,2.203417969E-1,-9.781708832E0
1.718631250E-1,-8.307723999E-2,2.094145203E-1,-9.788444824E0
1.819181250E-1,-8.891510010E-2,1.974394226E-1,-9.776469727E0
1.919731250E-1,-6.945556641E-2,1.809736633E-1,-9.786049805E0
2.020281250E-1,-4.984634399E-2,1.663041687E-1,-9.784552917E0
2.120821250E-1,-3.098556519E-2,1.725910950E-1,-9.784103851E0
2.221371250E-1,-1.317260742E-2,1.806742859E-1,-9.778715057E0
2.321921250E-1,-5.538482666E-3,1.971400452E-1,-9.781110077E0
2.422471250E-1,-5.089416504E-3,2.154020691E-1,-9.785900116E0
2.523011250E-1,-1.257385254E-2,2.314187622E-1,-9.782756653E0
2.623561250E-1,-1.811233521E-2,2.348616028E-1,-9.789193268E0
2.724111250E-1,-2.215393066E-2,2.174977112E-1,-9.773326263E0
2.824661250E-1,-2.424957275E-2,2.109114075E-1,-9.781409454E0
2.925211250E-1,-3.023712158E-2,1.892065430E-1,-9.784552917E0
3.025751250E-1,-2.395019531E-2,1.613644409E-1,-9.769284668E0
3.126301250E-1,-3.727249146E-2,1.603166199E-1,-9.775721283E0
3.226851250E-1,-4.805007935E-2,1.579216003E-1,-9.784403229E0
3.327401250E-1,-5.733078003E-2,1.689985657E-1,-9.780661011E0
3.427951250E-1,-5.987548828E-2,2.152523804E-1,-9.778864746E0
3.528491250E-1,-7.768844604E-2,2.209405518E-1,-9.777218170E0
3.629041250E-1,-7.050338745E-2,2.372566223E-1,-9.795779572E0
3.729591250E-1,-4.131408691E-2,2.507286072E-1,-9.783056030E0
3.830141250E-1,-1.422042847E-2,2.327659607E-1,-9.775721283E0
3.930681250E-1,2.544708252E-3,2.074685669E-1,-9.776469727E0
4.031231250E-1,2.035766602E-2,1.800755310E-1,-9.782307587E0
