"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.622500125E-4,-2.287243652E-1,1.588197327E-1,-9.786498871E0
9.292749979E-3,-2.704875183E-1,2.736309814E-1,-9.790989532E0
1.934874998E-2,-2.257305908E-1,3.288661194E-1,-9.785001984E0
2.940375000E-2,-1.175056458E-1,3.318598938E-1,-9.786199493E0
3.945874999E-2,3.742218018E-2,2.778222656E-1,-9.773775330E0
4.951474999E-2,1.811233521E-1,2.010319519E-1,-9.788444824E0
5.956974998E-2,2.685415649E-1,1.125659180E-1,-9.758656769E0
6.962475000E-2,2.426454163E-1,6.975494385E-2,-9.774374084E0
7.968075000E-2,1.456471252E-1,1.001417542E-1,-9.786947937E0
8.973574999E-2,-5.688171387E-3,1.465452576E-1,-9.774374084E0
9.979174999E-2,-1.692979431E-1,2.143542480E-1,-9.796827393E0
1.098467500E-1,-2.523751831E-1,2.534230042E-1,-9.806108093E0
1.199017500E-1,-2.659968567E-1,2.531236267E-1,-9.787846069E0
1.299577500E-1,-2.025288391E-1,2.131567383E-1,-9.794582062E0
1.400127500E-1,-9.475296021E-2,1.698966980E-1,-9.786947937E0
1.500687500E-1,1.811233521E-2,1.336720276E-1,-9.781110077E0
1.601237500E-1,8.337661743E-2,1.471440125E-1,-9.779912567E0
1.701787500E-1,8.397537231E-2,1.794767761E-1,-9.776020660E0
1.802347500E-1,2.933898926E-2,2.412982178E-1,-9.779313812E0
1.902897500E-1,-5.463638306E-2,3.059637451E-1,-9.802515564E0
2.003457500E-1,-1.196012878E-1,3.362008667E-1,-9.788744202E0
2.104007500E-1,-1.454974365E-1,3.085084534E-1,-9.776170349E0
2.204557500E-1,-1.001417542E-1,2.348616028E-1,-9.794432373E0
2.305117500E-1,-1.691482544E-2,1.335223389E-1,-9.778565369E0
2.405667500E-1,8.173004150E-2,4.490661621E-2,-9.782606964E0
2.506227500E-1,1.350192261E-1,3.742218018E-3,-9.787247314E0
2.606777500E-1,1.431024170E-1,2.649490356E-2,-9.780960388E0
2.707327500E-1,6.721023560E-2,1.197509766E-1,-9.779762878E0
2.807887500E-1,-4.146377563E-2,2.345622253E-1,-9.790839844E0
2.908437500E-1,-1.701960754E-1,3.510200500E-1,-9.793833618E0
3.008997500E-1,-2.525248718E-1,4.108955383E-1,-9.791887665E0
3.109547500E-1,-2.802172852E-1,3.942800903E-1,-9.785600739E0
3.210097500E-1,-2.180964661E-1,3.152444458E-1,-9.788295135E0
3.310657500E-1,-1.154100037E-1,1.989363098E-1,-9.786798248E0
3.411207500E-1,6.735992432E-3,7.274871826E-2,-9.788145447E0
3.511767500E-1,9.939331055E-2,-2.395019531E-3,-9.774224396E0
3.612317500E-1,1.270857239E-1,4.640350342E-3,-9.773176575E0
3.712867500E-1,1.094224548E-1,7.634124756E-2,-9.778265991E0
3.813427500E-1,3.712280273E-2,1.836680603E-1,-9.775571594E0
3.913977500E-1,-4.236190796E-2,2.914439392E-1,-9.783804474E0
4.014537500E-1,-9.355545044E-2,3.694317627E-1,-9.795929260E0
4.115087500E-1,-9.520202637E-2,3.779640198E-1,-9.791438599E0
4.215637500E-1,-5.598358154E-2,3.189866638E-1,-9.784403229E0
4.316197500E-1,-2.844085693E-3,2.212399292E-1,-9.787846069E0
