"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.292749979E-3,-7.021757126E0,3.291829681E1,3.931111145E1
1.934874998E-2,-7.120145798E0,3.305186462E1,3.934629822E1
2.940375000E-2,-7.099130630E0,3.300743103E1,3.920420837E1
3.945874999E-2,-6.859811783E0,3.298468781E1,3.945927429E1
4.951474999E-2,-6.990554810E0,3.303349304E1,3.945056152E1
5.956974998E-2,-6.994483948E0,3.286986923E1,3.954565430E1
6.962475000E-2,-7.073858261E0,3.312802887E1,3.945401001E1
7.968075000E-2,-6.697566986E0,3.290259171E1,3.947865295E1
8.973574999E-2,-6.865959167E0,3.290169907E1,3.897325134E1
9.979174999E-2,-6.959589005E0,3.318095016E1,3.943635559E1
1.098467500E-1,-6.828535080E0,3.290384674E1,3.934074402E1
1.199017500E-1,-6.672338486E0,3.301086807E1,3.907347107E1
1.299577500E-1,-6.902114868E0,3.285631180E1,3.882487488E1
1.400127500E-1,-6.656875610E0,3.287594223E1,3.893991089E1
1.500687500E-1,-6.857553482E0,3.292496490E1,3.882141113E1
1.601237500E-1,-6.613866806E0,3.314927673E1,3.859896851E1
1.701787500E-1,-6.931385040E0,3.320321655E1,3.899964905E1
1.802347500E-1,-6.698629379E0,3.303015900E1,3.904893494E1
1.902897500E-1,-6.887819290E0,3.309486771E1,3.914671326E1
2.003457500E-1,-6.719154358E0,3.353150940E1,3.934696960E1
2.104007500E-1,-6.785156250E0,3.343477631E1,3.879484558E1
2.204557500E-1,-6.559707642E0,3.335688019E1,3.902330017E1
2.305117500E-1,-6.935750961E0,3.323822403E1,3.873834229E1
2.405667500E-1,-6.684328079E0,3.326939011E1,3.891499329E1
2.506227500E-1,-6.720729828E0,3.296668625E1,3.880761719E1
2.606777500E-1,-6.870727539E0,3.309931183E1,3.892474365E1
2.707327500E-1,-6.640180588E0,3.307285309E1,3.886482239E1
2.807887500E-1,-6.732049942E0,3.328683853E1,3.906256104E1
2.908437500E-1,-6.814992905E0,3.294497299E1,3.938870239E1
3.008997500E-1,-6.677619934E0,3.302529144E1,3.893919373E1
3.109547500E-1,-6.813190460E0,3.314751816E1,3.914230347E1
3.210097500E-1,-7.015253067E0,3.305883408E1,3.909994507E1
3.310657500E-1,-6.898193359E0,3.319842529E1,3.959895325E1
3.411207500E-1,-6.679805756E0,3.317011642E1,3.929217529E1
3.511767500E-1,-6.630434036E0,3.299148560E1,3.906199646E1
3.612317500E-1,-6.781322479E0,3.308030319E1,3.922264099E1
3.712867500E-1,-6.728599548E0,3.309854126E1,3.919358826E1
3.813427500E-1,-6.608058929E0,3.299478912E1,3.916732788E1
3.913977500E-1,-6.472690582E0,3.319290161E1,3.900231934E1
4.014537500E-1,-6.528358459E0,3.309661865E1,3.930223083E1
4.115087500E-1,-6.710353851E0,3.291242599E1,3.953366089E1
4.215637500E-1,-6.978256226E0,3.307958984E1,3.951318359E1
4.316197500E-1,-6.801818848E0,3.315934753E1,3.953054810E1
4.416747500E-1,-6.900781631E0,3.308772278E1,3.947163391E1
4.517307500E-1,-6.788087845E0,3.284694290E1,3.952236938E1
4.617857500E-1,-6.604684830E0,3.287838364E1,3.931312561E1
4.718407500E-1,-6.552574158E0,3.296718216E1,3.879521179E1
4.818967500E-1,-6.640527725E0,3.314960098E1,3.872348022E1
4.919517500E-1,-6.764972687E0,3.310981369E1,3.901213074E1
5.020077500E-1,-6.671636581E0,3.323633957E1,3.901019287E1
5.120627500E-1,-6.725109100E0,3.305142975E1,3.881391907E1
5.221177500E-1,-6.788869858E0,3.294990921E1,3.888168335E1
5.321737500E-1,-6.772653580E0,3.319298935E1,3.891864014E1
5.422287500E-1,-6.630693436E0,3.300314713E1,3.905767822E1
5.522847500E-1,-6.729698181E0,3.305208588E1,3.926502991E1
5.623397500E-1,-6.835521698E0,3.304877853E1,3.891935730E1
5.723947500E-1,-6.621242523E0,3.305040359E1,3.903616333E1
5.824507500E-1,-6.488744736E0,3.298892593E1,3.915159607E1
5.925057500E-1,-6.800750732E0,3.300760651E1,3.916357422E1
6.025617500E-1,-6.773710251E0,3.295717621E1,3.906800842E1
6.126167500E-1,-6.721292496E0,3.287217331E1,3.925074768E1
6.226717500E-1,-6.653638840E0,3.295019913E1,3.945761108E1
6.327277500E-1,-6.731481552E0,3.301159286E1,3.906161499E1
6.427827500E-1,-6.603475571E0,3.306418228E1,3.896775818E1
6.528377500E-1,-6.615324020E0,3.290460587E1,3.906845093E1
