X,Y,Z
-35.850982666015625,-33.6539306640625,-303.53643798828125
-36.20086669921875,-34.00187683105469,-304.17596435546875
-36.28590393066406,-34.398834228515625,-304.416259765625
-36.531402587890625,-34.57830810546875,-304.34283447265625
-36.69017028808594,-35.2183837890625,-304.135009765625
-36.724517822265625,-35.51470947265625,-303.2307434082031
-36.72438049316406,-35.66297912597656,-303.42950439453125
-36.68946838378906,-35.56712341308594,-303.4893798828125
-36.89959716796875,-35.3990478515625,-303.9508056640625
-36.93138122558594,-35.5670166015625,-303.72491455078125
-36.80867004394531,-35.25791931152344,-303.098876953125
-36.50981140136719,-35.21711730957031,-302.82464599609375
-36.08335876464844,-34.36839294433594,-303.13531494140625
-34.790313720703125,-33.168487548828125,-303.52960205078125
-34.7364501953125,-31.721878051757812,-304.2925720214844
-34.09808349609375,-29.799774169921875,-305.98876953125
-34.3428955078125,-28.372695922851562,-307.2896728515625
-34.481536865234375,-27.295730590820312,-308.4678039550781
-35.29435729980469,-27.050216674804688,-309.236083984375
-35.8685302734375,-26.622695922851562,-310.67279052734375
-35.77684020996094,-26.104141235351562,-311.09649658203125
-36.085174560546875,-25.576568603515625,-311.42535400390625
-36.173553466796875,-24.22705078125,-312.6583251953125
-36.24458312988281,-22.546615600585938,-313.70025634765625
-36.17816162109375,-20.761550903320312,-314.33905029296875
-35.71998596191406,-18.4893798828125,-314.6510925292969
-35.82112121582031,-15.589385986328125,-316.2852783203125
-36.06317138671875,-12.952896118164062,-317.5804443359375
-36.38938903808594,-9.48358154296875,-318.4173583984375
-37.05860900878906,-6.3080596923828125,-318.62677001953125
-36.494293212890625,-2.308990478515625,-318.8731689453125
-35.99993896484375,2.0149993896484375,-318.46856689453125
-35.86405944824219,6.7610931396484375,-317.4583740234375
-35.67694091796875,11.933425903320312,-314.6996154785156
-35.78582763671875,17.203262329101562,-311.6961669921875
-36.83036804199219,23.01019287109375,-309.1573486328125
-38.910369873046875,28.150634765625,-305.3011169433594
-40.826629638671875,32.82475280761719,-300.5496826171875
-44.384552001953125,37.36480712890625,-296.2647705078125
-47.7369384765625,40.81190490722656,-292.1590881347656
-52.591827392578125,43.20893859863281,-287.3952941894531
-57.377288818359375,45.38471984863281,-283.34197998046875
-62.97056579589844,46.388427734375,-280.7239990234375
-68.44387817382812,47.30671691894531,-279.13092041015625
-74.329833984375,47.07989501953125,-278.82391357421875
-78.99784851074219,46.410400390625,-278.8323974609375
-83.30238342285156,45.39802551269531,-281.250732421875
-86.94209289550781,44.52128601074219,-283.92498779296875
-90.25251770019531,42.776947021484375,-288.2403869628906
-92.46955871582031,41.06706237792969,-292.0956115722656
-94.61543273925781,38.87098693847656,-296.8851013183594
-97.01158142089844,35.399688720703125,-301.2882080078125
-98.94078063964844,31.613540649414062,-306.0079650878906
-100.46418762207031,27.449020385742188,-309.70343017578125
-101.15998840332031,22.952865600585938,-313.7528381347656
-101.52273559570312,18.336410522460938,-316.86566162109375
-101.01527404785156,13.84747314453125,-320.5219421386719
-100.33616638183594,9.322784423828125,-323.1484680175781
-99.13339233398438,4.9583587646484375,-324.9088134765625
-97.96484375,0.71429443359375,-327.3103942871094
-96.278564453125,-3.906005859375,-328.1581726074219
-94.97932434082031,-8.311874389648438,-328.5618896484375
-94.34963989257812,-12.070663452148438,-329.07574462890625
-93.56178283691406,-16.4842529296875,-328.6634521484375
-92.62713623046875,-20.571929931640625,-327.75860595703125
-91.788330078125,-24.282424926757812,-326.6200256347656
-91.46800231933594,-28.041305541992188,-324.85064697265625
-91.25309753417969,-31.005294799804688,-323.493408203125
-91.14166259765625,-33.71553039550781,-322.16741943359375
-91.403076171875,-35.891082763671875,-319.94549560546875
-90.6229248046875,-37.675933837890625,-318.4742431640625
-90.78999328613281,-39.37359619140625,-316.9171142578125
-90.76182556152344,-40.509735107421875,-315.9229736328125
-91.08525085449219,-41.512542724609375,-314.2366943359375
-91.63638305664062,-42.8985595703125,-312.6219177246094
-92.63461303710938,-43.394287109375,-310.5041198730469
-94.20030212402344,-43.72441101074219,-308.64532470703125
-95.35408020019531,-44.411346435546875,-306.7869873046875
-97.14909362792969,-43.36738586425781,-305.564208984375
-98.9283447265625,-42.54939270019531,-304.8138732910156
-101.25360107421875,-41.66026306152344,-303.71795654296875
-103.31536865234375,-39.42845153808594,-303.9508056640625
-105.40400695800781,-36.66529846191406,-304.3882751464844
-107.06748962402344,-33.51591491699219,-305.3756103515625
-108.44619750976562,-30.282516479492188,-307.19775390625
-108.69766235351562,-26.031448364257812,-309.82110595703125
-108.5533447265625,-22.417953491210938,-311.8212890625
-108.4061279296875,-18.86602783203125,-313.8047790527344
-108.17909240722656,-15.988265991210938,-315.36383056640625
-108.32342529296875,-14.54144287109375,-315.7106628417969
-108.92927551269531,-13.356658935546875,-315.2981872558594
-110.876708984375,-13.1795654296875,-313.61846923828125
-112.05801391601562,-14.0904541015625,-312.057861328125
-114.14346313476562,-15.129486083984375,-309.18389892578125
-115.779541015625,-17.746749877929688,-305.8255615234375
-116.37980651855469,-19.347076416015625,-302.8121337890625
