X,Y,Z
432.67425537109375,-44.19944763183594,-250.79916381835938
433.0017395019531,-44.239776611328125,-250.65103149414062
433.23358154296875,-44.301300048828125,-250.62930297851562
433.21124267578125,-44.3712158203125,-250.58782958984375
433.09259033203125,-44.34300231933594,-250.77500915527344
433.04547119140625,-44.49742126464844,-250.75547790527344
433.39544677734375,-44.705352783203125,-250.56317138671875
434.34326171875,-44.93511962890625,-250.33314514160156
435.464599609375,-45.260345458984375,-249.9014892578125
436.41650390625,-45.438629150390625,-249.60203552246094
437.1317138671875,-45.55116271972656,-249.2854766845703
437.87420654296875,-45.55517578125,-248.94158935546875
438.49005126953125,-45.41835021972656,-248.6923828125
439.13543701171875,-45.20806884765625,-248.53729248046875
439.66021728515625,-44.751739501953125,-248.2103271484375
440.3545837402344,-44.291717529296875,-247.90000915527344
441.49462890625,-43.73020935058594,-247.40878295898438
442.90045166015625,-42.95512390136719,-246.77191162109375
444.21551513671875,-42.35444641113281,-246.07069396972656
445.1863098144531,-41.80799865722656,-245.43267822265625
445.7738342285156,-41.381561279296875,-245.16015625
445.8868103027344,-41.07826232910156,-245.11654663085938
445.4632873535156,-40.73683166503906,-245.2233123779297
444.74713134765625,-40.40330505371094,-245.59494018554688
444.12677001953125,-40.27264404296875,-245.9008026123047
443.5503234863281,-40.23640441894531,-246.18284606933594
443.1961669921875,-40.08320617675781,-246.41891479492188
443.1515808105469,-39.59037780761719,-246.29014587402344
443.4998779296875,-38.5540771484375,-246.18084716796875
444.08148193359375,-37.09526062011719,-245.77354431152344
444.6209716796875,-35.25019836425781,-245.2788543701172
444.97283935546875,-33.24951171875,-244.7900848388672
445.02459716796875,-31.237060546875,-244.22955322265625
444.737060546875,-29.21185302734375,-243.9761962890625
444.1131591796875,-26.936874389648438,-243.71026611328125
443.2753601074219,-24.56268310546875,-243.29945373535156
442.5030212402344,-22.06597900390625,-242.65411376953125
441.88787841796875,-19.498794555664062,-241.6533966064453
441.1243896484375,-16.574234008789062,-240.42837524414062
440.4996337890625,-13.611328125,-238.97230529785156
439.6773376464844,-10.640243530273438,-237.25521850585938
438.75213623046875,-7.6823577880859375,-235.082275390625
437.65911865234375,-4.6522369384765625,-232.65516662597656
436.3580017089844,-1.6568756103515625,-229.74815368652344
434.9930419921875,1.005340576171875,-226.62257385253906
433.3878173828125,3.59075927734375,-223.19871520996094
431.4687194824219,5.8694305419921875,-219.52377319335938
429.15740966796875,7.8218536376953125,-215.83030700683594
426.40496826171875,9.349945068359375,-212.40013122558594
423.29266357421875,10.437850952148438,-209.24644470214844
420.0040283203125,11.1162109375,-206.14117431640625
416.31085205078125,11.356048583984375,-203.33766174316406
412.36187744140625,11.12762451171875,-200.6781463623047
408.29144287109375,10.515579223632812,-198.31228637695312
404.1039123535156,9.350250244140625,-196.43905639648438
399.82086181640625,7.8878021240234375,-195.0428924560547
395.8465576171875,5.99102783203125,-194.204345703125
391.865234375,3.7974395751953125,-194.03492736816406
388.0242919921875,1.3028411865234375,-194.42926025390625
384.43463134765625,-1.4696197509765625,-195.4744415283203
381.119873046875,-4.46356201171875,-197.1915283203125
377.9519348144531,-7.91094970703125,-199.4896697998047
375.5203857421875,-11.528884887695312,-202.37510681152344
373.47369384765625,-15.330078125,-205.6705322265625
372.20556640625,-19.097015380859375,-209.3916473388672
371.52801513671875,-23.059188842773438,-213.12966918945312
371.31219482421875,-27.0699462890625,-216.9938507080078
371.64422607421875,-31.230224609375,-220.487060546875
372.5881652832031,-35.44773864746094,-223.7590789794922
373.9609680175781,-39.76641845703125,-226.79550170898438
375.66363525390625,-44.19023132324219,-229.4599609375
377.8333740234375,-48.51579284667969,-231.68206787109375
380.1492614746094,-52.65287780761719,-233.57025146484375
382.7288818359375,-56.3646240234375,-234.9340057373047
385.422119140625,-59.85760498046875,-235.88307189941406
388.1123046875,-62.88920593261719,-236.59605407714844
390.68511962890625,-65.52165222167969,-237.1621856689453
392.82257080078125,-67.81214904785156,-237.37184143066406
394.7044677734375,-69.76020812988281,-237.31619262695312
396.141845703125,-71.37507629394531,-236.86590576171875
397.08349609375,-72.89482116699219,-236.06683349609375
397.476318359375,-74.38829040527344,-234.8419189453125
397.57879638671875,-75.98904418945312,-233.4236297607422
397.35528564453125,-77.41754150390625,-231.51541137695312
396.89642333984375,-78.90989685058594,-229.4270782470703
396.4613342285156,-80.29415893554688,-226.9287567138672
395.53289794921875,-81.64027404785156,-224.01177978515625
394.5673522949219,-82.79412841796875,-220.7272491455078
393.45208740234375,-83.59288024902344,-217.2111358642578
392.2027282714844,-84.0745849609375,-213.75979614257812
390.9378967285156,-84.04512023925781,-210.51153564453125
389.353515625,-83.48072814941406,-207.57229614257812
387.5944519042969,-82.57745361328125,-205.14805603027344
385.7095947265625,-81.26947021484375,-203.13121032714844
383.6641540527344,-79.40707397460938,-201.59579467773438
381.5238952636719,-77.25779724121094,-200.4275665283203
379.2963562011719,-74.63981628417969,-199.4690704345703
377.00634765625,-71.79046630859375,-198.7763671875
374.7575378417969,-68.317626953125,-198.14772033691406
372.62249755859375,-64.53131103515625,-197.7868194580078
370.82867431640625,-60.18128967285156,-198.0044708251953
369.33935546875,-55.44218444824219,-198.9390869140625
368.1724853515625,-50.34172058105469,-200.78236389160156
367.6541442871094,-45.003265380859375,-203.33384704589844
368.0223083496094,-39.6038818359375,-207.19630432128906
369.4643249511719,-34.29487609863281,-212.29421997070312
372.30706787109375,-29.404693603515625,-218.0610809326172
376.202392578125,-25.0447998046875,-223.78292846679688
380.49273681640625,-21.726715087890625,-228.4118194580078
384.1294250488281,-19.544937133789062,-231.60043334960938
386.60650634765625,-18.942962646484375,-233.72454833984375
387.8274841308594,-19.27984619140625,-235.17269897460938
388.32806396484375,-20.27056884765625,-236.10440063476562
388.95355224609375,-21.744384765625,-237.2724609375
389.7230224609375,-23.299423217773438,-238.46563720703125
390.67205810546875,-25.225189208984375,-239.70755004882812
391.50762939453125,-27.530120849609375,-241.104736328125
392.140380859375,-30.398712158203125,-242.01870727539062
392.3016357421875,-33.8348388671875,-242.62799072265625
392.07318115234375,-37.6260986328125,-242.58970642089844
391.66400146484375,-41.59498596191406,-241.94268798828125
391.2425842285156,-45.48591613769531,-240.98704528808594
390.9206848144531,-49.291107177734375,-239.49903869628906
390.69427490234375,-52.86256408691406,-237.843994140625
390.4903869628906,-56.17030334472656,-236.0445556640625
390.5155029296875,-59.225372314453125,-234.12045288085938
390.6298522949219,-61.980316162109375,-232.23367309570312
390.7347412109375,-64.7200927734375,-230.28819274902344
391.2172546386719,-67.4073486328125,-228.38531494140625
391.9451904296875,-70.06904602050781,-226.55311584472656
393.0841064453125,-72.69024658203125,-224.8395538330078
394.61871337890625,-75.29859924316406,-223.2855987548828
396.6272888183594,-77.76046752929688,-221.92222595214844
399.13995361328125,-80.23837280273438,-220.61376953125
402.15673828125,-82.43934631347656,-219.51373291015625
405.76959228515625,-84.29534912109375,-218.7134552001953
409.81195068359375,-85.80230712890625,-218.06265258789062
414.2376708984375,-86.93760681152344,-217.8383026123047
418.95904541015625,-87.48750305175781,-217.69459533691406
423.8357238769531,-87.55728149414062,-217.62161254882812
428.7951354980469,-86.94601440429688,-217.66107177734375
433.5359802246094,-85.89857482910156,-217.84176635742188
438.068115234375,-84.34039306640625,-217.67572021484375
442.3684997558594,-82.5728759765625,-217.63397216796875
446.2117919921875,-80.21929931640625,-217.78445434570312
449.68133544921875,-77.55441284179688,-218.0741729736328
452.94476318359375,-74.30999755859375,-218.5570526123047
456.0802917480469,-70.84669494628906,-219.05320739746094
458.87860107421875,-66.9661865234375,-219.36744689941406
461.14019775390625,-62.92912292480469,-219.4652862548828
463.0743103027344,-58.791839599609375,-219.57203674316406
464.5298156738281,-54.809844970703125,-219.685546875
465.60198974609375,-50.64801025390625,-219.89697265625
466.1458435058594,-46.56001281738281,-220.46250915527344
466.04864501953125,-42.56651306152344,-221.251220703125
465.5264587402344,-38.70979309082031,-222.1988983154297
464.74761962890625,-34.93690490722656,-223.37216186523438
463.3697509765625,-31.113418579101562,-224.7111053466797
461.7709655761719,-27.450607299804688,-225.91439819335938
459.7696533203125,-23.798858642578125,-226.91748046875
457.5277099609375,-20.117919921875,-227.48983764648438
455.0577087402344,-16.49664306640625,-227.7388153076172
452.34637451171875,-12.865493774414062,-227.93592834472656
449.3296203613281,-9.26348876953125,-227.5645294189453
446.1845397949219,-5.71826171875,-226.5838623046875
442.71026611328125,-2.3871307373046875,-225.1415557861328
439.23388671875,0.9601593017578125,-223.25335693359375
435.4308166503906,3.9223175048828125,-220.8033447265625
431.27374267578125,6.4370269775390625,-217.99301147460938
426.86541748046875,8.41180419921875,-215.015625
422.1202087402344,9.834335327148438,-211.990234375
417.3704833984375,10.53802490234375,-209.14739990234375
