X,Y,Z
-88.15190124511719,-61.254150390625,-64.5985107421875
-88.17092895507812,-60.89726257324219,-64.53065490722656
-88.10031127929688,-60.66398620605469,-64.41648864746094
-87.75477600097656,-60.315765380859375,-64.64178466796875
-87.75128173828125,-59.721710205078125,-64.7744140625
-87.66079711914062,-59.54087829589844,-64.75857543945312
-88.16204833984375,-59.46977233886719,-65.42770385742188
-87.71101379394531,-58.84893798828125,-65.53047180175781
-87.75396728515625,-58.85356140136719,-65.64443969726562
-87.88764953613281,-58.116058349609375,-65.97160339355469
-87.92060852050781,-56.95841979980469,-66.45697021484375
-88.01811218261719,-56.140625,-67.07034301757812
-88.522216796875,-55.623779296875,-67.62648010253906
-88.26481628417969,-55.04383850097656,-67.85035705566406
-87.96107482910156,-54.448760986328125,-67.98262023925781
-87.8330078125,-53.943634033203125,-67.80101013183594
-87.98197937011719,-53.75067138671875,-68.26142883300781
-88.12083435058594,-53.33293151855469,-68.69935607910156
-88.51785278320312,-52.978302001953125,-68.90470886230469
-88.66300964355469,-52.20152282714844,-69.5943603515625
-89.22532653808594,-51.62602233886719,-71.07980346679688
-90.07005310058594,-51.04039001464844,-72.39920043945312
-91.24786376953125,-50.50801086425781,-72.66352844238281
-92.07278442382812,-49.95423889160156,-73.77499389648438
-92.95440673828125,-50.20399475097656,-74.75997924804688
-93.96420288085938,-49.64186096191406,-75.64192199707031
-94.85469055175781,-48.8365478515625,-77.06552124023438
-95.81277465820312,-48.069122314453125,-78.07978820800781
-96.47523498535156,-47.034881591796875,-78.35752868652344
-97.77069091796875,-45.037353515625,-79.33399963378906
-98.07618713378906,-43.443603515625,-79.91961669921875
-99.1009521484375,-41.00172424316406,-80.76939392089844
-99.639404296875,-38.35270690917969,-81.08750915527344
-100.72319030761719,-35.415435791015625,-81.337646484375
-101.58395385742188,-32.30702209472656,-81.5618896484375
-102.38082885742188,-28.9844970703125,-81.31730651855469
-102.8218994140625,-24.923019409179688,-80.36033630371094
-103.07937622070312,-20.44244384765625,-78.74717712402344
-103.20379638671875,-16.3275146484375,-76.10784912109375
-103.60575866699219,-11.48834228515625,-73.02503967285156
-103.80374145507812,-6.734954833984375,-69.11817932128906
-105.18580627441406,-2.0905609130859375,-64.6513671875
-106.62503051757812,1.997406005859375,-59.91778564453125
-109.0081787109375,5.5774688720703125,-54.14494323730469
-112.42646789550781,8.448410034179688,-48.6417236328125
-116.55479431152344,10.167282104492188,-43.448486328125
-121.28825378417969,11.265609741210938,-39.60597229003906
-126.50926208496094,11.95574951171875,-36.811614990234375
-132.21282958984375,11.406204223632812,-35.1405029296875
-138.17384338378906,10.582229614257812,-34.74290466308594
-143.89776611328125,8.953994750976562,-35.51557922363281
-149.9759979248047,6.569488525390625,-36.819976806640625
-154.28707885742188,3.9088287353515625,-39.32257080078125
-157.87832641601562,1.5814208984375,-42.28440856933594
-161.12173461914062,-1.197601318359375,-45.822113037109375
-163.58401489257812,-4.835113525390625,-49.73347473144531
-165.43048095703125,-8.425949096679688,-53.779571533203125
-166.91610717773438,-12.546127319335938,-57.46488952636719
-168.36534118652344,-16.990188598632812,-61.16900634765625
-168.8546142578125,-21.683624267578125,-63.628997802734375
-169.18557739257812,-26.728256225585938,-66.80206298828125
-168.62786865234375,-31.601272583007812,-69.74966430664062
-167.202880859375,-36.436126708984375,-72.56256103515625
-164.9498291015625,-40.79981994628906,-74.92416381835938
-163.1344451904297,-44.607269287109375,-76.68182373046875
-160.45120239257812,-47.952301025390625,-79.39921569824219
-157.88575744628906,-50.875885009765625,-80.43899536132812
-155.43199157714844,-53.84043884277344,-80.92411804199219
-153.01707458496094,-56.57032775878906,-81.46971130371094
-150.94915771484375,-59.158660888671875,-81.75982666015625
-148.63238525390625,-62.16560363769531,-81.75154113769531
-147.30648803710938,-64.89358520507812,-81.42680358886719
-146.38735961914062,-68.1947021484375,-79.01762390136719
-145.67919921875,-71.01336669921875,-77.77732849121094
-145.36549377441406,-74.10960388183594,-75.05532836914062
-145.42495727539062,-76.96783447265625,-72.91029357910156
-145.71279907226562,-78.87518310546875,-70.58206176757812
-146.46456909179688,-80.545166015625,-68.26081848144531
-146.7849884033203,-81.65849304199219,-65.67185974121094
-147.937744140625,-82.67929077148438,-63.91578674316406
-149.50424194335938,-83.24308776855469,-61.09159851074219
-151.326904296875,-83.33221435546875,-58.69529724121094
-153.76820373535156,-83.11859130859375,-56.12336730957031
-156.93333435058594,-82.65521240234375,-53.170166015625
-160.09381103515625,-80.92837524414062,-49.16078186035156
-163.32513427734375,-79.0687255859375,-45.241851806640625
-166.5428924560547,-76.18807983398438,-41.21470642089844
-169.63699340820312,-72.12574768066406,-37.87904357910156
-172.6019744873047,-67.30892944335938,-35.277557373046875
-174.69522094726562,-62.10369873046875,-33.92010498046875
-176.71487426757812,-57.19012451171875,-34.48997497558594
-177.72979736328125,-53.04335021972656,-34.40179443359375
-178.2623748779297,-49.03996276855469,-33.908599853515625
-178.93069458007812,-46.77970886230469,-33.79234313964844
-178.98471069335938,-44.91807556152344,-33.69102478027344
-179.1054229736328,-43.76719665527344,-34.383575439453125
-179.348388671875,-42.40428161621094,-35.85877990722656
-179.3291473388672,-42.13006591796875,-37.01190185546875
-179.0327606201172,-42.38232421875,-38.742828369140625
-178.94924926757812,-43.1575927734375,-40.69866943359375
-178.7311248779297,-44.906585693359375,-42.1949462890625
-178.53948974609375,-46.59979248046875,-43.76908874511719
-177.66244506835938,-48.9696044921875,-44.94566345214844
-176.86599731445312,-51.388458251953125,-45.08168029785156
-176.5261993408203,-53.98713684082031,-45.57395935058594
-175.6474151611328,-56.2686767578125,-45.00465393066406
-174.5985565185547,-58.8980712890625,-43.52008056640625
-173.6776885986328,-61.18670654296875,-41.427154541015625
-172.67913818359375,-63.97221374511719,-38.923858642578125
-170.9253387451172,-66.57591247558594,-37.36839294433594
-169.23756408691406,-69.080078125,-35.23326110839844
-167.60910034179688,-71.41255187988281,-33.55085754394531
-165.4509735107422,-74.04342651367188,-32.07243347167969
-162.9172821044922,-76.53961181640625,-31.142410278320312
-160.15283203125,-79.13523864746094,-30.445297241210938
-157.05528259277344,-81.28250122070312,-29.287521362304688
-153.56185913085938,-83.70407104492188,-28.593887329101562
-150.50204467773438,-85.77540588378906,-28.368148803710938
-146.28482055664062,-87.33206176757812,-28.454360961914062
-142.5352325439453,-88.70462036132812,-28.541046142578125
-138.69525146484375,-89.91127014160156,-28.150665283203125
-134.78433227539062,-90.65699768066406,-28.996734619140625
-130.31175231933594,-91.44021606445312,-28.756881713867188
-125.91407775878906,-91.65083312988281,-28.749710083007812
-121.65626525878906,-91.4908447265625,-28.632583618164062
-118.08351135253906,-91.17747497558594,-28.187225341796875
-114.11428833007812,-90.23005676269531,-29.76837158203125
-110.06681823730469,-89.16342163085938,-30.106002807617188
-106.24360656738281,-87.87763977050781,-30.814285278320312
-102.70304870605469,-86.18632507324219,-32.298095703125
-98.50436401367188,-84.21636962890625,-33.81278991699219
-94.96649169921875,-81.44926452636719,-35.564605712890625
-91.39389038085938,-78.46220397949219,-37.773223876953125
-88.55503845214844,-75.25361633300781,-39.53480529785156
-86.20021057128906,-72.18490600585938,-41.54852294921875
-83.84553527832031,-68.48403930664062,-42.865203857421875
-82.27883911132812,-64.89418029785156,-45.50718688964844
-80.82415771484375,-61.41554260253906,-47.695526123046875
-79.58290100097656,-57.408355712890625,-49.36705017089844
-79.09352111816406,-53.3863525390625,-51.174163818359375
-78.7647705078125,-49.503662109375,-52.776031494140625
-78.54220581054688,-44.91314697265625,-53.825408935546875
-78.79045104980469,-40.70631408691406,-54.6119384765625
-78.96229553222656,-36.06150817871094,-55.54786682128906
-79.85847473144531,-31.388641357421875,-56.19123840332031
-80.80300903320312,-26.378341674804688,-55.696258544921875
-81.92137145996094,-21.569671630859375,-54.26661682128906
-82.92996215820312,-16.596969604492188,-52.177215576171875
-84.65190124511719,-11.94268798828125,-49.69561767578125
-86.58595275878906,-7.5498809814453125,-47.292144775390625
-89.3807373046875,-3.5216522216796875,-43.49658203125
-93.12049865722656,0.5853271484375,-40.791839599609375
-97.34214782714844,3.245025634765625,-38.759307861328125
-101.22958374023438,5.7784423828125,-37.6964111328125
-105.77760314941406,8.360610961914062,-35.705780029296875
-110.10696411132812,9.868911743164062,-34.707794189453125
-114.32673645019531,10.922561645507812,-33.524932861328125
-118.64341735839844,11.182113647460938,-32.95658874511719
-122.85501098632812,11.69970703125,-32.99407958984375
-127.45989990234375,11.69671630859375,-32.91520690917969
-131.66709899902344,11.498870849609375,-33.97010803222656
-135.81056213378906,10.983383178710938,-35.21513366699219
-139.45863342285156,9.995086669921875,-37.00944519042969
-142.7029571533203,9.0589599609375,-40.323944091796875
-145.5467529296875,7.4723968505859375,-43.98915100097656
-147.37437438964844,5.890228271484375,-47.55052185058594
-149.41751098632812,3.7890777587890625,-51.498687744140625
-150.6699981689453,1.2920379638671875,-56.19361877441406
