X,Y,Z
39.1480712890625,-27.79808807373047,-13.864501953125
39.19529724121094,-27.760452270507812,-14.12298583984375
39.18017578125,-27.76303482055664,-14.350616455078125
39.230377197265625,-27.824068069458008,-14.737579345703125
39.386322021484375,-27.622365951538086,-15.283233642578125
39.11267852783203,-27.621013641357422,-15.523590087890625
38.581424713134766,-27.57379913330078,-16.263671875
38.18980026245117,-27.23785972595215,-16.736358642578125
38.09147262573242,-26.920347213745117,-17.735809326171875
37.78145980834961,-26.516517639160156,-18.9410400390625
37.66107177734375,-25.729331970214844,-19.74652099609375
37.19593048095703,-25.208311080932617,-21.10675048828125
37.156803131103516,-24.878469467163086,-21.9805908203125
36.92509841918945,-24.460018157958984,-22.7069091796875
36.76298141479492,-24.133682250976562,-23.12359619140625
36.78382110595703,-23.6685791015625,-23.416534423828125
37.13018035888672,-23.326740264892578,-23.346435546875
37.42680740356445,-23.022382736206055,-23.281219482421875
38.0081787109375,-22.30988121032715,-22.69683837890625
38.30350112915039,-21.6301212310791,-22.563232421875
39.057891845703125,-21.151323318481445,-22.117767333984375
39.981689453125,-20.865568161010742,-21.595458984375
40.14257049560547,-20.436817169189453,-21.239501953125
39.78689956665039,-20.15561294555664,-21.2059326171875
39.805946350097656,-19.70693588256836,-21.896209716796875
39.725074768066406,-19.169843673706055,-22.5653076171875
39.572540283203125,-18.516124725341797,-22.882720947265625
39.7789306640625,-17.747079849243164,-23.80023193359375
39.781681060791016,-16.410459518432617,-23.931671142578125
39.97764205932617,-15.269330978393555,-24.534027099609375
39.929351806640625,-13.917240142822266,-25.4073486328125
39.57477951049805,-11.938871383666992,-26.365997314453125
39.519832611083984,-9.611642837524414,-27.54925537109375
39.07231140136719,-7.140359401702881,-28.749725341796875
38.786476135253906,-4.315409183502197,-29.812042236328125
38.504642486572266,-1.350111484527588,-30.79669189453125
38.34136962890625,2.0301058292388916,-30.651458740234375
37.964603424072266,5.722597599029541,-31.203094482421875
37.3006591796875,9.736957550048828,-31.05133056640625
36.15691375732422,14.051799774169922,-31.089752197265625
34.497982025146484,17.9049129486084,-30.906524658203125
32.42678451538086,22.41922378540039,-30.538818359375
29.629913330078125,27.093759536743164,-29.937652587890625
26.35882568359375,31.862911224365234,-28.56317138671875
23.120452880859375,36.459686279296875,-25.890777587890625
19.892486572265625,40.640506744384766,-22.5260009765625
15.911422729492188,44.500709533691406,-17.876190185546875
11.760269165039062,47.723480224609375,-12.824737548828125
8.294769287109375,50.290096282958984,-6.852142333984375
3.81475830078125,51.48705291748047,-0.971771240234375
-0.8280181884765625,51.816932678222656,3.43194580078125
-5.596832275390625,51.36979293823242,6.31353759765625
-10.194190979003906,50.609371185302734,7.12432861328125
-14.546577453613281,49.79793930053711,5.801300048828125
-18.17528533935547,48.61792755126953,3.525634765625
-21.72748565673828,47.27322006225586,0.35345458984375
-24.88463592529297,45.09083938598633,-3.5042724609375
-28.00719451904297,42.286590576171875,-7.720489501953125
-30.91968536376953,38.84108352661133,-12.397064208984375
-33.284095764160156,34.771602630615234,-16.729522705078125
-36.084808349609375,29.63819122314453,-20.69793701171875
-38.058616638183594,23.903366088867188,-24.22296142578125
-39.15773010253906,17.673954010009766,-27.93115234375
-39.67743682861328,11.279586791992188,-30.503082275390625
-39.555267333984375,5.401744842529297,-32.495635986328125
-38.92682647705078,-0.03818798065185547,-34.128173828125
-37.72895812988281,-5.0945611000061035,-35.1202392578125
-36.19194030761719,-9.814018249511719,-35.72515869140625
-34.44892120361328,-13.691192626953125,-36.02642822265625
-32.88159942626953,-17.13019371032715,-36.4241943359375
-31.098236083984375,-20.52446746826172,-36.1456298828125
-29.367767333984375,-23.292774200439453,-36.1998291015625
-28.017677307128906,-26.047000885009766,-35.242584228515625
-26.8748779296875,-28.683738708496094,-34.311553955078125
