X,Y,Z
40.07294464111328,-28.012834548950195,-14.115753173828125
39.702232360839844,-28.491159439086914,-14.0072021484375
39.567588806152344,-28.9970645904541,-13.357177734375
39.07248306274414,-30.4199161529541,-11.61114501953125
39.22014617919922,-31.009931564331055,-10.670501708984375
38.990909576416016,-31.17922019958496,-10.120513916015625
39.058841705322266,-31.341798782348633,-9.995758056640625
38.908203125,-30.728559494018555,-10.132171630859375
39.20792770385742,-30.14921760559082,-11.214141845703125
39.49313735961914,-29.121225357055664,-12.21923828125
39.66828536987305,-27.868684768676758,-13.515350341796875
40.10208511352539,-26.70477867126465,-14.88909912109375
40.684326171875,-25.10488510131836,-15.626190185546875
41.56765365600586,-23.643980026245117,-15.72344970703125
42.51293182373047,-22.420419692993164,-15.264007568359375
43.14824295043945,-21.433324813842773,-14.472076416015625
43.56134796142578,-20.804931640625,-14.34637451171875
43.46470642089844,-20.661670684814453,-14.298614501953125
43.406105041503906,-20.51287269592285,-14.883544921875
42.9202880859375,-20.95281410217285,-15.78192138671875
42.71089172363281,-20.903959274291992,-16.688079833984375
42.440792083740234,-20.11343765258789,-17.312530517578125
42.427452087402344,-18.954833984375,-17.9156494140625
43.0806884765625,-17.823753356933594,-18.119171142578125
43.25246810913086,-16.4796199798584,-18.605133056640625
43.344181060791016,-15.36124038696289,-18.735565185546875
43.53167724609375,-13.83892822265625,-19.164306640625
44.02651596069336,-12.479267120361328,-18.949798583984375
44.40001678466797,-10.724651336669922,-18.96954345703125
44.88602828979492,-8.860411643981934,-18.52911376953125
45.28882598876953,-6.467049598693848,-18.195465087890625
46.036888122558594,-4.023150444030762,-17.945281982421875
46.12657165527344,-1.466231346130371,-17.99859619140625
45.71217346191406,1.400557041168213,-18.2330322265625
45.20673370361328,4.457056045532227,-19.129150390625
44.53215789794922,7.538840293884277,-19.81390380859375
43.70030212402344,10.883155822753906,-20.25201416015625
42.25874328613281,14.306731224060059,-20.777587890625
40.64381408691406,17.873170852661133,-21.18585205078125
39.095802307128906,21.905296325683594,-21.12591552734375
37.09832763671875,26.0850887298584,-20.50201416015625
34.949913024902344,29.95347023010254,-18.944091796875
32.00788879394531,34.481689453125,-16.5386962890625
27.56558609008789,39.12677001953125,-13.692840576171875
22.023635864257812,43.4224853515625,-10.556060791015625
15.419597625732422,46.84840393066406,-7.133148193359375
7.84979248046875,49.20569610595703,-3.76513671875
0.30621337890625,50.13660430908203,-1.790863037109375
-6.346435546875,49.800689697265625,-0.787261962890625
-11.518043518066406,48.679046630859375,-1.4112548828125
-15.640403747558594,47.319793701171875,-3.830108642578125
-18.682899475097656,45.51630401611328,-7.47564697265625
-20.79058074951172,43.5657958984375,-12.150665283203125
-22.539085388183594,40.80583953857422,-16.56512451171875
-23.76868438720703,37.66780090332031,-21.675537109375
-24.938156127929688,33.77199172973633,-26.36029052734375
-25.56635284423828,29.202314376831055,-30.822998046875
-25.72919464111328,24.138669967651367,-34.90069580078125
-25.741256713867188,18.520307540893555,-38.34368896484375
-24.950401306152344,12.925893783569336,-41.5137939453125
-23.774703979492188,7.2244439125061035,-43.6763916015625
-22.37024688720703,1.617288589477539,-45.328033447265625
-20.819786071777344,-3.801319122314453,-46.127227783203125
-19.5225830078125,-8.856764793395996,-46.743377685546875
-18.490806579589844,-13.372167587280273,-46.572265625
-17.774742126464844,-17.34029197692871,-45.670166015625
-17.08258819580078,-20.98127555847168,-44.488922119140625
-16.557464599609375,-24.07404136657715,-43.11151123046875
-16.22319793701172,-26.819826126098633,-41.807708740234375
-16.29144287109375,-29.304086685180664,-40.25164794921875
-16.753280639648438,-31.48166847229004,-38.45623779296875
-16.68482208251953,-33.410194396972656,-36.674957275390625
-17.3714599609375,-35.380615234375,-34.859039306640625
-18.363868713378906,-36.939476013183594,-32.99395751953125
-19.43579864501953,-38.024749755859375,-31.1339111328125
-21.210968017578125,-38.737998962402344,-29.136566162109375
-23.516067504882812,-38.758155822753906,-26.89263916015625
-26.00298309326172,-38.1998291015625,-25.13232421875
-28.985374450683594,-36.82941436767578,-23.765594482421875
-31.53668975830078,-34.92345428466797,-23.0361328125
-34.09687042236328,-32.46038818359375,-23.2535400390625
-36.10222625732422,-29.347192764282227,-23.596832275390625
-38.08959197998047,-26.314573287963867,-23.61474609375
-39.865631103515625,-23.46396255493164,-22.874267578125
-41.64698791503906,-21.40749740600586,-21.430023193359375
-42.95025634765625,-19.141559600830078,-20.088287353515625
-44.06403350830078,-17.06694221496582,-19.0072021484375
-44.54376220703125,-15.206268310546875,-19.087646484375
-44.76166534423828,-14.079488754272461,-19.247314453125
-44.97654724121094,-13.960851669311523,-19.07855224609375
-44.79076385498047,-14.598222732543945,-18.547393798828125
-44.74250793457031,-15.832744598388672,-17.858367919921875
-44.744468688964844,-17.61550521850586,-16.7398681640625
-43.972259521484375,-19.666603088378906,-15.4525146484375
-43.38316345214844,-21.634653091430664,-14.322174072265625
-42.31333923339844,-23.630779266357422,-13.010406494140625
-40.950408935546875,-26.026037216186523,-11.938812255859375
-39.55091094970703,-28.657323837280273,-11.100494384765625
-37.30644989013672,-31.06071662902832,-10.063201904296875
-34.997718811035156,-33.393898010253906,-9.499114990234375
-32.74138641357422,-35.725616455078125,-9.127716064453125
-30.199325561523438,-37.90863037109375,-8.457061767578125
-27.392166137695312,-40.25975799560547,-7.769256591796875
-24.742874145507812,-42.389320373535156,-6.799041748046875
-21.29448699951172,-44.275535583496094,-5.81732177734375
-17.50782012939453,-46.201698303222656,-4.732635498046875
-12.710830688476562,-48.03343200683594,-4.117645263671875
-7.4230194091796875,-49.35881042480469,-3.152008056640625
-2.6385040283203125,-50.21826934814453,-2.24017333984375
1.759521484375,-50.47096252441406,-2.22930908203125
6.048332214355469,-50.29157257080078,-2.68560791015625
9.950897216796875,-49.74689483642578,-3.2137451171875
13.723186492919922,-49.00492858886719,-4.1051025390625
16.80527114868164,-47.73706817626953,-4.8441162109375
19.83382797241211,-46.47279357910156,-5.72222900390625
23.540382385253906,-44.68267059326172,-6.333709716796875
26.888294219970703,-42.89527893066406,-6.86944580078125
29.755687713623047,-40.38184356689453,-7.928192138671875
32.8312873840332,-37.781105041503906,-8.8323974609375
35.534732818603516,-34.72654724121094,-9.9368896484375
37.878597259521484,-31.457426071166992,-10.554229736328125
40.09589385986328,-28.0161190032959,-11.635467529296875
42.064857482910156,-24.536479949951172,-12.731964111328125
43.468971252441406,-20.851987838745117,-13.46441650390625
44.66252517700195,-17.11391830444336,-14.28173828125
45.4188232421875,-13.361440658569336,-15.131866455078125
45.897735595703125,-9.505439758300781,-15.895843505859375
46.1136474609375,-5.715785026550293,-16.58807373046875
46.03778839111328,-1.9978580474853516,-17.43585205078125
45.400482177734375,1.8988838195800781,-18.135955810546875
44.887664794921875,5.755576133728027,-18.5819091796875
43.97734069824219,9.750757217407227,-19.179901123046875
42.82843017578125,13.944040298461914,-19.24169921875
41.36405563354492,18.278804779052734,-18.461212158203125
39.55925750732422,22.79815673828125,-17.774322509765625
37.07661056518555,27.0908145904541,-16.91937255859375
34.322853088378906,31.079574584960938,-15.725860595703125
30.890396118164062,35.59111785888672,-13.8570556640625
26.74663543701172,39.63511657714844,-11.294158935546875
21.627483367919922,43.442161560058594,-8.9346923828125
15.518455505371094,46.565635681152344,-6.24041748046875
9.099807739257812,48.74842071533203,-4.196868896484375
2.2080001831054688,49.75208282470703,-3.036773681640625
-4.4436798095703125,49.798614501953125,-2.889862060546875
-10.706863403320312,48.69718933105469,-3.421844482421875
-15.630775451660156,47.24346160888672,-4.982696533203125
-19.89874267578125,45.244422912597656,-6.62860107421875
-23.461669921875,43.086097717285156,-8.892181396484375
-26.69598388671875,40.543975830078125,-11.998809814453125
-29.499404907226562,37.88361358642578,-14.63726806640625
-31.970657348632812,34.621612548828125,-17.64703369140625
-33.74120330810547,31.239280700683594,-20.686492919921875
-35.00151062011719,27.45140266418457,-23.638153076171875
-35.91314697265625,23.702150344848633,-26.61199951171875
-35.84864807128906,19.669387817382812,-29.53387451171875
-35.79052734375,15.968025207519531,-32.19183349609375
-34.791656494140625,11.681690216064453,-35.130645751953125
-33.87803649902344,7.770966529846191,-37.50970458984375
-32.62535858154297,3.639862060546875,-39.407318115234375
-30.947982788085938,0.0027284622192382812,-41.159393310546875
-28.94879150390625,-3.6010217666625977,-42.369384765625
-27.26629638671875,-7.110650062561035,-43.27716064453125
-25.114837646484375,-10.88919448852539,-43.8759765625
-23.8291015625,-14.31478500366211,-44.0516357421875
-22.44768524169922,-17.594324111938477,-43.644866943359375
-21.207977294921875,-20.79574966430664,-42.778228759765625
-20.061180114746094,-23.685190200805664,-42.203155517578125
-19.357254028320312,-26.750219345092773,-40.7269287109375
-19.154701232910156,-29.789175033569336,-38.93804931640625
-19.204246520996094,-32.585968017578125,-36.707427978515625
-19.24468994140625,-35.360435485839844,-34.17529296875
-19.393035888671875,-37.71339416503906,-31.70452880859375
-19.7354736328125,-39.89954376220703,-29.3072509765625
-20.125442504882812,-41.54656219482422,-26.53802490234375
-20.941802978515625,-42.804168701171875,-24.1036376953125
-22.19561767578125,-43.544883728027344,-21.630767822265625
-23.533287048339844,-43.725311279296875,-19.20074462890625
-25.752052307128906,-43.71180725097656,-16.15277099609375
-28.09455108642578,-43.22474670410156,-13.277984619140625
-30.540245056152344,-42.353172302246094,-10.467254638671875
-32.89331817626953,-41.10657501220703,-6.800567626953125
-35.44377136230469,-39.49244689941406,-3.8543701171875
-37.627586364746094,-37.33399200439453,-0.20806884765625
-39.79730224609375,-34.9610595703125,3.01434326171875
-41.69654846191406,-32.14884948730469,5.25213623046875
-43.6640625,-29.305280685424805,6.764556884765625
-44.966163635253906,-26.407316207885742,6.93634033203125
-46.292564392089844,-23.920547485351562,6.4093017578125
-47.26227569580078,-21.756420135498047,5.88671875
-47.815528869628906,-20.41425895690918,5.68408203125
-47.93773651123047,-19.702320098876953,5.914031982421875
-47.82859802246094,-19.75749969482422,6.26531982421875
-47.649993896484375,-19.874242782592773,6.131622314453125
-47.56341552734375,-20.54451560974121,5.395477294921875
-46.72929382324219,-22.067119598388672,3.86871337890625
-45.99224853515625,-23.759408950805664,3.10211181640625
-44.82325744628906,-25.675016403198242,2.220611572265625
-43.00659942626953,-27.52684211730957,2.26446533203125
-41.04407501220703,-29.716588973999023,2.948272705078125
-39.14817810058594,-31.762243270874023,2.949737548828125
-37.07367706298828,-33.563507080078125,3.789154052734375
-34.925811767578125,-35.117958068847656,4.432891845703125
-32.94752502441406,-36.94242858886719,4.70245361328125
-30.61351776123047,-38.72663879394531,5.343994140625
-27.976837158203125,-40.354270935058594,5.6719970703125
-25.158592224121094,-42.27027130126953,6.27313232421875
-21.630088806152344,-43.9554443359375,6.86297607421875
-18.140975952148438,-45.806396484375,7.561126708984375
-14.335456848144531,-47.37152862548828,7.993804931640625
-10.64111328125,-48.40242004394531,8.317047119140625
-7.031288146972656,-49.111473083496094,8.606903076171875
-2.7290802001953125,-49.665794372558594,8.369354248046875
1.322601318359375,-49.97198486328125,8.36212158203125
6.031150817871094,-49.756690979003906,8.085784912109375
11.056034088134766,-49.31465148925781,7.83636474609375
15.829765319824219,-47.98480987548828,6.7784423828125
20.58788299560547,-46.35536193847656,5.100555419921875
24.674983978271484,-44.73118591308594,3.126220703125
28.364978790283203,-42.22553253173828,0.947509765625
31.69251251220703,-39.34233856201172,-1.34234619140625
34.795894622802734,-36.35673522949219,-2.83551025390625
37.31891632080078,-33.453147888183594,-4.36260986328125
39.6568603515625,-30.481767654418945,-6.010833740234375
41.458953857421875,-27.01698875427246,-7.753662109375
42.86324691772461,-23.95046615600586,-9.32452392578125
44.12331008911133,-20.66319465637207,-10.78656005859375
44.737205505371094,-17.364273071289062,-12.7059326171875
45.116920471191406,-14.210840225219727,-14.381439208984375
45.210906982421875,-11.547737121582031,-16.300048828125
45.174530029296875,-8.680822372436523,-17.7457275390625
44.6466064453125,-5.6058502197265625,-19.090484619140625
44.1966552734375,-2.4130115509033203,-20.24761962890625
43.614139556884766,0.5908946990966797,-21.718719482421875
42.82257080078125,3.754305362701416,-22.58172607421875
41.82291030883789,6.934741973876953,-23.241912841796875
40.99201965332031,10.546730041503906,-23.823974609375
39.833160400390625,14.223644256591797,-23.818023681640625
38.48580551147461,18.294721603393555,-23.08380126953125
37.368038177490234,22.706157684326172,-21.918182373046875
35.762062072753906,26.953506469726562,-19.6988525390625
33.66934585571289,31.157995223999023,-17.898834228515625
31.135406494140625,34.998573303222656,-15.664794921875
27.68114471435547,38.334320068359375,-13.573486328125
24.27458953857422,41.57905578613281,-12.407318115234375
20.007049560546875,43.965049743652344,-12.075103759765625
15.348133087158203,45.983978271484375,-11.8197021484375
10.644840240478516,47.170654296875,-11.758056640625
6.726325988769531,47.899635314941406,-11.484619140625
2.6054611206054688,48.28477478027344,-11.271636962890625
-1.1857528686523438,48.67766571044922,-11.169403076171875
-5.0605926513671875,48.15613555908203,-10.888214111328125
-8.870750427246094,47.85620880126953,-10.3621826171875
-12.753875732421875,47.075111389160156,-10.231597900390625
-16.540443420410156,45.77720642089844,-10.971405029296875
-20.065185546875,44.21405792236328,-11.44866943359375
-23.60724639892578,42.10417175292969,-12.935333251953125
-26.70305633544922,39.79217529296875,-15.022918701171875
-28.78447723388672,37.08210372924805,-17.209075927734375
-30.776535034179688,33.72888946533203,-20.27099609375
