"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.799295833E-2,-8.384840563E-3,-1.141428109E-2,-1.636520494E-3
6.804795833E-2,-1.018274017E-2,-1.753742062E-2,1.021314412E-3
7.810195833E-2,-1.295029745E-2,-1.495841518E-2,-9.427671321E-4
8.815595833E-2,-8.946308866E-3,-1.423412561E-2,1.151464414E-3
9.821095833E-2,-8.659201674E-3,-1.012419350E-2,-1.667780336E-3
1.082649583E-1,-2.454569330E-3,-7.638931740E-3,2.712054644E-3
1.183189583E-1,2.144078724E-3,-1.057449612E-3,1.924606040E-3
1.283729583E-1,1.305182930E-3,4.456092604E-3,-6.330935284E-4
1.384279583E-1,5.773790646E-3,9.869150817E-3,7.346682250E-4
1.484819583E-1,6.518410519E-3,1.148489024E-2,-1.593548805E-4
1.585359583E-1,1.039488986E-2,1.505631395E-2,-1.705830451E-3
1.685909583E-1,1.244445797E-2,1.325202174E-2,-2.273084130E-3
1.786449583E-1,1.101759076E-2,1.523916516E-2,1.774055418E-3
1.886989583E-1,5.849460140E-3,9.831084870E-3,1.218253747E-3
1.987529583E-1,5.022379570E-3,7.349264342E-3,6.482116878E-4
2.088079583E-1,1.705146162E-3,1.163273584E-3,2.607214265E-4
2.188619583E-1,-3.942921292E-3,-3.821115009E-3,5.037803203E-5
2.289159583E-1,-7.761627901E-3,-7.094938774E-3,1.231489703E-3
2.389709583E-1,-7.972079329E-3,-1.006805524E-2,-2.411101013E-5
2.490249583E-1,-9.323101491E-3,-1.352537051E-2,-7.870560512E-5
2.590789583E-1,-9.780748747E-3,-1.361604780E-2,2.822233364E-4
2.691329583E-1,-8.451298811E-3,-1.388129871E-2,4.147365689E-5
2.791879583E-1,-5.411223043E-3,-9.752498008E-3,-1.496608835E-3
2.892419583E-1,8.282969939E-4,-4.797953181E-3,-1.714721322E-3
2.992959583E-1,8.109864430E-4,4.426148953E-4,2.218410373E-6
3.093499583E-1,6.654485594E-3,5.669264589E-3,1.721400768E-4
3.194049583E-1,7.220604923E-3,8.038381115E-3,3.067245707E-4
3.294589583E-1,9.523707442E-3,1.095534209E-2,-2.499714959E-3
3.395129583E-1,1.052130945E-2,1.383327879E-2,-1.484494191E-3
3.495679583E-1,8.895182982E-3,1.352568343E-2,1.581603661E-3
3.596219583E-1,8.405135944E-3,1.285142545E-2,-5.677994341E-4
3.696759583E-1,4.116647411E-3,8.712873794E-3,-1.226931810E-3
3.797299583E-1,-2.018948551E-3,4.008627031E-3,1.268787310E-5
3.897849583E-1,-1.732392469E-3,-5.552321090E-4,-7.798685692E-4
3.998389583E-1,-5.178137217E-3,-5.805201363E-3,1.688483171E-4
4.098929583E-1,-1.057663094E-2,-9.454265237E-3,1.311610453E-3
4.199479583E-1,-5.746214651E-3,-1.272643544E-2,-7.480415516E-4
4.300019583E-1,-1.164911129E-2,-1.304494962E-2,-1.452980097E-3
4.400559583E-1,-1.189083233E-2,-1.325062383E-2,-1.485948451E-4
4.501099583E-1,-7.307532243E-3,-1.055577118E-2,-1.706277486E-3
4.601649583E-1,-2.902284730E-3,-7.663459517E-3,-1.550101675E-3
4.702189583E-1,1.797129284E-3,-4.177648108E-3,8.155843243E-4
4.802729583E-1,3.860855475E-3,2.065952402E-3,3.281654790E-4
4.903279583E-1,6.985009648E-3,4.064388573E-3,-5.477480590E-4
5.003819583E-1,8.017929271E-3,8.241102099E-3,-1.357183326E-3
5.104359583E-1,1.016603503E-2,1.121585257E-2,1.589071471E-3
