"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.309254167E-2,-5.841496168E-4,-1.676891348E-3,-6.367894821E-4
6.314854167E-2,4.142694233E-4,1.641518757E-4,-4.993705079E-4
7.320354167E-2,-1.384163275E-3,-3.066950012E-4,-7.867254317E-4
8.325854167E-2,1.551705529E-3,-4.250941856E-5,1.560337842E-4
9.331354167E-2,-1.221650396E-3,1.826781663E-4,-1.409202814E-4
1.033685417E-1,-1.796059543E-3,1.266701962E-3,5.669216625E-4
1.134235417E-1,-3.752094926E-6,-1.334673725E-3,-1.177182887E-3
1.234785417E-1,-1.655599335E-3,1.367430901E-3,9.112465195E-4
1.335335417E-1,7.649477338E-4,2.894221107E-3,6.957966834E-4
1.435895417E-1,2.543749288E-4,-1.880435389E-3,1.032904722E-3
1.536445417E-1,-9.009043570E-4,6.799276453E-4,-1.953449100E-4
1.636995417E-1,-3.105269512E-3,-2.699419274E-4,-2.927145921E-3
1.737545417E-1,1.457790611E-3,-3.271999012E-4,4.955488257E-4
1.838095417E-1,-1.058391877E-3,3.069501254E-4,-3.846869804E-4
1.938645417E-1,5.664026830E-4,1.626546495E-3,1.464612316E-3
2.039195417E-1,5.476059159E-4,-1.232295879E-3,1.083492301E-3
2.139745417E-1,-2.242055256E-3,1.121139619E-3,-5.133394152E-4
2.240295417E-1,-5.275679287E-4,1.507134060E-3,2.192842308E-3
2.340855417E-1,-7.030321285E-5,1.918059890E-3,-1.707356889E-3
2.441405417E-1,3.924549383E-4,-2.187220816E-4,-3.136142623E-3
2.541955417E-1,7.458564360E-4,2.428037260E-4,7.065325044E-4
2.642505417E-1,1.955549000E-3,-1.927786943E-4,1.835098956E-3
2.743055417E-1,-1.143571571E-3,1.069293357E-3,2.150977962E-4
2.843605417E-1,1.232444309E-3,1.333848923E-3,6.565265357E-4
2.944155417E-1,5.575992982E-4,-7.364925114E-4,1.014188863E-3
3.044705417E-1,9.361103876E-4,-1.764701330E-3,-4.832362756E-4
3.145265417E-1,-2.718994801E-4,7.975259796E-4,-1.032113563E-3
3.245815417E-1,-1.136619132E-3,1.129695331E-3,-4.317215644E-4
3.346365417E-1,-6.335479557E-4,-1.014149282E-3,3.821402788E-4
3.446915417E-1,1.688366872E-3,9.534791461E-4,-1.871730201E-3
3.547465417E-1,-7.224894944E-5,-1.419397304E-3,-1.952704042E-4
3.648015417E-1,6.844332092E-4,-6.993763964E-4,1.775153913E-3
3.748565417E-1,-5.326239625E-5,-7.425196236E-4,5.516973324E-4
3.849115417E-1,-1.130539691E-3,-1.313715358E-3,-4.624435678E-5
3.949675417E-1,-1.577684190E-3,5.430404563E-4,1.723426394E-3
4.050225417E-1,4.725309846E-4,-3.754261998E-4,2.552450169E-3
4.150775417E-1,-9.019264253E-4,-3.932693508E-4,2.367093693E-3
4.251325417E-1,7.252584328E-5,1.147720031E-3,-3.444342874E-4
4.351875417E-1,-2.473197819E-4,-8.698907332E-4,-2.051508054E-4
4.452425417E-1,5.637349677E-4,-1.224311272E-4,-1.728891861E-3
4.552975417E-1,-3.462671884E-4,5.894318456E-4,-7.136953063E-4
4.653525417E-1,-1.121705398E-3,-1.379535068E-3,1.140076201E-3
4.754085417E-1,-1.265249681E-3,6.247599958E-4,-1.659705304E-3
4.854635417E-1,-1.119240420E-3,5.271190894E-4,4.371008836E-4
4.955185417E-1,-1.763991779E-3,3.846399486E-4,9.594997391E-5
5.055735417E-1,-7.254408556E-4,6.032572128E-4,-2.356369514E-3
5.156285417E-1,-2.186450874E-3,-2.774501336E-4,-4.388932139E-4
5.256835417E-1,6.754217902E-4,-1.932795130E-4,-6.802007556E-5
5.357385417E-1,1.052390435E-4,9.787776507E-4,2.955012023E-4
5.457935417E-1,-7.322668098E-4,2.919760882E-4,-8.374028839E-4
5.558495417E-1,7.194222999E-4,7.692145882E-4,2.446393482E-4
5.659045417E-1,-7.216872764E-4,-1.442450681E-3,-9.928741492E-4
5.759595417E-1,-1.005846541E-3,5.266907392E-4,-2.096383832E-4
5.860145417E-1,1.202570042E-3,-1.245647785E-3,-1.925025601E-3
5.960695417E-1,-1.146293944E-4,-1.163888723E-3,-1.327412203E-3
6.061245417E-1,9.729160229E-5,8.789226995E-4,5.369698629E-4
6.161795417E-1,6.653438322E-4,-1.431985438E-4,-2.054031938E-6
6.262345417E-1,2.833019244E-3,1.120545901E-3,-8.139885031E-4
6.362905417E-1,-7.361493772E-4,4.757945426E-4,-6.752377376E-4
6.463455417E-1,-7.945725811E-4,-2.220801689E-4,-8.680522442E-4
6.564005417E-1,-2.938151127E-3,2.690067049E-4,-2.923213644E-3
6.664555417E-1,1.787644345E-3,-1.377344830E-3,1.037789974E-3
6.765105417E-1,1.004674938E-3,-3.182169283E-3,5.240663886E-4
