"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.277500000E-3,1.466949463E-1,1.848655701E-1,-9.793234863E0
8.777499999E-3,1.401086426E-1,1.977388000E-1,-9.789492645E0
1.883150001E-2,1.507365417E-1,1.902543640E-1,-9.777517548E0
2.888650000E-2,1.453477478E-1,1.907034302E-1,-9.785600739E0
3.894150000E-2,1.541793823E-1,1.898052979E-1,-9.779014435E0
4.899650000E-2,1.528321838E-1,1.887574768E-1,-9.784253540E0
5.905050000E-2,1.480421448E-1,1.902543640E-1,-9.783056030E0
6.910550001E-2,1.450483704E-1,1.893562317E-1,-9.784253540E0
7.916050000E-2,1.540296936E-1,1.933978271E-1,-9.783205719E0
8.921450000E-2,1.445993042E-1,1.866618347E-1,-9.788295135E0
9.926950000E-2,1.444496155E-1,1.847158813E-1,-9.779014435E0
1.093245000E-1,1.420545959E-1,1.930984497E-1,-9.775721283E0
1.193795000E-1,1.465452576E-1,1.878593445E-1,-9.781259766E0
1.294335000E-1,1.463955688E-1,1.924996948E-1,-9.779613190E0
1.394885000E-1,1.445993042E-1,1.977388000E-1,-9.780661011E0
1.495435000E-1,1.519340515E-1,1.974394226E-1,-9.776320038E0
1.595985000E-1,1.456471252E-1,1.983375549E-1,-9.782606964E0
1.696525000E-1,1.360670471E-1,1.924996948E-1,-9.776320038E0
1.797075000E-1,1.520837402E-1,1.948947144E-1,-9.790241089E0
1.897625000E-1,1.475930786E-1,1.913021851E-1,-9.783205719E0
1.998175000E-1,1.387614441E-1,1.896556091E-1,-9.781858521E0
2.098715000E-1,1.525328064E-1,1.899549866E-1,-9.786798248E0
2.199265000E-1,1.543290710E-1,1.919009399E-1,-9.780810699E0
2.299815000E-1,1.552272034E-1,1.854643250E-1,-9.772278442E0
2.400365000E-1,1.507365417E-1,1.924996948E-1,-9.775571594E0
2.500905000E-1,1.432521057E-1,1.869612122E-1,-9.790241089E0
2.601455000E-1,1.375639343E-1,1.886077881E-1,-9.788744202E0
2.702005000E-1,1.480421448E-1,1.902543640E-1,-9.785750427E0
2.802555000E-1,1.478924561E-1,1.920506287E-1,-9.784103851E0
2.903095000E-1,1.498384094E-1,1.966909790E-1,-9.786498871E0
3.003645000E-1,1.487905884E-1,1.884580994E-1,-9.788295135E0
3.104195000E-1,1.519340515E-1,1.904040527E-1,-9.781259766E0
3.204745000E-1,1.466949463E-1,1.939965820E-1,-9.782606964E0
3.305285000E-1,1.431024170E-1,1.883084106E-1,-9.783505096E0
3.405835000E-1,1.462458801E-1,1.942959595E-1,-9.785301361E0
3.506385000E-1,1.440005493E-1,1.962419128E-1,-9.790091400E0
3.606935000E-1,1.465452576E-1,1.968406677E-1,-9.783056030E0
3.707475000E-1,1.478924561E-1,1.965412903E-1,-9.791737976E0
3.808025000E-1,1.547781372E-1,1.932481384E-1,-9.783505096E0
3.908575000E-1,1.459465027E-1,1.913021851E-1,-9.781708832E0
4.009125000E-1,1.558259583E-1,1.924996948E-1,-9.786199493E0
4.109665000E-1,1.472937012E-1,1.898052979E-1,-9.776469727E0
4.210215000E-1,1.514849854E-1,1.977388000E-1,-9.786199493E0
4.310765000E-1,1.437011719E-1,1.890568542E-1,-9.782606964E0
4.411305000E-1,1.483415222E-1,2.001338196E-1,-9.782008209E0
4.511855000E-1,1.526824951E-1,1.929487610E-1,-9.785900116E0
4.612405000E-1,1.481918335E-1,1.871109009E-1,-9.791737976E0
4.712955000E-1,1.532812500E-1,1.862127686E-1,-9.780511322E0
4.813495000E-1,1.525328064E-1,1.939965820E-1,-9.783056030E0
4.914045000E-1,1.417552185E-1,1.886077881E-1,-9.782606964E0
5.014595000E-1,1.442999268E-1,1.851649475E-1,-9.773176575E0
5.115145000E-1,1.538800049E-1,1.859133911E-1,-9.785451050E0
5.215685000E-1,1.447489929E-1,1.907034302E-1,-9.786199493E0
5.316235000E-1,1.435514832E-1,1.922003174E-1,-9.783056030E0
5.416785000E-1,1.538800049E-1,1.929487610E-1,-9.779164124E0
5.517335000E-1,1.505868530E-1,2.005828857E-1,-9.779164124E0
5.617877917E-1,1.532812500E-1,1.924996948E-1,-9.782307587E0
5.718427917E-1,1.553768921E-1,1.951940918E-1,-9.783505096E0
5.818977917E-1,1.422042847E-1,1.904040527E-1,-9.773326263E0
5.919527917E-1,1.405577087E-1,1.884580994E-1,-9.780062256E0
6.020067917E-1,1.463955688E-1,1.916015625E-1,-9.779313812E0
6.120617917E-1,1.484912109E-1,1.936972046E-1,-9.779463501E0
6.221167917E-1,1.561253357E-1,1.938468933E-1,-9.782008209E0
6.321717917E-1,1.517843628E-1,1.910028076E-1,-9.792037354E0
6.422257917E-1,1.462458801E-1,1.936972046E-1,-9.786648560E0
6.522807917E-1,1.469943237E-1,1.868115234E-1,-9.783205719E0
6.623357917E-1,1.496887207E-1,1.866618347E-1,-9.777068481E0
6.723907917E-1,1.523831177E-1,1.875599670E-1,-9.785301361E0
6.824447917E-1,1.453477478E-1,1.901046753E-1,-9.790839844E0
6.924997917E-1,1.534309387E-1,1.911524963E-1,-9.771080933E0
7.025547917E-1,1.508862305E-1,1.886077881E-1,-9.781708832E0
7.126087917E-1,1.490899658E-1,1.966909790E-1,-9.780511322E0
7.226637917E-1,1.457968140E-1,1.892065430E-1,-9.779762878E0
7.327187917E-1,1.447489929E-1,1.895059204E-1,-9.779613190E0
7.427737917E-1,1.460961914E-1,1.878593445E-1,-9.778715057E0
7.528277917E-1,1.525328064E-1,1.929487610E-1,-9.777966614E0
7.628827917E-1,1.487905884E-1,1.933978271E-1,-9.776619415E0
7.729377917E-1,1.510359192E-1,1.922003174E-1,-9.786199493E0
7.829927917E-1,1.526824951E-1,1.933978271E-1,-9.792037354E0
7.930467917E-1,1.517843628E-1,1.932481384E-1,-9.785451050E0
8.031017917E-1,1.478924561E-1,1.911524963E-1,-9.782756653E0
8.131567917E-1,1.392105103E-1,2.025288391E-1,-9.780361633E0
8.232117917E-1,1.547781372E-1,1.960922241E-1,-9.782157898E0
8.332657917E-1,1.523831177E-1,1.838177490E-1,-9.790091400E0
8.433207917E-1,1.480421448E-1,1.874102783E-1,-9.778864746E0
8.533757917E-1,1.469943237E-1,1.926493835E-1,-9.787097626E0
8.634307917E-1,1.529818726E-1,1.972897339E-1,-9.789492645E0
8.734847917E-1,1.489402771E-1,1.913021851E-1,-9.783205719E0
8.835397917E-1,1.466949463E-1,1.893562317E-1,-9.779613190E0
8.935947917E-1,1.562750244E-1,1.872605896E-1,-9.789342957E0
9.036497917E-1,1.474433899E-1,1.916015625E-1,-9.786049805E0
9.137037917E-1,1.387614441E-1,1.963916016E-1,-9.781110077E0
9.237587917E-1,1.525328064E-1,1.868115234E-1,-9.788893890E0
9.338137917E-1,1.561253357E-1,1.848655701E-1,-9.778116302E0
9.438687917E-1,1.426533508E-1,1.977388000E-1,-9.773775330E0
9.539227917E-1,1.444496155E-1,1.972897339E-1,-9.777667236E0
9.639777917E-1,1.489402771E-1,1.917512512E-1,-9.787846069E0
9.740327917E-1,1.474433899E-1,1.950444031E-1,-9.781259766E0
9.840867917E-1,1.582209778E-1,1.996847534E-1,-9.778265991E0
9.941417917E-1,1.522334290E-1,1.992356873E-1,-9.782756653E0
1.004196792E0,1.517843628E-1,1.969903564E-1,-9.786349182E0
1.014251792E0,1.438508606E-1,1.895059204E-1,-9.781409454E0
1.024305792E0,1.510359192E-1,1.886077881E-1,-9.787397003E0
1.034360792E0,1.451980591E-1,1.902543640E-1,-9.785301361E0
1.044415792E0,1.501377869E-1,2.016307068E-1,-9.784852295E0
1.054470792E0,1.538800049E-1,1.927990723E-1,-9.783654785E0
1.064524792E0,1.451980591E-1,1.893562317E-1,-9.779613190E0
1.074579792E0,1.499880981E-1,1.896556091E-1,-9.781559143E0
1.084634792E0,1.478924561E-1,1.895059204E-1,-9.776769104E0
1.094689792E0,1.441502380E-1,1.884580994E-1,-9.779613190E0
1.104743792E0,1.541793823E-1,1.980381775E-1,-9.775122528E0
1.114798792E0,1.454974365E-1,2.004331970E-1,-9.791737976E0
1.124853792E0,1.477427673E-1,1.919009399E-1,-9.788893890E0
1.134908792E0,1.493893433E-1,1.902543640E-1,-9.784403229E0
1.144962792E0,1.520837402E-1,1.914518738E-1,-9.791737976E0
1.155017792E0,1.514849854E-1,1.922003174E-1,-9.786648560E0
1.165072792E0,1.480421448E-1,1.936972046E-1,-9.775272217E0
1.175127792E0,1.475930786E-1,1.913021851E-1,-9.785001984E0
1.185181792E0,1.420545959E-1,1.908531189E-1,-9.779164124E0
1.195236792E0,1.469943237E-1,1.899549866E-1,-9.772577820E0
1.205291792E0,1.442999268E-1,1.895059204E-1,-9.783804474E0
1.215345792E0,1.414558411E-1,1.932481384E-1,-9.787097626E0
1.225400792E0,1.480421448E-1,1.883084106E-1,-9.777517548E0
1.235455792E0,1.454974365E-1,1.883084106E-1,-9.786648560E0
1.245510792E0,1.468446350E-1,1.922003174E-1,-9.777517548E0
1.255564792E0,1.417552185E-1,1.992356873E-1,-9.781110077E0
1.265619792E0,1.480421448E-1,1.951940918E-1,-9.779613190E0
1.275674792E0,1.487905884E-1,1.899549866E-1,-9.787546692E0
1.285729792E0,1.481918335E-1,1.880090332E-1,-9.790839844E0
1.295783792E0,1.498384094E-1,1.883084106E-1,-9.780810699E0
1.305838792E0,1.465452576E-1,1.983375549E-1,-9.776469727E0
1.315893792E0,1.492396545E-1,1.983375549E-1,-9.781708832E0
1.325948792E0,1.466949463E-1,1.962419128E-1,-9.773026886E0
1.336002792E0,1.547781372E-1,1.893562317E-1,-9.785301361E0
1.346057792E0,1.481918335E-1,1.962419128E-1,-9.789941711E0
1.356112792E0,1.504371643E-1,1.968406677E-1,-9.778415680E0
1.366167792E0,1.450483704E-1,1.920506287E-1,-9.779014435E0
1.376221792E0,1.517843628E-1,2.011816406E-1,-9.783205719E0
1.386276792E0,1.468446350E-1,1.936972046E-1,-9.786648560E0
1.396331792E0,1.469943237E-1,1.920506287E-1,-9.788594513E0
1.406386792E0,1.466949463E-1,1.850152588E-1,-9.791588287E0
1.416440792E0,1.431024170E-1,1.932481384E-1,-9.778265991E0
1.426495792E0,1.420545959E-1,2.032772827E-1,-9.777068481E0
1.436550792E0,1.463955688E-1,1.990859985E-1,-9.777667236E0
1.446604792E0,1.416055298E-1,1.868115234E-1,-9.783056030E0
1.456659792E0,1.454974365E-1,1.971400452E-1,-9.785301361E0
1.466714792E0,1.517843628E-1,1.904040527E-1,-9.788295135E0
1.476769792E0,1.516346741E-1,1.863624573E-1,-9.783954163E0
1.486823792E0,1.451980591E-1,1.809736633E-1,-9.784702606E0
1.496878792E0,1.444496155E-1,1.905537415E-1,-9.785451050E0
1.506933792E0,1.519340515E-1,1.848655701E-1,-9.787546692E0
1.516988792E0,1.447489929E-1,1.908531189E-1,-9.786648560E0
1.527042792E0,1.471440125E-1,1.936972046E-1,-9.789193268E0
1.537097792E0,1.544787598E-1,1.920506287E-1,-9.785301361E0
1.547152792E0,1.510359192E-1,1.926493835E-1,-9.781858521E0
1.557207792E0,1.398092651E-1,1.936972046E-1,-9.785750427E0
1.567261375E0,1.522334290E-1,1.917512512E-1,-9.783954163E0
1.577316375E0,1.525328064E-1,1.881587219E-1,-9.777367859E0
1.587371375E0,1.463955688E-1,1.842668152E-1,-9.777667236E0
1.597426375E0,1.493893433E-1,1.933978271E-1,-9.775122528E0
1.607480375E0,1.465452576E-1,1.924996948E-1,-9.785301361E0
1.617535375E0,1.495390320E-1,1.984872437E-1,-9.780960388E0
1.627590375E0,1.425036621E-1,1.998344421E-1,-9.791588287E0
1.637644375E0,1.495390320E-1,1.939965820E-1,-9.786049805E0
1.647699375E0,1.469943237E-1,1.860630798E-1,-9.781409454E0
1.657754375E0,1.496887207E-1,1.974394226E-1,-9.775571594E0
1.667809375E0,1.559756470E-1,1.945953369E-1,-9.785451050E0
1.677863375E0,1.541793823E-1,1.830693054E-1,-9.780810699E0
1.687918375E0,1.475930786E-1,1.926493835E-1,-9.774374084E0
1.697973375E0,1.472937012E-1,1.886077881E-1,-9.779014435E0
1.708028375E0,1.550775146E-1,1.944456482E-1,-9.782008209E0
1.718082375E0,1.511856079E-1,1.968406677E-1,-9.789043579E0
1.728137375E0,1.462458801E-1,1.883084106E-1,-9.786049805E0
1.738192375E0,1.431024170E-1,1.541793823E-1,-9.778415680E0
1.748247375E0,1.360670471E-1,1.431024170E-1,-9.784552917E0
1.758301375E0,1.463955688E-1,1.386117554E-1,-9.773176575E0
1.768356375E0,1.454974365E-1,1.496887207E-1,-9.779463501E0
1.778411375E0,1.573228455E-1,1.666035461E-1,-9.782307587E0
1.788466375E0,1.463955688E-1,1.875599670E-1,-9.777816925E0
1.798520375E0,1.550775146E-1,2.233355713E-1,-9.788295135E0
1.808575375E0,1.598675537E-1,2.531236267E-1,-9.789193268E0
1.818630375E0,1.603166199E-1,2.647993469E-1,-9.786349182E0
1.828685375E0,1.651066589E-1,2.655477905E-1,-9.777966614E0
1.838739375E0,1.583706665E-1,2.576142883E-1,-9.781858521E0
1.848794375E0,1.636097717E-1,2.390528870E-1,-9.776918793E0
