"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.209983334E-2,2.756344527E-2,1.791204363E-1,-1.041860804E-1
2.215383336E-2,5.341288447E-2,1.861376017E-1,-8.854907006E-2
3.220783334E-2,6.175057963E-2,1.808115393E-1,-8.819988370E-2
4.226083335E-2,4.366958141E-2,1.549202800E-1,-9.442315996E-2
5.231483333E-2,1.406531408E-2,1.126572788E-1,-8.309334517E-2
6.236783334E-2,-2.058427595E-2,6.429453939E-2,-6.291191280E-2
7.242183335E-2,-3.564708680E-2,2.240308188E-2,-2.693278901E-2
8.247583333E-2,-3.483908623E-2,1.723841392E-2,-3.544413485E-4
9.252883334E-2,-1.578795351E-2,4.963140935E-2,1.285485551E-2
1.025828334E-1,4.616386723E-3,8.984380960E-2,4.386268090E-3
1.126358334E-1,2.108280919E-2,1.065938026E-1,-1.074540149E-2
1.226898333E-1,2.456116304E-2,9.713479131E-2,-2.264813334E-2
1.327438334E-1,2.501270361E-2,7.112926245E-2,-1.747010648E-2
1.427968333E-1,2.893660590E-2,4.818454012E-2,-1.286342274E-3
1.528508333E-1,2.611901425E-2,3.124364279E-2,2.173374407E-2
1.629038333E-1,2.964583784E-2,1.802371070E-2,4.508966953E-2
1.729578333E-1,4.330668598E-2,-1.321674697E-2,5.382105336E-2
1.830118333E-1,5.949870497E-2,-3.016883321E-2,5.012751371E-2
1.930648334E-1,7.849460095E-2,-3.240105137E-2,3.000748158E-2
2.031188333E-1,9.298352897E-2,-2.339131199E-2,-5.446383730E-3
2.131718333E-1,1.020508334E-1,-6.602567155E-3,-5.387412012E-2
2.232258334E-1,1.108682901E-1,-1.289294683E-3,-9.115357697E-2
2.332798333E-1,1.125671864E-1,3.752938239E-3,-1.119466797E-1
2.433328333E-1,9.820209444E-2,-2.192568732E-3,-1.225300804E-1
2.533868334E-1,7.620064914E-2,-2.218701877E-2,-1.175849363E-1
2.634398333E-1,5.679233000E-2,-4.780209810E-2,-1.033556685E-1
2.734938333E-1,3.957506642E-2,-7.718507200E-2,-8.572938293E-2
2.835478333E-1,7.183038630E-3,-8.780389279E-2,-8.472910523E-2
2.936008333E-1,-1.783186384E-2,-7.403436303E-2,-9.790275246E-2
3.036548333E-1,-3.027894720E-2,-6.491783261E-2,-1.062232703E-1
3.137088333E-1,-3.363114223E-2,-6.497204304E-2,-1.189202145E-1
3.237618333E-1,-3.580454737E-2,-5.892134085E-2,-1.243972704E-1
3.338158333E-1,-3.150576726E-2,-4.964615777E-2,-1.061048731E-1
3.438688334E-1,-7.453958970E-3,-2.569022588E-2,-7.756191492E-2
3.539228333E-1,2.609744295E-2,8.352708071E-3,-4.581253976E-2
3.639768334E-1,5.008266866E-2,4.480232671E-2,-2.517757192E-2
3.740298333E-1,6.126864254E-2,5.747955665E-2,-1.589739509E-2
3.840838333E-1,5.539796874E-2,5.742469430E-2,-2.079201862E-2
3.941368333E-1,5.121194944E-2,4.043635353E-2,-1.965580508E-2
4.041908333E-1,5.671137944E-2,1.692090742E-2,-8.512873203E-3
4.142448333E-1,6.924944371E-2,8.806776255E-3,7.762648165E-4
4.242978333E-1,8.163820207E-2,4.717226140E-3,1.726922020E-2
4.343518333E-1,8.272048086E-2,1.473758486E-3,1.846605726E-2
4.444048333E-1,7.658588886E-2,3.087900346E-3,1.573338732E-2
4.544588334E-1,6.624789536E-2,8.620868437E-3,3.050659318E-3
4.645128333E-1,6.882982701E-2,2.072599903E-2,-2.103310451E-2
4.745658333E-1,7.541921735E-2,4.207102209E-2,-3.226966411E-2
4.846193750E-1,9.114252031E-2,5.787155777E-2,-2.033577487E-2
4.946723750E-1,8.922058344E-2,6.191314757E-2,-1.449140348E-2
5.047263750E-1,6.423587352E-2,5.065303668E-2,-2.671797574E-2
5.147803750E-1,3.064732067E-2,2.071694843E-2,-5.786969513E-2
5.248333750E-1,6.313219201E-3,3.594801528E-4,-9.281835705E-2
5.348873750E-1,4.951507319E-3,-8.395070210E-3,-1.163981482E-1
5.449403750E-1,2.339096740E-2,-1.255519409E-2,-1.207295135E-1
5.549943750E-1,5.321511254E-2,-1.496253884E-3,-1.041680947E-1
5.650483750E-1,8.299271762E-2,1.800554246E-2,-7.546347380E-2
5.751013750E-1,1.055056527E-1,3.757479787E-2,-4.841797799E-2
5.851553750E-1,1.060185730E-1,4.809268564E-2,-2.969968505E-2
5.952093750E-1,8.236797154E-2,4.250482470E-2,-4.159278423E-2
6.052623750E-1,4.843796790E-2,1.544471271E-2,-7.711695880E-2
6.153163750E-1,2.434378490E-2,-6.060049869E-3,-1.104594544E-1
6.253693750E-1,1.416198630E-2,-1.104708575E-2,-1.238298565E-1
