"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.890333327E-3,8.443162777E-3,-2.355733141E-2,1.786479354E-2
1.994333333E-2,-3.091013758E-3,-2.242016047E-2,1.168788318E-2
2.999733333E-2,-1.518975385E-2,-2.604179271E-2,8.372513577E-3
4.005033334E-2,-1.660175435E-2,-3.307623789E-2,5.187621340E-3
5.010333333E-2,-1.780390553E-2,-2.788600326E-2,1.096473075E-3
6.015733334E-2,-1.652047038E-2,-2.053219453E-2,-7.367119659E-3
7.021033333E-2,-2.254826948E-2,-1.439840067E-2,-1.323992200E-2
8.026333334E-2,-2.387671918E-2,-1.697958820E-2,-1.803832129E-2
9.031733334E-2,-3.272267431E-2,-2.627189085E-2,-2.794447914E-2
1.003703333E-1,-3.762742877E-2,-4.687617719E-2,-3.767168522E-2
1.104233333E-1,-4.122056812E-2,-5.629497766E-2,-3.993910551E-2
1.204773333E-1,-5.125419796E-2,-5.815603584E-2,-4.467002302E-2
1.305303333E-1,-6.057233363E-2,-4.791378230E-2,-5.662042648E-2
1.405833333E-1,-6.513015181E-2,-3.961539268E-2,-6.916568428E-2
1.506373333E-1,-5.297628045E-2,-3.349784389E-2,-7.972431928E-2
1.606903333E-1,-2.513198927E-2,-2.954007871E-2,-7.889117301E-2
1.707433333E-1,1.585640945E-3,-2.640074492E-2,-6.785557419E-2
1.807973333E-1,2.106563561E-2,-3.191008791E-2,-4.837988690E-2
1.908503333E-1,2.778053097E-2,-3.062857501E-2,-3.041739762E-2
2.009033333E-1,2.879638411E-2,-3.699691594E-2,-1.843945310E-2
2.109573333E-1,1.936932653E-2,-4.116982222E-2,-9.594296105E-3
2.210103333E-1,3.914490342E-3,-4.204603657E-2,-9.779393673E-3
2.310633333E-1,-3.675251966E-3,-2.988710999E-2,-9.655557573E-3
2.411173333E-1,-7.403899450E-3,-9.675081819E-3,-1.243219897E-2
2.511703333E-1,-1.195577439E-2,1.404809020E-2,-8.989530616E-3
2.612233333E-1,-1.669657044E-2,3.081989102E-2,-4.786858335E-5
2.712773333E-1,-1.470559184E-2,3.188621998E-2,2.297044732E-3
2.813303333E-1,-1.825027168E-2,2.175215445E-2,1.117734425E-2
2.913833333E-1,-2.032114565E-2,5.543356761E-3,1.767013222E-2
3.014363333E-1,-2.360248379E-2,-1.821637619E-3,1.406161394E-2
3.114903333E-1,-3.014107794E-2,4.141446669E-3,1.211830508E-2
3.215433333E-1,-4.607586935E-2,2.032172121E-2,1.160702296E-2
3.315963333E-1,-6.361038983E-2,2.702756040E-2,1.012950018E-2
3.416503333E-1,-8.202788234E-2,2.336090803E-2,2.659742255E-3
3.517033333E-1,-9.825132787E-2,1.950917765E-2,1.309299842E-5
3.617563333E-1,-1.042400971E-1,9.320793673E-3,-4.729907028E-3
3.718103333E-1,-9.021056443E-2,5.287968554E-3,-3.648663638E-3
3.818633333E-1,-6.365592033E-2,1.498850435E-2,1.628678292E-4
3.919163333E-1,-2.986386791E-2,2.778579295E-2,1.473275572E-2
4.019703333E-1,-8.338149637E-4,3.644080088E-2,3.309018910E-2
4.120233333E-1,3.050333448E-2,4.419139773E-2,4.369383305E-2
4.220763333E-1,4.802101105E-2,4.653812200E-2,4.469846562E-2
4.321303333E-1,5.810347199E-2,4.397562891E-2,3.673880920E-2
4.421833333E-1,6.172933429E-2,4.146968946E-2,2.475005575E-2
4.522363333E-1,5.606079474E-2,3.926805407E-2,1.188059524E-2
4.622903333E-1,4.528810084E-2,3.805755079E-2,9.139115922E-3
4.723433333E-1,3.403145075E-2,3.939605504E-2,2.945929766E-2
4.823963333E-1,2.363511361E-2,3.673664108E-2,5.147553608E-2
4.924503333E-1,2.912921458E-2,3.606978431E-2,6.514287740E-2
5.025033333E-1,3.011298552E-2,3.965466470E-2,6.665635109E-2
5.125563333E-1,2.927675471E-2,5.155819654E-2,5.115382373E-2
5.226103333E-1,2.433336899E-2,7.457350194E-2,2.770338394E-2
5.326633333E-1,1.944966428E-2,9.501166642E-2,-3.845753381E-3
5.427163333E-1,8.213527501E-3,8.493908495E-2,-1.885428280E-2
5.527703333E-1,-9.468530305E-3,5.455055460E-2,-2.473108098E-2
5.628233333E-1,-2.309625037E-2,1.942476816E-2,-1.799401268E-2
5.728763333E-1,-3.471136093E-2,-2.668759972E-2,-3.473393619E-3
5.829303333E-1,-4.033739492E-2,-6.885154545E-2,1.048832759E-2
5.929833333E-1,-3.683693334E-2,-1.063256860E-1,2.195802890E-2
6.030363333E-1,-2.660148591E-2,-1.272701770E-1,3.313894197E-2
6.130903333E-1,-1.245876774E-2,-1.388802230E-1,4.253590479E-2
6.231433333E-1,9.564450011E-3,-1.404011697E-1,5.279047787E-2
6.331963333E-1,1.868630759E-2,-1.362160146E-1,6.604848802E-2
6.432505000E-1,3.104856238E-2,-1.473423541E-1,8.224727213E-2
6.533035000E-1,2.874918841E-2,-1.488145441E-1,8.996617794E-2
6.633565000E-1,2.129184268E-2,-1.494846642E-1,1.000925750E-1
6.734105000E-1,2.580749802E-2,-1.508695036E-1,1.128187552E-1
6.834635000E-1,2.077724226E-2,-1.331482977E-1,1.024705842E-1
6.935165000E-1,1.996551082E-2,-1.381579638E-1,8.836142719E-2
7.035705000E-1,2.702992875E-3,-1.413856596E-1,7.283961028E-2
7.136235000E-1,-2.729751542E-2,-1.587209702E-1,6.540832669E-2
7.236765000E-1,-7.140064985E-2,-1.788846254E-1,6.566226482E-2
7.337305000E-1,-1.204840392E-1,-2.000216097E-1,5.966855213E-2
7.437835000E-1,-1.572056562E-1,-2.109562904E-1,5.054945126E-2
7.538365000E-1,-1.708921790E-1,-1.952795982E-1,3.804617748E-2
7.638905000E-1,-1.592517644E-1,-1.611588448E-1,3.444183990E-2
7.739435000E-1,-1.194215268E-1,-1.137037128E-1,3.047319502E-2
7.839965000E-1,-6.959760189E-2,-4.906162620E-2,1.971970871E-2
7.940505000E-1,-1.934561692E-2,4.440482240E-3,1.291773003E-2
8.041035000E-1,9.368422441E-3,2.699664608E-2,1.050214656E-2
8.141565000E-1,1.781076891E-3,2.901638672E-2,5.401126575E-3
8.242095000E-1,-2.233054675E-2,8.257035166E-3,-2.767685335E-3
8.342635000E-1,-4.764975235E-2,-1.582672819E-2,-7.903858088E-3
8.443165000E-1,-6.579400599E-2,-3.205125406E-2,-1.548067294E-2
8.543695000E-1,-7.605116814E-2,-4.555428028E-2,-1.794756018E-2
8.644235000E-1,-7.163536549E-2,-4.730099067E-2,-2.015642449E-2
8.744765000E-1,-5.648491159E-2,-4.791724682E-2,-2.474478632E-2
8.845305000E-1,-2.920184843E-2,-4.142609239E-2,-3.093320504E-2
8.945835000E-1,1.129497960E-2,-3.346989676E-2,-2.595549077E-2
9.046365000E-1,4.333888739E-2,-1.785841212E-2,-2.228775248E-2
9.146895000E-1,6.181057170E-2,-5.694156978E-3,-1.882564463E-2
9.247435000E-1,6.918653846E-2,6.251177285E-3,-1.848004013E-2
9.347965000E-1,5.980475619E-2,-1.799292630E-3,-1.687841490E-2
9.448495000E-1,4.465510696E-2,-2.863647044E-2,-2.307028323E-2
9.549035000E-1,3.181254864E-2,-5.655279011E-2,-2.372595295E-2
9.649565000E-1,2.180964686E-2,-7.831805944E-2,-1.685970463E-2
9.750095000E-1,5.527079105E-3,-8.409951627E-2,-1.763761416E-2
9.850635000E-1,3.770321142E-3,-7.319814712E-2,-2.575478517E-2
9.951165000E-1,8.081712760E-3,-5.250139162E-2,-3.429793939E-2
1.005169500E0,2.385328524E-2,-3.935757279E-2,-3.297230601E-2
1.015223500E0,3.896272928E-2,-3.503153473E-2,-2.418733761E-2
1.025276500E0,3.907787427E-2,-4.057787359E-2,-1.308682840E-2
1.035329500E0,3.477527201E-2,-5.184783787E-2,-1.870086417E-4
1.045383500E0,2.219325118E-2,-6.816900522E-2,2.278185450E-3
1.055436500E0,4.706936423E-3,-8.106296510E-2,4.177818075E-3
1.065489500E0,-6.045043934E-3,-8.100809902E-2,-2.841475420E-3
1.075543500E0,-1.841409504E-2,-7.551187277E-2,-5.922486540E-3
1.085596500E0,-1.410936937E-2,-7.035974413E-2,-9.869803675E-3
1.095649500E0,-4.523321055E-3,-5.763196573E-2,-1.223069616E-2
1.105703500E0,1.039779373E-2,-4.927226901E-2,-8.990664035E-3
1.115756500E0,1.445751637E-2,-3.418359905E-2,-5.689143669E-3
1.125809500E0,1.498668641E-2,-2.142279595E-2,-8.109424263E-3
1.135863500E0,5.852277391E-3,-1.121146232E-2,-1.255819108E-2
1.145916500E0,-1.246196404E-2,-5.927223247E-3,-1.744327694E-2
1.155969500E0,-3.126813844E-2,-5.819099024E-3,-1.825527474E-2
1.166023500E0,-4.831172898E-2,-4.509339575E-3,-1.052104123E-2
1.176076500E0,-5.349104479E-2,-3.244481923E-4,-1.247381326E-3
1.186129500E0,-5.058281496E-2,5.092444364E-3,1.372457575E-2
1.196183500E0,-4.047958180E-2,1.554109063E-2,2.337080985E-2
1.206236500E0,-3.249337524E-2,2.660543844E-2,2.336904034E-2
1.216289500E0,-1.676980779E-2,3.948555142E-2,1.813353226E-2
1.226343500E0,-5.604926497E-3,5.243918672E-2,1.151918620E-2
1.236396500E0,1.897996874E-3,6.392673403E-2,4.777214490E-4
1.246449500E0,6.343434099E-3,6.524173170E-2,-6.728582550E-3
