"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.018958334E-3,-4.646337891E-1,3.246748352E0,-9.152866516E0
1.307395833E-2,-3.405418396E-1,3.213068390E0,-9.151070251E0
2.312895833E-2,-3.445834351E-1,3.188369751E0,-9.147777100E0
3.318395833E-2,-4.805007935E-1,3.186872864E0,-9.128167877E0
4.323795833E-2,-6.535409546E-1,3.240910492E0,-9.141041107E0
5.329295833E-2,-8.704399109E-1,3.348985748E0,-9.215735779E0
6.334795833E-2,-1.027762756E0,3.439248047E0,-9.231602783E0
7.340295833E-2,-1.026714935E0,3.495680695E0,-9.121880951E0
8.345795833E-2,-9.357041931E-1,3.516487427E0,-8.928932190E0
9.351195833E-2,-8.512797546E-1,3.532504120E0,-8.781638489E0
1.035669583E-1,-8.193960571E-1,3.557502136E0,-8.691675568E0
1.136219583E-1,-7.801776123E-1,3.550466766E0,-8.622070312E0
1.236769583E-1,-7.394622803E-1,3.530558167E0,-8.576415253E0
1.337319583E-1,-7.297325134E-1,3.504212952E0,-8.638685760E0
1.437859583E-1,-7.056326294E-1,3.470233612E0,-8.767268372E0
1.538409583E-1,-6.795867920E-1,3.420836334E0,-8.906179504E0
1.638959583E-1,-6.159690857E-1,3.392096100E0,-9.043743439E0
1.739509583E-1,-5.712121582E-1,3.358266449E0,-9.187743988E0
1.840059583E-1,-5.908213806E-1,3.313359833E0,-9.295370178E0
1.940599583E-1,-6.753955078E-1,3.292702789E0,-9.425898743E0
2.041149583E-1,-7.343728638E-1,3.245700531E0,-9.536069641E0
2.141699583E-1,-7.676037598E-1,3.210823059E0,-9.568252716E0
2.242249583E-1,-7.162605286E-1,3.158132629E0,-9.539811859E0
2.342789583E-1,-5.697152710E-1,3.117267609E0,-9.467212830E0
2.443339583E-1,-4.240681458E-1,3.024759979E0,-9.380842438E0
2.543889583E-1,-3.025209045E-1,2.987786865E0,-9.336085510E0
2.644439583E-1,-2.980302429E-1,2.997217255E0,-9.318122864E0
2.744989583E-1,-3.929328918E-1,3.019670563E0,-9.310788116E0
2.845529583E-1,-5.528004456E-1,3.010988617E0,-9.322912903E0
2.946079583E-1,-6.059399414E-1,3.020718384E0,-9.324260101E0
3.046629583E-1,-5.834866333E-1,3.056344299E0,-9.188492432E0
3.147179583E-1,-6.607260132E-1,3.075055389E0,-8.930728455E0
3.247729583E-1,-7.967930603E-1,3.082988892E0,-8.678353271E0
3.348269583E-1,-9.397457886E-1,3.080144806E0,-8.657097473E0
3.448819583E-1,-9.764195251E-1,3.094215546E0,-8.913963318E0
3.549369583E-1,-9.779164124E-1,3.111429749E0,-9.233548737E0
3.649919583E-1,-9.231303406E-1,3.070864105E0,-9.385632477E0
3.750469583E-1,-7.041357422E-1,3.008593597E0,-9.436826019E0
3.851009583E-1,-4.390370178E-1,2.977308655E0,-9.519603882E0
3.951559583E-1,-2.360591125E-1,2.949316864E0,-9.637259216E0
4.052109583E-1,-8.936416626E-2,2.968477020E0,-9.732311554E0
4.152659583E-1,-6.436614990E-2,3.054997101E0,-9.775870972E0
4.253199583E-1,-2.016307068E-1,3.196752319E0,-9.782756653E0
4.353749583E-1,-3.146456909E-1,3.409759369E0,-9.785151672E0
4.454299583E-1,-4.632865906E-1,3.593577118E0,-9.667945404E0
4.554849583E-1,-6.689588928E-1,3.680546265E0,-9.439071350E0
4.655399583E-1,-9.282197571E-1,3.728895721E0,-9.174122314E0
4.755939583E-1,-1.166374512E0,3.673959961E0,-9.032666473E0
4.856489583E-1,-1.370998993E0,3.533701630E0,-8.941955109E0
4.957039583E-1,-1.348096619E0,3.343297577E0,-8.849746857E0
5.057589583E-1,-1.133592682E0,3.221600647E0,-8.818162537E0
5.158139583E-1,-8.764274597E-1,3.181184692E0,-8.844208374E0
5.258678333E-1,-6.351292419E-1,3.222498779E0,-8.879085846E0
5.359228333E-1,-4.534071350E-1,3.346141663E0,-8.903485107E0
5.459778333E-1,-4.628375244E-1,3.407813416E0,-8.844807129E0
5.560328333E-1,-5.583389282E-1,3.348087616E0,-8.706345062E0
5.660868333E-1,-5.638774109E-1,3.359613647E0,-8.618777161E0
5.761418333E-1,-6.087840271E-1,3.257076874E0,-8.628057861E0
5.861968333E-1,-7.241940308E-1,2.989283752E0,-8.802894287E0
5.962518333E-1,-7.508386230E-1,2.795586548E0,-9.182804260E0
6.063068333E-1,-7.589218140E-1,2.634072418E0,-9.552984467E0
6.163608333E-1,-6.854246521E-1,2.445314941E0,-9.797126770E0
6.264158333E-1,-4.254153442E-1,2.301613770E0,-9.930050354E0
6.364708333E-1,-7.768844604E-2,2.192640381E0,-9.959389343E0
6.465258333E-1,3.071612549E-1,2.143841858E0,-9.933493195E0
6.565808333E-1,5.908213806E-1,2.038011932E0,-9.916728058E0
6.666348333E-1,7.899073792E-1,1.950144653E0,-9.744436340E0
6.766898333E-1,7.316784668E-1,1.808988190E0,-9.459129639E0
6.867448333E-1,6.301895142E-1,1.825753326E0,-9.278305664E0
6.967998333E-1,3.917353821E-1,1.960772552E0,-9.244176636E0
7.068548333E-1,-2.888992310E-2,2.009571075E0,-9.259893951E0
7.169088333E-1,-3.603007507E-1,2.160307617E0,-9.364376678E0
7.269638333E-1,-5.005590820E-1,2.403252411E0,-9.461075592E0
7.370188333E-1,-6.015989685E-1,2.589165802E0,-9.485025787E0
7.470738333E-1,-8.069718933E-1,2.680326233E0,-9.470356293E0
7.571278333E-1,-1.075962524E0,2.735261993E0,-9.567803650E0
7.671828333E-1,-1.370699615E0,2.861599274E0,-9.816885681E0
7.772378333E-1,-1.511556702E0,2.897524567E0,-9.911638641E0
7.872928333E-1,-1.332379303E0,2.886597290E0,-9.787397003E0
7.973478333E-1,-9.940827942E-1,2.870580597E0,-9.629325714E0
8.074018333E-1,-7.692503357E-1,2.825224915E0,-9.659862213E0
8.174568333E-1,-6.331832886E-1,2.769091644E0,-9.816586304E0
8.275118333E-1,-4.357438660E-1,2.672542419E0,-9.980046387E0
8.375668333E-1,-2.475851440E-1,2.567910004E0,-1.005923172E1
8.476218333E-1,-1.339714050E-1,2.440524902E0,-1.009455826E1
8.576758333E-1,3.457809448E-2,2.351011047E0,-1.012898666E1
8.677308333E-1,2.031275940E-1,2.305805054E0,-1.009410919E1
8.777858333E-1,2.942880249E-1,2.282004547E0,-9.964778137E0
8.878408333E-1,2.695893860E-1,2.274969177E0,-9.788295135E0
8.978948333E-1,1.546284485E-1,2.285597076E0,-9.651629333E0
9.079498333E-1,8.936416626E-2,2.273172913E0,-9.520801392E0
9.180048333E-1,8.053253174E-2,2.279908905E0,-9.377549286E0
9.280598333E-1,7.828720093E-2,2.270927582E0,-9.308243408E0
9.381148333E-1,7.274871826E-2,2.244133301E0,-9.312135315E0
9.481688333E-1,2.619552612E-2,2.256407776E0,-9.373208313E0
9.582238333E-1,-9.280700684E-3,2.290536804E0,-9.419761505E0
9.682788333E-1,-4.700225830E-2,2.366728363E0,-9.398805084E0
9.783338333E-1,-1.202000427E-1,2.404898987E0,-9.296417999E0
9.883888333E-1,-2.260299683E-1,2.461780701E0,-9.174421692E0
9.984428333E-1,-2.847079468E-1,2.545307007E0,-9.067394257E0
1.008497833E0,-2.959346008E-1,2.572550354E0,-9.010213165E0
1.018552833E0,-3.499722290E-1,2.595602417E0,-9.025481415E0
1.028607833E0,-3.643423462E-1,2.605781250E0,-9.164841614E0
1.038662833E0,-3.050656128E-1,2.596350861E0,-9.364526367E0
1.048716833E0,-1.788780212E-1,2.567161560E0,-9.494156799E0
1.058771833E0,2.694396973E-3,2.512674866E0,-9.522298279E0
1.068826833E0,1.335223389E-1,2.484383698E0,-9.470955048E0
1.078881833E0,1.709445190E-1,2.485132141E0,-9.364376678E0
1.088936833E0,1.426533508E-1,2.509381714E0,-9.317374420E0
1.098990833E0,7.469467163E-2,2.559826813E0,-9.299711151E0
1.109045833E0,5.433700562E-2,2.591860199E0,-9.308093719E0
1.119100833E0,1.297801208E-1,2.592758331E0,-9.353748779E0
1.129155833E0,1.956431580E-1,2.595303040E0,-9.382189636E0
1.139209833E0,2.164498901E-1,2.610720978E0,-9.406738586E0
1.149264833E0,1.832189941E-1,2.639910278E0,-9.432335358E0
1.159319833E0,1.240919495E-1,2.653232574E0,-9.417815552E0
1.169374833E0,1.008901978E-1,2.655926971E0,-9.389524384E0
1.179429833E0,1.022373962E-1,2.642454987E0,-9.373807068E0
1.189483833E0,1.107696533E-1,2.640059967E0,-9.364226990E0
1.199538833E0,7.304809570E-2,2.645149384E0,-9.332492981E0
1.209593833E0,1.646575928E-3,2.655028839E0,-9.294022980E0
1.219648833E0,-3.622467041E-2,2.658172302E0,-9.252559204E0
1.229702833E0,-3.772155762E-2,2.625390472E0,-9.237740021E0
1.239757833E0,-2.754272461E-2,2.618804169E0,-9.331445160E0
1.249812833E0,-5.448669434E-2,2.599793701E0,-9.441017303E0
1.259867833E0,-1.709445190E-1,2.594404907E0,-9.568252716E0
1.269922833E0,-2.447410583E-1,2.597548370E0,-9.684261475E0
1.279976833E0,-2.656974792E-1,2.593207397E0,-9.700278168E0
1.290031833E0,-3.143463135E-1,2.604434052E0,-9.659113770E0
1.300086833E0,-3.583547974E-1,2.607727203E0,-9.607770538E0
1.310141833E0,-4.161346436E-1,2.625540161E0,-9.576335907E0
1.320196833E0,-4.834945679E-1,2.671045532E0,-9.548942871E0
1.330250833E0,-5.701643372E-1,2.672692108E0,-9.522447968E0
1.340305833E0,-6.066883850E-1,2.690804443E0,-9.510921936E0
1.350360833E0,-5.539979553E-1,2.688259735E0,-9.472451935E0
1.360415833E0,-4.749623108E-1,2.654280396E0,-9.478738861E0
1.370470833E0,-3.933819580E-1,2.656376038E0,-9.529782715E0
1.380524833E0,-3.100053406E-1,2.614014130E0,-9.570797424E0
1.390579833E0,-2.309696960E-1,2.550246735E0,-9.649084625E0
1.400634833E0,-2.017803955E-1,2.556533661E0,-9.724228363E0
1.410689833E0,-2.182461548E-1,2.561772766E0,-9.746232605E0
1.420743833E0,-1.971400452E-1,2.565664673E0,-9.707463226E0
1.430798833E0,-2.131567383E-1,2.571951599E0,-9.595196686E0
1.440853833E0,-2.625540161E-1,2.579286346E0,-9.472002869E0
1.450908833E0,-2.859054565E-1,2.587369537E0,-9.384584656E0
1.460963833E0,-3.029699707E-1,2.591560822E0,-9.295968933E0
1.471017833E0,-2.794688416E-1,2.585573273E0,-9.230554962E0
1.481072833E0,-2.160008240E-1,2.566413116E0,-9.188043365E0
1.491127833E0,-1.399589539E-1,2.562970276E0,-9.229806519E0
1.501182833E0,-7.798782349E-2,2.566413116E0,-9.337582397E0
1.511236833E0,-4.969665527E-2,2.543211365E0,-9.465416565E0
1.521291833E0,3.143463135E-3,2.525697784E0,-9.594747620E0
1.531346375E0,4.221221924E-2,2.523602142E0,-9.643546143E0
1.541401375E0,5.598358154E-2,2.499352570E0,-9.618548126E0
1.551456375E0,7.155120850E-2,2.535876617E0,-9.528435516E0
1.561510375E0,3.577560425E-2,2.560724945E0,-9.433981934E0
1.571565375E0,-2.814147949E-2,2.592458954E0,-9.352551270E0
1.581620375E0,-9.565109253E-2,2.615061951E0,-9.271120605E0
1.591675375E0,-1.544787598E-1,2.629581757E0,-9.235195312E0
1.601730375E0,-1.930984497E-1,2.622097321E0,-9.271569672E0
1.611784375E0,-2.032772827E-1,2.625839539E0,-9.319170685E0
1.621839375E0,-1.652563477E-1,2.632425842E0,-9.348509674E0
1.631894375E0,-1.315763855E-1,2.622097321E0,-9.335486755E0
1.641949375E0,-1.413061523E-1,2.625091095E0,-9.305848389E0
1.652004375E0,-1.401086426E-1,2.633773041E0,-9.329499207E0
1.662058375E0,-1.447489929E-1,2.625091095E0,-9.392518158E0
1.672113375E0,-1.492396545E-1,2.597548370E0,-9.479936371E0
1.682168375E0,-1.474433899E-1,2.614912262E0,-9.570797424E0
1.692223375E0,-1.511856079E-1,2.623594208E0,-9.633816376E0
1.702277375E0,-1.734892273E-1,2.610870667E0,-9.627679138E0
1.712332375E0,-1.814227295E-1,2.617307281E0,-9.533674622E0
1.722387375E0,-1.727407837E-1,2.631378021E0,-9.428443451E0
1.732442375E0,-1.956431580E-1,2.628983002E0,-9.364975433E0
1.742497375E0,-2.210902405E-1,2.653082886E0,-9.325307922E0
1.752551375E0,-2.390528870E-1,2.638862457E0,-9.285640411E0
1.762606375E0,-2.314187622E-1,2.639161835E0,-9.300459595E0
1.772661375E0,-1.986369324E-1,2.619552612E0,-9.377549286E0
1.782716375E0,-1.713935852E-1,2.586321716E0,-9.458381195E0
1.792771375E0,-1.330732727E-1,2.557282104E0,-9.501491547E0
1.802825375E0,-9.595046997E-2,2.552492065E0,-9.535620575E0
1.812880375E0,-8.741821289E-2,2.536026306E0,-9.563911743E0
1.822935375E0,-9.595046997E-2,2.530487823E0,-9.530830536E0
1.832990375E0,-1.034349060E-1,2.547552338E0,-9.487720184E0
1.843044375E0,-1.164578247E-1,2.562072144E0,-9.439969482E0
1.853099375E0,-1.606159973E-1,2.576142883E0,-9.388177185E0
1.863154375E0,-2.189945984E-1,2.617007904E0,-9.355994110E0
1.873209375E0,-2.366578674E-1,2.614912262E0,-9.369017029E0
1.883264375E0,-2.204914856E-1,2.617007904E0,-9.418414307E0
1.893318375E0,-2.240840149E-1,2.614313507E0,-9.481433258E0
1.903373375E0,-2.089654541E-1,2.582130432E0,-9.530531158E0
1.913428375E0,-1.981878662E-1,2.564766541E0,-9.619895325E0
1.923483375E0,-1.869612122E-1,2.548001404E0,-9.677974548E0
1.933537375E0,-1.901046753E-1,2.546354828E0,-9.673334198E0
1.943592375E0,-1.782792664E-1,2.548600159E0,-9.640851746E0
1.953647375E0,-1.712438965E-1,2.565964050E0,-9.585466919E0
1.963702375E0,-1.700463867E-1,2.570754089E0,-9.536818085E0
1.973757375E0,-1.839674377E-1,2.605781250E0,-9.491612091E0
1.983811375E0,-1.541793823E-1,2.598895569E0,-9.506580963E0
1.993866375E0,-8.053253174E-2,2.615061951E0,-9.531878357E0
2.003921375E0,-8.442443848E-2,2.636018372E0,-9.528734894E0
2.013976375E0,-6.795867920E-2,2.614014130E0,-9.485474854E0
2.024031375E0,-3.936813354E-2,2.619702301E0,-9.442514191E0
2.034085375E0,-2.724334717E-2,2.624192963E0,-9.366472321E0
2.044140375E0,-6.526428223E-2,2.590363312E0,-9.321116638E0
2.054195375E0,-8.173004150E-2,2.581082611E0,-9.307045898E0
2.064250375E0,-6.691085815E-2,2.599045258E0,-9.320667572E0
2.074304375E0,-6.062393188E-2,2.584974518E0,-9.307794342E0
2.084359375E0,-1.137634277E-2,2.579436035E0,-9.318122864E0
2.094414375E0,4.834945679E-2,2.575843506E0,-9.335935822E0
2.104469375E0,7.020401001E-2,2.574645996E0,-9.325457611E0
2.114524375E0,3.053649902E-2,2.584226074E0,-9.309440918E0
2.124578375E0,-3.278182983E-2,2.576891327E0,-9.276509399E0
2.134633375E0,-6.631210327E-2,2.569855957E0,-9.232949982E0
2.144688375E0,-7.334747314E-2,2.540516968E0,-9.206155701E0
2.154743375E0,-6.286926270E-2,2.525099030E0,-9.192234650E0
2.164798375E0,-3.293151855E-2,2.506238251E0,-9.198521576E0
2.174852375E0,1.437011719E-2,2.467319183E0,-9.235794067E0
2.184907375E0,6.945556641E-2,2.460583191E0,-9.317973175E0
2.194962375E0,8.128097534E-2,2.473905487E0,-9.386829987E0
2.205017375E0,8.996292114E-2,2.478096771E0,-9.395062866E0
2.215072375E0,1.133143616E-1,2.473606110E0,-9.397607574E0
2.225126375E0,1.405577087E-1,2.478246460E0,-9.401798859E0
2.235181375E0,1.715432739E-1,2.482737122E0,-9.420959015E0
2.245236375E0,1.517843628E-1,2.506387939E0,-9.450747070E0
2.255291375E0,8.681945801E-2,2.532433777E0,-9.450148315E0
2.265345375E0,2.918930054E-2,2.549647980E0,-9.434580688E0
2.275400375E0,-1.886077881E-2,2.570005646E0,-9.417067108E0
2.285455375E0,-8.277786255E-2,2.550845490E0,-9.416019287E0
2.295510375E0,-1.366658020E-1,2.572700043E0,-9.430090027E0
2.305565375E0,-1.618135071E-1,2.585573273E0,-9.468410339E0
2.315619375E0,-1.737886047E-1,2.560874634E0,-9.480086060E0
2.325674375E0,-1.678010559E-1,2.556533661E0,-9.572893066E0
2.335729375E0,-2.182461548E-1,2.528990936E0,-9.690548401E0
2.345784375E0,-2.249821472E-1,2.500849457E0,-9.805659027E0
2.355838375E0,-1.731898499E-1,2.490820312E0,-9.842482452E0
2.365893375E0,-1.480421448E-1,2.465822296E0,-9.793234863E0
2.375948375E0,-1.401086426E-1,2.469863892E0,-9.697134705E0
2.386003375E0,-1.179547119E-1,2.494113464E0,-9.602232056E0
2.396058375E0,-8.352630615E-2,2.505489807E0,-9.505982208E0
2.406112375E0,-1.676513672E-2,2.555934906E0,-9.488468628E0
2.416167375E0,-4.340972900E-3,2.550396423E0,-9.452693024E0
2.426222375E0,-2.859054565E-2,2.562820587E0,-9.405092010E0
2.436277375E0,-5.912704468E-2,2.570155334E0,-9.362730103E0
2.446332375E0,-1.034349060E-1,2.562221832E0,-9.397757263E0
2.456386375E0,-9.265731812E-2,2.580932922E0,-9.476343842E0
2.466441375E0,-7.694000244E-2,2.558180237E0,-9.521250458E0
2.476496375E0,-4.385879517E-2,2.511776733E0,-9.574689331E0
2.486551375E0,1.257385254E-2,2.465223541E0,-9.667196960E0
2.496605375E0,4.445755005E-2,2.422262878E0,-9.793683929E0
2.506660375E0,3.667373657E-2,2.400108948E0,-9.874216461E0
2.516715375E0,3.757186890E-2,2.396067352E0,-9.857451324E0
2.526770208E0,4.176315308E-2,2.419119415E0,-9.775870972E0
2.536825208E0,4.924758911E-2,2.462678833E0,-9.642049255E0
2.546879208E0,1.930984497E-2,2.518961792E0,-9.501341858E0
2.556934208E0,-5.568420410E-2,2.599194946E0,-9.429640961E0
2.566989208E0,-2.201921082E-1,2.674338684E0,-9.410630493E0
2.577044208E0,-4.101470947E-1,2.728226624E0,-9.415270844E0
2.587099208E0,-5.126838684E-1,2.765499115E0,-9.412576447E0
2.597153208E0,-5.188211060E-1,2.760559387E0,-9.364526367E0
2.607208208E0,-4.824467468E-1,2.716850281E0,-9.336833954E0
2.617263208E0,-4.351451111E-1,2.677332458E0,-9.289232941E0
2.627318208E0,-3.623963928E-1,2.646646271E0,-9.294022980E0
2.637372208E0,-2.439926147E-1,2.609822845E0,-9.300010529E0
2.647427208E0,-1.820214844E-1,2.593207397E0,-9.310488739E0
2.657482208E0,-1.422042847E-1,2.604883118E0,-9.283095703E0
2.667537208E0,-1.457968140E-1,2.649340668E0,-9.196725311E0
2.677592208E0,-1.537303162E-1,2.672841797E0,-9.085057526E0
2.687646208E0,-1.064286804E-1,2.687960358E0,-8.994645538E0
2.697701208E0,-8.472381592E-2,2.699336700E0,-8.934320984E0
2.707756208E0,-9.205856323E-2,2.692900085E0,-8.898844757E0
2.717811208E0,-1.035845947E-1,2.699486389E0,-8.879983978E0
2.727865208E0,-1.112187195E-1,2.682721252E0,-8.919801178E0
2.737920208E0,-1.022373962E-1,2.621498566E0,-9.055419159E0
2.747975208E0,-8.232879639E-3,2.570005646E0,-9.310189362E0
2.758030208E0,8.876541138E-2,2.541564789E0,-9.481732635E0
2.768085208E0,1.221459961E-1,2.530936890E0,-9.504934387E0
2.778139208E0,1.360670471E-1,2.508333893E0,-9.435778198E0
2.788194208E0,2.442919922E-1,2.468217316E0,-9.398056641E0
2.798249208E0,2.877017212E-1,2.502496033E0,-9.315877533E0
2.808304208E0,1.778302002E-1,2.497855682E0,-9.226812744E0
2.818359208E0,3.113525391E-2,2.512525177E0,-9.282496948E0
2.828413208E0,-4.131408691E-2,2.496209106E0,-9.483977966E0
2.838468208E0,-9.280700684E-3,2.460283813E0,-9.783355408E0
2.848523208E0,1.088237000E-1,2.413730621E0,-9.999356232E0
