X,Y,Z
-59.704925537109375,11.339004516601562,-297.19525146484375
-59.60455322265625,11.25897216796875,-297.3526306152344
-59.40293884277344,10.933273315429688,-297.4037780761719
-58.967681884765625,10.941741943359375,-296.81280517578125
-58.61907958984375,10.81695556640625,-296.6051025390625
-57.590179443359375,10.33990478515625,-296.4601135253906
-56.94453430175781,10.286300659179688,-295.962890625
-56.508331298828125,9.926910400390625,-295.3995361328125
-56.347076416015625,9.813095092773438,-295.86962890625
-56.54393005371094,10.217010498046875,-295.516845703125
-56.97828674316406,10.478836059570312,-295.93084716796875
-57.833099365234375,10.909805297851562,-296.16290283203125
-58.838653564453125,11.7393798828125,-296.25921630859375
-58.862701416015625,11.745986938476562,-297.42010498046875
-59.433929443359375,11.707595825195312,-296.98297119140625
-59.76081848144531,11.52154541015625,-297.0870361328125
-60.265350341796875,11.602066040039062,-297.436767578125
-59.40516662597656,11.38006591796875,-296.9176025390625
-58.99192810058594,11.430923461914062,-296.69244384765625
-58.216217041015625,11.915435791015625,-296.4604187011719
-57.56785583496094,12.528549194335938,-295.83245849609375
-57.51220703125,13.267105102539062,-296.0866394042969
-58.59727478027344,14.54949951171875,-296.71539306640625
-60.52412414550781,15.324539184570312,-297.1371154785156
-63.10679626464844,15.8475341796875,-297.7486267089844
-65.62522888183594,16.101104736328125,-298.55059814453125
-67.34185791015625,15.695098876953125,-299.39385986328125
-68.22052001953125,15.595657348632812,-300.0710144042969
-68.65716552734375,15.784393310546875,-299.924560546875
-68.68113708496094,16.338912963867188,-300.26361083984375
-69.00039672851562,16.532989501953125,-300.44207763671875
-69.02116394042969,16.871795654296875,-300.3592529296875
-69.12046813964844,17.66259765625,-300.441162109375
-69.19392395019531,18.969985961914062,-300.43316650390625
-69.26066589355469,20.249252319335938,-300.2965087890625
-69.20538330078125,21.52099609375,-300.7130432128906
-69.51321411132812,22.879440307617188,-300.5611267089844
-69.88262939453125,24.961166381835938,-300.2264099121094
-70.98213195800781,26.891342163085938,-300.20416259765625
-72.22726440429688,29.568222045898438,-300.5555725097656
-73.91703796386719,31.977920532226562,-300.12255859375
-75.40126037597656,34.61761474609375,-299.869873046875
-77.32603454589844,37.344635009765625,-299.36297607421875
-79.75355529785156,40.27507019042969,-297.98675537109375
-82.84359741210938,43.94355773925781,-296.66925048828125
-85.69854736328125,47.57679748535156,-294.43963623046875
-89.02470397949219,51.32209777832031,-291.85968017578125
-92.98281860351562,54.60111999511719,-287.9189453125
-96.48442077636719,58.409271240234375,-283.3468017578125
-100.35289001464844,61.573974609375,-276.89898681640625
-104.742919921875,63.98231506347656,-270.65447998046875
-109.75801086425781,65.02961730957031,-262.26544189453125
-114.57737731933594,63.742401123046875,-254.38389587402344
-120.14479064941406,60.183624267578125,-246.5613250732422
-125.63580322265625,53.74369812011719,-241.1458740234375
-130.50875854492188,45.39460754394531,-236.9027099609375
-134.35606384277344,36.31895446777344,-234.73843383789062
-136.08465576171875,27.408294677734375,-233.70753479003906
-136.39695739746094,19.857208251953125,-232.96517944335938
-135.3889923095703,13.689102172851562,-233.2384796142578
-135.01145935058594,7.9662017822265625,-234.56301879882812
-133.47235107421875,2.785888671875,-236.2197723388672
-131.80490112304688,-2.160491943359375,-238.9656219482422
-130.10641479492188,-6.594085693359375,-241.33627319335938
-127.66156005859375,-11.439453125,-243.24066162109375
-124.56782531738281,-16.179168701171875,-245.60874938964844
-121.13909912109375,-19.807754516601562,-247.734130859375
-117.40376281738281,-22.932296752929688,-249.76480102539062
-113.76075744628906,-25.39019775390625,-251.34893798828125
-110.0703125,-27.963211059570312,-252.7798309326172
-106.45587158203125,-29.776077270507812,-254.1050262451172
-103.11477661132812,-31.160888671875,-255.22445678710938
-99.74772644042969,-32.09983825683594,-255.92416381835938
-96.92893981933594,-33.12382507324219,-257.02142333984375
-94.08021545410156,-33.4554443359375,-257.65045166015625
-91.57356262207031,-34.006500244140625,-257.7591552734375
-89.76841735839844,-34.03288269042969,-258.7833251953125
-88.24751281738281,-34.352325439453125,-259.06475830078125
-87.47544860839844,-33.97462463378906,-259.3117370605469
-86.91610717773438,-34.04075622558594,-258.98602294921875
-86.77372741699219,-34.02131652832031,-258.0104675292969
-86.77687072753906,-33.793060302734375,-257.09124755859375
-87.22567749023438,-33.61259460449219,-255.81588745117188
-87.95396423339844,-33.32765197753906,-253.29150390625
-88.9195556640625,-32.718597412109375,-251.7875213623047
-90.3653564453125,-31.9110107421875,-249.24685668945312
-91.87406921386719,-31.18084716796875,-245.76730346679688
-93.72587585449219,-29.808670043945312,-243.3528289794922
-95.69639587402344,-28.177093505859375,-240.61825561523438
-98.54786682128906,-25.521652221679688,-237.2154083251953
-101.17640686035156,-22.896240234375,-235.12582397460938
-104.14546203613281,-19.955154418945312,-232.36053466796875
-106.28216552734375,-16.173187255859375,-230.35684204101562
-108.52301025390625,-11.656478881835938,-227.41883850097656
-110.50285339355469,-6.4792022705078125,-225.06613159179688
-111.76806640625,-0.148040771484375,-223.2616729736328
-112.04487609863281,5.6983795166015625,-220.79660034179688
-112.67103576660156,11.5194091796875,-220.0673370361328
-113.37229919433594,17.5855712890625,-220.05838012695312
-113.50749206542969,22.795547485351562,-221.02210998535156
-114.01861572265625,27.060302734375,-221.92071533203125
-114.08653259277344,31.075271606445312,-223.46022033691406
-113.50953674316406,34.71870422363281,-224.07421875
-113.30563354492188,38.661285400390625,-225.35426330566406
-112.54743957519531,42.5164794921875,-226.83824157714844
-112.0125732421875,45.910003662109375,-228.50733947753906
-111.65040588378906,48.757781982421875,-230.3297576904297
-112.47056579589844,50.89515686035156,-232.28456115722656
-114.04142761230469,51.992095947265625,-234.41470336914062
-116.41696166992188,51.446258544921875,-235.41273498535156
-119.54200744628906,49.80235290527344,-237.2977752685547
-123.10762023925781,46.96220397949219,-237.9033660888672
-127.15335083007812,42.80198669433594,-239.7626190185547
-130.56661987304688,37.43705749511719,-241.18531799316406
-132.8563690185547,32.093017578125,-242.54417419433594
-134.73199462890625,25.68511962890625,-243.09567260742188
-134.74415588378906,19.287445068359375,-243.75302124023438
-134.26853942871094,13.097122192382812,-243.30056762695312
-133.00875854492188,7.270751953125,-242.7127227783203
-131.2496795654297,1.6747894287109375,-242.1763916015625
-128.7390594482422,-3.2701263427734375,-241.97256469726562
