X,Y,Z
-67.00895690917969,-42.990814208984375,-288.8017272949219
-66.90750122070312,-42.35115051269531,-289.81207275390625
-66.40223693847656,-41.937103271484375,-290.1933898925781
-65.90811157226562,-41.393280029296875,-291.50897216796875
-65.51498413085938,-40.45082092285156,-292.3827819824219
-65.28140258789062,-39.33692932128906,-292.4482421875
-64.78434753417969,-38.68882751464844,-293.2728271484375
-63.70953369140625,-38.34700012207031,-294.33404541015625
-63.437255859375,-37.35371398925781,-294.57281494140625
-63.11430358886719,-36.948333740234375,-295.21905517578125
-62.82637023925781,-36.42665100097656,-295.61785888671875
-62.95208740234375,-36.212554931640625,-295.9237060546875
-62.890869140625,-35.89459228515625,-296.48309326171875
-63.51527404785156,-35.6563720703125,-296.51531982421875
-63.37977600097656,-35.82997131347656,-297.36199951171875
-63.15669250488281,-35.35687255859375,-297.119140625
-63.266571044921875,-35.21284484863281,-297.3243103027344
-62.90802001953125,-35.048126220703125,-297.487548828125
-62.94366455078125,-34.77484130859375,-297.38873291015625
-62.51103210449219,-34.72856140136719,-297.75567626953125
-62.00160217285156,-34.04130554199219,-297.197509765625
-61.419464111328125,-33.54486083984375,-297.92791748046875
-61.10990905761719,-33.02732849121094,-297.24969482421875
-60.48497009277344,-32.62049865722656,-297.27593994140625
-59.41746520996094,-32.8797607421875,-296.4068298339844
-58.57017517089844,-32.30815124511719,-296.20538330078125
-57.92225646972656,-32.01348876953125,-295.3016357421875
-56.80546569824219,-32.06013488769531,-293.8265380859375
-55.29737854003906,-31.296340942382812,-292.6051330566406
-54.41056823730469,-31.454666137695312,-290.97088623046875
-53.554718017578125,-31.104461669921875,-289.1046142578125
-52.29154968261719,-30.616226196289062,-287.6944885253906
-51.77978515625,-30.13775634765625,-286.54193115234375
-50.76890563964844,-29.370864868164062,-285.4989013671875
-50.38261413574219,-29.027877807617188,-284.34271240234375
-49.855255126953125,-28.554336547851562,-283.66107177734375
-49.181121826171875,-27.754730224609375,-283.51031494140625
-48.77763366699219,-27.107681274414062,-283.02252197265625
-48.72979736328125,-26.538482666015625,-283.1466064453125
-48.55975341796875,-26.100616455078125,-283.17059326171875
-47.83943176269531,-25.11285400390625,-282.4533996582031
-47.43507385253906,-24.609176635742188,-282.4048767089844
-47.065887451171875,-24.355300903320312,-282.2316589355469
-47.006134033203125,-23.367996215820312,-282.40032958984375
-46.77320861816406,-22.995681762695312,-282.70355224609375
-46.367401123046875,-22.675994873046875,-281.579833984375
-46.15167236328125,-21.951934814453125,-281.8432312011719
-45.69471740722656,-21.499984741210938,-281.616455078125
-45.10667419433594,-20.585372924804688,-279.91595458984375
-44.85748291015625,-20.30328369140625,-279.1259765625
-44.672271728515625,-19.975387573242188,-276.85546875
-44.00468444824219,-19.706893920898438,-274.5767822265625
-44.00144958496094,-19.253829956054688,-271.0597839355469
