X,Y,Z
-77.72076416015625,-44.247467041015625,-326.13006591796875
-77.76277160644531,-44.465667724609375,-326.1607666015625
-78.10177612304688,-44.21159362792969,-326.58392333984375
-78.06425476074219,-43.73115539550781,-326.47119140625
-77.61915588378906,-43.31620788574219,-326.271484375
-77.60757446289062,-43.05888366699219,-326.211669921875
-77.140380859375,-42.48075866699219,-325.4092102050781
-76.37643432617188,-41.83587646484375,-325.68621826171875
-75.34262084960938,-40.87724304199219,-325.6937255859375
-74.52815246582031,-40.41358947753906,-325.0614013671875
-74.02433776855469,-39.215789794921875,-325.02398681640625
-73.08735656738281,-38.085662841796875,-324.18994140625
-72.13101196289062,-37.40000915527344,-323.616455078125
-72.20698547363281,-36.294952392578125,-323.1104736328125
-71.52098083496094,-34.98638916015625,-322.97357177734375
-71.75059509277344,-34.36247253417969,-322.72698974609375
-71.40966796875,-33.617950439453125,-322.03692626953125
-71.11679077148438,-33.22569274902344,-321.56561279296875
-71.39132690429688,-32.50617980957031,-321.9305419921875
-71.04957580566406,-32.38177490234375,-321.6314697265625
-71.23936462402344,-32.60026550292969,-321.2710876464844
-71.10293579101562,-32.264801025390625,-321.14605712890625
-71.23464965820312,-32.49067687988281,-321.83575439453125
-71.49388122558594,-32.62530517578125,-321.7437744140625
-71.84942626953125,-33.220947265625,-321.9698486328125
-72.68745422363281,-33.575775146484375,-322.3458251953125
-73.70037841796875,-34.01759338378906,-322.8160705566406
-74.48609924316406,-34.77606201171875,-323.4987487792969
-75.57804870605469,-35.210174560546875,-323.67657470703125
-75.82244873046875,-35.28260803222656,-324.2921142578125
-76.34877014160156,-35.613983154296875,-323.79254150390625
-76.96330261230469,-36.05015563964844,-323.7176513671875
-77.01203918457031,-36.09281921386719,-324.381591796875
-77.14118957519531,-36.65032958984375,-324.0082702636719
-77.10504150390625,-37.17652893066406,-324.35565185546875
-77.44100952148438,-37.15936279296875,-324.6488342285156
-77.973876953125,-37.50227355957031,-324.17388916015625
-78.70256042480469,-37.173370361328125,-324.69024658203125
-79.62641906738281,-37.370819091796875,-324.2739562988281
-80.51472473144531,-37.01918029785156,-324.0252685546875
-82.14743041992188,-36.434478759765625,-324.2494812011719
-83.46484375,-36.70208740234375,-323.69732666015625
-83.69288635253906,-36.34808349609375,-323.67462158203125
-83.77471923828125,-36.22502136230469,-323.5234375
-82.63154602050781,-36.053131103515625,-323.92236328125
-80.97178649902344,-36.337982177734375,-324.2507019042969
