X,Y,Z
-114.487060546875,-33.894439697265625,-270.18994140625
-114.38847351074219,-34.21217346191406,-269.95904541015625
-114.24671936035156,-33.94035339355469,-270.2674255371094
-114.00312805175781,-33.91426086425781,-270.50982666015625
-114.42657470703125,-33.78428649902344,-269.919677734375
-114.08615112304688,-33.61328125,-270.1008605957031
-113.618408203125,-33.4722900390625,-270.119384765625
-113.66831970214844,-32.757781982421875,-269.71331787109375
-113.41642761230469,-32.8365478515625,-270.4786376953125
-112.86373901367188,-32.32823181152344,-269.9721984863281
-113.15512084960938,-32.04484558105469,-269.776611328125
-112.68922424316406,-31.571578979492188,-270.01995849609375
-112.50941467285156,-30.984390258789062,-269.984619140625
-111.8970947265625,-29.872283935546875,-270.2674560546875
-111.34307861328125,-29.451080322265625,-270.4679870605469
-110.97462463378906,-28.244781494140625,-269.693115234375
-110.28945922851562,-26.799697875976562,-269.37646484375
-109.8221435546875,-25.713668823242188,-269.658203125
-109.49159240722656,-24.33038330078125,-268.97027587890625
-108.9713134765625,-22.50311279296875,-268.1016845703125
-109.11480712890625,-21.527862548828125,-267.8836364746094
-108.64205932617188,-19.859481811523438,-267.49468994140625
-108.62812805175781,-19.27154541015625,-266.87060546875
-108.29872131347656,-18.155715942382812,-266.34832763671875
-108.7781982421875,-17.448699951171875,-266.0039367675781
-108.88929748535156,-17.3681640625,-265.95697021484375
-108.79243469238281,-17.28424072265625,-265.7303466796875
-109.38592529296875,-17.307113647460938,-265.9056701660156
-109.80905151367188,-17.19219970703125,-265.83172607421875
-110.213134765625,-17.565292358398438,-265.85308837890625
-110.68818664550781,-18.065582275390625,-265.7598571777344
-110.84378051757812,-18.122726440429688,-265.9686584472656
-111.29714965820312,-18.11614990234375,-266.232421875
-111.2164306640625,-18.72314453125,-266.6591796875
-111.46043395996094,-19.18682861328125,-266.27740478515625
-111.91215515136719,-19.380325317382812,-266.47796630859375
-111.89973449707031,-19.717422485351562,-266.40679931640625
-112.74201965332031,-19.774948120117188,-266.22174072265625
-113.16314697265625,-19.735382080078125,-266.18060302734375
-113.91470336914062,-19.601974487304688,-266.42333984375
