X,Y,Z
-72.58590698242188,-77.32072448730469,-258.262939453125
-72.90484619140625,-77.65992736816406,-258.6133728027344
-73.24954223632812,-77.86210632324219,-258.3052062988281
-73.69400024414062,-78.08964538574219,-258.4725341796875
-73.76882934570312,-77.9085693359375,-258.5085144042969
-73.99920654296875,-78.00521850585938,-258.58343505859375
-74.34083557128906,-77.86787414550781,-258.90118408203125
-74.25015258789062,-78.482666015625,-258.872314453125
-74.10043334960938,-78.43879699707031,-258.65350341796875
-73.98286437988281,-78.35737609863281,-258.4963073730469
-73.87899780273438,-78.03826904296875,-258.86383056640625
-74.23045349121094,-78.30943298339844,-258.84844970703125
-73.82191467285156,-77.86442565917969,-259.0570983886719
-73.5452880859375,-77.50321960449219,-259.6014404296875
-73.60270690917969,-77.60153198242188,-259.85260009765625
-73.51953125,-76.82054138183594,-260.9910888671875
-72.82810974121094,-76.10664367675781,-260.86151123046875
-72.30473327636719,-75.5035400390625,-262.29718017578125
-72.04457092285156,-74.43086242675781,-263.2929382324219
-71.5504150390625,-73.77348327636719,-263.32489013671875
-71.16145324707031,-73.19735717773438,-263.32489013671875
-71.08087158203125,-72.60800170898438,-263.8682556152344
-70.56983947753906,-72.3365478515625,-264.172119140625
-70.20626831054688,-71.92710876464844,-263.6085205078125
-69.7069091796875,-71.65116882324219,-263.8764343261719
-69.9061279296875,-71.79661560058594,-264.02606201171875
-69.940673828125,-71.80387878417969,-263.7063293457031
-69.74745178222656,-71.86538696289062,-263.5736083984375
-69.71336364746094,-72.22489929199219,-262.9798583984375
-69.24909973144531,-72.52497863769531,-262.3739929199219
-68.99015808105469,-72.06065368652344,-262.32855224609375
-68.00700378417969,-72.15885925292969,-261.5155029296875
-67.29267883300781,-71.96517944335938,-261.08636474609375
-66.8408203125,-71.50755310058594,-260.98309326171875
-66.07235717773438,-71.51959228515625,-260.331787109375
-65.97842407226562,-71.30796813964844,-260.3258056640625
-65.46879577636719,-71.17874145507812,-260.4102783203125
-65.41807556152344,-70.72306823730469,-260.16448974609375
-65.32086181640625,-70.85150146484375,-260.262451171875
-64.89247131347656,-70.43986511230469,-260.5984802246094
