X,Y,Z
-49.25791931152344,-76.28900146484375,-222.8225860595703
-49.709136962890625,-76.64964294433594,-223.0751495361328
-49.927734375,-76.67080688476562,-223.4188995361328
-50.84950256347656,-76.65834045410156,-223.4472198486328
-51.59037780761719,-76.86299133300781,-223.9307098388672
-52.71986389160156,-76.66752624511719,-224.9962615966797
-53.06388854980469,-76.33296203613281,-226.50584411621094
-54.09822082519531,-75.91206359863281,-227.68397521972656
-54.68199157714844,-75.63957214355469,-228.96217346191406
-55.34989929199219,-75.83268737792969,-230.4747314453125
-55.500030517578125,-75.26258850097656,-231.1988067626953
-56.02357482910156,-75.18132019042969,-231.81459045410156
-55.92460632324219,-75.04756164550781,-231.97601318359375
-55.85191345214844,-75.16648864746094,-232.0863494873047
-56.48725891113281,-75.25910949707031,-231.94471740722656
-56.98829650878906,-75.2808837890625,-232.30007934570312
-57.60914611816406,-75.29428100585938,-231.7794189453125
-58.254302978515625,-75.34213256835938,-231.57102966308594
-58.05104064941406,-75.43095397949219,-231.59320068359375
-57.85284423828125,-75.66539001464844,-231.03369140625
-56.978515625,-75.96908569335938,-230.25833129882812
-56.57688903808594,-75.81455993652344,-229.3817138671875
-55.913604736328125,-75.94169616699219,-229.01907348632812
-55.91828918457031,-76.32215881347656,-228.44342041015625
-56.14186096191406,-76.34150695800781,-227.7047882080078
-56.54597473144531,-76.7335205078125,-227.88453674316406
-58.105865478515625,-76.68067932128906,-228.2796630859375
-59.2513427734375,-76.39848327636719,-228.00877380371094
-59.73271179199219,-76.25526428222656,-228.6542510986328
-60.27830505371094,-76.05172729492188,-228.85760498046875
-60.757965087890625,-75.90000915527344,-229.91001892089844
-60.052490234375,-75.51800537109375,-230.49876403808594
-59.3768310546875,-74.90022277832031,-231.93565368652344
-58.79106140136719,-74.09626770019531,-234.36180114746094
-57.604278564453125,-72.52618408203125,-237.6240234375
-57.03089904785156,-70.244140625,-241.44654846191406
-56.0572509765625,-67.11004638671875,-245.28488159179688
-55.24223327636719,-64.00547790527344,-249.6195068359375
-54.85661315917969,-60.13299560546875,-253.4258270263672
-54.60810852050781,-56.15776062011719,-256.9717102050781
-54.81684875488281,-51.41572570800781,-260.02520751953125
-55.46345520019531,-47.30760192871094,-263.22991943359375
-56.3450927734375,-42.48381042480469,-265.2309875488281
-57.46202087402344,-37.85308837890625,-267.32568359375
-58.96772766113281,-32.47050476074219,-269.0235595703125
-60.3126220703125,-26.881362915039062,-269.929931640625
-61.78755187988281,-20.33160400390625,-270.36138916015625
-63.69139099121094,-14.331771850585938,-270.3028564453125
-65.62185668945312,-7.7852630615234375,-269.3807067871094
-67.28828430175781,-1.2144775390625,-267.44476318359375
-69.46891784667969,5.551849365234375,-264.63616943359375
-70.92646789550781,12.439437866210938,-261.25469970703125
-73.26913452148438,18.22723388671875,-257.0679931640625
-76.46047973632812,22.856353759765625,-252.87940979003906
-80.82609558105469,25.694732666015625,-248.70989990234375
-86.02200317382812,26.325775146484375,-245.31222534179688
-90.16241455078125,25.185791015625,-244.3557891845703
-93.13333129882812,23.339385986328125,-245.00332641601562
-94.46162414550781,20.5489501953125,-247.74551391601562
-93.41688537597656,17.996490478515625,-251.33433532714844
-90.84202575683594,15.533889770507812,-254.54327392578125
-87.48587036132812,13.996124267578125,-258.1482849121094
