"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.079416661E-3,2.859336790E-3,-6.452016532E-5,8.733929135E-4
1.905441665E-2,1.083288924E-3,-9.199753404E-4,-2.935761819E-3
2.902941665E-2,-1.736998674E-3,-2.215603366E-3,-2.608827781E-4
3.900441664E-2,-2.092552604E-3,2.839876339E-3,1.385270152E-4
4.897941666E-2,-2.714830334E-4,9.639449418E-4,-1.015154412E-3
5.895441666E-2,1.418680418E-3,9.820777923E-4,1.325628953E-3
6.892841664E-2,-6.909773219E-6,-3.782659769E-4,-1.923728269E-4
7.890341667E-2,-7.452374557E-4,1.179426908E-3,-2.158906311E-3
8.887841666E-2,2.923301072E-4,3.993865103E-4,6.350153126E-5
9.885341665E-2,-3.090634244E-3,-2.423990518E-4,-1.454413868E-3
1.088284166E-1,-4.068813752E-3,-9.774323553E-4,-1.190760639E-3
1.188024167E-1,-1.834737603E-3,5.858670920E-4,1.794248819E-4
1.287774167E-1,1.176498597E-3,-4.535634071E-4,1.174914418E-3
1.387524166E-1,-1.825554413E-3,5.978699774E-4,-4.068185110E-3
1.487274166E-1,-1.247382141E-3,-9.496919811E-4,-1.079851761E-3
1.587024167E-1,2.078328980E-4,-9.027924389E-4,-1.426337287E-3
1.686764167E-1,-1.048380160E-3,-1.851677895E-3,1.483698841E-3
1.786514166E-1,5.668696249E-4,-1.734463498E-3,-2.571024932E-3
1.886264167E-1,2.966377651E-3,5.955379456E-4,1.411199803E-3
1.986014167E-1,1.623794902E-3,-1.018289477E-3,-2.005788265E-3
2.085764167E-1,1.580651850E-3,-9.815376252E-4,1.661917195E-3
2.185504166E-1,1.560310135E-3,1.340540126E-3,-5.346764810E-4
2.285254167E-1,3.783992142E-4,1.654794440E-3,1.665360876E-3
2.385004167E-1,1.179365208E-3,-4.042964429E-4,1.633130596E-3
2.484754167E-1,1.182561042E-3,1.794144511E-3,3.564113285E-4
2.584504166E-1,9.443529416E-5,-1.794951037E-3,-5.275928415E-4
2.684244167E-1,-1.617444679E-3,-1.182258129E-4,7.747719064E-5
2.783994167E-1,-7.346707862E-4,2.002902329E-5,1.986081013E-3
2.883744166E-1,-1.965850126E-3,2.658689395E-3,8.800702635E-4
2.983494166E-1,4.310057848E-4,-1.815762371E-4,-1.712613506E-3
3.083244167E-1,1.804664265E-3,-3.858413547E-4,9.630646091E-4
3.182984166E-1,7.392321131E-4,1.467578113E-5,-2.028962830E-3
3.282734166E-1,-4.674461670E-4,-3.621615469E-4,-2.980776830E-3
3.382484167E-1,-6.836657994E-4,1.822395250E-3,2.116256393E-3
3.482234167E-1,3.064975026E-4,-1.620804891E-3,-1.436666818E-3
3.581984167E-1,3.673447063E-3,2.098841593E-3,-6.532634143E-4
3.681724167E-1,4.731264198E-4,-1.773128286E-3,-1.085228054E-3
3.781474167E-1,9.604421793E-4,7.279459387E-4,-1.256817719E-3
3.881224167E-1,1.172163524E-3,-7.210802287E-4,4.452085122E-4
3.980974166E-1,5.101167597E-3,-1.286122948E-3,-1.204206375E-3
4.080724166E-1,6.719836965E-3,-3.928970546E-4,-3.043240868E-4
4.180464167E-1,5.381643306E-3,-1.221578568E-3,-9.446979966E-4
4.280214167E-1,2.300365828E-3,4.913657904E-4,1.895420719E-4
4.379964166E-1,2.039161045E-3,-2.422844991E-3,-7.139944937E-4
4.479714167E-1,1.141143148E-3,1.134073362E-3,1.437985338E-5
4.579464167E-1,2.811286598E-3,-1.049140468E-3,1.116239931E-3
4.679204166E-1,-7.307174383E-4,8.691344410E-4,-1.467026304E-3
4.778954167E-1,-1.913693617E-3,7.064417005E-4,4.998906516E-4
4.878704167E-1,-1.823146129E-3,-6.943810731E-4,-1.573774498E-4
4.978454167E-1,-3.257524688E-3,1.365084201E-3,-7.020588964E-5
5.078204166E-1,-2.310771029E-3,8.023586124E-4,8.878484368E-5
5.177944167E-1,7.658078102E-4,2.993419766E-4,-3.455307102E-3
5.277694167E-1,-2.053680830E-3,-1.547280699E-4,-1.220116159E-3
5.377444167E-1,-2.609525342E-3,-9.013935924E-4,2.045531292E-4
5.477194166E-1,6.216881447E-4,-2.377349883E-4,-1.360053895E-3
5.576944167E-1,2.032204997E-3,-1.646932214E-4,1.889604609E-3
5.676684167E-1,3.389669582E-4,2.209320664E-4,9.987773374E-4
5.776434166E-1,4.889531061E-3,-9.963195771E-4,1.591982436E-3
