"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.551666931E-4,2.963836670E-2,3.832031250E-2,-9.905501404E0
1.073016669E-2,1.930984497E-2,3.652404785E-2,-9.889185333E0
2.070516668E-2,2.065704346E-2,3.697311401E-2,-9.881700897E0
3.068016667E-2,2.245330811E-3,3.727249146E-2,-9.898166656E0
4.065516667E-2,1.796264648E-3,3.996688843E-2,-9.890083466E0
5.063016669E-2,1.392105103E-2,3.218307495E-2,-9.896071014E0
6.060516668E-2,-1.047821045E-3,3.697311401E-2,-9.890831909E0
7.058016668E-2,-2.095642090E-3,3.173400879E-2,-9.846374359E0
8.055516667E-2,1.227447510E-2,8.681945801E-3,-9.886940002E0
9.053016669E-2,1.960922241E-2,5.388793945E-3,-9.870025177E0
1.005051667E-1,1.002914429E-2,3.742218018E-2,-9.904752960E0
1.104801667E-1,2.529739380E-2,4.340972900E-2,-9.939780121E0
1.204551667E-1,4.385879517E-2,5.777984619E-2,-9.848919067E0
1.304301667E-1,3.173400879E-2,7.903564453E-2,-9.857151947E0
1.404051667E-1,2.829116821E-2,9.654922485E-2,-9.924362183E0
1.503791667E-1,3.338058472E-2,9.101074219E-2,-9.933642883E0
1.603541667E-1,3.083587646E-2,7.559280396E-2,-9.918823700E0
1.703291667E-1,1.616638184E-2,6.691085815E-2,-9.921518097E0
1.803041667E-1,1.437011719E-2,5.134323120E-2,-9.903555450E0
1.902791667E-1,1.706451416E-2,6.945556641E-2,-9.864636383E0
2.002541667E-1,8.831634521E-3,5.837860107E-3,-9.925709381E0
2.102291667E-1,7.768844604E-2,-1.119671631E-1,-9.877210236E0
2.202041667E-1,3.996688843E-2,-1.859133911E-1,-9.805509338E0
2.301791667E-1,5.957611084E-2,-1.655557251E-1,-9.841883698E0
2.401541667E-1,-1.466949463E-2,-4.790039062E-3,-9.871072998E0
2.501291667E-1,-8.547225952E-2,2.158511353E-1,-1.003737717E1
2.601041667E-1,1.466949463E-2,3.823049927E-1,-9.822124786E0
2.700791667E-1,-9.131011963E-3,2.888992310E-1,-9.553134155E0
2.800541667E-1,-7.589218140E-2,2.128573608E-1,-1.028346542E1
2.900291667E-1,-2.844085693E-2,9.145980835E-2,-1.007345215E1
3.000041667E-1,-1.107696533E-2,3.727249146E-2,-9.434880066E0
3.099781667E-1,-2.888992310E-2,-8.158035278E-2,-1.003932312E1
3.199531667E-1,-3.906875610E-2,-1.221459961E-1,-1.011686188E1
3.299281667E-1,3.367996216E-2,-1.185534668E-1,-9.479187927E0
3.399031667E-1,1.571731567E-2,-1.395098877E-1,-9.884994049E0
