"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.637595834E-2,3.841757728E-3,3.011023700E-2,-2.623470247E-2
2.635095833E-2,3.150625974E-3,3.431087673E-2,-3.265552998E-2
3.632595832E-2,2.644051532E-3,3.352968872E-2,-2.791343808E-2
4.630095838E-2,4.055866320E-4,2.840986669E-2,-3.738651216E-2
5.627695832E-2,3.682580986E-3,3.117852330E-2,-3.689768493E-2
6.625195837E-2,-6.546757347E-3,3.054000735E-2,-1.674584091E-2
7.622695836E-2,3.922960935E-3,3.054760873E-2,-2.062722266E-2
8.620195836E-2,7.179416944E-3,3.423778653E-2,-3.177844763E-2
9.617795836E-2,2.058740677E-3,2.503543854E-2,-3.277773678E-2
1.061529584E-1,1.314892620E-3,3.158899784E-2,-3.207665563E-2
1.161279583E-1,-1.110319558E-2,3.046340883E-2,-2.164463818E-2
1.261029583E-1,-3.835727787E-4,3.225850403E-2,-4.230168164E-2
1.360789583E-1,3.093620189E-3,3.427053094E-2,-2.056641161E-2
1.460539583E-1,1.159288161E-3,4.081414998E-2,-1.838306129E-2
1.560289583E-1,-6.467449917E-3,3.276311874E-2,-2.567161560E-2
1.660039583E-1,5.079905642E-3,2.908638954E-2,-3.845070541E-2
1.759799583E-1,6.342607294E-3,3.264442027E-2,-3.655445337E-2
1.859549584E-1,1.177053647E-3,3.266079247E-2,-3.518386602E-2
1.959299584E-1,-4.545616312E-3,3.877931893E-2,-2.922555327E-2
2.059049584E-1,1.711927699E-3,3.168138385E-2,-2.925011158E-2
2.158809584E-1,3.530101134E-3,3.005995095E-2,-2.427354634E-2
2.258559584E-1,4.018631433E-3,3.002720654E-2,-3.614514828E-2
2.358309584E-1,3.382623391E-3,2.759885788E-2,-3.843667209E-2
2.458059583E-1,4.760442101E-3,3.383783698E-2,-3.341508329E-2
2.557819583E-1,7.970330520E-3,3.254560232E-2,-3.707777917E-2
2.657569583E-1,7.522305893E-4,2.914661586E-2,-3.431964755E-2
2.757319583E-1,7.993513816E-3,3.435297668E-2,-3.421849072E-2
2.857069583E-1,1.839241683E-3,3.338818610E-2,-2.832625151E-2
