"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.668750018E-4,-2.409988403E-2,2.082170105E-1,-9.784552917E0
9.489124997E-3,-1.511856079E-2,2.004331970E-1,-9.791139221E0
1.954512500E-2,-1.272354126E-2,1.932481384E-1,-9.779912567E0
2.960012500E-2,-5.089416504E-3,1.823208618E-1,-9.779762878E0
3.965612500E-2,-1.481918335E-2,1.718426514E-1,-9.792785797E0
4.971212500E-2,-5.239105225E-3,1.676513672E-1,-9.785451050E0
5.976812500E-2,-6.436614990E-3,1.692979431E-1,-9.779463501E0
6.982412500E-2,-3.772155762E-2,1.866618347E-1,-9.815239105E0
7.988012500E-2,-1.395098877E-1,2.438429260E-1,-9.753118286E0
8.993612500E-2,-1.107696533E-1,2.347119141E-1,-9.785001984E0
9.999212500E-2,-6.092330933E-2,2.149530029E-1,-9.812544708E0
1.100481250E-1,3.742218018E-3,1.721420288E-1,-9.793534241E0
1.201041250E-1,5.014572144E-2,1.366658020E-1,-9.751172333E0
1.301601250E-1,6.047424316E-2,1.124162292E-1,-9.811945953E0
1.402161250E-1,4.385879517E-2,1.143621826E-1,-9.797126770E0
1.502721250E-1,7.484436035E-3,1.178050232E-1,-9.783205719E0
1.603281250E-1,-4.191284180E-2,1.411564636E-1,-9.809550934E0
1.703841250E-1,-1.191522217E-1,1.899549866E-1,-9.814640350E0
1.804401250E-1,-2.972817993E-1,3.293151855E-1,-9.792636108E0
1.904951250E-1,-3.382965088E-1,3.968247986E-1,-9.713600464E0
2.005511250E-1,-1.540296936E-1,3.544628906E-1,-9.816586304E0
2.106071250E-1,4.355941772E-2,2.516267395E-1,-9.842931519E0
2.206631250E-1,1.582209778E-1,1.576222229E-1,-9.751621399E0
2.307191250E-1,1.847158813E-1,1.026864624E-1,-9.756710815E0
2.407751250E-1,1.143621826E-1,8.532257080E-2,-9.841434631E0
2.508311250E-1,-3.113525391E-2,9.789642334E-2,-9.729168091E0
2.608871250E-1,-1.422042847E-1,1.239422607E-1,-9.770332489E0
2.709431250E-1,-1.929487610E-1,1.534309387E-1,-9.832453308E0
2.809991250E-1,-1.564247131E-1,1.939965820E-1,-9.802665253E0
2.910551250E-1,-6.571334839E-2,2.050735474E-1,-9.767039337E0
3.011111250E-1,4.550537109E-2,2.290237427E-1,-9.822424164E0
3.111671250E-1,1.451980591E-1,2.309696960E-1,-9.764644318E0
3.212231250E-1,1.664538574E-1,2.318678284E-1,-9.764794006E0
3.312791250E-1,8.622070312E-2,2.386038208E-1,-9.787696381E0
3.413341250E-1,-1.242416382E-2,2.371069336E-1,-9.782756653E0
3.513901250E-1,-1.681004333E-1,2.157014465E-1,-9.772727509E0
3.614461250E-1,-2.490820312E-1,1.892065430E-1,-9.805359650E0
3.715021250E-1,-2.517764282E-1,1.612147522E-1,-9.783205719E0
3.815581250E-1,-1.811233521E-1,1.136137390E-1,-9.789792023E0
3.916141250E-1,-2.903961182E-2,8.442443848E-2,-9.778565369E0
4.016701250E-1,1.010398865E-1,8.068222046E-2,-9.797575836E0
4.117261250E-1,1.854643250E-1,1.025367737E-1,-9.751471710E0
4.217821250E-1,2.095642090E-1,1.637594604E-1,-9.774374084E0
4.318381250E-1,1.335223389E-1,2.354603577E-1,-9.794881439E0
4.418941250E-1,-3.293151855E-3,2.902464294E-1,-9.795180817E0
4.519501250E-1,-1.392105103E-1,3.254232788E-1,-9.747130737E0
4.620061250E-1,-2.246827698E-1,3.243754578E-1,-9.823621674E0
4.720621250E-1,-2.469863892E-1,2.770738220E-1,-9.791588287E0
4.821171250E-1,-1.767823792E-1,1.880090332E-1,-9.780661011E0
4.921731250E-1,-7.005432129E-2,1.176553345E-1,-9.763147430E0
5.022291250E-1,5.433700562E-2,6.286926270E-2,-9.785451050E0
5.122851250E-1,1.311273193E-1,2.948867798E-2,-9.761650543E0
5.223411250E-1,1.197509766E-1,7.095245361E-2,-9.880503387E0
5.323971250E-1,1.122665405E-2,1.401086426E-1,-9.747280426E0
5.424531250E-1,-1.206491089E-1,2.297721863E-1,-9.742640076E0
5.525091250E-1,-1.669029236E-1,3.137475586E-1,-9.828561401E0
5.625651250E-1,-1.526824951E-1,3.365002441E-1,-9.820478210E0
5.726211250E-1,-1.044827271E-1,3.085084534E-1,-9.757309570E0
5.826771250E-1,-8.831634521E-3,2.594105530E-1,-9.814939728E0
5.927331250E-1,9.565109253E-2,1.895059204E-1,-9.777218170E0
6.027891250E-1,1.375639343E-1,1.131646729E-1,-9.744885406E0
6.128451250E-1,1.221459961E-1,7.244934082E-2,-9.779164124E0
6.229011250E-1,5.044509888E-2,7.229965210E-2,-9.797276459E0
6.329561250E-1,-7.274871826E-2,9.400451660E-2,-9.766889648E0
6.430121250E-1,-1.794767761E-1,1.275347900E-1,-9.803563385E0
6.530681250E-1,-2.104623413E-1,1.755848694E-1,-9.804910583E0
6.631241250E-1,-1.869612122E-1,2.106120300E-1,-9.777966614E0
6.731801250E-1,-1.020877075E-1,2.487826538E-1,-9.799671478E0
6.832361250E-1,2.978805542E-2,2.796185303E-1,-9.811646576E0
6.932921250E-1,1.207987976E-1,2.731819153E-1,-9.781409454E0
7.033481250E-1,1.401086426E-1,2.824626160E-1,-9.777667236E0
7.134041250E-1,9.849517822E-2,2.865042114E-1,-9.800719299E0
7.234601250E-1,3.742218018E-3,2.621049500E-1,-9.791288910E0
7.335161250E-1,-1.040336609E-1,2.228865051E-1,-9.770033112E0
7.435721250E-1,-1.663041687E-1,1.649569702E-1,-9.797126770E0
7.536281250E-1,-1.709445190E-1,9.714797974E-2,-9.800270233E0
7.636841250E-1,-1.188528442E-1,4.580474854E-2,-9.788295135E0
7.737391250E-1,-1.077758789E-2,1.706451416E-2,-9.794432373E0
7.837951250E-1,6.721023560E-2,3.876937866E-2,-9.794731750E0
7.938511250E-1,1.043330383E-1,1.014889526E-1,-9.765991516E0
8.039071250E-1,9.340576172E-2,1.938468933E-1,-9.773475952E0
8.139631250E-1,1.781295776E-2,2.814147949E-1,-9.793983307E0
