"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.561916666E-3,3.979334235E-1,-7.695624232E-2,9.979448281E-3
1.156091667E-2,2.357136309E-1,-5.167618766E-2,4.158291593E-2
2.155891666E-2,8.272369951E-2,2.051597089E-2,5.387268960E-2
3.155791666E-2,-2.678734437E-2,6.757722050E-2,6.862846762E-2
4.155691667E-2,-1.002357751E-1,1.217851788E-1,1.038702726E-1
5.155591667E-2,-1.504579484E-1,1.587005854E-1,1.615277082E-1
6.155491667E-2,-1.636141688E-1,1.761398166E-1,1.782893538E-1
7.155291666E-2,-1.468679458E-1,1.811529547E-1,1.430488080E-1
8.155191666E-2,-1.077637076E-1,1.759907603E-1,9.370810539E-2
9.155091667E-2,-4.712885991E-2,1.725568771E-1,3.600246459E-2
1.015499167E-1,1.341378316E-2,1.310878843E-1,-2.300818916E-3
1.115489167E-1,6.603039056E-2,1.013970971E-1,-5.242013838E-3
1.215479167E-1,9.331408888E-2,9.367147833E-2,7.528871763E-3
1.315459167E-1,8.323881775E-2,5.150458217E-2,3.316951916E-2
1.415449167E-1,5.405104160E-2,-2.801121678E-3,8.236040175E-2
1.515439167E-1,6.111210212E-3,-8.436636999E-3,1.350531727E-1
1.615429167E-1,-8.177110553E-2,-4.664178565E-2,1.978138238E-1
1.715419167E-1,-1.833451390E-1,-8.559957147E-2,2.448313981E-1
1.815409167E-1,-2.642834485E-1,-5.713559687E-2,2.268909365E-1
1.915389167E-1,-3.112831712E-1,3.707212955E-2,1.656568795E-1
2.015379167E-1,-3.436222672E-1,1.054440886E-1,1.301649660E-1
2.115369167E-1,-3.613448143E-1,1.465941817E-1,1.234807000E-1
2.215359167E-1,-3.502041996E-1,1.948588341E-1,1.220667884E-1
2.315349167E-1,-3.453689814E-1,1.891008168E-1,1.202137619E-1
2.415339167E-1,-3.474809825E-1,4.505382478E-2,1.452476978E-1
2.515319167E-1,-2.888080776E-1,-8.216138184E-2,1.848070920E-1
2.615309167E-1,-1.761759818E-1,-1.090969890E-1,2.201450914E-1
2.715299167E-1,-6.057695299E-2,-9.863182902E-2,2.458440661E-1
2.815289167E-1,4.727180675E-2,-9.809648618E-4,2.514851391E-1
2.915279167E-1,1.240336969E-1,1.176269054E-1,2.319170088E-1
3.015269167E-1,1.767895818E-1,2.189489454E-1,1.805290580E-1
3.115249167E-1,2.321055681E-1,3.856662810E-1,8.401050419E-2
3.215239167E-1,3.021965623E-1,5.400577784E-1,-7.002355158E-2
3.315229167E-1,3.735139072E-1,6.810505986E-1,-2.660356760E-1
3.415219167E-1,4.131537080E-1,6.495555639E-1,-4.783635139E-1
3.515209167E-1,4.039349258E-1,3.841545284E-1,-5.656635165E-1
3.615199167E-1,2.952931225E-1,2.260889113E-1,-4.921793044E-1
3.715179167E-1,9.581118077E-2,1.049814001E-1,-3.234251738E-1
3.815169167E-1,-1.302519441E-1,-1.420618445E-1,-8.483575284E-2
3.915159167E-1,-3.228903413E-1,-3.293262720E-1,1.961623579E-1
4.015149167E-1,-4.554696679E-1,-3.599543273E-1,4.469421804E-1
4.115139167E-1,-5.082942247E-1,-2.669506371E-1,6.042732000E-1
4.215129167E-1,-4.949645102E-1,-1.209360659E-1,6.227438450E-1
4.315109167E-1,-4.347594976E-1,1.502766390E-3,5.162355304E-1
4.415099167E-1,-3.258745074E-1,2.226603329E-1,3.054756820E-1
4.515089167E-1,-2.052255869E-1,4.143874347E-1,8.900487795E-3
4.615079167E-1,-1.173155159E-1,3.823005259E-1,-2.598117888E-1
4.715069167E-1,-6.298569590E-2,2.554198205E-1,-4.016925097E-1
4.815059167E-1,-3.882214054E-2,7.316818833E-2,-4.020029008E-1
4.915039167E-1,-4.440728109E-3,-2.600419894E-2,-2.818035185E-1
5.015029167E-1,2.972253039E-2,-1.281514019E-2,-8.169005811E-2
5.115019167E-1,6.826405972E-2,-9.046678990E-2,1.236737520E-1
5.215009167E-1,6.873922050E-2,-3.141048364E-4,2.715255916E-1
5.314999167E-1,2.076902986E-2,1.198762208E-1,2.876065671E-1
