"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.169291584E-3,1.107479858E1,-3.700709534E1,1.096194458E1
1.416829159E-2,1.097970581E1,-3.692677307E1,1.094239807E1
2.416729159E-2,1.102621460E1,-3.698393250E1,1.082780457E1
3.416629159E-2,1.098474121E1,-3.720439148E1,1.042526245E1
4.416429158E-2,1.102453613E1,-3.729907990E1,1.000096130E1
5.416329158E-2,1.094338989E1,-3.742470551E1,1.003822327E1
6.416229159E-2,1.087423706E1,-3.756305695E1,9.724731445E0
7.416029158E-2,1.075302124E1,-3.769203186E1,9.730331421E0
8.415929158E-2,1.062890625E1,-3.770230103E1,9.575698853E0
9.415829158E-2,1.039184570E1,-3.760017395E1,9.534759521E0
1.041562916E-1,1.027523804E1,-3.760883331E1,9.596054077E0
1.141552916E-1,1.010406494E1,-3.779813385E1,9.806381226E0
1.241542916E-1,1.001684570E1,-3.769506073E1,9.802627563E0
1.341522916E-1,9.828094482E0,-3.762997437E1,9.977676392E0
1.441512916E-1,9.801055908E0,-3.785166931E1,1.012442017E1
1.541502916E-1,9.777984619E0,-3.795802307E1,1.042549133E1
1.641492916E-1,9.526489258E0,-3.785787201E1,1.033139038E1
1.741472916E-1,9.639587402E0,-3.795319366E1,1.059483337E1
1.841462916E-1,9.440490723E0,-3.795456696E1,1.045704651E1
1.941452916E-1,9.546783447E0,-3.821621704E1,1.054711914E1
2.041432916E-1,9.577575684E0,-3.831692505E1,1.047846985E1
2.141422916E-1,9.626159668E0,-3.833927155E1,1.027917480E1
2.241412916E-1,9.595031738E0,-3.857059479E1,1.045599365E1
2.341402916E-1,9.601959229E0,-3.865091705E1,1.055937195E1
2.441382916E-1,9.560821533E0,-3.880519867E1,1.060881042E1
2.541372916E-1,9.504608154E0,-3.900388336E1,1.055574036E1
2.641362916E-1,9.323150635E0,-3.903409576E1,1.042388916E1
2.741342916E-1,9.230377197E0,-3.922985840E1,1.042106628E1
2.841332916E-1,9.089508057E0,-3.931353760E1,1.061274719E1
2.941322916E-1,9.105834961E0,-3.934748840E1,1.038720703E1
3.041302916E-1,9.032287598E0,-3.941845703E1,1.068066406E1
3.141292916E-1,9.101043701E0,-3.945112610E1,1.118170166E1
3.241282916E-1,9.169952393E0,-3.920741272E1,1.153001404E1
3.341272916E-1,9.314910889E0,-3.902030945E1,1.201690674E1
3.441252917E-1,9.681854248E0,-3.892938995E1,1.262196350E1
3.541242916E-1,1.002899170E1,-3.843699646E1,1.274728394E1
3.641232916E-1,1.038427734E1,-3.823229218E1,1.350909424E1
3.741212917E-1,1.077331543E1,-3.781623840E1,1.427890015E1
3.841202917E-1,1.114999390E1,-3.761632538E1,1.490950012E1
3.941192916E-1,1.138140869E1,-3.748776245E1,1.552050781E1
4.041172917E-1,1.179550171E1,-3.702804565E1,1.626736450E1
4.141162917E-1,1.189248657E1,-3.672076416E1,1.692074585E1
4.241152917E-1,1.217590332E1,-3.626639557E1,1.746177673E1
4.341142917E-1,1.251599121E1,-3.589720154E1,1.839472961E1
4.441122917E-1,1.283432007E1,-3.556451416E1,1.919937134E1
4.541112917E-1,1.321023560E1,-3.501582336E1,2.002328491E1
4.641102917E-1,1.331420898E1,-3.448230743E1,2.063850403E1
4.741082917E-1,1.341442871E1,-3.392602539E1,2.133555603E1
4.841072917E-1,1.277835083E1,-3.333463287E1,2.285934448E1
4.941062917E-1,1.221166992E1,-3.297315216E1,2.341865540E1
5.041042917E-1,1.140405273E1,-3.264716339E1,2.415426636E1
5.141032917E-1,1.028259277E1,-3.237999725E1,2.468508911E1
5.241022917E-1,8.942138672E0,-3.222544098E1,2.544575500E1
5.341012917E-1,7.207794189E0,-3.226840973E1,2.617539978E1
5.440992917E-1,5.220733643E0,-3.233450317E1,2.648619080E1
5.540982917E-1,2.908630371E0,-3.256971741E1,2.647160339E1
5.640972917E-1,3.326416016E-1,-3.279618073E1,2.624314880E1
5.740952917E-1,-1.687591553E0,-3.298832703E1,2.622679138E1
5.840942917E-1,-2.435485840E0,-3.260179901E1,2.663697815E1
5.940932917E-1,-2.743621826E0,-3.201612091E1,2.697143555E1
6.040922917E-1,-2.716918945E0,-3.168869781E1,2.763034058E1
6.140902917E-1,-2.862335205E0,-3.152583313E1,2.782487488E1
6.240892917E-1,-3.124877930E0,-3.158254242E1,2.787341309E1
6.340882917E-1,-3.374847412E0,-3.155438232E1,2.774272156E1
6.440862917E-1,-3.621795654E0,-3.153197479E1,2.784388733E1
6.540852917E-1,-3.623748779E0,-3.144892120E1,2.825090027E1
6.640842917E-1,-3.646850586E0,-3.118747711E1,2.839274597E1
6.740832917E-1,-3.952087402E0,-3.106910706E1,2.854904175E1
6.840812917E-1,-4.030487061E0,-3.081249237E1,2.886260986E1
6.940802917E-1,-4.380493164E0,-3.059044647E1,2.920294189E1
7.040792917E-1,-4.855285645E0,-3.032368469E1,2.944262695E1
7.140772917E-1,-5.289733887E0,-3.010214233E1,2.969529724E1
7.240762917E-1,-5.802154541E0,-3.006141663E1,2.982315063E1
7.340752917E-1,-6.578002930E0,-2.970896149E1,2.999230957E1
7.440742917E-1,-7.003021240E0,-2.965159607E1,2.995655823E1
7.540722917E-1,-7.588562012E0,-2.960438538E1,2.991334534E1
7.640712917E-1,-8.030059814E0,-2.943802643E1,2.979690552E1
7.740702917E-1,-8.322753906E0,-2.957605743E1,2.955520630E1
7.840682917E-1,-8.673248291E0,-2.959532928E1,2.953405762E1
7.940672917E-1,-9.093902588E0,-2.951343536E1,2.940570068E1
8.040662917E-1,-9.116119385E0,-2.957903290E1,2.948072815E1
8.140652917E-1,-9.307769775E0,-2.956888580E1,2.918415833E1
8.240632917E-1,-9.449493408E0,-2.961574554E1,2.921853638E1
8.340622917E-1,-9.622222900E0,-2.954275513E1,2.922204590E1
8.440612917E-1,-9.460357666E0,-2.976194763E1,2.912396240E1
8.540592917E-1,-9.381164551E0,-2.993411255E1,2.889494324E1
8.640582917E-1,-9.246398926E0,-3.006511688E1,2.886822510E1
8.740572917E-1,-9.228759766E0,-3.029843903E1,2.867538452E1
8.840552917E-1,-9.106903076E0,-3.035935211E1,2.861100769E1
8.940542917E-1,-9.111206055E0,-3.055251312E1,2.857545471E1
9.040532917E-1,-8.772491455E0,-3.087087250E1,2.837130737E1
9.140522917E-1,-8.812500000E0,-3.086931610E1,2.803230286E1
9.240502917E-1,-8.638946533E0,-3.125691223E1,2.792979431E1
9.340492917E-1,-8.513854980E0,-3.121000671E1,2.771871948E1
9.440482917E-1,-8.246185303E0,-3.161900330E1,2.751353455E1
9.540462916E-1,-8.105926514E0,-3.152159119E1,2.757325745E1
9.640452917E-1,-7.891723633E0,-3.149658203E1,2.742024231E1
9.740442917E-1,-7.947753906E0,-3.129556274E1,2.741804504E1
9.840432917E-1,-8.051696777E0,-3.126614380E1,2.745906067E1
9.940412916E-1,-8.210479736E0,-3.133476257E1,2.703775024E1
1.004040292E0,-8.261047363E0,-3.139922333E1,2.689994812E1
1.014039292E0,-8.341003418E0,-3.119775391E1,2.671736145E1
1.024037292E0,-8.353332520E0,-3.151840973E1,2.661434937E1
1.034036292E0,-8.161529541E0,-3.160530853E1,2.643464661E1
1.044035292E0,-8.233825684E0,-3.191349792E1,2.614291382E1
1.054034292E0,-8.178436279E0,-3.206872559E1,2.605679321E1
1.064032292E0,-8.254730225E0,-3.216207886E1,2.575404358E1
1.074031292E0,-8.226104736E0,-3.241636658E1,2.563015747E1
1.084030292E0,-8.207519531E0,-3.241388702E1,2.550502014E1
1.094028292E0,-8.163360596E0,-3.267096710E1,2.531808472E1
1.104027292E0,-8.164947510E0,-3.297967529E1,2.492520142E1
1.114026292E0,-8.286376953E0,-3.328594208E1,2.470034790E1
1.124024292E0,-7.975341797E0,-3.357525635E1,2.426109314E1
1.134023292E0,-7.962738037E0,-3.369213104E1,2.416848755E1
1.144022292E0,-7.830688477E0,-3.393128204E1,2.402696228E1
1.154021292E0,-7.613769531E0,-3.416951752E1,2.363044739E1
1.164019292E0,-7.554443359E0,-3.433938599E1,2.356047058E1
1.174018292E0,-7.657745361E0,-3.427732849E1,2.328703308E1
1.184017292E0,-7.571289062E0,-3.434615326E1,2.327442932E1
1.194015292E0,-7.519958496E0,-3.440697479E1,2.322689819E1
1.204014292E0,-7.450103760E0,-3.436952972E1,2.316604614E1
1.214013292E0,-7.277709961E0,-3.440808105E1,2.318965149E1
1.224012292E0,-7.253784180E0,-3.432719421E1,2.280413818E1
1.234010292E0,-7.080932617E0,-3.460346985E1,2.273553467E1
1.244009292E0,-7.177612305E0,-3.461653900E1,2.280955505E1
