"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.702583337E-3,-3.951782227E-2,1.966909790E-1,-9.787696381E0
8.352416655E-3,-5.029541016E-2,2.005828857E-1,-9.788145447E0
1.840641667E-2,-4.864883423E-2,1.996847534E-1,-9.785900116E0
2.846141666E-2,-4.535568237E-2,1.904040527E-1,-9.791588287E0
3.851641667E-2,-4.580474854E-2,1.950444031E-1,-9.783205719E0
4.857141666E-2,-4.460723877E-2,2.059716797E-1,-9.784552917E0
5.862641666E-2,-5.688171387E-2,2.049238586E-1,-9.795629883E0
6.868141665E-2,-6.825805664E-2,1.974394226E-1,-9.782606964E0
7.873641666E-2,-4.206253052E-2,1.854643250E-1,-9.789941711E0
8.879041666E-2,-2.844085693E-2,1.504371643E-1,-9.782906342E0
9.884541667E-2,2.993774414E-4,1.320254517E-1,-9.794731750E0
1.089004167E-1,3.023712158E-2,1.149609375E-1,-9.783804474E0
1.189554167E-1,3.008743286E-2,1.591191101E-1,-9.781409454E0
1.290104167E-1,1.586700439E-2,2.023791504E-1,-9.789642334E0
1.390654167E-1,-2.050735474E-2,2.430944824E-1,-9.784702606E0
1.491204167E-1,-4.355941772E-2,2.706372070E-1,-9.780361633E0
1.591744167E-1,-6.197113037E-2,2.766247559E-1,-9.798324280E0
1.692294167E-1,-8.726852417E-2,2.577639771E-1,-9.784552917E0
1.792844167E-1,-1.481918335E-1,2.477348328E-1,-9.790091400E0
1.893394167E-1,-1.534309387E-1,2.207908630E-1,-9.775870972E0
1.993944167E-1,-1.161584473E-1,1.688488770E-1,-9.785301361E0
2.094494167E-1,-8.592132568E-2,1.469943237E-1,-9.783804474E0
2.195034167E-1,-4.984634399E-2,1.327738953E-1,-9.782008209E0
2.295584167E-1,-3.906875610E-2,1.570234680E-1,-9.783205719E0
2.396134167E-1,-2.948867798E-2,1.972897339E-1,-9.769134979E0
2.496684167E-1,-2.948867798E-2,2.348616028E-1,-9.781259766E0
2.597234167E-1,-1.901046753E-2,2.516267395E-1,-9.779164124E0
2.697784167E-1,-5.388793945E-3,2.469863892E-1,-9.773625641E0
2.798334167E-1,1.407073975E-2,2.308200073E-1,-9.787097626E0
2.898874167E-1,3.966751099E-2,1.892065430E-1,-9.792486420E0
2.999424167E-1,4.071533203E-2,1.562750244E-1,-9.772727509E0
3.099974167E-1,3.293151855E-2,1.339714050E-1,-9.778715057E0
3.200524167E-1,-6.137237549E-3,1.347198486E-1,-9.778116302E0
3.301074167E-1,-6.182144165E-2,1.633103943E-1,-9.793085175E0
3.401624167E-1,-1.143621826E-1,1.895059204E-1,-9.793983307E0
3.502164167E-1,-1.508862305E-1,2.224374390E-1,-9.785451050E0
3.602714167E-1,-1.754351807E-1,2.389031982E-1,-9.787846069E0
3.703264167E-1,-1.505868530E-1,2.312690735E-1,-9.787846069E0
3.803814167E-1,-1.094224548E-1,2.082170105E-1,-9.789792023E0
3.904364167E-1,-4.415817261E-2,1.842668152E-1,-9.787696381E0
4.004914167E-1,2.035766602E-2,1.642085266E-1,-9.769883423E0
4.105464167E-1,5.044509888E-2,1.607656860E-1,-9.783954163E0
4.206004167E-1,6.706054688E-2,1.686991882E-1,-9.782606964E0
4.306554167E-1,5.463638306E-2,1.857637024E-1,-9.773176575E0
4.407104167E-1,8.532257080E-3,2.176473999E-1,-9.779912567E0
4.507654167E-1,-3.367996216E-2,2.383044434E-1,-9.779313812E0
4.608204167E-1,-6.481521606E-2,2.454895020E-1,-9.782606964E0
4.708754167E-1,-7.679031372E-2,2.336640930E-1,-9.791887665E0
4.809294167E-1,-7.080276489E-2,2.044747925E-1,-9.779613190E0
4.909844167E-1,-6.990463257E-2,1.781295776E-1,-9.783355408E0
5.010394167E-1,-5.688171387E-2,1.609153748E-1,-9.785301361E0
5.110944167E-1,-5.328918457E-2,1.588197327E-1,-9.784552917E0
5.211494167E-1,-6.780899048E-2,1.701960754E-1,-9.792486420E0
5.312044167E-1,-7.649093628E-2,1.950444031E-1,-9.786947937E0
5.412594167E-1,-9.265731812E-2,2.188449097E-1,-9.780661011E0
5.513134167E-1,-8.666976929E-2,2.451901245E-1,-9.796228638E0
5.613684167E-1,-6.900650024E-2,2.294728088E-1,-9.782756653E0
5.714234167E-1,-3.622467041E-2,2.091151428E-1,-9.782906342E0
5.814784167E-1,-2.694396973E-3,1.779798889E-1,-9.783954163E0
5.915334167E-1,3.802093506E-2,1.616638184E-1,-9.779463501E0
