"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.747916672E-3,-3.456428528E0,3.579259491E1,3.818270874E1
1.580191668E-2,-3.170005798E0,3.566772461E1,3.836116028E1
2.585691668E-2,-3.213569641E0,3.551311493E1,3.844232178E1
3.591191667E-2,-3.100509644E0,3.566371155E1,3.852770996E1
4.596691669E-2,-3.092590332E0,3.568750000E1,3.877206421E1
5.602191668E-2,-3.258049011E0,3.571336365E1,3.857588959E1
6.607691667E-2,-3.125450134E0,3.579234314E1,3.870113373E1
7.613091668E-2,-3.364830017E0,3.575839233E1,3.867347717E1
8.618591668E-2,-3.157623291E0,3.597891998E1,3.858517456E1
9.624091667E-2,-3.129455566E0,3.556043243E1,3.879342651E1
1.062959167E-1,-3.465675354E0,3.555787659E1,3.861274719E1
1.163509167E-1,-3.507987976E0,3.559048462E1,3.896353149E1
1.264059167E-1,-3.607566833E0,3.562371063E1,3.869841766E1
1.364609167E-1,-3.152816772E0,3.577182770E1,3.846525574E1
1.465149167E-1,-3.402359009E0,3.585134125E1,3.877936554E1
1.565699167E-1,-3.463821411E0,3.575148010E1,3.878440094E1
1.666249167E-1,-3.456207275E0,3.577004242E1,3.895667267E1
1.766799167E-1,-3.334152222E0,3.599918365E1,3.875809479E1
1.867349167E-1,-3.303405762E0,3.595825195E1,3.895823669E1
1.967899167E-1,-3.323745728E0,3.569239044E1,3.902571869E1
2.068449167E-1,-3.273010254E0,3.571659088E1,3.869181824E1
2.168989167E-1,-3.182739258E0,3.586653137E1,3.854176331E1
2.269539167E-1,-3.333923340E0,3.573586273E1,3.851260376E1
2.370089167E-1,-3.330795288E0,3.579804993E1,3.862940216E1
2.470639167E-1,-3.234283447E0,3.597523499E1,3.843706512E1
2.571189167E-1,-3.149009705E0,3.587076569E1,3.824244690E1
2.671739167E-1,-3.067443848E0,3.584058380E1,3.855164337E1
2.772289167E-1,-3.082122803E0,3.581169891E1,3.877088928E1
2.872829167E-1,-3.371139526E0,3.582873535E1,3.876211548E1
2.973379167E-1,-3.478393555E0,3.584725189E1,3.892990875E1
3.073929167E-1,-3.435302734E0,3.575336456E1,3.904618835E1
3.174479167E-1,-3.432662964E0,3.592526245E1,3.884410858E1
3.275029167E-1,-3.566497803E0,3.588304138E1,3.868178558E1
3.375579167E-1,-3.474174500E0,3.581555176E1,3.870886993E1
3.476119167E-1,-3.352981567E0,3.566327667E1,3.869491577E1
3.576669167E-1,-3.474731445E0,3.572381592E1,3.847559357E1
3.677219167E-1,-3.390769958E0,3.592175293E1,3.850051117E1
3.777769167E-1,-3.445915222E0,3.595238495E1,3.807653046E1
3.878319167E-1,-3.568611145E0,3.595786285E1,3.841831207E1
3.978869167E-1,-3.574218750E0,3.586937714E1,3.866618347E1
4.079419167E-1,-3.516067505E0,3.595439148E1,3.854666138E1
4.179959167E-1,-3.355705261E0,3.606919098E1,3.826668549E1
4.280509167E-1,-3.064933777E0,3.589553070E1,3.831507874E1
4.381059167E-1,-3.260482788E0,3.595217133E1,3.868785858E1
4.481609167E-1,-3.287879944E0,3.573444366E1,3.834089661E1
4.582159167E-1,-3.516342163E0,3.572671509E1,3.860853577E1
4.682709167E-1,-3.215042114E0,3.569624329E1,3.846604156E1
4.783249167E-1,-3.329421997E0,3.581182861E1,3.879612732E1
4.883799167E-1,-3.391006470E0,3.594551086E1,3.885102081E1
4.984349167E-1,-3.409904480E0,3.574090576E1,3.863012695E1
5.084899167E-1,-3.252204895E0,3.591996765E1,3.852529907E1
5.185449167E-1,-3.234443665E0,3.588576508E1,3.853621674E1
5.285999167E-1,-3.144592285E0,3.605458069E1,3.902651215E1
5.386549167E-1,-3.159400940E0,3.594150543E1,3.870072937E1
5.487089167E-1,-3.320037842E0,3.606372833E1,3.856362152E1
5.587639167E-1,-3.430610657E0,3.573712158E1,3.852344513E1
5.688189167E-1,-3.057739258E0,3.574512482E1,3.843817139E1
5.788739167E-1,-3.315986633E0,3.591984558E1,3.828023529E1
5.889289167E-1,-3.317665100E0,3.587545776E1,3.859047699E1
5.989839167E-1,-3.331909180E0,3.583519745E1,3.870479584E1
6.090379167E-1,-3.311599731E0,3.580738068E1,3.886265564E1
6.190929167E-1,-3.376411438E0,3.556944275E1,3.897428131E1
6.291479167E-1,-3.554557800E0,3.566529083E1,3.875329590E1
6.392029167E-1,-3.438697815E0,3.575649261E1,3.883924866E1
6.492579167E-1,-3.278366089E0,3.582741547E1,3.872199249E1
6.593129167E-1,-3.401504517E0,3.568911743E1,3.851068878E1
6.693679167E-1,-3.557403564E0,3.569906616E1,3.832130432E1
6.794220833E-1,-3.399276733E0,3.547106171E1,3.831938171E1
6.894770833E-1,-3.242477417E0,3.593869019E1,3.845085144E1
6.995320834E-1,-3.153549194E0,3.580244446E1,3.852220917E1
7.095870833E-1,-3.310943604E0,3.582205200E1,3.855126190E1
7.196420833E-1,-3.154411316E0,3.578073883E1,3.854862213E1
7.296970834E-1,-3.063903809E0,3.570329285E1,3.813493347E1
7.397520833E-1,-3.432632446E0,3.562345886E1,3.846617889E1
7.498060833E-1,-3.786804199E0,3.553050232E1,3.862517548E1
7.598610834E-1,-3.759178162E0,3.556444550E1,3.872434998E1
7.699160833E-1,-3.873863220E0,3.530299377E1,3.879685211E1
7.799710833E-1,-3.680168152E0,3.542225647E1,3.894814301E1
7.900260834E-1,-3.591903687E0,3.563484955E1,3.874565887E1
8.000810833E-1,-3.677253723E0,3.595014954E1,3.844577789E1
8.101350833E-1,-3.598731995E0,3.560112762E1,3.862013245E1
8.201900834E-1,-3.418128967E0,3.577764893E1,3.804853821E1
8.302450833E-1,-3.355278015E0,3.569545746E1,3.815018463E1
8.403000833E-1,-3.461654663E0,3.562252808E1,3.840141296E1
8.503550834E-1,-3.621231079E0,3.565649414E1,3.849927521E1
8.604100833E-1,-3.436233521E0,3.544515228E1,3.853422546E1
8.704650833E-1,-3.409393311E0,3.560550690E1,3.831878662E1
8.805190834E-1,-3.106903076E0,3.541596985E1,3.840230560E1
8.905740833E-1,-3.316856384E0,3.519499969E1,3.832539368E1
9.006290833E-1,-3.269538879E0,3.534394836E1,3.852156830E1
9.106840834E-1,-3.186393738E0,3.532443237E1,3.870628357E1
9.207390833E-1,-3.330772400E0,3.532794952E1,3.865864563E1
9.307940833E-1,-3.323516846E0,3.555834198E1,3.845323181E1
9.408480834E-1,-3.163734436E0,3.568314362E1,3.831838989E1
9.509030833E-1,-3.128990173E0,3.563484192E1,3.840009308E1
9.609580833E-1,-3.109657288E0,3.554414368E1,3.815811157E1
9.710130834E-1,-3.275627136E0,3.536087036E1,3.806936646E1
9.810680833E-1,-3.336715698E0,3.533595276E1,3.847523499E1
9.911230833E-1,-3.384742737E0,3.540384674E1,3.808086395E1
1.001178083E0,-3.586174011E0,3.523680878E1,3.837322998E1
1.011232083E0,-3.539398193E0,3.526811218E1,3.862427521E1
1.021287083E0,-3.597900391E0,3.558162689E1,3.856529999E1
1.031342083E0,-3.601966858E0,3.533779907E1,3.829918671E1
1.041397083E0,-3.603691101E0,3.547583771E1,3.837825775E1
1.051452083E0,-3.411605835E0,3.561384583E1,3.842482758E1
1.061507083E0,-3.409286499E0,3.512626648E1,3.861573029E1
1.071561083E0,-3.482536316E0,3.542699432E1,3.853196716E1
1.081616083E0,-3.565505981E0,3.541079712E1,3.855792236E1
1.091671083E0,-3.477546692E0,3.527807617E1,3.854301453E1
1.101726083E0,-3.562301636E0,3.547232056E1,3.842211151E1
1.111781083E0,-3.211883545E0,3.534918213E1,3.851866913E1
1.121836083E0,-3.454559326E0,3.549919891E1,3.855587769E1
1.131891083E0,-3.276023865E0,3.534640503E1,3.819493866E1
1.141945083E0,-3.385414124E0,3.538475037E1,3.847372437E1
1.152000083E0,-3.478691101E0,3.539986420E1,3.836171722E1
1.162055083E0,-3.540695190E0,3.534503174E1,3.853560638E1
1.172110083E0,-3.473220825E0,3.553076172E1,3.852986145E1
1.182165083E0,-3.216888428E0,3.538468933E1,3.820156097E1
1.192220083E0,-3.289100647E0,3.556423187E1,3.841918945E1
1.202274083E0,-3.178092957E0,3.553948212E1,3.824761963E1
1.212329083E0,-3.533554077E0,3.547137451E1,3.817304230E1
1.222384083E0,-3.301826477E0,3.564654541E1,3.825515747E1
1.232439083E0,-3.149833679E0,3.562812805E1,3.864886475E1
1.242494083E0,-3.113342285E0,3.541369629E1,3.854341888E1
1.252549083E0,-3.315467834E0,3.534737396E1,3.847016907E1
1.262604083E0,-3.519294739E0,3.549224854E1,3.840542603E1
1.272658083E0,-3.465972900E0,3.557008362E1,3.825404358E1
1.282713083E0,-3.428703308E0,3.571349335E1,3.840576172E1
1.292768083E0,-3.389976501E0,3.543796539E1,3.802799225E1
1.302823083E0,-3.456573486E0,3.554789734E1,3.810871887E1
1.312878083E0,-3.042152405E0,3.575481415E1,3.783885193E1
1.322933083E0,-3.281433105E0,3.570726776E1,3.816264343E1
1.332987083E0,-3.490928650E0,3.568344879E1,3.840472412E1
1.343042083E0,-3.533523560E0,3.544213104E1,3.844751740E1
1.353097083E0,-3.273895264E0,3.572953033E1,3.787110138E1
1.363152083E0,-3.356636047E0,3.569509125E1,3.808174896E1
1.373207083E0,-3.442817688E0,3.574736023E1,3.782207489E1
1.383262083E0,-3.506706238E0,3.566917419E1,3.785978699E1
1.393317083E0,-3.267295837E0,3.569432831E1,3.783378601E1
1.403371083E0,-3.326103210E0,3.562834167E1,3.810056305E1
1.413426083E0,-3.275924683E0,3.563759613E1,3.813567352E1
1.423481083E0,-3.374229431E0,3.561758423E1,3.789845276E1
1.433536083E0,-3.480575562E0,3.567041016E1,3.809960175E1
1.443591083E0,-3.240951538E0,3.575708771E1,3.808445740E1
1.453646083E0,-3.401298523E0,3.570913696E1,3.843379211E1
1.463700083E0,-3.288146973E0,3.563004303E1,3.792334747E1
1.473755083E0,-3.124595642E0,3.568759155E1,3.848567200E1
1.483810083E0,-3.382354736E0,3.568874359E1,3.851225281E1
1.493865083E0,-3.458610535E0,3.568750000E1,3.852168274E1
1.503920083E0,-3.493812561E0,3.591200256E1,3.863120270E1
1.513975083E0,-3.201263428E0,3.570246124E1,3.856796265E1
1.524030083E0,-3.090538025E0,3.581410217E1,3.824072266E1
1.534084083E0,-3.088768005E0,3.597521973E1,3.820623016E1
1.544139083E0,-3.240905762E0,3.553651428E1,3.819329834E1
1.554194083E0,-3.273056030E0,3.576493835E1,3.843656158E1
1.564249083E0,-3.341140747E0,3.558957672E1,3.827960968E1
1.574304083E0,-3.419052124E0,3.545641327E1,3.824256897E1
1.584359083E0,-3.422515869E0,3.536157227E1,3.834228516E1
1.594413083E0,-3.556571960E0,3.543439484E1,3.844972229E1
1.604468083E0,-3.513725281E0,3.530733490E1,3.842246246E1
1.614523083E0,-3.419403076E0,3.550678253E1,3.814723206E1
1.624578083E0,-3.498733521E0,3.545909119E1,3.805934906E1
1.634633083E0,-3.469909668E0,3.550714111E1,3.823830414E1
1.644688083E0,-3.112304688E0,3.536084747E1,3.844263458E1
1.654742083E0,-3.170166016E0,3.535491180E1,3.803238678E1
1.664797083E0,-3.286163330E0,3.542959595E1,3.822330475E1
1.674852292E0,-3.091445923E0,3.519881439E1,3.823399353E1
1.684907292E0,-3.311782837E0,3.533317566E1,3.809966278E1
1.694962292E0,-3.290214539E0,3.554231262E1,3.822522736E1
1.705017292E0,-3.226791382E0,3.562754822E1,3.842078400E1
1.715072292E0,-3.460586548E0,3.557670593E1,3.857346344E1
1.725126292E0,-3.699699402E0,3.561978912E1,3.845767212E1
1.735181292E0,-3.519104004E0,3.567208862E1,3.808763885E1
1.745236292E0,-3.537643433E0,3.567765808E1,3.803318787E1
1.755291292E0,-3.468963623E0,3.562132263E1,3.794389343E1
1.765346292E0,-3.459403992E0,3.547556305E1,3.819389343E1
1.775401292E0,-3.205856323E0,3.541790771E1,3.827742004E1
1.785455292E0,-3.300231934E0,3.550077820E1,3.802730560E1
1.795510292E0,-3.420578003E0,3.557306671E1,3.819133759E1
1.805565292E0,-3.196052551E0,3.541740417E1,3.811598206E1
1.815620292E0,-3.350120544E0,3.555499268E1,3.825672913E1
1.825675292E0,-3.160797119E0,3.565421295E1,3.843778229E1
1.835730292E0,-3.178070068E0,3.563409424E1,3.822010040E1
1.845784292E0,-3.452232361E0,3.558850098E1,3.826087952E1
1.855839292E0,-3.354286194E0,3.572781372E1,3.823609161E1
1.865894292E0,-3.261924744E0,3.569207001E1,3.810345459E1
1.875949292E0,-3.275474548E0,3.578543091E1,3.817832947E1
1.886004292E0,-3.406105042E0,3.562686920E1,3.824471283E1
1.896059292E0,-3.141098022E0,3.550440216E1,3.821786499E1
1.906114292E0,-3.319030762E0,3.588896942E1,3.811151886E1
1.916168292E0,-3.393981934E0,3.562363434E1,3.820796967E1
1.926223292E0,-3.139450073E0,3.560417938E1,3.826467133E1
1.936278292E0,-3.248657227E0,3.581060028E1,3.823248291E1
1.946333292E0,-3.023849487E0,3.547991180E1,3.836540985E1
1.956388292E0,-3.242851257E0,3.552895355E1,3.823134613E1
1.966443292E0,-3.351593018E0,3.554255676E1,3.845115662E1
1.976497292E0,-3.392257690E0,3.566353607E1,3.829239655E1
1.986552292E0,-3.262329102E0,3.561249542E1,3.817160797E1
1.996607292E0,-3.119377136E0,3.560977936E1,3.803089905E1
2.006662292E0,-3.225555420E0,3.559100342E1,3.791018677E1
2.016717292E0,-2.957275391E0,3.568124390E1,3.833685303E1
2.026772292E0,-2.995903015E0,3.568530273E1,3.821848297E1
2.036827292E0,-3.125083923E0,3.557585144E1,3.858843994E1
2.046881292E0,-3.035148621E0,3.561122131E1,3.841569519E1
2.056936292E0,-2.973922729E0,3.572359467E1,3.834252167E1
2.066991292E0,-3.122604370E0,3.576378632E1,3.847944641E1
2.077046292E0,-2.809875488E0,3.577737427E1,3.822893524E1
2.087101292E0,-2.675636292E0,3.578412628E1,3.824096680E1
