"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.538333342E-3,2.881478285E-3,-1.078550471E-3,2.966087777E-3
1.659333333E-2,1.490509254E-3,2.130025998E-3,9.878915735E-4
2.664833333E-2,6.429795176E-4,-7.225957816E-4,1.105503179E-4
3.670333332E-2,5.540299462E-4,1.583968056E-3,-7.067737170E-4
4.675833334E-2,-1.216505421E-3,1.241004094E-3,-1.071402803E-3
5.681433334E-2,-2.007996896E-3,-1.254575909E-5,-6.556832232E-4
6.686933333E-2,-1.588679443E-4,-1.119898167E-3,-1.391378697E-3
7.692433332E-2,1.806278713E-3,-2.073575975E-3,-1.229458489E-3
8.697933334E-2,-3.591694869E-3,1.576346694E-3,-7.644495927E-4
9.703433333E-2,-1.359699643E-3,9.536996367E-4,-2.962658182E-4
1.070893333E-1,3.368607140E-4,-3.908577783E-4,-1.471319702E-3
1.171443333E-1,-4.663446452E-5,3.211067524E-3,-8.385526016E-4
1.272003333E-1,1.090807840E-3,-1.988069853E-3,2.908781171E-4
1.372553333E-1,1.294273417E-3,4.417983000E-4,2.067739144E-3
1.473103333E-1,4.257215478E-4,-6.321548717E-4,-4.731086083E-4
1.573653333E-1,-2.383647021E-3,-7.554591866E-4,-9.551406838E-4
1.674203333E-1,1.203242689E-3,2.737153322E-3,4.871529527E-4
1.774753333E-1,3.531617112E-4,-8.416025084E-4,-1.987722702E-3
1.875303333E-1,3.399902489E-4,1.855627634E-4,-1.286842395E-3
1.975863333E-1,-4.206085578E-4,8.942299173E-4,-1.438427716E-5
2.076413333E-1,-9.984956705E-5,-1.430009725E-3,1.871757675E-3
2.176963333E-1,5.795228062E-4,-1.966998097E-4,7.529635914E-4
2.277513333E-1,-1.390415942E-3,5.656946450E-5,5.657910369E-4
2.378063333E-1,-1.636491972E-3,2.986508189E-4,-1.153545920E-3
2.478613333E-1,1.719009015E-4,5.767225521E-4,1.018419862E-4
2.579173333E-1,4.203738063E-4,2.419632365E-4,1.019301359E-3
2.679723333E-1,8.304016665E-4,1.400123932E-3,-1.392505597E-3
2.780273333E-1,-6.415412645E-5,-6.221779040E-5,-1.461459324E-4
2.880823333E-1,-1.153226243E-3,-1.310962834E-3,-7.532937452E-4
2.981373333E-1,-2.830711310E-5,1.173766446E-3,1.954341773E-3
3.081923333E-1,-1.281803939E-3,2.294093138E-3,9.164582007E-4
3.182473333E-1,7.171647158E-4,-9.831927018E-4,-2.382932231E-3
3.283033333E-1,-2.337924205E-3,1.515269512E-3,2.581008244E-3
3.383583333E-1,-1.788995287E-4,1.357610454E-3,1.229454298E-3
3.484133333E-1,2.029327734E-4,7.936772890E-4,1.303392928E-3
3.584683333E-1,1.395230065E-3,2.173692337E-4,-6.680376828E-5
3.685233333E-1,-1.431534300E-3,-2.229190897E-3,1.164018176E-4
3.785783333E-1,1.112050726E-3,1.232918468E-3,8.096229285E-4
3.886333333E-1,9.017508710E-4,-1.057947637E-3,1.065531280E-3
3.986893333E-1,-1.988844248E-3,-6.315755309E-4,-2.916427329E-3
4.087443333E-1,3.942470648E-4,9.899910074E-4,5.014687777E-4
