"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.396666688E-3,-1.856140137E-2,2.008822632E-1,-9.778415680E0
8.658333332E-3,-2.035766602E-2,2.032772827E-1,-9.785750427E0
1.871333332E-2,-2.664459229E-2,2.082170105E-1,-9.788893890E0
2.876833332E-2,-3.547622681E-2,2.041754150E-1,-9.784852295E0
3.882233333E-2,-3.353027344E-2,2.031275940E-1,-9.792037354E0
4.887733332E-2,-3.547622681E-2,1.953437805E-1,-9.794432373E0
5.893233331E-2,-2.978805542E-2,1.868115234E-1,-9.783205719E0
6.898733333E-2,-2.888992310E-2,1.817221069E-1,-9.779912567E0
7.904233332E-2,-2.694396973E-2,1.838177490E-1,-9.778715057E0
8.909733332E-2,-1.466949463E-2,1.806742859E-1,-9.787546692E0
9.915233331E-2,-2.050735474E-2,1.796264648E-1,-9.783355408E0
1.092063333E-1,-2.185455322E-2,2.007325745E-1,-9.782307587E0
1.192613333E-1,-1.661544800E-2,1.920506287E-1,-9.778265991E0
1.293163333E-1,-2.095642090E-2,1.993853760E-1,-9.785600739E0
1.393713333E-1,-2.215393066E-2,2.016307068E-1,-9.785151672E0
1.494263333E-1,-2.050735474E-2,1.954934692E-1,-9.788893890E0
1.594813333E-1,-2.424957275E-2,1.823208618E-1,-9.786798248E0
1.695363333E-1,-2.484832764E-2,1.818717957E-1,-9.785001984E0
1.795903333E-1,-3.353027344E-2,1.817221069E-1,-9.783505096E0
1.896453333E-1,-3.427871704E-2,1.782792664E-1,-9.792187042E0
1.997003333E-1,-2.888992310E-2,1.869612122E-1,-9.781708832E0
2.097553333E-1,-3.622467041E-2,1.911524963E-1,-9.782457275E0
2.198103333E-1,-3.382965088E-2,2.037263489E-1,-9.795330505E0
2.298653333E-1,-2.215393066E-2,2.002835083E-1,-9.779014435E0
2.399203333E-1,-1.751358032E-2,2.070195007E-1,-9.792037354E0
2.499743333E-1,-1.571731567E-2,2.073188782E-1,-9.781559143E0
2.600293333E-1,-1.526824951E-2,2.020797729E-1,-9.788145447E0
2.700843333E-1,-1.616638184E-2,1.993853760E-1,-9.792037354E0
