"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.698654165E-2,-2.177580833E0,3.731768036E1,4.094943237E1
2.704154165E-2,-2.078650475E0,3.741147614E1,4.077825928E1
3.709654167E-2,-2.039952278E0,3.737879181E1,4.086463928E1
4.715154166E-2,-2.201821327E0,3.713881683E1,4.089556885E1
5.720654165E-2,-2.139374733E0,3.714389801E1,4.081005859E1
6.726154167E-2,-1.874934196E0,3.727228546E1,4.058226013E1
7.731654166E-2,-1.954012871E0,3.716431427E1,4.077706909E1
8.737154165E-2,-2.250782967E0,3.711638641E1,4.103501892E1
9.742654167E-2,-2.259566307E0,3.700156403E1,4.102188110E1
1.074815417E-1,-2.514138222E0,3.704090118E1,4.102316284E1
1.175355416E-1,-2.432436943E0,3.714351654E1,4.095208740E1
1.275905417E-1,-2.317019463E0,3.719748688E1,4.101924133E1
1.376455417E-1,-2.549996376E0,3.729338837E1,4.102087402E1
1.477005417E-1,-2.444409370E0,3.756304169E1,4.084300232E1
1.577555417E-1,-2.296837807E0,3.730002594E1,4.059693909E1
1.678105417E-1,-2.315661430E0,3.731937408E1,4.089651489E1
1.778655417E-1,-2.476386070E0,3.716570282E1,4.061070251E1
1.879205416E-1,-2.376816750E0,3.727957916E1,4.029676819E1
1.979755417E-1,-2.481751442E0,3.713446808E1,4.019514465E1
2.080295417E-1,-2.342724800E0,3.724187469E1,4.041926575E1
2.180845417E-1,-2.217236519E0,3.710066986E1,4.087265015E1
2.281395417E-1,-2.443341255E0,3.699600983E1,4.066749573E1
2.381945417E-1,-2.237030983E0,3.725789642E1,4.047326660E1
2.482495416E-1,-2.102337837E0,3.704650116E1,4.055590820E1
2.583045417E-1,-2.172638893E0,3.706819916E1,4.071110535E1
2.683595417E-1,-2.087973595E0,3.728836823E1,4.060534668E1
2.784145417E-1,-2.235224724E0,3.717771149E1,4.036119080E1
2.884695417E-1,-2.042582512E0,3.721335602E1,4.062055969E1
2.985245417E-1,-2.316468239E0,3.700322723E1,4.048274231E1
3.085785416E-1,-2.383677483E0,3.702727509E1,4.075956726E1
3.186335417E-1,-2.327975273E0,3.703934479E1,4.076470947E1
3.286885417E-1,-2.454062462E0,3.712587738E1,4.105630493E1
3.387435417E-1,-2.223303795E0,3.725321198E1,4.071884155E1
3.487985417E-1,-2.045924187E0,3.707736969E1,4.071542358E1
3.588535417E-1,-2.186556816E0,3.693192291E1,4.097590637E1
3.689085417E-1,-2.369168282E0,3.709203339E1,4.070108032E1
3.789635416E-1,-2.418335915E0,3.687665558E1,4.089118958E1
3.890185417E-1,-2.413554192E0,3.704842377E1,4.065596008E1
3.990725000E-1,-2.133027077E0,3.698470306E1,4.058616638E1
4.091275000E-1,-2.316588402E0,3.705467987E1,4.048980713E1
4.191825000E-1,-2.623175621E0,3.686109161E1,4.038412476E1
4.292375000E-1,-2.236437798E0,3.711109161E1,4.047467041E1
4.392925000E-1,-2.313546181E0,3.694091034E1,4.052020264E1
4.493475000E-1,-2.467236519E0,3.699111176E1,4.056318665E1
4.594025000E-1,-2.554968834E0,3.702458954E1,4.069471741E1
4.694575000E-1,-2.567297935E0,3.705150604E1,4.072966003E1
4.795125000E-1,-2.227456093E0,3.715029144E1,4.073887634E1
4.895675000E-1,-2.379595757E0,3.704465485E1,4.069490051E1
4.996215000E-1,-2.491820335E0,3.715297699E1,4.085485840E1
5.096765000E-1,-2.591940880E0,3.711211395E1,4.078231812E1
5.197315000E-1,-2.612217903E0,3.724571991E1,4.065608215E1
5.297865000E-1,-2.428225517E0,3.700971222E1,4.059892273E1
5.398415000E-1,-2.550295830E0,3.692578888E1,4.042115784E1
5.498965000E-1,-2.445685387E0,3.690747833E1,4.069595337E1
5.599515000E-1,-2.472620964E0,3.690810394E1,4.073866272E1
5.700065000E-1,-2.404507637E0,3.710939789E1,4.050070190E1
5.800615000E-1,-2.259610176E0,3.685195160E1,4.018870544E1
5.901155000E-1,-2.246567726E0,3.713991547E1,4.028370667E1
6.001705000E-1,-2.417096138E0,3.735799408E1,4.034439087E1
6.102255000E-1,-2.453425407E0,3.733109283E1,4.029768372E1
6.202805000E-1,-2.432578087E0,3.722743988E1,4.060939026E1
6.303355000E-1,-2.402827263E0,3.720713043E1,4.049769592E1
6.403905000E-1,-2.414477348E0,3.701563263E1,4.065374756E1
6.504455000E-1,-2.506703377E0,3.717733002E1,4.028627014E1
6.605005000E-1,-2.203213692E0,3.709099579E1,4.023439026E1
6.705555000E-1,-2.359652519E0,3.717664337E1,4.021598816E1
6.806105000E-1,-2.395869255E0,3.710733795E1,4.048382568E1
6.906645000E-1,-2.466956139E0,3.719739532E1,4.059924316E1
7.007195000E-1,-2.387864113E0,3.725209808E1,4.056874084E1
7.107745000E-1,-2.426232338E0,3.712352753E1,4.060232544E1
7.208295000E-1,-2.310078621E0,3.706082916E1,4.092558289E1
7.308845000E-1,-2.202660561E0,3.705529022E1,4.059481812E1
7.409395000E-1,-2.503563881E0,3.724106598E1,4.062452698E1
7.509945000E-1,-2.518654823E0,3.727631378E1,4.047613525E1
7.610495000E-1,-2.500483513E0,3.709098053E1,4.041510010E1
7.711045000E-1,-2.615519524E0,3.721341705E1,4.040505981E1
7.811585000E-1,-2.522343636E0,3.700847626E1,4.061378479E1
7.912135000E-1,-2.530188560E0,3.704666901E1,4.088305664E1
8.012685000E-1,-2.784482002E0,3.725357819E1,4.072128296E1
8.113235000E-1,-2.658173561E0,3.713658905E1,4.075474548E1
8.213785000E-1,-2.795462608E0,3.732442474E1,4.074375916E1
8.314335000E-1,-2.743485451E0,3.722328949E1,4.060586548E1
8.414885000E-1,-2.656483650E0,3.724703217E1,4.062234497E1
8.515435000E-1,-2.755356789E0,3.733849335E1,4.053527832E1
8.615985000E-1,-2.601134300E0,3.718053436E1,4.046458435E1
8.716535000E-1,-2.725543022E0,3.726355743E1,4.054254150E1
8.817075000E-1,-2.462180138E0,3.710984039E1,4.070289612E1
8.917625000E-1,-2.403763771E0,3.685399628E1,4.052021790E1
9.018175000E-1,-2.563746452E0,3.709841156E1,4.038287354E1
9.118725000E-1,-2.571280479E0,3.697200775E1,4.049676514E1
9.219275000E-1,-2.498192787E0,3.685073090E1,4.067257690E1
9.319825000E-1,-2.515257835E0,3.698480988E1,4.086039734E1
9.420375000E-1,-2.406741142E0,3.699054718E1,4.079231262E1
9.520925000E-1,-2.438405037E0,3.702663422E1,4.091983032E1
9.621475000E-1,-2.167923927E0,3.699445343E1,4.105178833E1
9.722015000E-1,-2.391263008E0,3.717870331E1,4.091783142E1
9.822565000E-1,-2.451357841E0,3.727220917E1,4.087287903E1
9.923115000E-1,-2.338221550E0,3.710648346E1,4.087634277E1
1.002366500E0,-2.277106285E0,3.705356598E1,4.066191101E1
1.012421500E0,-2.470673561E0,3.721785736E1,4.064172363E1
1.022476500E0,-2.415240288E0,3.710451508E1,4.078833008E1
1.032531500E0,-2.442461967E0,3.709540558E1,4.038705444E1
1.042586500E0,-2.384768486E0,3.724274445E1,4.044801331E1
1.052641500E0,-2.695118904E0,3.718032074E1,4.035142517E1
1.062696500E0,-2.305500984E0,3.725785065E1,4.016264343E1
1.072750500E0,-2.366692543E0,3.726171112E1,4.019770813E1
1.082805500E0,-2.262808800E0,3.704994965E1,4.024159241E1
1.092860500E0,-2.157168388E0,3.720204926E1,4.002960205E1
1.102915500E0,-2.405341148E0,3.711255646E1,4.041784668E1
1.112970500E0,-2.166766167E0,3.720639801E1,4.052345276E1
1.123025500E0,-2.506251335E0,3.725182343E1,4.061294556E1
1.133080500E0,-2.541764259E0,3.726558685E1,4.062922668E1
1.143135500E0,-2.591233253E0,3.733435822E1,4.063159180E1
1.153190500E0,-2.755572319E0,3.705718231E1,4.089823914E1
1.163244500E0,-2.664803505E0,3.693433380E1,4.115122986E1
1.173299500E0,-2.828799248E0,3.695763397E1,4.075262451E1
1.183354500E0,-2.844744682E0,3.711849213E1,4.066525269E1
1.193409500E0,-2.537991524E0,3.701975250E1,4.054730225E1
1.203464500E0,-2.569453239E0,3.723040009E1,4.103909302E1
1.213519500E0,-2.561333656E0,3.710179901E1,4.099658203E1
1.223574500E0,-2.612915993E0,3.703368378E1,4.077017212E1
1.233629500E0,-2.874733925E0,3.722876740E1,4.068292236E1
1.243684500E0,-2.841881752E0,3.724675751E1,4.084303284E1
1.253739500E0,-2.708056450E0,3.710535431E1,4.071055603E1
1.263793500E0,-2.792117119E0,3.724022675E1,4.061354065E1
1.273848500E0,-2.494030952E0,3.726686859E1,4.059579468E1
1.283903500E0,-2.498267174E0,3.719268036E1,4.036531067E1
1.293958500E0,-2.410639763E0,3.717029572E1,4.010816956E1
1.304013500E0,-2.335343361E0,3.699059296E1,4.046705627E1
1.314068500E0,-2.331259727E0,3.712328339E1,4.030216980E1
1.324123500E0,-2.446713448E0,3.724935150E1,3.998361206E1
1.334178500E0,-2.364125252E0,3.693061066E1,4.012715149E1
1.344233500E0,-2.340170860E0,3.685599518E1,4.032461548E1
1.354287500E0,-2.450341225E0,3.699088287E1,3.990390015E1
1.364342500E0,-2.752161980E0,3.714350128E1,4.009347534E1
1.374397500E0,-2.625277519E0,3.688254547E1,4.012391663E1
1.384452500E0,-2.600615501E0,3.715584564E1,3.987260437E1
1.394507500E0,-2.595780373E0,3.723279572E1,3.974455261E1
1.404562167E0,-2.514050484E0,3.717754364E1,3.973634338E1
1.414617167E0,-2.354689598E0,3.706458282E1,3.983686829E1
1.424672167E0,-2.381836891E0,3.702622223E1,4.038224792E1
1.434727167E0,-2.412728310E0,3.720232391E1,4.014343262E1
1.444782167E0,-2.355237007E0,3.691101837E1,3.998025513E1
1.454836167E0,-2.437773705E0,3.687110138E1,4.003860474E1
1.464891167E0,-2.469113350E0,3.698007965E1,3.984271240E1
1.474946167E0,-2.335579872E0,3.692838287E1,3.971348572E1
1.485001167E0,-2.292006493E0,3.692684174E1,3.977494812E1
1.495056167E0,-2.138964653E0,3.691562653E1,3.976696777E1
1.505111167E0,-2.128821373E0,3.683710480E1,3.941909790E1
1.515166167E0,-2.197094917E0,3.666547394E1,3.934284973E1
1.525221167E0,-2.076453209E0,3.657061005E1,3.933999634E1
1.535276167E0,-1.976019859E0,3.630281830E1,3.919767761E1
1.545330167E0,-1.953364372E0,3.620192719E1,3.883470154E1
1.555385167E0,-1.988921165E0,3.594522858E1,3.875048828E1
1.565440167E0,-2.099095345E0,3.572942352E1,3.867465210E1
1.575495167E0,-1.584729195E0,3.550650787E1,3.840530396E1
1.585550167E0,-1.627619743E0,3.544379425E1,3.829327393E1
1.595605167E0,-1.467986107E0,3.520590973E1,3.823008728E1
1.605660167E0,-1.197543144E0,3.482195282E1,3.804237366E1
1.615715167E0,-8.385019302E-1,3.441156769E1,3.792395020E1
1.625770167E0,-8.658456802E-1,3.393631744E1,3.783839417E1
1.635825167E0,-8.670663834E-1,3.336238861E1,3.798225403E1
1.645879167E0,-6.615495682E-1,3.287593842E1,3.788046265E1
